name,line
Interviewer,How would you explain what NFTs are and how they are valuable?
Cuban,"It's just a digital collectible. Period. End of story. A collectible can be anything you want to collect. I collected CDs, I collected DVDs, you used to be able to buy and resell CDs and buy and resell DVDs and LPs. Now, it's just a digital version of all that. It's not complicated, it's not anything fancy, and the beauty of it is there's no hassle factor. I got some of my cards here. See this guy here? That's the original No. 77, that's not Luka , that's Jake Voskuhl the original No. 77 on the Dallas Mavericks, the one and only. A true collector of cards would be mad at me for not having it in a case and not having it all wrapped up. So, if Jake Voskuhl had a moment, I don't have to worry about any of those things. When you deal with physical collectibles, you have to worry about grading it, storing it, packaging it, shipping it, receiving it, valuing it... and the evaluations are not efficient whatsoever; one card store is going to evaluate it differently, one website is going to evaluate it differently from another. With NFTs, because it's all digital, the marketplaces are becoming a lot more efficient. They're not all the way there yet, but they're getting there and you take away all the hassles of physical ownership."
Interviewer,People who are new to NFTs always ask
Cuban,Dumbest question ever!
Interviewer,How did you first hear of NBA Top Shot and NFTs?
Cuban,"I don't even remember, but my first step was I went to a site called Mintable.app and I just started minting them. Then, I took a GIF of me walking into the Mavs arena to work out and I decided to post it for sale. I did 10 or 20 for the equivalent of $25 ETH. As I was going through setting it up, I'm thinking to myself, 'Nobody is going to buy this sh*t. Nobody.' Then, I saw this part to set up a royalty  and I'm like, 'You're kidding me!' This is the first time with digital content or goods at all that you can participate in the resell market so that's when I was like, 'I have to learn more about what's going on here.' So, I did my little GIF and I sold 20 for $25 each and then they started reselling and reselling, and I kept getting these transactions in my wallet for more and more money. I learned very quickly that I needed to learn what NFTs were all about because this could change how things were marketed, this could change how digital content is monetized and how IP is monetized. So, that's when I started digging in and that led me to Top Shot."
Interviewer,"Do you think we'll continue to see the NBA embrace Top Shot even more and if so, what could that look like?"
Cuban,"Of course you're going to see it. And it really comes down to what players do and that's the unknown. I'm trying to get Luka to sit down for lunch with me because we already got it set up to do an auction for a non-game NFT that he could do just him smiling or we got some that are drawings of him. Who knows how much people are going to bid for that if it's a Luka-authored original NFT? It could be on Top Shot, if there's a program there for players to do that, or it could be off of Top Shot. So, we'll see what players do;  that, and we'll see that extended to teams. We're trying to figure out how to use blockchain for ticketing and once you start doing that, you can start offering NFTs or moments from Top Shot as part of your ticket and create incremental value in a hundred ways and that becomes immediately tradable and sellable, etc. So, there's all kinds of iterations that these things can offer that are just crazy."
Interviewer,"We've asked you before what kind of business you'd start if you were back at square one and you've always said that you'd do something related to artificial intelligence. Now that this blockchain and NFT industry is taking off, would that be your new answer?"
Cuban,"That's a great question. So, AI has the bigger payoff right now, but it's a lot harder. Blockchain is the path of least resistance because as complicated as it sounds, it's not. So, trying to understand how blockchains work, . There's tons of competition. Top Shot uses Flow from Dapper Labs and that's one version of a blockchain. Ethereum's got theirs, Bitcoin's got theirs; there's a zillion different blockchains right now and each of them have their different pluses and minuses. So, there are challenges there. It's like the early days of the internet when everyone had a website. At the beginning, everyone thought it was hard to set up a website and companies found a high school kid who learned HTML and JavaScript to set it up for them and then they realized it was easy. This is the same thing. There's a lot of opportunities to take blockchain and smart contracts and create Web 3.0 versions of things that are being done now. Crypto is really changing a lot of things, the centralized finance. If you own Ethereum or Bitcoin or some other things, you basically make money as your own personal banker lending money, borrowing money, arbitraging it."
Interviewer,Most of these NFTs will fail and be worthless years from now.
Cuban,"Oh, of course."
Interviewer,"So, how do you decide which NFTs you're going to purchase? And why are you bullish on Top Shot specifically?"
Cuban,"Well, it's kind of spray-and-pray to a certain point. You know some of them aren't going to work and what I use to determine  is the size of the community. It's almost like Dogecoin. It's not that Dogecoin has any intrinsic value other than having fun. It's just there's a community of Dogecoin-lovers that really have fun with it and are just insane about it. And that's what I look for; the community of buyers. Beeple has insane, rich buyers; he just sold something for $69 million! 3LAU sold something for $3.3 million! King of Leon did $2 million worth of stuff. So, what you look for is really rabid, strong communities and Top Shot has the biggest, most rabid community right now. You can go to cryptoslam.io and you can see all the information. There's 122,000 buyers for Top Shot and there's nobody else even close. That tells you the community is there, and it's just starting; 122,000 is bigger than everyone else, but it's tiny versus the future market so this is only going to get bigger."
Interviewer,What are some moments that you're going after?
Cuban,"One thing to consider is that pandemic games are going to start being scarce in the future because we're going to be getting away from  and the pandemic will be weird, particularly to kids 5-10 years from now. They'll see these games without any fans and I think those will have added value."
Interviewer,"If you could create any Top Shot moment of your choice, what would it be? It can be a moment featuring you or anyone you'd like."
Cuban,"Oh, when the Mavs won , there's a picture... There's 30 seconds left and it's so stressful because you just never know when a lead will disappear. You can be up 10 points with two minutes to go and you can't be satisfied. But we got to the point where we were up 10 with 30 seconds to go and I just let out this big sigh of relief. There's a picture of me alongside Brendan Haywood and Deshawn Stevenson and some of our staff and I'm just holding onto them and screaming at the top of my lungs. That would be my Top Shot moment."
Interviewer,Your 2003-04 season opener was against the Lakers (and it was Karl Malone and Gary Payton's debut). I don't know if you remember what about that game was so unique....
Cuban,"The trash-can uniforms! We had brand-new uniforms that we thought were so cool, but we'd never had them on during a game. Well, when the players played in them, the sweat made them look like trash ! We never wore them again; that was the one time! That was not meant to be. It was brutal. We got destroyed. I was so pissed. I was just like, 'Toss these uniforms. Get them the hell out.'."
Interviewer,Does every company need to be on social media?
Cuban,"Yes. Not every company needs to post on social, but they need to be acutely aware of what is being said about them."
Interviewer,What's the biggest mistake you see marketers making today?
Cuban,Chasing trends rather than thinking through what the best solution is for any given product.
Interviewer,What's one piece of advice you'd give to entrepreneurs trying to scale a business quickly?
Cuban,Sales cures all.
Interviewer,What's the #1 marketing tool that's made the biggest difference in any of your businesses over the past 2 years?
Cuban,"2 years ago it was influencers, now it's organic video."
Interviewer,Can you clarify what you mean by organic video?
Cuban,Telling stories on video that include your company and what it does.
Interviewer,What's the one business lesson you learned when you started out that you still use today?
Cuban,"The one lesson I have learnt that helped when I was 12 years old and when I was 16 till today is that sales cures all. There has never been a business that ever succeeded without sales, and as the CEO, as a founder, and as an entrepreneur, if I can sell, I am always going to have a shot to survive, and I am always going to have a really good shot to succeed."
Interviewer,What is the biggest sacrifice you have to make when first starting a business?
Cuban,"When you are starting a business the biggest sacrifice that you probably don't expect is that you don't own your business; your customers own it, and you'll be holding on to them 24X7. If you are not, you are not going to be in business for very long."
Interviewer,What's the biggest misconception that new business owners have?
Cuban,"I think the biggest misconception that new entrepreneurs and new business owners have is that they think it's better than a 9-to-5 job because they can control their own hours and they are in control of what goes on. This couldn't be further from the truth. When you start a company, all hours are business hours, and I think you tend to think very quickly that your 9-to-5 job was easy compared to the hours in your own startup."
Interviewer,Is your day now 9 to 5?
Cuban,"My days are never 9 to 5 but I have always been very fortunate that even when I was broke and doing a startup, I loved what I was doing and the hours would go by so quickly because I was so consumed by it then, and now too. I may not be in the startup life from the perspective of, 'okay, my back's against the wall, I'm sleeping on the floor, or I am broke', but I want to win. I am competitive, I am always in, and I am always trying to learn. Whether it's one of my businesses, or a business that I have invested in, I am always trying to make it better."
Interviewer,Do you have a process of selecting a business?
Cuban,"When it comes to selecting a business I don't really have a process. I just try to be opportunistic, and look at the skills of the entrepreneur or the uniqueness of the business, and the competitive landscape. I will see how much I can help and what is going to take to get to the Promised Land to make a lot of money."
Interviewer,Can one have a good idea and a bad pitch?
Cuban,"We see so many pitches and some people think that if it is a bad pitch, the idea, the opportunity, and the company have no chance, particularly on Shark Tank, but that's just not the case."
Interviewer,Can you have a bad idea and a good pitch?
Cuban,"Yes, the other side of the equation is where even if it's a great pitch, it doesn't make for a good business if you don't know what you are doing. Even if you make it sound good, you still don't know what you're doing."
Interviewer,What are your top two tips for an entrepreneur about to give a pitch?
Cuban,"The two things that an entrepreneur needs to know, whether pitching to Shark Tank or anywhere, is"
Interviewer,Has being on Shark Tank changed the way you do business at all?
Cuban,"The thing that I have learnt with Shark Tank and really has changed my method of doing business over the past 10 years is 'nice pays off'. I don't know if I was always the nicest guy when I did business, but I was never mean, I never tried to steal, or take advantage of anybody, and I have always tried to do win-win deals. But sometimes I would get angry or ornery if I didn't think things were progressing the way I wanted them to. And just having seen all the entrepreneurs come through, and all the experience and the heartbreaks they have had, I have learnt the value of nice. Nice is so undervalued and it makes doing business so much easier. It makes the result so much better when you are just nice."
Interviewer,Does each season of Shark Tank have a different feel?
Cuban,"Each season always has a different feel. We have different guests, and as time goes on all the entrepreneurs have a better feel for what we like or what we don't like because they have watched the show so much. The deals get bigger and the companies get more advanced, so yes every season is just a little bit different and a little better."
Interviewer,Shark Tank is about to reach its 200th episode. How do you feel about that?
Cuban,"It is crazy the show's 10th season is about to air the 200th episode. I came on as a Guest Shark in Season 2. I thought, 'I'd do my three episodes and the show will be gone. It will be a great experience and maybe I would pick up some interesting businesses'. So when I was a Guest Shark, I bought every single thing that came out. I didn't think it would last, but here we are, in the 10th season and 200th episode. It has been a phenomenal ride. I hope it goes on forever."
Interviewer,"Mark, I appreciate you being here. I want to get your reaction to this report as it came out."
Cuban,"I mean, I didn't know, and I don't have an explanation. You know I can give you lots of reasons, but they don't matter. It was my responsibility, and I have to be accountable for it."
Interviewer,"I think it's hard for some people to reconcile because you are respected as a smart businessman. You have a television show, and your billing on that television show is that you're a great businessman. So how do you match that up with what you're telling me here?"
Cuban,"In hindsight, it was staring me right in the face, and I missed it. I wasn't as focused on the business as I should've been. You know when I talk about being actively involved, I could tell you every salary of everybody, every NBA player over the last 15 years. I would talk to Rick and our coaches over the years, and be there at practices, and be there on the basketball side, day in day out live it. If I was in our business office five times in 15 years, that was a lot, you know. It's embarrassing to say. There were people who I just hadn't met and hadn't talked to."
Interviewer,"There are a lot of emails of you asking about ticket sales and marketing, so there are business-side functions you were very involved in."
Cuban,No question. It all ties back to the basketball
Interviewer,"I want talk about the CEO, who is one of the large focuses of this investigation the dozen or so women who were victimized by Terdema Ussery. He was the man who was the Mavs' CEO for 15 of the 18 years that you owned the team. And I want to read off some of this"
Cuban,I didn't know that.
Interviewer,How do you not know that when you buy the team? It was in the newspapers. It was on the radio.
Cuban,"Yeah, I mean, I literally did not know it. This was in 1998, and I was running Broadcast.com, which I was sleeping and breathing. I was a season-ticket holder and went to games, but I had no idea. From the time I talked to Ross Perot to the time I bought the team in January of 2000 was less than six weeks. Should I have done due diligence? Should they have disclosed it? Yes. You know, it was just this was a dream come true. And you know, should I have interviewed Terdema to make sure he'd be a good CEO and there weren't issues? Yeah. And I didn't. I was just excited to buy the Mavs. It just never dawned on me that within my own company, within the Mavericks, that no one would reach out to me."
Interviewer,"But do you understand why? With this public presence you projected as being this tough boss, and then also with him being kept in that position for so long?"
Cuban,"Look, we did a lot of things wrong. And I wasn't there to oversee him. And so, yeah, everybody has every reason to question me. But I just wasn't there. And that was my fault."
Interviewer,"When you read through the report and you really read the details of things that you hadn't known about before, what stood out to you as the most difficult? Of what people had to go through?"
Cuban,"Just the pain that they had to go through, at my company. It was the same way I felt when I stood in front of Mavs employees for the first time, after this came out. And I apologized to them. Never in my wildest dreams did I think this was happening right underneath me. The pain that people went through, the pain that people shared with me as this happened, the tears that I saw it just, it hurt. And the way I felt is nothing compared to the way they felt. I have to recognize I made a mistake, learn from it and then try to fix it."
Interviewer,"Was there a person who talked to you, or sat across from you or someone who you've read about, that it stuck with you?"
Cuban,"It was just the looks on people's faces when I was sitting when I first met with Mavs employees after this happened and I didn't know how bad an actor Terdema was. And so I didn't know the degrees of everything. But I could just see it in everybody's face. And these are people that I barely knew, which is just bad enough that it just tore me apart. I mean, there's no other way to explain it."
Interviewer,"The Sports Illustrated article comes out. You're quoted right away. You said, this stuff isn't acceptable. This matters to me. Also though, investigators found that through an intermediary, you reached out to Terdema Ussery. And the message you had passed along to him is don't worry I won't throw you under the bus."
Cuban,"Well, context matters."
Interviewer,That's why I'm asking about it.
Cuban,"Right, so when it first happened, like I said, I had no idea how bad it was. I talked to two people who I asked to go to Terdema's former assistant, and I said, Look, pending everything that happens with the investigation, I don't want to get in a PR shouting match. And it wasn't like we were trying to hide anything, because I told investigators that I did it, you know."
Interviewer,You can understand how that sentence doesn't sit well when you read it on a piece of paper.
Cuban,"I know. I understand that completely. But again, that's why I was very forthright when the investigators I volunteered that to them. It wasn't about them asking me."
Interviewer,One of the other employees that I know  talked to you about is Chris Hyde. He was a high-ranking ticket sales official within the company. And again I'm just going to read this so I get it right
Cuban,"Yeah, I didn't know about that."
Interviewer,"You were notified about the pornography on his computer. In 2008, there was an email trail for that. And you wrote him an email saying, Hey, you better stop this or I'll fire you."
Cuban,Yes. On the spot. Right.
Interviewer,Did you ever follow up to see if he had stopped it?
Cuban,"Well, I got reports back saying he was on probation and that he was being dealt with. So I just assumed it was being dealt with. I didn't have any reason to think otherwise."
Interviewer,"So three years after that, after that email exchange with Hyde, one day he left the office for a two-hour lunch and, again, I'm going to just read this to get the details right"
Cuban,"Obviously, that's a huge mistake on my part. I was under the impression that the first issue with pornography was resolved, and obviously wasn't. And I also said if anything happens again, he's fired."
Interviewer,Wouldn't this qualify?
Cuban,"Well, that was three years earlier, and I hadn't had any follow-up. From my perspective, there were no other issues. But, again, in hindsight, it was stupid on my part."
Interviewer,"I mean, when you read it in black and white, and I say it sitting here across the table and say it for you..."
Cuban,"No, it's ridiculous. I messed up. I should have just fired him on the spot. It was a huge mistake. There's no way to downplay it, and if someone showed me this from another company and asked me to read it, I would say you can't make a bigger mistake, because that destroys the whole culture of your organization. And every time I go talk to people about business, I talk about culture. I don't have any excuses. I'm not trying to justify it. It's just I made a bad mistake, and it's not the only one I've said that I made."
Interviewer,"I do want to ask you about Earl Sneed, who you just mentioned. And frankly this is the one I have to tell you, Mark. I've known you for years and years, and when I read what happened here, I can't put together how the person I know and I've talked to for a long time OK'd a lot of this stuff. And for people who aren't familiar, Sneed was the team beat writer for the Mavericks' team website."
Cuban,One of them.
Interviewer,"And he was arrested outside the office, right at work, for beating his fiancée so badly he left her visibly bruised and with a broken wrist. She went to the hospital for it. He pled guilty to that in court. And you not only didn't fire him, you offered to pay his legal expenses."
Cuban,"Well, no... OK, that's not from my the information I had was just coming from Earl."
Interviewer,"His fiancée emailed you directly also, though, according to the investigation."
Cuban,"Right, the information I had, though, came, you know... I sent it back to H.R. And then the information I got was from Earl. And again, one to multiple mistakes applies here"
Interviewer,"There was a second incident though. He then started actually dating a fellow co-worker. And because you guys hadn't even suspended him or anything, the women in the office didn't know that he was someone who had beaten up his fiancée and who had broken her bones. And the other Mavericks employee... he got violent with her. She came to work the next day with visible bruises and swelling in her chest and face and arms. And she said she didn't feel safe in the office. And again, you guys didn't fire him. And this is where I break down again on why."
Cuban,"Again, in hindsight I would have done it differently. But, young African-American man, and this is 2014, and I had a decision to make. And the decision was, do I just fire him? And my fear and it's documented in the report, and talking to the investigators my fear if I just said, 'OK you're fired,' what are you going to do next? And what happens to the next person? And that's what I was thinking to myself. And so I set a series of rules for him, that he had to be accompanied. He had to go to counseling, and there were a variety of things to keep an eye on him."
Interviewer,I know I'm not the first person to point out to you that you could have removed him from the workplace and still gotten him counseling.
Cuban,"In hindsight you're exactly right. I'm just telling you what I thought, and I said the same thing publicly, and I said the same thing to investigators"
Interviewer,"Now that you have gone through all of this, what message do you now know that this sent the other women in the office?"
Cuban,"Oh, it was horrible."
Interviewer,"You basically told them, 'Hey, one of the guys in this office can hit you and we will still keep him here, coming to the office and sitting next to you.'."
Cuban,"I was tone deaf. And I have no excuse. I should have known better, or I could have done better. I've learned. There's just no other way to put it."
Interviewer,"In talking to you and reading all this, it does seem like another real lesson that you have absorbed through this is that it's not just about these specific behaviors, it's about the environment you set up. As recently as the beginning of this calendar year, the report details that in your business office 70 percent of the employees were male. Only 30 percent were female. There were zero women who were at the executive level to where they would be in the top-level meetings. There were zero people of color. And that even the women who did work there their salaries were not competitive with the commensurate men who did those jobs at other NBA franchises. What kind of environment do you think that set up in your business atmosphere? About the worth of women?"
Cuban,"Obviously not a good one. And once it came to my attention, we immediately jumped to fix it. It wasn't acceptable. It's not something that's going to happen going forward. We immediately stepped in and brought in a CEO who brought all of this to my attention. And I gave her carte blanche to do what she needed to do because it's not right and it's not even good business. And so we were doing everything possible to fix it."
