name,line
Cuban,My name is Mark Cuban and you're listening to Freakonomics Radio.
Interviewer,"Hey, this is Stephen Dubner. Hey Mark Cuban, how's it going?"
Cuban,"Great, Stephen Dubner, how are you?"
Interviewer,"Great. Nice to talk to you. Congrats on Luka, do we say Doncic? How are we saying his last."
Cuban,Doncic.
Interviewer,"Doncic, yeah."
Cuban,Thank you.
Interviewer,"Congratulations. Yeah, he looks amazing."
Cuban,We hope he is.
Interviewer,"So let me ask you this. You're roughly 60 years old, you grew up in Pittsburgh, which is one of the best sports towns. I'm just curious, in a nutshell, how you think pro sports has changed since you were a kid."
Cuban,"Oh my goodness. That's a big question. It depends on which sport, it depends on what city. Depends on whose perspective. I think in a lot of ways it hasn't changed but in a lot of ways depending on what city you're in, your teams have come and gone, are better or worse. And it just depends on perspective."
Interviewer,"Okay, let's pick a team. Let's pick the Steelers of your childhood and my childhood. Guys like Rocky Bleier and Andy Russell, even Franco, well maybe not quite Franco, but these guys would typically work an off-season job, and they weren't making money to retire on. And now, obviously, the economics are a lot different, but the economics are a lot different on the business side as well. There's just been tremendous, tremendous, tremendous growth and I guess I'm curious, as sport has become such a massive and global business, whether you think that's basically made the product, the games, better, worse, different. How so?"
Cuban,"I mean I think it's made it better because it's an incentive for more people to become professional athletes. For all the stories of athletes working in the summer there's the Whizzer Whites of the world and other athletes who chose not to go into professional sports at all. And so now the money creates enough of incentive. But again, tha, that's just part of the equation. Now there's other issues there's CTE for hockey and football, there's, soccer is much mor,is a much bigger sport in the U.S. than it used to be when I was growing up. It wasn't even a varsity sport when I was in high school. And so a lot of things have changed."
Interviewer,You're best known probably for two things
Cuban,"Oh my goodness. Most of my other sports interests are driven through technology, whether it's Synergy Sports which does cataloging and video of all things basketball. Sports Radar, which is an information service for sports. Unikrn, which is delivery for e-sports. It allows for tokenized betting for e-sports right now. What else? Axon, which does neural development so that athletes can improve their neurological responses to stimuli and their physical responses as a result. Another company that uses virtual reality and like a Wii-like technology to help kids and athletes and professionals improve their dribbling skills and other basketball skills."
Interviewer,"Now, I would say of everything that you just named there if you were to rewind the tape to 40 years ago or 50 years ago when you were a kid, most of those would have been somewhere between unimaginable and not feasible. I mean tha, that's one direction in which sport has just blown up in terms of technology. Again, do you see the technology and we hear all the time about how the data revolution is changing the way the game is played. I'm curious whether it's really having as big an impact as we'd like to think or imagine."
Cuban,"Oh yeah, absolutely. Analytics obviously has helped in terms of team strategy but that's actually become a relatively efficient market because all teams are involved and they're all hiring smart people to do mostly the same things. And then there's bioanalytics, where we're becoming smarter about the body, nutrition, sleep, genetics. There's just so many elements involved with bio analytics that it's a never ending improvement cycle."
Interviewer,"So, in terms of turnarounds, franchise turnarounds, your team, the Mavericks, have been one of the most drastic. When you came in, I guess the nine seasons before you arrived, the Mavs winning percentage is about 40 percent."
Cuban,"Yeah, we were awful."
Interviewer,"And since you've been there, about 70 percent, so that's really remarkable. So we could either say I mean if we're going to try to draw a causal relationship, we could say either Mark Cuban is one of the best owners ever, or he was really lucky to intersect perfectly with Dirk Nowitzki's career, or five, ten other things. Can you just talk about what you did that you think worked, and what are the other factors that led to that success?"
Cuban,"Well, hopefully the two aren't mutually exclusive. I think sometimes when you're dealt a good hand, not screwing it up is a talent. But I think what I did was try to change the culture. Because like any work environment, you can have really really talented people but if they don't like coming to work, or they don't like working together, then you're not going to get optimal results. And so what I came in, the previous owner nickeled and dimed everything, didn't recognize that the players were the key to the organization. We did things like spend more money on computer repair and training than we did on medical issues, and development for our players. And so I just changed that. I just flipped the script and said, look, my job is to provide the resources to put everybody in a position to succeed. And if I do that good things will happen. And so we had Dirk. We had Steve Nash. We had Michael Finley. The same three guys were awful the year before I got there."
Cuban,"The day I bought the team, our record was 9 and 23, and we finished out the season, I think 31 and 19, and won 50 games the next season. So while I certainly didn't hit any jumpers, I think I recognized that there was an opportunity to invest in some great players and make them better at what they do."
Interviewer,What was the mental state of the organization in the building when you came in with that losing record that year?
Cuban,"Get me out of here everybody, it was a way station if you couldn't get a job somewhere else you came to the Mavericks. When players were traded here they just couldn't wait to get out."
Interviewer,"Your last couple seasons, though, have been fairly stinky at least by Mavs standards, so much so that you got a high draft pick this year. So what happened?"
Cuban,"What happened is guys get older. Guys get injured, and so you play it out as long as you can, as best you can and we try to respond and rebuild as quickly as possible. And hopefully this summer with our draft picks and and anybody we sign in free agency, we'll be able to do that and start fighting our way back."
Interviewer,"You've been fined a few times by the N.B.A., most recent one was 600k for talking about that it was essentially in the best interest in the team to lose to get a higher draft pick. I'm just curious. You're worth about 4 billion from what I've seen. Do you care much, I mean is that strategic outspokenness?"
