name,line
Interviewer,"Mark, good to have you with us."
Cuban,"Thanks for having me, Steve."
Interviewer,"You're in the media business, so let's ask a Shakespearean question. Whither media? One question, but you've been involved in so many aspects of it."
Cuban,"It's a great question. Everywhere. I mean, you obviously have lived and breathed the media your entire life. And, you know, as we've become more and more digital, we've evolved to expand from just beyond to Internet to mobile devices. And, you know, it's interesting, because we're have a Renaissance in computing power. Used to be, we got excited about what would happen on a desktop and that created video and other opportunities. We got excited about faster Internet. Now, with mobile devices of all sizes, from phones to iPads and other tablet type devices coming, you know, media isn't about picking up a newspaper at the airport or stopping at the newsstand. It's using whatever device you happen to have with whatever time you happen to have available to you to consume. And I think that's great for media, overall, because it means we're consuming so much more."
Cuban,But it also means that the rules are going to be rewritten every several years as these devices changes and as we understand how we integrate those devices into our lives.
Interviewer,"You've made some observations about how, if something is free, be prepared to die."
Cuban,Yeah.
Interviewer,"And if you're No.1, be prepared to be upendedpreempted, as you put it."
Cuban,"Yes, sir."
Interviewer,Can you explain?
Cuban,"Sure. You know, there's a consciousness that goes with all technology. You know, there's again, going back in history, when I started working with PCs, there was those who used PCs and those were, you know, old-school, and paper-driven. But people paid for software. People paid for content. And then, over time, it evolved to once the Internet hit and the marginal cost of delivery of content in other items was free, because, you know, one more bit in your bandwidth pipe didn't really cost you anything, we started to see people give away content, in particular, for free and there were companies that were built on delivering whatever it is. It could be search results as content. It could be aggregating information, a la Drudge Report or some others. And they made their living based off of advertising around that content."
Cuban,"Well that model's pretty much been played out. At some point, if you're going to originate content, somebody's got to pay the people who are originating it and where we've kind of fallen apart is that end user perception.  consumer perception is, while it's been free, I've been able to find things for free, that's the way it always should be. And websites and other digitally driven companies have tried to take advantage of that, because that's what the consumer wants. But in reality, you know, they haven't been able to come up with the revenues to pay for it. And unless you invent a category, and dominate it, and have some other ways to monetize, you're going to find yourself a victim. I'll give you an example of what I think could be a future catastrophe, if you will. You look at YouTube, right? Now, YouTube."
Interviewer,"YouTube, you think is something of a villain, in terms of live video on the Web, as you said, 10 years, what's to show for it?"
Cuban,"Well, no, it's not so much that they're a villain, I think they've created a misconception. Yeah, they are a villain, you know. In their own way, right, you know."
Interviewer,"You're an entrepreneur, you can get  with that."
Cuban,"I can get away with that, yeah. When you buy a market, right, there's some villainyI don't have the right word, right, but there's going to be a bad guy. And in YouTube's case, they, you know, I've always felt they stole content. You know, and Viacom feels the same way; they've sued them for it. But the, I think the bigger picture now, while they're litigating that in court, is that You Tube has subsidized the bandwidth of the Internet. You know, five years ago, if somebody would've said, Steve, we want to post this video online, the conversation then would've gone to, Well, how much is going to cost us? Where are we going to host it? Where are the servers going to come from? Now,  anybody who wants to post video online, it's presumed to be free."
Cuban,"Well that's good as long as Google's a dominant search engine and as long as the revenues from their primary productsearchare large enough and their profits are large enough to subsidize the ongoing losses at YouTube. If that changes, or if there's an acceleration in the cost to subsidize that, you know, now they say they get 24 gigabits per second of uploads on YouTube. Let's just say it's 240 gigabits and they can't afford it."
Cuban,"All of a sudden, if they pull the chair out of the free perspective of anybody can post video online for free, the entire Internet changes. It's almost like when AT&T put caps on their pricing for wireless just recently, and said, You can't have unlimited bandwidth with your wireless account. You know, 2% of the people consume most of the bandwidth, we need to change that formula. Well, if Google pulls the chair out on free video, the whole perception of what free is on the Internet changes."
Cuban,"How people deal with consuming and uploading and sharing video changes. So, in essence, this whole perspective of the future of video is online and it's a threat to television, really is built upon Google's desire to subsidize all that. And should that change, for whatever business reason, I mean, you obviously are a very astute observer of the business world. It always changes, right? Something always changes, whether it's regulatory, economic or just operationally. Then what's going to happen? And there's no substitute there for free. And I think we'll learn a lot of lessons about how free is never really free. It just sometimes appears to be free."
Interviewer,"So, talking about Google, Google TV, and all of that, you've made the point, they're going into it."
Cuban,Uh-huh.
Interviewer,And you made the example of House.
Cuban,"Right. One of my favorite shows, right."
Interviewer,"And if Google puts up a kids thing, instead of what they perceive as a rival."
Cuban,"Right. Well, yeah, I mean, with Google Television, Google's kind of taken Microsoft's place as the dominant player in the current leading technology, if you will."
Cuban,"You know, it used to be that whatever Microsoft announced, you had to immediately give it credence that it could be a dominant factor in the marketplace until it wasn't. And we've assigned that same position to Google, so now with Google Television coming out, everybody has to give it very strong consideration as a future market leader. But it's a very tenuous position that they're walking into, because people have a perception about how they want to consume television content. And media providers, the content creators and distributors, also have a big stake in the game, in how that content is presented. So, if in Google Television, if you do a search for House, as an example, because it's my favorite show, so it'd be nice, I would probably do it."
Cuban,"And all of a sudden up comes, you know, My House By Susie and Joey when they moved into their house and that's No. 1, you know, the No. 1 listing, because you know, Joey or Susie happens to work at a search engine marketing company and they know how to game the system, well, there's problems, you know? And if you're Fox, or whoever owns the rights to House, you're going to pull out from that Google index, and all of a sudden, what we thought could be a dominant player with Google Television isn't at all, because it doesn't serve the basic needs of consumers. It's not the path of least resistance to finding what you want to watch on television."
Interviewer,"Taking online. How, on advertising, how do you get real revenues from that, when you have networks, exchanges, where they try to commoditize everything?"
Cuban,"You don't. You really, really don't. I mean, it's the unwritten lie. You know, that, well, if I create a website, and I generate enough pageviews or have unique users, then I'll just be able to sell advertising. But the reality is, you know, there's unlimited inventory. Anybody can create it, so there has to be some value proposition, whether in the quality of the content or just sheer, absolute numbers that allow you to generate revenue."
Cuban,"And, you know, I've stated many, many times before on my blog and other places that if you start a business, and it's built around the Web, and you're here to tell me that you want me to invest in the revenue source, is advertising built around pageviews or unique viewers, I don't want any part of it. Because you're, it's unlimited inventory, there's no standards for advertising, whether it's audio or video, and now same with mobile. And I think you're going to have problems. I think you're going to go out of business, unless it's a labor of love."
Interviewer,"So, even if you have unique content, it's, in the old days are old days. A year ago."
Cuban,"Yeah, weeks ago, yeah."
Interviewer,You get a premium for it. You think the squeeze is going to be in the opposite direction?
Cuban,Yeah.
Interviewer,It's just pennies instead of dollars?
Cuban,"Yeah, no question. Just because great content is subjective, obviously. You know, you always hear people talk about the music business, which is the ultimate a la carte business."
Cuban,"All you need is, you know, any type of recording device and a guitar and you can you know, and a video camera, and you can have a hit song, right, if you just put it on YouTube, or you just put it out there, where someone can consume it, and potentially buy it. Well, you know, that's the cost to create video content these days. And so, it may be good, but not only is it hard to create audience for, and hard to sell, but because you're one of an unlimited number of competitors, it's difficult, which, I think, bodes well if we can figure out the right model for traditional media companies, who can continuously invest in good content. Because the other."
Interviewer,"How do you get paid for content? Especially now, we consider, like, bread and butter, it's free."
Cuban,"Right, right, right, right. You know, there's an interesting lesson going on right now, with Facebook and Google. One of the most unique lessons of Facebook is that most of its stuff's not indexed in Google. And it's doing just fine. You know, 500 million unique users, yet you know, Google's, and I don't mean this to sound like, let's just, you know,  step-on-Google interview. But when they're."
Interviewer,Why not?
Cuban,"Yeah, why not, huh? But when they're the dominant player, I mean, just like we used to talk about Microsoft all the time."
Interviewer,Exactly.
Cuban,"But, you know, Google's stated intent is to index all the world's information."
Cuban,"Yet, there's a lot of information created by 500 million users globally on Facebook, that for the most part, unless, you know, unless you specifically said, I want my status updates public, Google can't get to. So that's kind of a crack in the armor. Then you see what's happening with mobile applications, whether it's iPhone with their operating system for iPad and iPhones, or Android, which is owned by Google, for all those other phones. You know, it used to be, if I came to New York, I'd do a search  restaurants, or whatever, get reviews."
Interviewer,Right.
Cuban,"Now they're, like the commercial says, There's an app for that. And that's information that Google no longer has access to. So how does that transition to media? Well, the fear always was if I'm not participating with Google, I'm not going to have access to all those people. That's disappearing. So between Facebook, who generates probably more usage outside of it than maybe even Google for a lot of scenarios, for a lot of content, Twitter, which generates a ton of content. I know my own blog, Twitter generates 90% of the referrals that I get. Google is just a de minimus amount. And so now we're starting to see that there are other sources. And, you know, we're starting to see a greater influx of real-time data being created by media sources as well."
Cuban,"So that not just putting up and posting a blog, but you know, once something kind of happens, to take a step back. We're not in a real-time Web yet because you still have to hit refresh. You've got to go check your mail, you've got to hit F5, you've got to hit the little refresh button on your, the Web page that you're at in order to consume it. And so, you've got to think to do that. But the technology has changed now, so that you can push content out in real time. And Google hasn't mastered that either and they haven't mastered indexing that. So for a media content creator, there's a very unique point in time where you just might say, Look, I can create the apps, I can work with Facebook, I can work with Twitter, I can, you know, work with people who are influencers in Twitter. And that's how I'm going to create an outside the Google world, and potentially start charging for content."
Cuban,"The challenge in doing that isn't getting eyeballs, I don't think. The challenge is in being a path of least resistance. It's not going to be micro payments. No one wants to worry about whether they paid."
Interviewer,"So it's not like Easy Pass, you know, pay 10 cents for this or pay 90 cents for another?"
Cuban,"Because, you know, if you're interested in good content, your time is of some level of value, in trying to determine whether it's worth it to pay a penny or not, just going through the process makes it not worth it. So, there's got to be an, that's why Amazon is so dominant. Your credit card's already there. It's easier just to, I mean, I'm spoiled, I'll order shampoo and shaving cream and everything, and it'll just show up because it's just easier than getting in the car and doing whatever."
Interviewer,"Sort of like cable, you do it once a month, and that's it."
Cuban,"And it's there, yeah. And it's simple, exactly. Great analogy. And I think newspapers have got to put themselves in the same position. That's kind of the chicken and egg right now. I don't think the difficulty's going to be getting people to pay. I think it's in how you get them to pay. And it may well be that like the cable analogy, where it's already bundled, and you pay one bill, and you know, it's cheaper than if you had to do a la carte."
Interviewer,"So instead of maybe a site, you have an app?"
Cuban,"Well, an app is going to be one part of it, but you've got to get people to use the app. But I think you might even glom on to what other people are doing. So, you might say, Amazon, what are you selling? Netflix , would you like to include newspapers as part of it? You know, for an extra $1.00, you get access to these 15 newspapers, then we just pay back the newspapers per turn, just like Netflix does with movies. And so, you go where the credit cards already are. You go where the perceived value is greater than the incremental."
Interviewer,"So it's not content, it's marketing."
Cuban,"It's both, right? But I think you've got to get there, but it's got to be easy. It's got to be the path of least resistance."
Interviewer,"And, so, just to be philosophical for one second, what you see unfolding against the monster Google as the alternatives are coming?"
Cuban,They're here.
Interviewer,They're breaking them up.
Cuban,"Right. And it's really a question of how to package and market, and make it so that it's the path of least resistance. Because Google has always been so fast and so easy, it was the path of least resistance to get to news."
Interviewer,Path of least resistance.
Cuban,That's the difference.
Interviewer,"And you keep emphasizing with things like Facebook or Twitter, enjoy your dominance,  other things are coming along."
Cuban,"No question. You know, we're, mobile is changing everything. You know, we're in a boring stage of the Internet, if you will, where it's a utility. Ten years ago it wasn't a utility. If you put together an application on the Web, there's a very good chance it was going to break. And, you know, five years ago, if you started, you know, when, look at Twitter, it still breaks sometimes."
Cuban,"But for the most part, it works with, you know, tens of millions of users. Facebook with 500 million users, but it's just a scripting language that any 12-year-old kid in high school or junior, middle school, whatever it is, could create the same type of application. But with mobile, it keeps on getting faster and faster and faster and I keep on turning back to history repeating itself. But what we're seeing in mobile is, like, 1985, you know, right after the Mac was introduced, and it was Microsoft vs. Apple . Now, it's Apple with the phone IOS, vs. Android and Google. You know, which applications, you know, which phone with which operating system? You know, if you're developing applications, which operating system do you work for first? You know, and what are the differences in terms of being a developer, in terms of opportunity?"
Cuban,"In terms of the consumer, what kind of phone do you pick? You pick the iPhone? You pick an Android-driven phone? It's really interesting. And to your point, the rules are going to change again and again. And you could see the dominance of the desktop disappear, which you know I've been talking about for years. Steve Jobs recently started talking about it. Steve Ballmer recently started talking about it. I think AT&T saved the in-home Internet connection, because you know, because of their caps. Because if there aren't caps on wireless Internet, do you really need your wired Internet at home? You know, because if you're a traditional user that never uses more than a megabit download at a time, really don't stream a lot of video, cut the cord, right? That's the cord you would cut. But now, because of AT&T's step, and I think it'll be copied by everybody, that kind of saved in-home Internet. And I think that'll save some of the video online that comes into the home. But it's still, things."
Interviewer,So it's not going to go the way of wire lines?
Cuban,"No, it's not going to go the way of lines, but there's a lot of change. I guess the bigger point is, the philosophical side is, the rules are going to be rewritten again because of how we integrate mobile devices into our lives. Not just outside the home, like we use them today, but inside the home as well."
Interviewer,Where's that leave cable?
Cuban,"I think cable's in a good spot, right? Because they're the better packages of television, which I don't think goes away. One of the driving forces that I think people miss all the time is big-screen televisions are the No. 1 consumer device. You know, when I started HDNET in 2001, a 40 inch, you know, plasma that was, you know,  wasn't even 720p, was $12,000."
Interviewer,Right.
Cuban,"Now, on the way over here, I'm reading on, you know, in the back page of one of the newspapers that you can get a 40 inch television for $398, and a 32 inch all hi-def, HDMI, all the fanciest of the fancy, right?"
Cuban,"You know, and so, what are you going to buy? You're not going to buy an old tube television. You're going to, your next TV. So now, you have a digital device on your wall, and I think because cable has connectivity there, all the technology you can use on the Internet, cable can also use with their connectivity to the television. And they have the advantage that their networks are designed to deliver video, where the Internet doesn't have that opportunity, because of things like net neutrality, so I think cable is fine. And it's going to be interesting to see how they integrate those new opportunities with new devices. Comcast not to talk your ear off on all this stuff, but Comcast just came out with a software that works on the iPad that acts as your remote control, acts as a preview device. You know, shows you a TV listing, things you would normally see on the big screen, now you can see on your iPad."
Cuban,"You know, they have ebif, they have a Tru2Way, as platforms, that they're starting to open up a little bit more for interactive television. So it's conceivable that more advances will come on a cable, you know, your TV provider network, than you see on your Internet in the home. I'm not predicting that, but there's a chance."
Interviewer,Wow. You're a great entrepreneur.
Cuban,I try.
Interviewer,"Well, the economy."
Cuban,Uh-huh.
Interviewer,"Washington doesn't seem to recognize, if you don't have entrepreneurs, you don't get innovation ."
Cuban,"Well, I mean, you obviously know, you have been talking about that better than anybody."
Interviewer,"So what's the most alarming trend you see right now, and do you see correctives coming along?"
Cuban,"Well, the most alarming trend is that Congress thinks they know what they're doing, when everybody knows that they don't. And you get a bastardized solution, as a result. And you know, the more pages in the bill past probably 100, the more the law of unintended consequences is waiting, just to kick everybody in the butt, and the whole economy."
Interviewer,Sort of a perverse Moore's Law.
Cuban,"That's exactly right. It's a very perverse Moore's Law. And so, I've always been of the mindset that the American spirit is what sets our country apart from every other country in the world. You know, we're just raised that there's a unique opportunity for any one of us should we decide to take advantage."
