name,line
Interviewer,"Was selling Broadcast.com to Yahoo the smartest business move you've ever made? If not, what was the smartest thing you've ever done in business?"
Cuban,"From a financial standpoint, it obviously is. But I would put teaching myself networking and becoming one of the first local area network integrators and developers in the country up there as my best business decisions."
Interviewer,"While on the topic of Yahoo, give us your assessment of CEO Carol Bartz . Will she still be Yahoo's CEO this time next year?"
Cuban,"No idea. I like Carol. She has the balls to do what is necessary, once they figure out what that is. However, like every mature technology company, they are looking for the next big thing, and it's not easy to find or create."
Interviewer,"You described yourself at the UBS conference in December as an all-around troublemaker. Indeed, you seem to relish the role of antagonist to traditional media, to basketball referees. What is it that you find so gratifying about being a pain in the ass, for lack of a better term, to authority and/or the established way of thinking/doing business?"
Cuban,"I love to challenge conventional wisdom. I'm a big believer that in business and in politics, when everyone is doing the same thing, none are probably as effective or successful as they could be. Typically it's not prudent for people within those industries, parties, or organizations to stand up and challenge the incumbents. It is usually a formula for losing a job, customer, or endorsement. My businesses are usually built around challenging conventional wisdom, so I tend to gain by taking the other side. It's been very profitable and entertaining for me."
Interviewer,"Before your most recent blog posts, you had a quiet spell."
Interviewer,"Twitter has changed the blogging business. Pre-Twitter, if anything was on my mind, a blog post was the only way to go. Now a quick tweet can convey the message in a lot fewer words. So I blog when I have something to say. If not, not."
Interviewer,"In your opinion, which of the traditional media company CEOs is the most tech-savvy?"
Cuban,"This is going to sound crazy, but I think they all are. I don't think there are media companies that are ignorant about technology any longer. It's not like everyone in media companies is 75 years old and out of touch. The Internet has been around a long time now. Those 50-somethings running media companies have been using the Internet and earlier technologies since they were 20-somethings. This shit ain't new no more. The challenge for media companies is to balance hitting earnings-per-share numbers for shareholders or debt holders and finding money to invest in new technologies and create new business opportunities. Sure, they have lost subscribers and advertisers and advertising dollars, but many have managed to hang on, and some have thrived."
Cuban,"Look at your side of the media business. There are far more Internet-based content companies that have gone belly up the last few years than traditional media companies. Did they not get the Internet? Technology? And what does it say when two of the highest profile Internet content sites are Demand Media and Associated Content, neither of which has any desire to offer quality content?"
Interviewer,You recently said that cord-cutting is a way for people to say they want more TV. Can you explain your reasoning?
Cuban,"I always have to crack up when I hear people bragging about how they cut the cord, then they go on to discuss what they watch...all shows that were paid for and branded by virtue of their appearance on a linear TV network. They don't realize that they aren't saying they can live without TV. What they are saying is that they are willing to save money by waiting to watch the same TV shows everyone else is watching. That isn't anything new. That is the whole reason windows for content licensing exist. You can get any content for less just by waiting."
Cuban,Maybe they can save even more money by waiting another year and renting the same shows from Amazon or buying the discount bin instead of paying Netflix.
Cuban,"How long is it before the complaints of I don't watch 19,900 of Netflix's shows and movies, why should I pay $8.95 per month? I only want to pay for what I watch!"
Interviewer,"Continuing with that thought, what do you think Comcast ultimately does with Hulu, the popular video-sharing site?"
Cuban,I think it stays alive to serve the purpose it has been serving all along
Interviewer,"You own the Dallas Mavericks NBA franchise, and you've been involved in the bidding for the NHL's Pittsburgh Penguins and MLB's Chicago Cubs, as well an investor in the nascent UFL. Are you just the typical free-spending billionaire sports fanatic or do you see a value proposition in owning sports franchises?"
