name,line
Interviewer,"Mark, I appreciate you being here. I want to get your reaction to this report as it came out."
Interviewer,"First, just an apology to the women involved. The women that in a couple cases were assaulted and not just to them, but their families, because this is not something that just is an incident and then it's over it stays with people, it stays with families, and I'm just sorry I didn't see it. I'm just sorry I didn't recognize it. And I just hope that out of this, you know, we'll be better, and we can avoid it, and we can help make everybody just smarter about the whole thing."
Interviewer,"You run an NBA franchise where you've talked a lot publicly about how you know everything that goes on there. You did know of a few of these isolated incidents. But even the best case scenario of you not knowing, the best version of it is that women in your office felt unsafe coming to work, that they made official complaints to human resources, that they were threatened, they were not promoted. If you just didn't know any of this, how do you explain that?"
Cuban,"I mean, I didn't know, and I don't have an explanation. You know I can give you lots of reasons, but they don't matter. It was my responsibility, and I have to be accountable for it."
Cuban,EDITOR'S PICKS.
Cuban,Cuban to pay $10M after probe; 'made a mistake'.
Cuban,3y.
Interviewer,"I think it's hard for some people to reconcile because you are respected as a smart businessman. You have a television show, and your billing on that television show is that you're a great businessman. So how do you match that up with what you're telling me here?"
Cuban,"In hindsight, it was staring me right in the face, and I missed it. I wasn't as focused on the business as I should've been. You know when I talk about being actively involved, I could tell you every salary of everybody, every NBA player over the last 15 years. I would talk to Rick and our coaches over the years, and be there at practices, and be there on the basketball side, day in day out live it. If I was in our business office five times in 15 years, that was a lot, you know. It's embarrassing to say. There were people who I just hadn't met and hadn't talked to."
Interviewer,"There are a lot of emails of you asking about ticket sales and marketing, so there are business-side functions you were very involved in."
Cuban,No question. It all ties back to the basketball
Interviewer,"I want talk about the CEO, who is one of the large focuses of this investigation the dozen or so women who were victimized by Terdema Ussery. He was the man who was the Mavs' CEO for 15 of the 18 years that you owned the team. And I want to read off some of this"
Cuban,I didn't know that.
Interviewer,How do you not know that when you buy the team? It was in the newspapers. It was on the radio.
Cuban,"Yeah, I mean, I literally did not know it. This was in 1998, and I was running Broadcast.com, which I was sleeping and breathing. I was a season-ticket holder and went to games, but I had no idea. From the time I talked to Ross Perot to the time I bought the team in January of 2000 was less than six weeks. Should I have done due diligence? Should they have disclosed it? Yes. You know, it was just this was a dream come true. And you know, should I have interviewed Terdema to make sure he'd be a good CEO and there weren't issues? Yeah. And I didn't. I was just excited to buy the Mavs. It just never dawned on me that within my own company, within the Mavericks, that no one would reach out to me."
Interviewer,"But do you understand why? With this public presence you projected as being this tough boss, and then also with him being kept in that position for so long?"
Cuban,"Look, we did a lot of things wrong. And I wasn't there to oversee him. And so, yeah, everybody has every reason to question me. But I just wasn't there. And that was my fault."
Cuban,play.
Cuban,0:41.
Cuban,Cuban apologizes to woman affected by employees' behaviorOwner Mark Cuban issues an apology to the women who were subjected to physical abuse and sexual harassment by Mavericks employees.
Interviewer,"When you read through the report and you really read the details of things that you hadn't known about before, what stood out to you as the most difficult? Of what people had to go through?"
Cuban,"Just the pain that they had to go through, at my company. It was the same way I felt when I stood in front of Mavs employees for the first time, after this came out. And I apologized to them. Never in my wildest dreams did I think this was happening right underneath me. The pain that people went through, the pain that people shared with me as this happened, the tears that I saw it just, it hurt. And the way I felt is nothing compared to the way they felt. I have to recognize I made a mistake, learn from it and then try to fix it."
Interviewer,"Was there a person who talked to you, or sat across from you or someone who you've read about, that it stuck with you?"
Cuban,"It was just the looks on people's faces when I was sitting when I first met with Mavs employees after this happened and I didn't know how bad an actor Terdema was. And so I didn't know the degrees of everything. But I could just see it in everybody's face. And these are people that I barely knew, which is just bad enough that it just tore me apart. I mean, there's no other way to explain it."
Interviewer,"The Sports Illustrated article comes out. You're quoted right away. You said, this stuff isn't acceptable. This matters to me. Also though, investigators found that through an intermediary, you reached out to Terdema Ussery. And the message you had passed along to him is don't worry I won't throw you under the bus."
Cuban,"Well, context matters."
Interviewer,That's why I'm asking about it.
Cuban,"Right, so when it first happened, like I said, I had no idea how bad it was. I talked to two people who I asked to go to Terdema's former assistant, and I said, Look, pending everything that happens with the investigation, I don't want to get in a PR shouting match. And it wasn't like we were trying to hide anything, because I told investigators that I did it, you know."
Interviewer,You can understand how that sentence doesn't sit well when you read it on a piece of paper.
Cuban,"I know. I understand that completely. But again, that's why I was very forthright when the investigators I volunteered that to them. It wasn't about them asking me."
Interviewer,One of the other employees that I know  talked to you about is Chris Hyde. He was a high-ranking ticket sales official within the company. And again I'm just going to read this so I get it right
Cuban,"Yeah, I didn't know about that."
Interviewer,"You were notified about the pornography on his computer. In 2008, there was an email trail for that. And you wrote him an email saying, Hey, you better stop this or I'll fire you."
Cuban,Yes. On the spot. Right.
Interviewer,Did you ever follow up to see if he had stopped it?
Cuban,"Well, I got reports back saying he was on probation and that he was being dealt with. So I just assumed it was being dealt with. I didn't have any reason to think otherwise."
Interviewer,"So three years after that, after that email exchange with Hyde, one day he left the office for a two-hour lunch and, again, I'm going to just read this to get the details right"
Cuban,"Obviously, that's a huge mistake on my part. I was under the impression that the first issue with pornography was resolved, and obviously wasn't. And I also said if anything happens again, he's fired."
Interviewer,Wouldn't this qualify?
Cuban,"Well, that was three years earlier, and I hadn't had any follow-up. From my perspective, there were no other issues. But, again, in hindsight, it was stupid on my part."
Interviewer,"I mean, when you read it in black and white, and I say it sitting here across the table and say it for you..."
Cuban,"No, it's ridiculous. I messed up. I should have just fired him on the spot. It was a huge mistake. There's no way to downplay it, and if someone showed me this from another company and asked me to read it, I would say you can't make a bigger mistake, because that destroys the whole culture of your organization. And every time I go talk to people about business, I talk about culture. I don't have any excuses. I'm not trying to justify it. It's just I made a bad mistake, and it's not the only one I've said that I made."
Cuban,play.
Cuban,0:56.
Cuban,Cuban emotional over findings of investigationMark Cuban is emotional discussing the hardest part of reading the report investigating abuse and harassment toward female Mavericks employees.
Interviewer,"I do want to ask you about Earl Sneed, who you just mentioned. And frankly this is the one I have to tell you, Mark. I've known you for years and years, and when I read what happened here, I can't put together how the person I know and I've talked to for a long time OK'd a lot of this stuff. And for people who aren't familiar, Sneed was the team beat writer for the Mavericks' team website."
Cuban,One of them.
Interviewer,"And he was arrested outside the office, right at work, for beating his fiancée so badly he left her visibly bruised and with a broken wrist. She went to the hospital for it. He pled guilty to that in court. And you not only didn't fire him, you offered to pay his legal expenses."
Cuban,"Well, no... OK, that's not from my the information I had was just coming from Earl."
Interviewer,"His fiancée emailed you directly also, though, according to the investigation."
Cuban,"Right, the information I had, though, came, you know... I sent it back to H.R. And then the information I got was from Earl. And again, one to multiple mistakes applies here"
Interviewer,"There was a second incident though. He then started actually dating a fellow co-worker. And because you guys hadn't even suspended him or anything, the women in the office didn't know that he was someone who had beaten up his fiancée and who had broken her bones. And the other Mavericks employee... he got violent with her. She came to work the next day with visible bruises and swelling in her chest and face and arms. And she said she didn't feel safe in the office. And again, you guys didn't fire him. And this is where I break down again on why."
