name,line
Interviewer,Welcome to the real shark tank.
Cuban,There you go (laughs).
Interviewer,"That's well said, Skip. This is the shark tank and we want to start by finding out what is your, you may have more than one, but what's your biggest issue with Skip?"
Cuban,"It's not just Skip. Its sportswriters and sports media in general, where everything is generalities, right? ""Excruciating pressure"", what the hell is that, right? You know, ""need leader""."
Interviewer,It was excruciating pressure....
Cuban,Meaning what?
Interviewer,"Meaning that you personally watched up close and personally what Lebron went through against your Dallas Mavericks, and was it not the biggest collapse of a superstar we've ever witnessed on a finals or championship stage?"
Cuban,"No, I mean first of all its a team game. Right? You guys like to talk in complete generalities where no one can question you, right? You don't ever use facts, you don't ever use substance."
Interviewer,I don't ever use facts? That's all I use on this show.
Cuban,"""Excruciating pressure""? ""Undeniable"" this, it's just all generalities."
Interviewer,There's never been a star under more pressure going into a finals or championship series or game than Lebron James is under after nine years and three league MVPs.
Cuban,"First of all, you have a presumption that people care what you say. They don't. When guys."
Interviewer,That's fine. That's your opinion.
Cuban,"No, no, I'm talking about media in general. When guys get ready to play and they're in the locker room, they're not thinking ok well what's written, what's going to be written, what's being said, I mean, they're getting prepared. And if you've got a good coach and you've got a good culture, then guys are ready to play no matter what,like you guys were just talking about, you know, ""Miami just wanted more last night,"" that is just such horse-you-know-what, right. It's not that Okalhoma City didn't want it more, I think Miami was better prepared to play the game than Oklahoma City in terms of adjustments and changes, and now if you want to talk about double-teams and how they were used and whtether they should have played zone, um, what defensive structure was in place, that's a valid conversation. But just saying ""they wanted it more,"" that's ridiculous."
Interviewer,Ok.
Cuban,"When you're Kevin Durant, or yo'ure, uh, Derek Fisher, and you're Russell Westbrook, etc, and you're at that close out game, there's nobody who wants it more. It's just a question of who executes better and then you decide why."
Interviewer,"Who played harder? in the last games. Miami did, every game.. Lebron played harder than Kevin Durant did four straight games."
Cuban,"That is the most ridiculous thing any sportswriter has ever said. Now, if you think when Kevin Durant walked off the court he thought, yeah, I didn't play quite hard enough, right? Now you can say he wasn't put in a position to succeed, you can say they didn't run the right plays, they didn't get the ball to him on the block enough. And if you were smart you'd come out and you'd have substance. You'd say you know what, this is how many plays they ran to him on the block. Here's how Miami defended it. Now you can also argue the Pat Riley way is always the same way, all the time. Miami played it the same way all the time, and then we can have a discussion about adjustments. like last year, did we play harder than the Heat, is that what you think it was?"
