name,line
Interviewer,On whether he takes his success for granted.
Cuban,"Every day, I look in the mirror and I just make sure I don't pinch myself so I don't wake up."
Interviewer,On his success after selling tech company MicroSolutions.
Cuban,"I literally retired at 29 with a lifetime pass on American Airlines, and my goal was to party with as many people as possible."
Interviewer,On becoming an entrepreneur after getting fired from two jobs.
Cuban,"Those back-to-back experiences confirmed what I already knew, that I was a (bad) employee."
Interviewer,On the fact that his purchase of a G5 airplane was the largest known online purchase.
Cuban,"It was $41 million for an airplane. I can tell you without hesitation, it is really good to be able to do that."
Interviewer,On owning the Mavericks.
Cuban,Everybody thinks that we are in the basketball business. It's an NBA game; we're not in the basketball business. We're in the business of creating unique experiences.
Interviewer,On his relationship with former NBA Commissioner David Stern.
Cuban,"We get along great. And the few things we didn't agree on, he had the authority to fine me on."
Interviewer,On whether or not he will vote to oust Clippers owner Donald Sterling.
Cuban,"You'll find out. I know how I'm going to vote, but I'm not ready to comment on it."
Interviewer,On how to keep bigotry out of the NBA.
Cuban,You don't. There's no law against stupid.
Interviewer,On stupidity in general.
Cuban,"I'm the one guy who says don't force the stupid people to be quiet, I want to know who the morons are."
Interviewer,On bigotry in general.
Cuban,"I know I'm prejudiced and I know I'm bigoted in a lot of different ways. If I see a black kid in a hoodie on my side of the street, I'll move to the other side of the street. If I see a white guy with a shaved head and tattoos, I'll move back to the other side of the street. None of us have pure thoughts; we all live in glass houses."
Interviewer,On how to fix the national economy.
Cuban,"Until you fix the student loan bubble, we don't have a chance. Everything else is shifting lawn chairs on the deck of the Titanic."
Interviewer,On the TV show Shark Tank.
Cuban,Shark Tank sends a message to everybody that the American dream is alive.
Interviewer,On the companies he's funded on Shark Tank.
Cuban,They're all my babies.
Interviewer,On why he still works.
Cuban,I love to compete. Somebody out there is competing with me and I want to kick your.
