name,line
Interviewer,The following is a conversation with jack dorsey co-founder and ceo of twitter and founder and ceo of square.
Dorsey,Given the happenings at the time related to twitter leadership and the very limited time we had we decided to focus.
Interviewer,This conversation on square and some broader philosophical topics and to save an in-depth conversation on engineering.
Dorsey,At ai and twitter for second appearance in this podcast this conversation was recorded before the outbreak of the.
Interviewer,Pandemic for everyone feeling the medical psychological and financial burden of this crisis.
Dorsey,I'm sending love your way stay strong we're in this together we'll beat this thing as an aside let me.
Interviewer,Mention the jack moved 1 billion dollars square equity which is 28% of his wealth to form an organization that funds kovin.
Dorsey,19 relief first as andrew yang tweeted this is a spectacular commitment and second it is amazing that it operates.
Interviewer,Transparently by posting all its donations to a single google doc to me true transparency is simple and this is.
Dorsey,As simple as it gets this is the artificial intelligence podcast if you enjoy it subscribe on youtube review it.
Interviewer,With five stars an apple podcast supported on patreon or simply connect with me on twitter and lex friedman.
Dorsey,Spelled fri d ma n as usual i'll do a few minutes of as now and never any ads in the middle that can break the flow of.
Interviewer,The conversation i hope that works for you and doesn't hurt the listening experience this show is presented by.
Dorsey,Masterclass sign up on master class comm slash flex to get a discount and to support this podcast when i first heard.
Interviewer,About masterclass i thought it was too good to be true for $180 a year you get an all-access pass to watch courses from.
Dorsey,To list some of my favorites chris hadfield on space exploration neil degrasse tyson and scientific thinking.
Interviewer,Communication will write creator of sim city and sims both one of my favorite games on game design jane goodall on.
Dorsey,Conservation carlos santana on guitar on my favorite guitar players gary kasparov on chess daniel negreanu on poker and.
Interviewer,Many many more chris hadfield explaining caracas work and the experience of being.
Dorsey,Launched into space alone is worth the money for me the key is to not be overwhelmed by the abundance of choice.
Interviewer,Pick three courses you want to complete watch each all the way through it's not that long but it's an experience that.
Dorsey,Will stick with you for a long time it's easily worth the money you can watch it on basically any device once again sign.
Interviewer,Up on master class comm / lex to get a discount and to support the spot cast and now here's my conversation with jack.
Dorsey,Dorsey you've been on several podcasts joe rogan sam harris rich roll others excellent conversations but i think.
Interviewer,There's several topics that you didn't talk about that i think of fascinating that i love to talk to you about sort of.
Dorsey,Machine learning artificial intelligence both the the narrow kind and the general kind and engineering at scale so there's.
Interviewer,A lot of incredible engineering going on the year part of crypto cryptocurrency a blockchain ubi all kinds of.
Dorsey,Philosophical questions maybe we'll get to while life and death and meaning and beauty so you're involved in building.
Interviewer,Some of the biggest network systems in the world sort of trillions and interactions a day the cool thing about.
Dorsey,That is the infrastructure the engineering scale you started as a programmer with c by building yeah so.
Interviewer,I'm a hacker i'm not really an engineer not not a legit software engineer and i'm a tracker at heart but to achieve.
Dorsey,Scale you have to do some unfortunately legit large-scale engineering so how do you make that magic happen hire people.
Interviewer,That i can learn from number one i mean i'm a hacker in the sense that i you know my approach has always been do.
Dorsey,Whatever it takes to make it work so that i can see and feel the thing and then learn what needs to come next and.
Interviewer,Oftentimes what needs to come next is a matter of being able to bring it to more people which is scale and there's a lot.
Dorsey,Of great people out there that either have experience or are extremely fast learners.
Interviewer,That we've been lucky enough to find and with for four years but i think a lot of it we benefit a ton from the open source.
Dorsey,Community and just all the learnings there that are laid bare in the open all the mistakes all the success all the.
Interviewer,Problems it's a very slow-moving process usually open source but it's very deliberate and you get to see because of.
Dorsey,The the pace you get to see what it takes to really build something meaningful so i learned most most of.
Interviewer,Everything i learned about hacking and programming and engineering has been due to open source and and the the.
Dorsey,Generosity that people have given to give up their time sacrificer time without any expectation in return other.
Interviewer,Than being a part of something much larger than themselves yeah just great open-source movement is amazing but if.
Dorsey,You just look at the scale like square has to take care of is this a fundamentally a software problem or.
Interviewer,Hardware problem you mentioned hiring a bunch of people but said it's not maybe from our perspective not often talked.
Dorsey,About how incredible that is to sort of have a system that doesn't go down often that secure is able to take care of all.
Interviewer,These transactions like maybe i'm i'm also a hacker at heart and it's incredible to me that that kind of scale.
Dorsey,Could be achieved is there some insight some lessons some interesting tidbits that you can say about how to make that.
Interviewer,Scale happen is it the hardware fundamentally challenge is it a software challenge is it like is it a social.
Dorsey,Challenge of building large teams of engineers that work together that kind of thing that quotes is there what's the.
Interviewer,Interesting challenges there by the way you're the best russ hacker i've ever met i think thank you both if the.
Dorsey,Enumeration you just went through i don't think there's one you have to kind of focus on all and the ability to focus.
Interviewer,On all that really comes down to how you these problems and whether you can break them down into parts that you can focus.
Dorsey,On because i think the biggest mistake is trying to solve or address too many at once or not going deep enough with.
Interviewer,The questions or not being critical of the answers you find or not form not taking the time to form credible.
Dorsey,Hypotheses that you can actually test and you can see the result of so all of those fall in the face of ultimately.
Interviewer,Critical thinking skills problem-solving skills and if there's one skill i want to improve every day it's that that's.
Dorsey,That's what contributes to learning and the only way we can evolve any of these things is learning what is currently.
Interviewer,Doing and and how to take it to the next the next step and questioning assumptions the first principle is kind.
Dorsey,Of thinking it seems like the fundamentals this whole process yeah but if you get to overextend it into well.
Interviewer,This is a hardware issue you miss all the software solutions and you know vice versa if you focus too much on the.
Dorsey,Software there are hardware solutions that can 10x the thing so i i try to resist the categories of thinking and.
Interviewer,Look for the underlying systems that make all these things work but those only emerge when you have a skill around.
Dorsey,Creative creative thinking problem-solving and being able to ask critical questions and having the.
Interviewer,Patience to like go deep so one of the amazing things if you look at the mission of square is to increase.
Dorsey,People's access to the economy maybe maybe you can correct me if i'm wrong that's from my perspective so from the.
Interviewer,Perspective of merchants peer-to-peer payments even crypto cryptocurrency digital cryptocurrency what do you see.
Dorsey,As the major ways our society can increase but this patient in the economy so if we look at.
Interviewer,Today in the next 10 years next 20 years you going to africa maybe in africa and all kinds of other places outside in.
Dorsey,North america if there was one word that i think represents what we're trying to do at square it's it is that word access.
Interviewer,One of the things we found is that we weren't expecting this at all when we started we thought were just building a.
Dorsey,A piece of hardware to enable people to plug it into their phone and swipe credit card and then as we talked with.
Interviewer,People who actually tried to accept credit cards in the past we found a consistent theme which many of them.
Dorsey,Weren't even enabled and enabled but allowed to process credit cards and we dug a little bit deeper again asking.
Interviewer,That question and we found that a lot of them would go to banks or these merchants acquirers and waiting for them.
Dorsey,Was a credit check and looking at a fico score and many of the businesses that we talked to and many small businesses they.
Interviewer,Don't have good credit or a credit history they're entrepreneurs were just getting started.
Dorsey,Taking a lot of personal risk financial risk and it just felt ridiculous to us that for for for the for the job of.
Interviewer,Being able to accept money from people you had to get your credit checked and as we dug deeper we realized that that.
Dorsey,Wasn't the intention of the financial industry but it's the only tool they had available to them to understand.
Interviewer,Authenticity intent predictor of future behavior so that's the first thing we actually looked at and that's where the.
Dorsey,You know we built the hardware but the software really came in terms of risk modeling and that's when we started down.
Interviewer,The path that eventually leads to ai we started with a very strong data science discipline because we knew that our.
Dorsey,Business was not necessarily about making hardware it was more about enabling more people to come into the.
Interviewer,System so the fundamental challenge there is so to enable more people to come into the system you have to lower.
