name,line
Interviewer,What worries you right now?
Dorsey,You've been very open.
Interviewer,about lots of issues on Twitter.
Dorsey,What would be your top worry.
Interviewer,about where things are right now?
Dorsey,Right now.
Interviewer,the health of the conversation.
Dorsey,"So, our purpose is to serve."
Interviewer,the public conversation.
Dorsey,and we have seen.
Interviewer,a number of attacks on it.
Dorsey,"We've seen abuse, we've seen harassment."
Interviewer,we've seen manipulation.
Dorsey,"automation, human coordination."
Interviewer,misinformation.
Dorsey,So these are all dynamics.
Interviewer,that we were not expecting.
Dorsey,13 years ago when we were.
Interviewer,starting the company.
Dorsey,But we do now see them at scale.
Interviewer,and what worries me most.
Dorsey,is just our ability to address it.
Interviewer,in a systemic way that is scalable.
Dorsey,that has a rigorous understanding.
Interviewer,of how we're taking action.
Dorsey,a transparent understanding.
Interviewer,of how we're taking action.
Dorsey,and a rigorous appeals process.
Interviewer,for when we're wrong.
Dorsey,because we will be wrong.
Interviewer,Whitney Pennington Rodgers:.
Dorsey,I'm really glad to hear.
Interviewer,that that's something that concerns you.
Dorsey,because I think there's been.
Interviewer,a lot written about people.
Dorsey,who feel they've been abused.
Interviewer,and harassed on Twitter.
Dorsey,and I think no one more so.
Interviewer,than women and women of color.
Dorsey,and black women.
Interviewer,And there's been data that's come out.
Dorsey,Amnesty International put out.
Interviewer,a report a few months ago.
Dorsey,where they showed that a subset.
Interviewer,of active black female Twitter users.
Dorsey,"were receiving, on average."
Interviewer,one in 10 of their tweets.
Dorsey,were some form of harassment.
Interviewer,And so when you think about health.
Dorsey,for the community on Twitter.
Interviewer,I'm interested to hear.
Dorsey,health for everyone.
Interviewer,but specificalHow are you looking.
Dorsey,to make Twitter a safe space.
Interviewer,"for that subset, for women."
Dorsey,for women of color and black women?
Interviewer,Yeah.
Dorsey,So it's a pretty terrible situation.
Interviewer,when you're coming to a service.
Dorsey,"that, ideally, you want to learn."
Interviewer,something about the world.
Dorsey,and you spend the majority of your time.
Interviewer,"reporting abuse, receiving abuse."
Dorsey,receiving harassment.
Interviewer,So what we're looking most deeply at.
Dorsey,is just the incentives.
Interviewer,that the platform naturally provides.
Dorsey,and the service provides.
Interviewer,"Right now, the dynamic of the system."
Dorsey,makes it super-easy to harass.
Interviewer,and to abuse others through the service.
Dorsey,"and unfortunately, the majority."
Interviewer,of our system in the past.
Dorsey,worked entirely based on people.
Interviewer,reporting harassment and abuse.
Dorsey,So about midway last year.
Interviewer,we decided that we were going to apply.
Dorsey,a lot more machine learning.
Interviewer,a lot more deep learning to the problem.
Dorsey,and try to be a lot more proactive.
Interviewer,around where abuse is happening.
Dorsey,so that we can take the burden.
Interviewer,off the victim completely.
Dorsey,And we've made some progress recently.
Interviewer,About 38 percent of abusive tweets.
Dorsey,are now proactively identified.
Interviewer,by machine learning algorithms.
Dorsey,so that people don't actually.
Interviewer,have to report them.
Dorsey,But those that are identified.
Interviewer,are still reviewed by humans.
Dorsey,so we do not take down content or accounts.
Interviewer,without a human actually reviewing it.
Dorsey,But that was from zero percent.
Interviewer,just a year ago.
Dorsey,"So that meant, at that zero percent."
Interviewer,every single person who received abuse.
Dorsey,had to actually report it.
Interviewer,which was a lot of work for them.
Dorsey,a lot of work for us.
Interviewer,and just ultimately unfair.
Dorsey,The other thing that we're doing.
Interviewer,"is making sure that we, as a company."
Dorsey,have representation of all the communities.
Interviewer,that we're trying to serve.
Dorsey,We can't build a business.
Interviewer,that is successful.
Dorsey,unless we have a diversity.
Interviewer,of perspective inside of our walls.
Dorsey,that actually feel these issues.
Interviewer,every single day.
Dorsey,And that's not just with the team.
Interviewer,that's doing the work.
Dorsey,it's also within our leadership as well.
Interviewer,So we need to continue to build empathy.
Dorsey,for what people are experiencing.
Interviewer,and give them better tools to act on it.
Dorsey,and also give our customers.
Interviewer,a much better and easier approach.
Dorsey,to handle some of the things.
Interviewer,that they're seeing.
Dorsey,So a lot of what we're doing.
Interviewer,is around technology.
Dorsey,but we're also looking at.
Interviewer,the incentives on the service:.
Dorsey,What does Twitter incentivize you to do.
Interviewer,when you first open it up?
Dorsey,And in the past.
Interviewer,it's incented a lot of outrage.
Dorsey,it's incented a lot of mob behavior.
Interviewer,it's incented a lot of group harassment.
Dorsey,And we have to look a lot deeper.
Interviewer,at some of the fundamentals.
Dorsey,of what the service is doing.
Interviewer,to make the bigger shifts.
Dorsey,We can make a bunch of small shifts.
Interviewer,"around technology, as I just described."
Dorsey,"but ultimately, we have to look deeply."
Interviewer,at the dynamics in the network itself.
Dorsey,and that's what we're doing.
Interviewer,But what's your sense.
Dorsey,what is the kind of thing.
Interviewer,that you might be able to change.
Dorsey,that would actually.
Interviewer,fundamentally shift behavior?
Dorsey,"Well, one of the things."
Interviewer,we started the service.
Dorsey,with this concept of following an account.
Interviewer,as an example.
Dorsey,and I don't believe that's why.
Interviewer,people actually come to Twitter.
Dorsey,I believe Twitter is best.
Interviewer,as an interest-based network.
Dorsey,People come with a particular interest.
Interviewer,They have to do a ton of work.
Dorsey,to find and follow the related accounts.
Interviewer,around those interests.
Dorsey,What we could do instead.
Interviewer,is allow you to follow an interest.
Dorsey,"follow a hashtag, follow a trend."
Interviewer,follow a community.
Dorsey,which gives us the opportunity.
Interviewer,to show all of the accounts.
Dorsey,"all the topics, all the moments."
Interviewer,all the hashtags.
Dorsey,that are associated with that.
Interviewer,particular topic and interest.
Dorsey,which really opens up.
Interviewer,the perspective that you see.
Dorsey,But that is a huge fundamental shift.
Interviewer,to bias the entire network.
Dorsey,away from just an account bias.
Interviewer,towards a topics and interest bias.
Dorsey,Because isn't it the case.
Interviewer,that one reason why you have.
Dorsey,so much content on there.
Interviewer,is a result of putting millions.
Dorsey,of people around the world.
Interviewer,in this kind of gladiatorial.
Dorsey,contest with each other.
Interviewer,"for followers, for attention?"
Dorsey,"Like, from the point of view."
Interviewer,of people who just read Twitter.
Dorsey,that's not an issue.
Interviewer,but for the people who actually create it.
Dorsey,everyone's out there saying.
Interviewer,"You know, I wish I had."
Dorsey,"a few more 'likes,' followers, retweets."
