name,line
Interviewer,So the format for today will be i'm gonna be doing a short interview with mr. Dorsey before we then open it up to.
Dorsey,Your questions from the floor so my first question is one that I asked you just ten minutes ago before I.
Interviewer,Realized i don't want you to answer what is the best thing about your job probably the best thing about my job is.
Dorsey,Just being able to see like the feeling you get when you are when you help create something and you actually see.
Interviewer,People interact with it and you see people use it whether it be you know in my case a program or a piece of hardware.
Dorsey,Or art when you actually see it on someone else's face and you and you see that interaction it's just uh it feels.
Interviewer,Electric so being able to to see people use our technologies and and to see our customers has been really something my.
Dorsey,Favorite is always when my my mom independently discovers something that I didn't have to tell her about and and.
Interviewer,There are two moments when the first thing is my parents were some of the first people on Twitter and we started.
Dorsey,With sms and my mom thought it was the it was the way to contact me and my family like she thought Twitter was SMS.
Interviewer,And she thought it was a private channel so she would and you can now search back to all of her first tweets and it's at.
Dorsey,Marsha dorsey you can search back to all of her first tweets and she was actually like yelling at my brothers and Jack.
Interviewer,When he coming home and all these other things and then she realized oh wait a minute this is public and then the.
Dorsey,Second time with with square is she her favorite coffee store and st. Louis Missouri some coffee started using us.
Interviewer,And she she went in and she she texted me she's like Jaka you know my favorite coffee store just.
Dorsey,Started using square and like i love when people just happen upon it rather than having to direct from my head go.
Interviewer,Look at what i made go look at what they did especially you know someone someone like my mom so it's always uh that's.
Dorsey,Probably the best part of the day is seeing how people seeing how people use it okay and with regards to kind of your.
Interviewer,Early career i read somewhere that one of the main inspirations for Twitter was um.
Dorsey,Taxi systems and how they have very short you know messages to convey where they are is that true yeah yeah I really.
Interviewer,Missed the boat on creating goober but i was a huge huge into dispatch and the reason why is and playing again back to.
Dorsey,My parents my parents i'm from st. louis Missouri st. Louis Missouri how many of you have been there st. Louis so st..
Interviewer,Louis has has had a has had a tough history and so in the 40s 50s and 60s a lot of people left the city and moved.
Dorsey,Out to the suburbs and my parents are always stood by the city and the metropolitan area is about 4 million.
Interviewer,"People and the city has dwindled down to about 350,000 people and it's extremely segregated North and South lines its."
Dorsey,Highest highest homicide per capita in the country we switch with Detroit and DC does those three usually but my.
Interviewer,Parents they grew up in the city they loved the city and you know for me it developed this obsession and fascination.
Dorsey,With cities as well and the way that really manifested for me for maps I was just obsessed with with maps and I would.
Interviewer,Get lost and i'm constantly just wondering what was happening at this particular intersection or what was you.
Dorsey,Know down the street whatnot and i had tons of maps of st. Louis and tons of maps of my other favorite city they had.
Interviewer,Never been to which is new york city my parents also had a police scanner always in a CB radio so we lived right next to.
Dorsey,The highway and I would always listen to the trucks and the and the police and fire trucks and.
Interviewer,The ambulances and eventually my parents got a IBM PC jr. and a Macintosh and I would actually take the information from.
Dorsey,The police scanner and plot it out on my paper maps I could actually watch the police cars move because there is.
Interviewer,Reporting where they are and where they're going or what they're doing but little by little the computer became.
Dorsey,This thing that was uh was amazing because they could actually build a map on it and I can make those I could put.
Interviewer,Dots on that map and i can make those dots move and I taught myself just enough programming to make that happen.
Dorsey,And and that's always been my approach in my life as I've never really had a desire to become an engineer I never had.
Interviewer,A desire to become a ceo or start a company or be an entrepreneur I learned whatever it took to move me to the next.
Dorsey,Step to unblock whatever i wanted to do and for me I wanted to see the city in any way and the computer was was the way.
Interviewer,To get there so taught myself had a program in C and eventually I had these maps of police cars and ambulances that.
Dorsey,Were riding around st. louis all from the police scanner and then I little by little found public databases that were.
Interviewer,Accessible on the internet of of historical movements that I could program in and then I learned to when I.
Dorsey,Was about 17 or 18 that this whole thing I was doing had a name and it was called dispatch so I found the biggest ditz.
Interviewer,Dispatch firm in the world which just happened to be in New York City and it was called DMS and I found I found their.
Dorsey,Website but they had no contact information no way to get in so I was pretty good at computers at this time.
Interviewer,And st. louis had a pretty strong underground hacking culture and I learned a lot from it and I figured out.
Dorsey,A hole in their website and i found their corporate email list and found the name of the CEO and the email.
Interviewer,Of the ceo and the chairman and they sent too many mails saying your website has a hole in it here's how you fix it.
Dorsey,And by the way i write dispatch software and they flew me out and I I joined EMS and suddenly I was working on dispatch.
Interviewer,For all of new york city which was amazing because the thing about dispatch for me is you could actually see how the.
Dorsey,City is working living breathing how it moves but unfortunately in that case was from a very vertical standpoint in terms.
Interviewer,Of city services and and twitter really was born out of a desire to see it from a personal level if if an individual.
Dorsey,Could report what they're doing and where they're going and what they're doing next and we could see that all in.
Interviewer,Real time what would that look like and so yeah in my my uh what's my fascination and and career really.
Dorsey,Started in dispatch was just high transactional always available low latency systems over deep deep deep deep.
Interviewer,And in the background in many places that people just didn't consider Asiya and with regards to Twitter when you set.
Dorsey,It up alongside you know the other co-founders did you have any idea where did he want it to get where do you think.
Interviewer,It might go were you hoping it would end up we are I mean we didn't really have any any idea and and that's not why we.
Dorsey,Were building it we were building it because we wanted to it was it was fun and and it was something that we we.
Interviewer,Wanted to see and i had my dispatch background and I've had a blogging background and biz joined up at blogger.
Dorsey,For a little while when he was at google and we all somehow ended up at OU do have joined oh do and became CEO I.
Interviewer,Joined about two months after that and then biz joins two months after that and the funny thing about that was no one.
Dorsey,There really cared about what we were building which was podcast and we just had no passion for it and.
Interviewer,That the business was not doing well the direction was was fairly weak so we we often went out and just thought about.
Dorsey,You know what what would we do and what would we want to work on and we had these these hack days where we would.
Interviewer,Actually try to implement some of these ideas and and Twitter was born out of born out or one of those but the.
Dorsey,Important thing about this we just had this amazing team but the wrong initial idea and when you have amazing people.
Interviewer,And really creative people you'll come up with something and and and really the desire was just to build something that.
Dorsey,We wanted to use on a on a daily basis and it resonated with us every day and and we were fortunate and that it.
Interviewer,Resonated with others too but there was no particular design or desire or goal around its success and I think it's very.
Dorsey,Hard to start with that as a as a barrier because it it ends up blocking the creativity ultimately from mine.
Interviewer,Stunning you went to college for a little bit then dropped out obviously to pursue your other girls did your time at.
Dorsey,College have any impact on the where you are today or was it just something that got in the way of your real passion I.
Interviewer,Think everyone learns in a different way and I was I was deciding because of this fascinates from City Heights cities I.
Dorsey,Also had a fascination with with leaders of cities and and mayors and I was deciding actually when I was entering in.
Interviewer,University should i go with a political science program or should I go with the computer science program I know most.
Dorsey,People don't compare the two but i did and I decided ultimately go down the computer science route because I imagine.
Interviewer,That if i went down political science and I went down the route of of trying to be a Marin to get into politics that.
Dorsey,I could write a law or a rule and i could probably see the effects of it within two to four to maybe eight years.
Interviewer,Whereas i could write rules and laws in a program and model it and see it within see the result of it within eight.
Dorsey,Seconds so the speed was quite attractive and and just this unbounded creativity and potential that's in front.
Interviewer,Of you when you when you program it's it's a weird feeling because um you you have this ability to just create.
Dorsey,Something from absolutely nothing and whatever you imagine you you can you can probably do and there's a real there's a.
Interviewer,Real electricity to that so in school i found that it was more driven towards an academic outcome than it was a practical.
Dorsey,Outcome in my particular program so i was learning a lot more I was at DMS when I was at NYU I was learning a lot.
Interviewer,More and moving faster than outside of the university then I was inside so I just decided that I'm going to I'm going.
Dorsey,To and the university part and just work on that on the external and get working on on what I want to build right away.
Interviewer,And i you know my my mom reminds me every week that I'd still have an opportunity to go back to school but I'm.
Dorsey,Learning a lot right now and i think it's a different answer for every single every single person and you have to.
Interviewer,Answer it only for yourself on that kind of point was it a really tough decision so you mentioned your mom and not.
Dorsey,Necessarily i don't know she still wants you to go back to University and was there a lot of pressure from your.
Interviewer,Parents when taking that decision or do you just go ahead and I'm more or less just went ahead and did it but they they.
Dorsey,Were not happy about i mean they come from a Catholic upbringing in st. Louis Missouri so my parents didn't finish.
Interviewer,High school and i was the first to even attempt going to college parents weren't all that well off so you know they.
Dorsey,Definitely had a lot of aspirations for me in that particular vein so there was you know there's a lot of.
Interviewer,Standard catholic guilt they couldn't went along with that decision but I got over it and I don't know if my parents.
Dorsey,Have and and he talked a little bit about politics as well and I read somewhere that your dream job was to be.
Interviewer,Mayor of new york city well aspirationally it was but I've realized that I feel like can probably.
Dorsey,Influence more with with these companies and I then I could actually being a mayor and I think that's generally been.
Interviewer,More and more the case these groups of individuals who are creating these technologies and creating these.
Dorsey,Movements and have just so much influence right now and it's not limited to any particular geographic or.
Interviewer,Political boundary and it's really it's really really exciting in that and that comes with a responsibility that forces.
Dorsey,You to mature very very quickly and again it goes back to like where are you learning the fastest and I just felt my.
Interviewer,My maturity and going down one particular route of life was was so much more accelerated than than another one.
Dorsey,And i think going down the political route and more of a mayor route I still love I I just don't think I'd be able to.
Interviewer,Do as much as i like and i i love my i love my freedoms and my my independence that would also be cut off so yes yeah.
Dorsey,Coming back to the companies you're involved with both with Twitter still as well as you'll see a square how do you.
Interviewer,Balance that is there ever a conflict of interest or just in terms of tying me how do you decide where the priorities.
Dorsey,Are well i am i spent a year where i'd actually did half and half and the intention was just to keep that to a.
Interviewer,Year and kept it to a year and that was really hard I started the week at square and on Monday and I would go to Twitter.
Dorsey,In the afternoon and then i would start Tuesday at Twitter and then there would go to square and that.
Interviewer,Junoon so i'd have this like snake through that felt like these you know 24-hour days at one company so i made it.
Dorsey,I made it work but it wasn't it wasn't the healthiest thing and now we we just have such an amazing leadership team in.
Interviewer,Place and and the potential is really in front of the company so I concentrate my time a lot more now on with our CEO dick.
Dorsey,So we have dinner every every tuesday night same restaurant same table usually the same food never the same.
Interviewer,Conversation which is always a good thing and then the food is good what is it it's a restaurant called Zuni yeah I.
Dorsey,Probably should not have given that name out but I did probably gonna have to find a new place now I'm sorry no that's.
Interviewer,My fault so i yeah and then i i just meet with members of the management team on Tuesday so I think there's actually a.
Dorsey,Lot of parallels between the two companies I think they're both working on something fundamental something.
Interviewer,Essential to a civilization and to humanity Twitter obviously working on communication and square working on.
Dorsey,Commerce both have been with us forever we commerce I believe actually was it was a predecessor we were trading goods.
Interviewer,And services before we're using language to trade stories and what's what's inching to me about both is if you if.
Dorsey,You simplify either one of them there's so much that's built on top of each that actually benefit and get easier for.
Interviewer,People and get better for people so i'd rather spend all of my time and my effort focused on the the lowest layer.
Dorsey,Of of what we have to deal with on a daily basis and I can't think of of anything more fundamental than.
Interviewer,Communication and commerce apart from health and education and obviously governance so I think all of those are.
Dorsey,On the I would always I would always choose to work in some dimension and in.
Interviewer,Simplifying those and so i see a lot of parallels between the two companies in that sense and that their fundamental.
Dorsey,And i also see that they both they both stand for a very clear purpose and they both stand for a leveling of the playing.
Interviewer,Field what was most amazing about Twitter was that we we designed it for for SMS so anyone in the world that had.
Dorsey,Access to you know just a shared or a five dollar cellphone could actually have a conversation with the entire.
Interviewer,World and you know someone with a with a five dollar Nokia could actually have a conversation with someone the $900 iPad.
Dorsey,And we see that almost every single day and it really makes the world feel small and we have we have some of the you know.
Interviewer,These really powerful individuals using the service and then we have we have the largest governments in the world using.
Dorsey,The service so you know they're both the important thing is they're both using the same tool and that means you know.
Interviewer,You're only limited by the are the quality and the influence of of your idea and and your ambition ultimately.
Dorsey,And it can scale back and forth quite quickly and we see the same thing with Square where we have we have people who.
Interviewer,Are piano teachers or golf instructors or doing something on the side using the exact same tool that we supply to to.
Dorsey,Starbucks and you know glow and and to Whole Foods and if we can handle the transactional capacity of a Starbucks.
Interviewer,That means that anyone who has that aspiration in the same way that Howard did could also use us to get there and.
Dorsey,And that means that because it's the same tool it truly loves Lovis a playing field my mother my mother owned a coffee.
Interviewer,Store when i was uh when i was 12 and you know she had a very very different ambition than Howard Schultz her.
Dorsey,Ambition was to provide a venue for the neighborhood to provide a sense of community in the neighborhood to sell.
Interviewer,Beans but tell me have three employees and those three employees happen to be me.
Dorsey,And my two younger brothers and she didn't want to have multiple locations she don't want to grow beyond that and I.
Interviewer,Find that to be very admirable and i think there's a there's generally a trend today where more and more.
Dorsey,Companies and more and more groups of people can actually choose to stay small and still have massive impact whether.
Interviewer,It's a deep impact like my mother in a community or a global impact like teams of six who can actually create something.
Dorsey,And and really everyone around the world can can participate in and then use it Howard Schultz had a very different.
Interviewer,Ambition which is he had a similar coffee store and he wanted that coffee store in every city around the world and.
Dorsey,I admire both approaches but it's a difference in an ambition and and what they want to do and I believe that.
Interviewer,Fundamentally the tools should remain consistent and and really get out of the way so that people can can meet that.
Dorsey,Okay just so you kind of continue on that so you talked a little bit about how Twitter is a great leveler and.
Interviewer,Indeed you can make it happen that they've been amazing things happening on Twitter and Twitter being useful things.
Dorsey,Like the arab spring the uprising coordinating the protest and then more recently there's been a lot of focus on.
Interviewer,Twitter trolls and some some of the negative abuse that can happen on Twitter do you see the company is having.
Dorsey,A social responsibility to promote a certain view or promote certain ideals or is it very much as you said just a.
Interviewer,Tool to allow people to interact i mean I think the main purpose of Twitter is to make sure that we let every voice.
Dorsey,Flow and i think it's really important for us to see every opinion and I think ultimately like every technology is just.
Interviewer,A reflection of of the world and what we want in civilization both the present and the future State so what we we have.
Dorsey,To make sure of though is that everyone who participates in lending their voice to Twitter and using Twitter to amplify.
Interviewer,That voice they feel safe doing so and you know abuse has has no has no part on on the service and we have a staff of.
Dorsey,Many that are dedicated to making sure that people feel safe and they can continue to trust the brand and the.
Interviewer,Service to make sure that their voices is heard everywhere in a way they want to be heard and also that they don't.
Dorsey,Feel threatened in any way but you know I I wanna I want to live in though I want to live in a world where I can.
Interviewer,Actually see all opinions because i think I think there's there's value in every opinion it's up to me to decide.
Dorsey,Which one is truly valuable on which ones or which ones I act on but if we were to take that away and and live and.
Interviewer,Very very sheltered ways i think we would we would take away a massive learning opportunity as well so I think.
Dorsey,The most important thing is to give people controls you turn it off you turn it on and I think as long as those and.
Interviewer,Those controls are intuitive and people know how to use them immediately people people feel great and trust and.
Dorsey,Trust the service and and when that fails or when it's confusing or when people are frustrated we've failed as a.
Interviewer,Company as well okay my final question on Twitter before we move on to square so then based on that do you have a.
Dorsey,Problem with things like isil using Twitter to promote the latest their video do you see that as being something.
Interviewer,That maybe twitter should draw a line on and you know close the site close that particular account down or do you feel.
Dorsey,That it would get a lot of retweets is it something that people deserve to hear about I think it goes again back to the.
Interviewer,Controls and i think um i think people should have the freedom to choose what they what they see and what they choose.
Dorsey,Not to i don't think it should be forced upon them I don't think it should be you know an unexpected surprise in any way.
Interviewer,I think they fully have to opt into it but the more we start adding bias or editorial to the service the less people.
Dorsey,All over the world trusted and i think that that trust is something that we've really worked hard to earn and and.
Interviewer,We'll continue to do more of that and be very transparent around those policies I mean I think the most important thing is.
Dorsey,Is to explain why something like that may still be on the service and and to also work with our peers to make sure.
Interviewer,That we have a consistent point of view around that but this is a reflection of the world today and this is happening.
Dorsey,And i would rather live in a world where at least we're having a conversation about it and we and we're talking about.
Interviewer,It because i think ultimately it allows us to move faster and in solving it and fixing it and addressing it if that's.
Dorsey,What we need to do okay now moving on you left Witter or I mean you left a CEO and most people would.
Interviewer,Have said that you know creating and founding one life-changing business is enough but you moved on to set up square.
Dorsey,Which has just been launched in the uk yesterday was it launched around the world yesterday around the world yes not.
Interviewer,Sure our cash register product around the world for free yesterday so those of people people in the audience who might.
Dorsey,Not necessarily know that a huge amount about square do you want to very briefly explain what it is that you do what's.
Interviewer,Your vision for the business yeah so five how many of you have have seen square good amount we have a lot of work.
Dorsey,To do but we have a lot of work to do with Twitter tear so I mean that that's one.
Interviewer,Of the reasons why you you keep keep working at this as a if it feels over just I don't think it's it's truly as.
Dorsey,Big as it as it could be so i think so five years ago I switched roles with my co-founder eV and he was chairman and.
Interviewer,Our ceo and i became chairman he became CEO and I reconnected with my second boss after my mother at the coffee store.
Dorsey,Which is a guy named jim mckelvey in san Louis Missouri and he became a glass artist and we we really loved working.
Interviewer,Together when i was about 15 16 years old and he was an engineer as well and we were talking about you know just.
Dorsey,Wanting to work together again and we didn't really know on what and then one day he called me in desperation and said.
Interviewer,I lost i lost i lost the sale of my glass art and he says you know two thousand dollar pieces of glass art and.
Dorsey,The reason he lost that cell is because he couldn't accept a credit card and the funny thing was we were both talking to.
Interviewer,Each other on an iphone so we have these like effectively super computers next to our ears and the guy can't close the.
Dorsey,Sale because he can't accept a credit card so why why is that and and we started asking why and we started.
Interviewer,Realizing while this industry is extremely complicated so it seemed like a very interesting challenge can we.
Dorsey,Build something that allows jim to accept a credit card and we we set aside a month to build it and we knew nothing.
Interviewer,About the credit card industry both of us were actually in credit card debt at the time we you know we we saw what the.
Dorsey,Credit card industry actually did to st. Louis and families in st. Louis we didn't really like the credit card.
Interviewer,Industry in many ways we didn't think it was fair but we recognized that buyers were using them all the time and in the.
Dorsey,United states and all these independent sellers and and the smaller folks really just had no opportunity to even accept.
Interviewer,Them so what it meant is they they ultimately missed a sale and they they missed an opportunity to grow or.
Dorsey,Opportunity for revenue and so we we searched on Google for how to accept credit cards we found rock-bottom.
Interviewer,Merchant accounts calm we signed up for rock-bottom merchant accounts calm and we started learning about well how do we.
Dorsey,Actually accept the credit card do we take a picture with the phone no that seems like a weird experience if I'm.
Interviewer,Handing over my credit card and you're taking a picture of it we looked at the 30 pin on the bottom of the iPhone and.
Dorsey,Turns out that has a huge license fee and we just didn't want to pay that and and then the interesting thing was.
Interviewer,Uh all these phones have a headphone jack on it and the headphone jack is also a microphone and if you probably.
Dorsey,Not for a lot of your cards but if you take out your credit card and you look on the back there's a magnetic strip and.
Interviewer,That made magnetic strip is actually the same technology that you would use in a cassette tape to play music in fact that.
Dorsey,Is an audio track and that audio track can be decoded into numbers and those numbers are your credit card number and.
Interviewer,Your expiration and if you actually play this audio track it sounds like a squirrel screeching like I don't know if.
Dorsey,You've heard a squirrel screaming but it's not a it's not a pleasant sound at all.
Interviewer,But if you if you swipe it through you actually hear that sound and you can write some software to decode that into.
Dorsey,A number and then you can send that number up to Visa and MasterCard you can check to see if there's funds available.
Interviewer,On it and if there are you capture them and then that goes into a bank account so we ultimately made a cassette tape.
Dorsey,Reader that plugged into the microphone jack of the iPhone and we swiped the cards through and that and the damn.
Interviewer,Thing worked and and we swiped this is my favorite company to pitch ever because I would go around to people and.
Dorsey,I would say do you want to see my new my new project and they would say yeah and I would say and give me your credit card.
Interviewer,And and they would say no i said well he and I can see what I'm working on and and then they would hand it over and I.
Dorsey,Would take anywhere from five to five hundred dollars or take $500 for the from the people who.
Interviewer,Gave me like black amex doesn't what not so and and the way we we pitched it to TV sees when we actually decided to.
Dorsey,Build a company and raise money was to see the pitch they would have to give me their credit card as well and we we did.
Interviewer,Something interesting i put all the b C's that I didn't want to work with in the first week and I met ten during the.
Dorsey,First week and all the vcs that i really wanted to work with in the second week and and the reason why is I wanted to.
Interviewer,Make all my mistakes in the first week and then just nail it in the second week in the last the last we see that we Matt.
Dorsey,Is the one i wanted to work with most which which was Vinod Khosla of Khosla Ventures and the price started very high.
Interviewer,With a hundred dollars and it went down to $1.00 with Vinod but it was um it was just uh there's a lot of fun we learned.
Dorsey,So much about the credit card industry and risk and fraud and we knew nothing about building hardware and we we.
Interviewer,Learned everything that we needed to to make it work in a month and it just started resonating with with everyone we.
Dorsey,Showed and and little by little we figured out how to actually build the readers and send them out for free and.
Interviewer,And then a funny thing happened in that we realized hey we weren't just building a credit card terminal but actually were.
Dorsey,Building a full point-of-sale and these points of sales around the world and it's a there's a reason that the acronym.
Interviewer,Is pos they are not the best systems in the world and people don't have a hold you know very high regard for for a.
Dorsey,Point of sale it's usually a effectively a calculator on on top of a cash box but what's what's interesting in the.
Interviewer,Opportunity is that there's all this potential data and insights that you can have around a business you can actually.
Dorsey,Bring back up to the seller to help them make better decisions around how to grow their business and some people decide I.
Interviewer,Don't want to grow my business i'm happy like my mom with what I have but a lot of people do want to grow the business.
Dorsey,And they just no access to any analytics around how they're doing most places that we.
Interviewer,That we found in america like coffee places you go in and you ask them a very simple question how many cappuccinos did.
Dorsey,You sell today and they'll have no idea and if they do know they were usually counting cups coming out of the.
Interviewer,Dishwasher or waiting for you know their paper cup inventory to diminish and it just seemed so simple to solve but no.
Dorsey,One's spent the time to do it so we ultimately have been working on for the past five years a really sophisticated.
Interviewer,Register that is in many ways on par or better with what a Walmart has in terms of running and understanding their.
Dorsey,Business and we give it away for free to all these sellers and that's what we we launched yesterday and made available.
Interviewer,To the whole world so anyone around the world can download this piece of software for their Android or their or.
Dorsey,Their iphone and and really see and understand their business and and you know hopefully hopefully grow that.
Interviewer,Business from it because we just believe so much in the power of the independent business and the small business to to.
