name,line
Interviewer,I get my sense of spirituality through connection and what Twitter represents is spiritual to me tapping into the.
Dorsey,Consciousness the larger organism whether it be the plan at the universe the social consciousness is what drives.
Interviewer,Me there's a lot of power to seeing you know how people think in ways that make us feel great and also things that are.
Dorsey,Super uncomfortable because we need to be able to ignore in person or have a conversation about it and there is no.
Interviewer,Other path towards evolution and making something better unless we can talk about it that's Jack Dorsey and this is.
Dorsey,The retro podcast the rich roll podcast hey everybody how you guys doing what's happening my name.
Interviewer,Is rich roll i am your host this is my podcast and today my guest is Jack Dorsey jack is the co-founder and CEO of.
Dorsey,Both twitter and square and somebody who I think it's fair to say quite incontrovertibly has become one of the.
Interviewer,Most influential figures of the modern age somebody who has made this crazy indelible impact on the cultural.
Dorsey,Landscape by really helping shape the way that we communicate as a culture Jack has been doing the podcast rounds.
Interviewer,Lately he's had recent appearances on a wide variety of shows including sam harris two appearances on Joe Rogan Ben.
Dorsey,Greenfield the other day and several more and I listened to all of them and I realized that jack is a polarizing.
Interviewer,Figure for many but on a personal level I have to say I found him to be quite transparent somebody who has been open.
Dorsey,About twitter's failures the challenges that he and his organization have faced continue to face as well as incredibly.
Interviewer,Composed under the pressure of being held accountable for his platforms shortcomings and my sense is that his.
Dorsey,Response to many of the hard questions that are being posed to him that have been being posed to him on all of these.
Interviewer,Podcasts and interviews have left a lot of critics feeling unsatisfied and I guess what I want to say is that if you.
Dorsey,Are such a person one of these people then I'm not sure this podcast is gonna change that view because my interest was.
Interviewer,Less on retreading the territory that was explored at length on Rogen nor was it an attempt to hold him to account in.
Dorsey,The way that tim poole did on joe show instead or rather my intention for this conversation was simply to better.
Interviewer,Understand this human behind the curtain in other words what does it actually feel like to be.
Dorsey,At the helm of one of the largest and most powerful social media platforms on the planet what is a day in the life of.
Interviewer,Jack dorsey looked like and what daily self-care practises does he employed a mitigate the stress of his.
Dorsey,Responsibilities and just how did this young man blaze such an incredible extraordinary entrepreneurial path it's.
Interviewer,These kind of questions that inform how I approached this conversation I first met Jack about two years ago and because.
Dorsey,He had tweeted out a few episodes of the podcast I knew he was at least an occasional listener of this show so when.
Interviewer,I found myself in san francisco i deemed him to see if he wanted to meet up and he invited me to square the square.
Dorsey,Headquarters and what i discovered when I met him was a person quite different than what you might imagine he was.
Interviewer,Sitting on an open staircase by himself with a cup of tea at the far end of this giant open floor plan office space he.
Dorsey,Told me he doesn't even have a proper office and I just found this person to be very soft-spoken kind curious and I.
Interviewer,Guess i realized that that this is somebody who is an animal altogether different from the typical alpha startup.
Dorsey,Ceo mold and i liked him instantly and although our encounter was brief Jack left me kind of intrigued I wanted to.
Interviewer,Better understand who he is and what led him to this rarefied air and really what makes him tick so when he began showing.
Dorsey,Up on all these podcasts i reached out to him he invited me to his home in San Francisco and and this is where it got.
Interviewer,Really interesting unsurprisingly he has a beautiful home it's very well appointed but what was surprising was.
Dorsey,Its modesty considering his essentially unlimited resources it's very minimal almost Spartan there's no entourage it's.
Interviewer,No private chef he cooks his own meals no you know there's no Lamborghini collection there wasn't even an.
Dorsey,Assistant there was just jack completely unpretentious barefoot excited to show me his Inn.
Interviewer,At sauna is cold plunge the kitchen counter where he works from a tunnel a couple days a week you know all in all a.
Dorsey,Man who is very intentionally and mindfully stripped excess materialism and distraction away from his life.
Interviewer,Somebody who prioritizes solitude contemplation meditation he meditates at least an hour a day and a whole wide.
Dorsey,Variety of self-care practices all designed to optimize deep thinking and equanimity including the fact that he.
Interviewer,Walks five miles to work every single day and I guess what I'm trying to say is I found his intentionality that he.
Dorsey,Brings to his life is discipline his curiosity his presence of mine I found it all admirable he's a truly truly.
Interviewer,Fascinating guy living a very unusual life so this conversation is really an exploration of that life we do cover how.
Dorsey,Twitter was conceived the responsibilities of logistics the challenges involved in shaping and.
Interviewer,Policing the behemoth platform that sees about 500 million tweets every day and how he envisions the evolution of this.
Dorsey,Platform the impact of twitter on culture and how he would ultimately kind of close a conversation with how he.
Interviewer,Would disrupt and innovate the podcast space and his answer is very interesting on that point but mostly this was just.
Dorsey,My attempt to understand jack and some of the habits practices and strategies that he employs including the opposite.
Interviewer,Of meditation intermittent fasting so many more things to navigate his most uncommon life as one of the most.
Dorsey,Influential figures of our time final note because it took place at Jack's home we did not video this program and.
Interviewer,You might hear a little crackling in the background it's because we were sitting at the forefront like next to his.
Dorsey,Fireplace so we had a live fire as we discussed it it was all very nice so this is me and Jack Dorsey.
Interviewer,Thank you for inviting me to your home thanks for taking time on a Saturday Saturday afternoon it's raining outside.
Dorsey,We're sitting by a crackling fire in a code who we are in the cloud I feel like I'm in Big Sur overlooking the ocean.
Interviewer,Here so if you hear waves crashing or seagulls or the crackling of the fire over here that kind of just should.
Dorsey,Create a visual palette so where we are right now and we just did a little meditation five-minute meditation to set.
Interviewer,The stage which was great I feel good feel good me too so I think that's a natural segue into talking a.
Dorsey,Little bit about meditation in your life I know you've been meditating for like twenty years and it's something that is.
Interviewer,Important to you so what is what is the practice look like for you yeah I um I started playing with meditation about 20.
Dorsey,Years ago it wasn't that serious and i think the the the most I you know I actually practiced within that time.
Interviewer,Frame was you know probably 20-30 minutes and wasn't really aware of a lot of the theories and some of the the.
Dorsey,Focus that i needed until about two years ago when I went to my first event possum of course I went to this little.
Interviewer,Town just south of dallas and did a ten day silent meditation retreat and it was one of the hardest but also one of the.
Dorsey,Most rewarding things i've ever done and one of the practices of impasto is to do one of these retreats every year but.
Interviewer,Also to carry through with your practice you do two hours a day one hour in the morning one hour in the evening before.
Dorsey,Before bed and the i mean what it's what it's done for me is is really just a sense of clarity certainly certainly.
Interviewer,Want to focus certainly one of recognizing when I'm reacting to some which has this you know momentum of not.
Dorsey,Feeling necessarily in control but as i did it you know at the end of last year I just went even deeper into that.
Interviewer,Clarity and was you know instantly reminded of the year prior and you you I had this experience where I just felt.
Dorsey,Like i was picking up where i where he left off and that was really powerful to me so for me every single day it's a.
Interviewer,Time to build self-awareness and that's what it comes down to yeah it's something I've been interested in doing.
Dorsey,For some time yet i have yet to go - yeah attending one of those retreats they're scary yeah well I know it I have.
Interviewer,Plenty of friends who have done it and from what I understand it's it's around that day five day six area that you get.
Dorsey,Into you know that make-or-break period where you start to freak out Dave for is really hard because you go into this.
Interviewer,Mode called strong determination and up until day four you're basically focusing on your breath and it's not just the.
Dorsey,Concept of the breath it's actually the physical sensation of the breath it's a physical sensation of the breath on your.
Interviewer,Upper lip and through your nostrils and that was a huge unlock for me but on day four you go into the impasto training.
Dorsey,And strong determination which means that you are encouraged not to move at all.
Interviewer,You you you know you're sitting in a lotus or a half Lotus position and you shouldn't be shifting around or moving.
Dorsey,Your posture and then your way whatsoever and that becomes extremely challenging but also a good reflection.
Interviewer,Into what the practice actually is because you'll at least for me my experience was you know my legs were.
Dorsey,Just killing me i the the urge to move is is almost unbearable and through that through observing that pain and choosing.
Interviewer,Deciding not to react to it you apply that concept in that methodology to everything to emotions to physical pain.
Dorsey,To mental hardships and and being able to recognize it I'm on it and train it you know for those next few days is uh.
Interviewer,Is is really powerful but day six was my worst day the morning I was a you know I looked I you meditate with other people.
Dorsey,But you know you're not allowed to talk you're not allowed to read to write to do any physical exercise to look anyone.
Interviewer,In the eye it's the conditions are such that you feel like you're on a retreat by.
Dorsey,Yourself and on day six i cannot kind of looked around in the hall and everyone just looked like a Buddha base they all.
Interviewer,They all look like they were they were already enlightened it I got it I heard out I don't get this I like I I'm not.
Dorsey,I'm not getting it but at the end of day six you do these discourses at the end where there's some insight into the.
Interviewer,Theory and and a little bit into the practice and something the teacher said just unlock something for me so the last.
Dorsey,Meditation of the day at 9:00 p.m. or 8:30 was um was one of my best and I walked out and I just felt so much peace.
Interviewer,And so much joy and i cried and then i fell asleep and I walked back up at four in the morning and was back into the.
Dorsey,Pain back into not understanding what i was doing which again is part of the practice where you you you can't hang on.
Interviewer,Something you can't react overly to something that's negative and you can't react overly to something that's.
Dorsey,Positive either you want have a calamity between in in in in the entire spectrum right and something about becoming an.
Interviewer,Observer of that pain or that discomfort or that jubilation creating some distance between yourself and that.
Dorsey,Experience i think is where the teachable moment where you can kind of mind that equanimity absolutely right.
Interviewer,Yeah absolutely and you know it's just ten days of working from 4:00 in the morning until 9:30 mm-hmm focused.
Dorsey,Entirely on that in real you you won't get it right away and it's just this that the most important thing.
Interviewer,Is is the is the practice of it not reaching any particular milestone or state it's just that constant practice.
Dorsey,So you stepped it up this year and you went to Myanmar you know to do as opposed to Texas for another silent.
Interviewer,Meditation retreat and on your return from that experience you decided to share this and in a threaded tweet what.
Dorsey,Your experience was and that like became like a thing there were a lot of people that jumped on you for not addressing.
Interviewer,The atrocities of the government when you know I it was interesting because I read it and I I felt like you were just.
Dorsey,Sharing this experience that you had it was it was certainly in a political you know motivation behind that but I guess.
Interviewer,When you're jack you have to be much more mindful about yeah you choose your words and and how you decide to describe.
Dorsey,These experiences yeah i am so after my first meditation in Texas first I met you know this amazing teacher there and.
Interviewer,That goenka know not going to go inca passed away I ever maybe maybe even ten years ago and so he has all these.
Dorsey,Assistant teachers that lead you through the the courses and I met one of the assistant teachers and became friends.
Interviewer,With him and you know i was talking about going you know doing where should I do my next meditation and we discussed.
Dorsey,Myanmar burma because that is where Kalinka is from that is where a lot of the practice that I was practicing has.
Interviewer,Been kept in a very pure form in terms of the the writings but also the the physical practice and after my first.
Dorsey,Meditation in texas i had one tweet and I just I didn't feel I was ready to to talk about it I didn't feel it was.
Interviewer,Appropriate because i don't i didn't feel I had experienced enough to the depth that I I could communicate in a.
Dorsey,Way that resonated with people mm-hmm but after this after the second retreat in Myanmar I felt I felt more.
Interviewer,Ready it was um it was completely different I mean it was I went in a day before into into Myanmar I immediately.
Dorsey,Went to the center and we started meditating and I I left two days after and I I was there as Jack not.
Interviewer,Representing square or twitter i was there to focus on myself because I think one of the most important things I.
Dorsey,Believe that i have a responsibility to both our employees and also the people that we we serve on on the on the.
Interviewer,Platforms is self-improvement constant self-improvement I've identified this as at least this practice is something that.
Dorsey,Makes me a lot stronger a lot more resilient a lot more aware and able to approach my work with a lot more clarity.
Interviewer,And discipline so i went because of the you know the the practice is lineage within within that within that country.
Dorsey,And within that people and within the culture and wasn't really thinking enough about the surrounding.
Interviewer,Circumstances of the country and the people and you know I think the the misstep was not even addressing that.
Dorsey,Focusing entirely on meditation that was my intent which was to focus this entirely on my my experience and if it.
Interviewer,Resonates with people it does if it doesn't it doesn't and you know I think it it did resonate with folks but there.
Dorsey,Was there was an ask to just be more aware of the surroundings shine more light on that and and I I get all that.
Interviewer,That the benefit is i did have a lot of social groups reach out to me immediately after and folks come to me.
Dorsey,To at least converse about you know what is happening and what has changed and there.
Interviewer,Are multiple atrocities within the country not not just the one that it's tend to be focused on yeah yeah so I've.
Dorsey,Learned since you know a bunch of the dynamics and and and you know some other ways I might be able to help but I'm.
Interviewer,Still i'm still and uh i'm still in the learning phase where you know just where can I actually apply myself and and and.
Dorsey,Help and and drive more the conversation within the within the country so it touched me and it it's something that I.
Interviewer,Will definitely be top of mind for for quite some time but I think it was but it was important for next time yeah it.
Dorsey,Was important for me to also see that in person and experience in person rather than read it through text Sarita through.
Interviewer,The the major media channels and see the people and one of the biggest surprises I had was every single monk I saw every.
Dorsey,Every nun i ran into had a had a cell phone and Facebook is the Internet it's similar to you know when back in.
Interviewer,The day when aol was the internet for many people it wasn't about a web browser it was you know the way in was.
Dorsey,Was aol and and facebook was that for for nearly everyone in the in the country you didn't you don't see URLs.
Interviewer,You don't see website addresses you see Facebook pages and it's just so dominant and I didn't have that understanding and.
Dorsey,I don't think i would have the depth of understanding unless I actually went there and experienced it myself.
Interviewer,And what do you extract from that the fact that you know Facebook is the internet they're like what you know what.
Dorsey,Is that vote for the future what does that mean having um having grown up with the internet in st. Louis Missouri I was.
Interviewer,A hacker early on and in my life you know 12 13 14 and save us had this thriving.
Dorsey,Hacker community and it was a you know it had a lot of the punk ethos had a lot of the technology through later had a.
Interviewer,Bunch of the hip-hop ethos in terms of just questioning everything working in public sharing everything sharing all.
Dorsey,The mistakes not being centralized at all I think there's elements that are that.
Interviewer,Are certainly dangerous to that i am definitely skeptical of centralized organizations even my own even Twitter.
Dorsey,And square you know i think the internet more than anything else has allowed us to remove so many barriers and.
Interviewer,Boundaries that can tend to be artificial and and and this promise of at least providing the framework and the.
Dorsey,Infrastructure towards a understanding of a of one humanity like we have the technology to.
Interviewer,Do this and it started in 1979 and the ideals just get stronger and stronger and stronger so starting with a more.
Dorsey,Decentralized medium and and you know the recent flow towards more centralization such as Google and.
Interviewer,Youtube and facebook and twitter and square is something I'm very very cognizant of and also i I don't discount.
Dorsey,The the power and and also the skepticism and lack of trust that people have in organizations like ours so I.
Interviewer,Think on the positive it does breed a healthy skepticism and distrust which i think is useful to push companies like.
Dorsey,Ours to be a lot more open and pushed towards more towards more Internet ideals but there's certainly a hard road.
Interviewer,To get there but i i would want to see a place like Mia Mar to have more entry points.
Dorsey,Than just facebook obviously right at the same time they've gotten a lot of people on who were not on before and and.
Interviewer,On the network and i think we have to weigh the trade-offs of you know that getting people on the on-ramp into this.
Dorsey,Global network and and the custodian that does it and then hopefully hold organizations like my own to account in.
Interviewer,Terms of making sure that they see all the pathways in and out and and have optionality right.
Dorsey,I feel like this you know desire to hold yourself and and your companies to to account for this is sort of part and.
Interviewer,Parcel of this you know for lack of a better phrase like podcast or that you've been on lately.
Dorsey,You know out of the blue all of a sudden you've made yourself available to talk to all manner of people you've been on.
Interviewer,Tons of shows no no no i don't know a lot I mean you did one yesterday crypto one yesterday I know you've done Sam.
Dorsey,Harris joe rogan i think you're going back to talk to Joe you did Bill Simmons clearly there's a conscious decision.
Interviewer,Here too to step out and share your perspective in a transparent way and my sense of this is that you've done that.
Dorsey,With a large degree of equanimity I think the equanimity was seen in that exchange with Kara Swisher where you did.
Interviewer,That experiment and conversation by doing it on Twitter you maintained your cool under fire like I in that I saw.
Dorsey,Meditation coming to the front in the way that you managed all of that but just the fact that you're making.
Interviewer,Yourself available for these conversations I find interesting and so I think the first I have two questions.
Dorsey,On that the first is you know what is you know what was behind this decision to do this and and you know right now.
Interviewer,Yeah i i mean i have a i've had a few goals with us one I'm a student of conversation and Twitter's purpose in.
Dorsey,The world is to serve the public conversation and in the light I am aware that I'm absolutely.
Interviewer,Terrible at at it and i am vibrator that why do you say that well I you know I was um when I was a kid I had a speech.
Dorsey,Impediment and i went through a lot of speech therapy I couldn't pronounce most words I just sound like gibberish was.
Interviewer,Coming out of my mouth and to some people that still may be the case but I I really hold back because of that.
Dorsey,Awareness that i was dysfunctional in some way in communicating with people and I became extremely shy I've always.
Interviewer,Been an introvert meaning that i get most of my energy from solitude versus actually works getting a lot of their.
Dorsey,Energy from being around people so i die naturally at that predisposition towards being more quiet and being more in.
Interviewer,Solitude but that really pushed me into a very very shy place where you know even conversations my parents and.
Dorsey,Brothers were were somewhat limited and eventually I realized it in fifth or sixth grade and I just said like I can't.
Interviewer,Function like this and they joined the speech club and I joined the debate club and I did the things I just freak to.
Dorsey,Freak me out but that's still that's still lingers you know I still AM hyper aware of how I'm talking and you know.
Interviewer,Just a little bit of uncomfort in my own skin and conversation but I wanna I think I think my the characteristics.
Dorsey,That have made me realize some of the milestones I want in my life and some of the excess success I've realized is that.
Interviewer,I will put myself in very uncomfortable situations I will be patient with myself and I will learn super fast so I I felt.
Dorsey,Number one that podcasting was a great way to do that it's something I'm a huge consumer of I you know my walks in the.
Interviewer,Morning it's what I listen to it's it's when I take the most joy in and in the morning and I.
Dorsey,Just get so much so much out of them that I also wanted to understand the format much more directly and then.
