name,line
Interviewer,"Hello Miami! And welcome Jack. We have 12,000 Bitcoiners here."
Dorsey,You're incredible.
Interviewer,"And I think there's 20,000 out there listening. We are happy to see this phenomenon grow. I wanted to start with the big question that most people are probably asking"
Dorsey,"Not for me. For me Bitcoin changes absolutely everything. What I'm drawn to the most about it is the ethos, is what it represents, are the conditions that created it, which are so rare and so special and so precious. I don't think there's anything more important in my lifetime to work on and I don't think there's anything more enabling for people around the world."
Interviewer,"We often hear in our community this mantra that Bitcoin is for everybody. That it's non-discriminatory, that it's open and opening for many people around the world who are walled off from transactions, saving, connecting with the world. What is your perspective on this idea that Bitcoin is for everybody?"
Dorsey,"That's what I'm focused on making sure that I help with. Whatever I can do, whatever my companies can do to make Bitcoin accessible to everyone is how I'm going to spend the rest of my life. If I were not at Square or Twitter, I'd be working on Bitcoin. If it needed more help than Square and Twitter, I would leave them for Bitcoin. But I believe both companies have a role to play and I think anything we can do as companies to help find the right intersection between a corporate narrative and a community open narrative is for the best."
Interviewer,"The theme for today is banking the unbanked. As you all probably know, there are billions of people around the world who are completely unbanked, or they are underbanked. Yet, the mobile phone is growing at a remarkable pace. Even in countries like Ethiopia and Sudan, you now have 20 or 25% of the population with a mobile phone, and in the next five years that's going to pass 50%. So we are now in a position where the increase of technology is going to allow more people to come online and with Bitcoin it doesn't matter what passport you have, or what nationality you are, or what ethnicity you are, or what you believe in, you can connect to this network. So when we think about banking the unbanked, what's your vision for what is most important for helping onboard people into this new system?"
Dorsey,"Well, we don't need the banks anymore. There's so much work to do around accessibility, there's so much work to do around education so that people can own the idea themselves. And I want to thank you by the way, I appreciate you so much for all the work you do to take away a bunch of the myths that people have in their head and give a strong case for why Bitcoin can be used by everyone, but we don't need the financial institutions that we have today. We have one that is thriving, that is sound, that is owned by the community, that is driven by the community, and that has this incredible and amazing consensus that always manages to do the right thing over time. It's noble. And it's so rare and so unique. So anything we can do to build it and protect it, we're down to do."
Interviewer,"You recently personally launched a new fund with Jay-Z, where you guys dedicated 500 BTC to help the Bitcoin ecosystem in Africa and India. Can you talk a little bit more about the vision for that fund and what you all hope to do over the coming years?"
Dorsey,"I spent November of 2019 roaming around the continent of Africa, I went to Nigeria, I went to Ethiopia, I went to Ghana. And I saw that the number one problem that entrepreneurs were working on there, and I only met the entrepreneurs, I didn't meet anyone in the government or the media, they are all working on payments and the most interesting of them were working on Bitcoin. And when I saw the reports of Nigeria considering banning Bitcoin, when I saw the reports of India considering banning Bitcoin, it was a reminder that we could use a lot more help developing around the world. Finding developers on the continent on Africa, enabling them to do their work without having to think about taking another job, is important. So, I talked to Jay about it. Jay loves Bitcoin, he goes very deep in what he loves, he believes in it, and he also believes in this idea of making sure that if we're going to create a money for the world, it has to be developed around the world. And anywhere there are gaps, we should try to fill. So, right now we're trying to find the right board for it. It's going to be a completely separate entity. I have no control or say or direction over it. Once we find that board, we'll hire a lead, and they'll start making grants denominated in bitcoin."
Interviewer,So Jay might have 99 problems but being his own bank won't be one.
Dorsey,Laughs He's more than a bank.
Interviewer,Let's speak a little more about that. Nigeria is a country of more than 200 million people. They have a 15% inflation rate. They are in many ways closed off from the outside world in terms of fintech and payments. How has traveling the world and going to different countries like this opened your eyes to the global impact of Bitcoin that maybe people in Wall Street or in Silicon Valley or in London may not be seeing? What are people missing when they say there is no social value to Bitcoin?
Dorsey,"I mean they are missing everything. They're not getting out of New York. Go to Nigeria for one day and see the struggle that people have to put up with, with their government and with their money. And go to Ghana that has a bunch of transplants from all over the continent and you witness the same thing every single day. Go to India and you see the same."
Interviewer,"My advice is that they should try living on the Sudanese pound for six months and then come back and tell us that Bitcoin is not useful. And I think they'll get a little reality check there. Today we've got maybe, and estimates vary, anywhere from 150 million to 200 million people have used Bitcoin in some way. So we're at maybe 2% or 2.5% of the world population. I believe we're going to a billion people by 2025, certainly by the end of the decade. When you have so many more people on-ramping into this system, we're probably going to have a situation where fees on the main chain are going to get pretty high in fiat terms. So can you talk about, for people who like in Nigeria or Sudan who are going to need micropayments, who are going to want to send $5 or $10, can you talk a little bit about your commitment at Square to Lightning, how you understood how Bitcoin will scale in layers perhaps instead of on the main chain, and why you are so committed to Lighting in a time where we are going to get a lot more users?"
Dorsey,"That's why I'm committed to Lightning, because this is going to be used by more and more people. My belief in bitcoin is that it's an amazing asset, but my belief is that the internet needs a native currency, and we need to be able to transact with this every single day. And everyone around the world needs to transact with it every single day. So the only reason Square got into Bitcoin is to that end. It's not just to be an exchange. And that's why we don't deal with any other ""currencies"" or ""coins"" because we're so focused on making bitcoin the native currency for the internet."
Interviewer,Why don't we just go right to that issue? We hear a lot about censorship. Can social media be more like Bitcoin? Bitcoin is censorship resistant. Nobody controls it. What's your thought on this? It's a thorny problem.
Dorsey,"Yes, I do believe it can. I know that there's a lot of you out there who disagree with a lot of actions that Twitter has taken. I know there's a lot of you out there who disagree with our policies and the way we have evolved them. I appreciate that and recognize it. I also recognize the fact that there is an incentive and a corporate incentive and a business incentive that is different than what might be needed for global communication and for a public conversation. And my goal in my life in this moment is to remove as much as I can the corporateness of our companies and find better intersections with the open-source community. Certainly, Bitcoin has taught me that with Square, and we're doing everything in our power to do that. And we're trying to do the same thing with Twitter, by creating a new platform, a new open-source standard called Blue Sky, we're just starting it. And it will have none of the restrictions that you see on Twitter. Inspired entirely by Bitcoin. We want to do the same thing for social media. And again, I know you aren't going to believe me. I know you're saying ""liar."" I'm going to prove it to you. And then we can have another conversation later."
Interviewer,"When you look at something like Lightning, it's not just a payments network, it can also be a censorship-resistant social media platform. There's folks out there building stuff like Sphinx."
Dorsey,Sphinx is amazing.
Interviewer,"Sphinx is really cool, basically what you can do is you can follow your favorite creators. Maybe your favorite podcast. Maybe you're following what Marty and Matt are doing, and you can go into a ""tribe"" on Sphinx and you can stream them censorship-resistant private money on Lightning and nobody can stop you. And that's happening. It's inevitable. It's coming. This vision to stream money to people that you care about, in a way that the government cannot stop, I know that's what Laura wants, and that's what you all want where you are upset with Twitter. Well guess what, it's coming, and nobody can stop it. Maybe that's a good segue to get back to the idea of Lightning and why you at Square and especially Square Crypto have focused so heavily on it as opposed to any number of other things. Why the focus on Lightning?"
Dorsey,"Again it goes back to the currency. Square Crypto and Steve and team and Matt have been focused on making sure that any wallet can easily turn on Lightning and to make this accessible to everyone. The more people we have considering using Bitcoin for payments, for tips, for streaming money, the stronger this ecosystem is and the more we achieve our goal."
Interviewer,"We're really building out a parallel economy here that is not controlled by governments or corporations. And I just wanted to show you how this works and then Jack and I can reflect on it. Our friend Jack Mallers has created a company called Strike, with a lot of help from a lot of other people, an amazing Bitcoin company, and he started a campaign recently to help Bitcoin development. So I'm on the Strike page right here. And I'm going to go ahead and donate $2 of bitcoin to Strike. I'm going to copy that Lightning invoice, I'm going to go to my Muun wallet, created by an awesome team in Argentina, and I'm going to send that Bitcoin right now and it's going to go and it's gone. That's a bearer asset that has just moved instantly around the world. And I didn't ask permission from anybody. So again we get back to this conflict about how are we going to build social media and communicate with each other without censorship and surveillance? It's through Bitcoin. I just want to underline why I think Jack is so persistent in this. Because it must be such a struggle to watch the entire world criticize everything you do and I think that's fair. We should do that and hold you to a higher standard."
Dorsey,You should definitely do that.
Interviewer,"But this is not some magic fairy dust. This is real. Lightning is real. And I just sent a bearer asset around the world and nobody could stop me. I didn't have to ask any permission, I didn't have to prove my identification. This is an actual revolution. So when we talk about Bitcoin and Lightning, if we're going to build it the right way, it has to be non-custodial. Now, minutes before you walked on stage, you announced something pretty big that you are going to do at Square. Do you want to talk about your vision for non-custodial Bitcoin use?"
Dorsey,Yeah we're considering building a non-custodial hardware wallet. The thing we want to do is make it completely in the open. From all of our software to all of our hardware design will be open source and will be on Github. We want to build it in collaboration with the community. So we started a thread today asking some questions about our design principles. We don't want to compete with the hardware wallets out there. We just want to take it to the next level and take it to 100 million more people who have non-custodial solutions. And we're likely to do it sometime very soon. But we wanted to make sure that we're thinking about this in the correct way and that we're reaching out to the right folks in the community to build it.
