name,line
Interviewer,You look focused and pretty happy. Have you calmed down?
Eminem,"I'm on probation now, so I don't have a choice. But I probably would've done it anyways, perhaps it was a blessing in disguise. I'm growing up, and I figure there's a certain level of maturity that comes with that.  Hailie is better at this than I am. You know, when you build a booger castle with your daughter, that's quality time. It's actually what we live in now, and we built it ourselves."
Interviewer,"You wrote this album during an insane year, lawsuits, divorce, the threat of jail time. Tell me about the early stages of the album."
Eminem,"""Sing for the Moment"" was the first song I wrote for the album; ""Cleanin Out My Closet"" was the second. I had the line in ""Cleanin Out My Closet"", ""I'd like to welcome y'all out to The Eminem Show"", and it was just a line, but I sat back and I was like, ""My life is really like a fucking show."" I have songs on the album that I wrote when I was in that shit last year, with a possible jail sentence hangin' over my head and all the emotions going through the divorce. I went through a lot of shit last year that I resolved at the same time, all in the same year. And, yeah, that's when half of the album was wrote."
Interviewer,"""Dream On"" was a desperate, hopeful song when Aerosmith wrote it. Is that why you used it?"
Eminem,"Yeah. I was in that shit, and I didn't know what was going to happen to me, I thought I was goin' to jail. But the scariest thought was, ""How am I going to tell this to Hailie?"" What am I going to say, ""Daddy's goin' away and he's bad, and you have to come visit him in jail""? I never told her anything, because if there was a slim chance that I'd get off, then I didn't want to put her through that emotionally, being scared. She hates when I go away, anytime. ""Sing for the Moment"" is that frustration and all that shit. There I was, in the fucking precinct getting booked, and the cops were asking me for autographs while they were fucking booking me, and I'm doing it, I'm giving them the autographs. But I'm like, ""My life is in fucking shambles right now, and you look at me like I am not a fucking person. I am a walking spectacle."" I signed it. ""They're the police, and I'm sure that if Marshall is a good guy, word will get around, so OK, fuck it, lemme do it.""."
Interviewer,"OK, yeah, I'm a criminal and I did a couple of things that I shouldn'a did, but I'm still a human, and people make mistakes. I didn't do anything different than any other person would have done that night . Some people would have done more than me, but I don't know of a man on this fuckin' earth that would have done less, not to say exactly what I did."
Eminem,"You always talk about your daughter, Hailie Jade, in your songs, but on this album, ""Hailie's Song"" is a much more personal message. Plus, you sing, that is certainly putting yourself out there."
Interviewer,"That song was stress off my chest. That's how it is with every song I do; it's therapy and it's releasing everything onto a record instead of doing any of it. I really dumped my feelings out in that song. I love my little girl enough to sing to her, for one, and two, it wasn't easy what I went through last year. Divorce is the hardest thing that I've ever worked through, not that I'm bitter or anything like that. I'm a better person because I went through it, but it was hard at first. I've known this chick all my life, she's the first true girlfriend that I ever had. You grow up with this person, and then they want to leave you. And at first you don't know what to do. You know, I put the blame on everything. I put the blame on myself, I put the blame on my career. But as I got through it, I stepped back and looked at the whole picture. I realized it wasn't my fault and there's nothing I could have done. It was inevitable. It's cool, me and Kim are on speaking terms, we can communicate, no hard feelings, fuck it. Didn't work, you know, after eleven years."
Eminem,You've produced more tracks than ever on this album. Was that a result of having a home studio?
Interviewer,"Yeah. I actually know how to program a drum machine now. It used to be so simple, just writing lyrics and raps, laying vocals and leaving the studio was great. But now that I'm so into producing, it's a fucking job."
Eminem,"What comes first for you, the rhythm or the rhymes?"
Interviewer,"It's both. Sometimes I get a couple lines in my head, and the way they're going, I go downstairs and make a beat to that rhythm. That's why a lot of my drum patterns are crazy, offbeat patterns, because of the rhyme. Now more than ever I try to make my rap go right with the beat. I listen to my older shit, and I can't stand it, because I fell behind the beat too much. Like ""My Name Is"", I fucking hate that song anyways."
Eminem,You wouldn't be here without it.
Interviewer,"Yeah, I didn't hate that song when I first made it. But the shit that I really, really like, that I put my heart and soul into, I don't get recognized for, like ""The Way I Am."" There's a difference between me being funny and me being real. I feel like I don't get recognized for my best shit, the shit that's my real, true feelings and emotions."
Eminem,Those songs definitely scare the people who love the humor in your big singles.
Interviewer,"I was talking to Steven Tyler the other day. He was saying that if he has to make songs that appeal to everybody to get people to listen to his realer songs, that's what he'll do. My theory is the same. You gotta play the fucking game, man. One day I want people to look back on me, when my time is over, and say, ""He knew what the fuck he was doing."" If they say that now, too, that would be great. The ultimate thing is to be recognized for quality shit."
Eminem,"By now, do you know when you make a record that will sell well?"
Interviewer,"Failure has always been the biggest motivation to me, the fear of losing and somebody getting the last laugh on me. I've felt since my first day of rapping that my time is ticking. That's how I've based my whole career, that this may never happen again. The truth is, this could end tomorrow. I've seen so many albums get slept on. Pharcyde's first album should have been huge, that shit should have sold 6, 7, 8 million. Fans are so fickle and so quick to turn on you, too. Suddenly, you're not cool no more, you're like the Kris Kross jeans or something, even if at first you're the greatest thing since sliced cunt."
Eminem,"Now that you have joint custody of Hailie, you're spending more quality time with her. What's a typical day like?"
Interviewer,"When I'm home, I wake her up in the morning, I feed her some cereal, watch a little TV, take her to school and pick her up. Lately, I've been taking her to the studio, because that's where I spend most of my time. She has fun there, there's video games for her and stuff. Coloring books and crayons, thank God for those. We watch a lot of movies, just typical shit. She's real into The Powerpuff Girls and Hey Arnold! and Dora the Explorer, ever seen that one? It's the same episode all week long because it teaches kids numbers and how to speak Spanish. By Friday, you know it by heart. I watch that with her, then I go listen to my songs over and over. I'm gonna fucking jump off a bridge."
Eminem,"I try to keep Hailie sheltered from most of the bullshit. When September 11th happened, I didn't tell her that morning. I just didn't know how to explain it to her. I switched on the TV and saw the second plane hit. She was still sleeping. I got her up and took her to school, and within a couple of days she heard about it there. Those are things that I have trouble with, explaining to her all the fucked-up shit in the world. I try not to drive myself crazy with what to say if she asks me certain things. There's a few things that are going to be tough to deal with."
Interviewer,Some of your lyrics about her mother?
Eminem,"No. Kim is pregnant. I have no idea who the father is. I just know she's due any day. So Hailie is going to have a baby sister. It's going to be tough the day she asks me why her baby sister can't come over. I've tried to keep her sheltered from those issues. Of course, she's going to find out shit as she goes through life, but I really don't want her to learn all the fucked-up shit on my shift."
Interviewer,"But, you know, Hailie listens to my music, and I go back and forth with myself a lot about it. When I was six, music flew by my head. But I caught it if there was a swear word. If I have a song that has a lot of swear words in a row, I make her clean versions and play those in the car. I don't cuss around my daughter. If someone else is around and they say the f-word, she's heard it before; I don't say, ""Hey, watch your mouth around my daughter."" That would be ridiculous. After all, I'm Eminem, Mr. Potty-Mouth King. I try to be a liberal parent and be open about things. If somebody is smoking a joint in a movie and she asks, ""Daddy?"" I say it's a cigarette, a big cigarette if it's a Cheech and Chong movie. She doesn't know about drugs yet, and she's not old enough for me to explain that they're doing drugs and those are bad."
Eminem,Do you want more kids?
Interviewer,"Oh, no. No more kids for me. I'm cool. I'm chilling now. And no more marriage. I would rather fucking be on a coach flight with 'NSync at the back of the plane in the last row in them seats that don't go back, just stuck there with the bathroom out of order. I would rather have a baby through my penis than get married again. I can't take what I went through last year. I don't ever want to experience that again."
Eminem,"You've said 8 Mile is not a film of your life, but there are many similarities."
Interviewer,"I don't play me in the movie. There are similarities because I sat down with Scott Silver, the script writer, and told him instances from my life that were used in the movie, some exactly the way they happened, some a little bit different. I play a guy named Jimmy who grows up in Detroit and tries to make it as a rapper. It's pre-Tupac's and Biggie's deaths; it's supposed to be '95. Now, it's a lot more acceptable for white people to do black music, black people to do white music. The barriers are more broken down."
Eminem,"On this album, you speak openly about being more successful because you are white."
Interviewer,"Oh, definitely. It's obvious to me that I sold double the records because I'm white. In my heart I truly believe I have a talent, but at the same time I'm not stupid. I know, when I first came out especially, being produced by Dre made it cool and acceptable for white kids to like me. In the suburbs, the white kids have to see black people liking you or they won't like you. You need that foundation of legitimacy. The Beastie Boys, they had respect from the hip-hop community, and that's what made them."
Eminem,Are you expecting as much criticism from the PTAs of the U.S.A. for this album?
Interviewer,"You put your shit out there for the world to see and to judge, and whoever agrees with you agrees with you. Even my most die-hard fans don't agree with everything I say. These are my views, this is how I see it. You may have your own opinion, but you may not get to project it to the world like I do. The fact of the matter is that kids ain't supposed to get it. It's got a parental-advisory sticker. Yes, of course, kids are gonna get the album. But it's cool. When I was thirteen, I got music I wasn't supposed to have, and look at me, I turned out fine!"
Eminem,Do you regret any of your past controversial statements?
Interviewer,"Sometimes you say things that sound really good at the time. And that's what ends up in the big print in the magazine. For example, ""I blow elephant cock"", that's bold letters on the front cover. EMINEM: I BLOW ELEPHANT COCK. And I do, just in everyday life, it's my routine in the morning."
Eminem,That will put a twist on all of the homophobia controversy tailing you. How did you feel about that then and now?
Interviewer,"I was ready for it. I knew there was something comin', I didn't know exactly what it was, but Dre was like, ""You better get ready, some shit is about to happen."" He went through it with N.W.A."
Eminem,What do you think of psychotherapy? A lot of people out there think you need it.
Interviewer,"I think it's bullshit. I don't need no shrink. My music is my shrink, you know? What are you gonna do, you gonna pay a guy to sit there and listen to your problems, and dump your heart out? Let the world do that. The world is my fuckin' therapist. I tell the world my problems, and that's it."
Eminem,What would have happened if you didn't get the chance to tell the world your problems?
Interviewer,"I would be either still workin' at that restaurant, Gilbert's Lodge, or I would have gone postal at Gilbert's Lodge."
