name,line
Interviewer,What is Em's favorite Mexican food?
Eminem,Tacos bitch.
Interviewer,How does Em keep a straight face while incorporating so many awesome puns in his lyrics?
Eminem,"I laugh enough when I am recording them, that's why I never smile."
Interviewer,What's Em's favorite place to masterbate outside of home?
Eminem,McDonald's bathroom.
Interviewer,Does Em clean at home?
Eminem,I wipe my own ass.
Interviewer,"Can Em mix his own music, using recording functions like compression and EQ?"
Eminem,Pretty damn close.
Interviewer,Did Em stroke Rick Rubin's beard for ideas when they got in the studio?
Eminem,"No, we only sampled The Stroke. He's of course referring to the Billy Squier song The Stroke that Eminem sampled for Berzerk."
Interviewer,What does Em wear to bed?
Eminem,Socks.
Interviewer,What annoys Em the most?
Eminem,When people keep asking me if I am retiring.
Interviewer,"If Em could change one thing about the Marshal Mathers LP 2, what would it be?"
Eminem,"I would have added Don't Front' on to the deluxe bonus disc but we didn't clear the sample in time. That song, which is built off of a Black Moon sample leaked this week."
Interviewer,Was Dido ever considered for an appearance on MMLP2?
Eminem,"Yes, was considering her for Bad Guy' but thought it might give it away. Bad Guy is a sort of sequel to Stan, the track Dido sang on on the first Marshall Mathers LP in 2000."
