name,line
Interviewer,Oh wait oh my god eminem i know Eminem aka Slim Shady had to jump back out 95 know underground joint giant know.
Eminem,About got the new joint out that's blowing up the spot he's supposed to meet me the dog is late so y'all stay.
Interviewer,Tuned cuz you know it's about to be all too easy where Eminem and Joe cleans on the rat City we read back.
Eminem,But notice so y'all stay tuned miss Roffe city Jill Klees and Eminem yeah hi cha back here Rap City no please.
Interviewer,He's village why you hurry snap it explain to people the spelling of your name is it doesn't mean anything.
Eminem,What you have the e means absolutely nothing I didn't want to get sued by him and him so build it out marshall mathers.
Interviewer,It's my name so that's my initials you know put them together so two M's and I spell them out in one word and I don't.
Eminem,Know how i managed the spelling because I'm illiterate but good good and I manage and I think I spelled it.
Interviewer,Correctly we got to talk about being a white rapper in the black field or whatever whatever now I know you're.
Eminem,Sitting in about it because they about it from everybody everybody on the street.
Interviewer, however it's it's you yo I'm like this to put a label or something it kind of like disgust me they're just $19.99 and.
Eminem, people still get way who is white rapper I want to see I just want to live to see the day that that we don't put labels on.
Interviewer, anything I'm gonna live to see the day but I'm just a rapper I'm just the artist you listen to music you don't.
Eminem, watch music you listen to it unless you're watching the video of course you see the image and everything that's all.
Interviewer, part of the whole thing but I'm like this I'm like who stick is music the music is for the ears.
Eminem,  I saw her video I was I was bored sighted because the fact that you simply.
Interviewer, paint with the skills it wasn't the gimmick that okay I'm white guy and I'm rapidly Dimmick was I got skills in.
Eminem, what's up and I felt we're back Joe please this guy an Eminem I mean something away when I say something look.
Interviewer, this is obvious he's or something else and you bless you can get to that level but you can't be late to hit me now know.
Eminem, what I'm saying  what's up would be from Detroit another.
Interviewer,Another way they categorize hip-hop you say you don't want to be just a white or black rubber you just want to be a.
Eminem,Rapper another way to categorize be formally known as the artist they they categorize look with you from come on in.
Interviewer,Detroit what's it uh it was a tough this opticore the book it was hard man being just just a MC in Detroit besides.
Eminem,Regardless of being just the white mc just being the MC from Detroit no matter how many battles are won no matter how.
Interviewer,Many no matter how many rap contest i won no matter how much stuff I was doing it didn't matter I was in Detroit.
Eminem,There's no there's no labels in detroit there's no there's no way that for the industry to see talent and in New York.
Interviewer,In new york in detroit so until I started taking until I started taking it elsewhere and start.
Eminem,Until i started going to like i went to the 97 scribble Jam and I took second place in the scribble Jam and then I.
Interviewer,Went to the 97 rap olympics at the end of 97 I went there and I took second place in that West.
Eminem,Shoulda took first independently destroy say I make these all so the production company that I was.
Interviewer,With the production company i was with I was with this production company was called web entertainment FDC productions.
Eminem,And it was like they was like we started selling units to we got a little distribution deal to fat beats we.
Interviewer,Started stumbling supersize ivs here in the city yeah fat beats in obesity and it was.
Eminem,Also it was in new york it was in la you know and I mean and it was like we started selling units to fat food so we.
Interviewer,Was like my production company was like yeah we should we should just take it everywhere we can so they got it like.
Eminem,Just little own or whatever we didn't sell a with it as soon as we went to LA we was gonna work our way back from LA.
Interviewer,Back to the east coast we were just gonna put it in as many stores as we could as soon as we did that it was like.
Eminem,Um you know tre found it j got wind of it you just we come back y'all we gonna talk to him.
