name,line
Interviewer,When the album first came out music to be murdered by and I was like okay sometimes I like to trip off people's.
Eminem,Reactions and and i didn't get the young ma line when she was like you can lead this earth I'm in rake mode.
Interviewer,Why is it richer than you leave this earth rake mode and it just flew over my head and I was like damn I didn't even get that mm-hmm and.
Eminem, like you reversal I will when you said that I got the John Wilkes this who I'm in the booth like a bruh I go ham for.
Interviewer, dead presidents I got the ham from a bruh ham like I got the a bruh but I didn't get a bruh like a bruh like I.
Eminem, missed that no I was like how did I miss that goddamn yeah I mean that's what happens.
Interviewer, like that Ohio scheme you did that was crazy and it took me like two listens to get to Cincinnati.
Eminem, yeah you know what I'm saying lying I was like wait a minute since then since anadi.
Interviewer, yeah oh sure this thing for address yeah I saw I saw some people got there and I was like kind of sometimes I don't know.
Eminem, if you ever be sitting around writing some in your life man nobody's gonna get this yeah and then you're.
Interviewer, like oh well let me just try it and see if anybody does like but that's that's the like that's kind of a beauty of.
Eminem, wordplay was like sometimes people ain't gonna get it the first list and they'll get it the second third fourth fifth.
Interviewer, listen it's gonna take a lot of lessons for the new one that you just drop music to be murdered by the line it's so many.
Eminem, lines in your phone what's up y'all sure man can crook it I'm live and dr. Dre's lab right now you.
Interviewer, know what I'm saying and um I could spend the whole episode giving you know props to the man across the road for me.
Eminem, you know his achievements are just incredible you know I mean um what are you doing worse he's oh you thought my.
Interviewer, meat yeah you're saying I got the homie in the house one of the greatest of all times Marshall Mathers thank you thank.
Eminem, you thank you for being here brah absolutely appreciate your time man um let's jump into it man let's talk about.
Interviewer, music to be murdered by Islam inspired by the 1958 release from Alfred Hitchcock with the same title what made.
Eminem, you do that well it was actually Dre had the sample like years ago right and he made a beat to it and one day just.
Interviewer, popped in my head I can't remember why so I hit him and I was like yo what did whatever happened to that beat and he.
Eminem, was like I was still around so but the beat was the beat was different I just updated a little bit with some drums and.
Interviewer, right but like that was but it was based off that that I started thinking like you know the whole concept is crazy.
Eminem,Like music to be murdered by like i wonder if I could play off this whole Alfred Hitchcock thing and and then Dre.
Interviewer,Started hitting me with ideas it was like yo you need to listen to this album that he has so he sent me a link to that.
Eminem,And i started listening you know i was like yo okay I could face this whole album off of that Wow there was actually.
Interviewer,Some stuff that didn't make it on there that I was trying to get on there but we couldn't really work it out with the.
Eminem,Sample clearing but i had it even more intertwine and it was and we wanted you know pick and choose the best pieces to.
Interviewer,Put on there just first sampling issues and but uh samples Yeah right.
Eminem,When i was stuck in traffic for like three hours listening to it over and over and over and I caught something new.
Interviewer,Every single time and it's like this is gonna it's gonna take you know to about twenty twenty-one or some for.
Eminem,Everybody really gets all of and i'm talking about avid fans yeah you know then like when you write in that type of.
Interviewer,On that level you know like you said you say you just put it in anyway even knowing that it could slip by people's.
Eminem,Radar yeah i feel like i feel like you know there's a certain there's a certain kind of fan it will get that and there's.
Interviewer,A certain kind of fan it might just be the average listener who doesn't you know they like hip-hop and and it sounds.
Eminem,Good something sounds good to them right but they might not understand exactly what we're doing how dope it is yeah but.
Interviewer,Well but but that's what's dope about those reaction videos and also the the people who break down the lyrics and.
Eminem,They show you like okay he was hitting these syllable schemes right here every single syllable there's five syllables.
Interviewer,There in hor seven right and he was hitting these right here and he started a new syllable scheme rhyme with that.
Eminem,Syllable scheme and then came back at the end and Ryan with the you know I'm saying I think that that helps people.
Interviewer,Like really understand the genius yeah it's only enough for one joint stopping the limo hop in the window shopping the.
Eminem,Demo gunpoint yeah the outer rhymes are two syllables the inner rhymes of five syllables yeah.
Interviewer,That's in my opinion what makes you want to do this a long time yeah but that's to me my opinion back to you because.
Eminem,When we did the what the was it my house like this is this mean Royce chuggabug this all the time we're.
Interviewer,Like crooks to me on the song alright but uh but we joke about that all the time cuz it's like you and him to me make verses that even if you.
Eminem, laid them first they're unstoppable so it's like I can only hope to tie mmm at best that's.
Interviewer, because we must be a compliment from you dying bro when you did in my house the lights out or utility.
Eminem, in the facility physical life out to wipeout I forgot the next scene but it would utilities in different like he was.
Interviewer, rhyming all that right like that was like and and and and being able to keep it going like that's what I think a.
Eminem, lot of a lot of the average listener sometimes might not understand that we did this you know because some people.
Interviewer, don't catch the syllables they think that were you know rhyming you know my house the lights out utilities in the.
Eminem, facility like house rhymes and out rhymes right they're not catching the full scheme yeah yeah they're not.
Interviewer, catching them my house lights out digital life spouts wipeouts like there's two there but then there's.
Eminem, utilities and the same thing it's like that's the that's the beauty to me of the craft of M scene is that that's.
Interviewer, important to you oh yeah yeah because it's it's and I know it's important to you because it's what makes rap fun.
Eminem, right right so sometimes we might not we might not have a we might we might be in the mood to like not even not to write a.
Interviewer, song that might not have a message to it why not really be saying anything that's important right but it's more about the.
Eminem, craft and we're just trying to go as hard as we can go you know and I think that that to me is what makes it fun.
Interviewer, right it's being able to you you know when you thought of it hey bruh I'll go ham for deaf prisoners.
Eminem, like you feel something right when you think of that your little that's come okay yeah yeah alright let me let.
Interviewer, me figure this out let's go down with this scheme and figure it out but that's that's to me man is beauty of uh of this.
Eminem, culture um younger make a lab come about I was very surprised to hear her on there you know me she's been doing.
Interviewer, damage yeah all around well he put out ooh yo she's dope that kind of started.
Eminem, following a little bit and then it was like I started watching every video she put out why and I was more so like.
Interviewer, intrigued by her persona like how like she just carries herself like a star right right like she's just like.
Eminem, charisma right right but she also had the bars and I was like man like this is like like she's really got bars like I.
Interviewer, was so then I I just went down the wormhole of like to eat freestyle she did right and then she did flex and how.
Eminem, she was just calm murdering it on flex right but she barely even raised her voice yeah like she was just calmly.
Interviewer, killing it I was like oh my gosh she's so I just reached out I was like you know I want to I want to put on an album.
Eminem, in like I'm gonna do something with her and hit her up and I was like yo I want I said I got just intro to the album and.
Interviewer, then I want you to be the first thing that people hear after that you know I'm saying like gave it up Ali oh yeah crazy.
Eminem, yes she just went in yes he murdered it is that what you do you go down a rabbit hole with different artists when you.
Interviewer, when you start liking them and you go down to Wormold kinda it's funny because I usually spend I mean this has been.
Eminem, this way for a while I usually spend like an entire Saturday if I'm not at work I'm not at studio I spend like an.
Interviewer, entire Saturday going through everything this out you know I'm saying like checking out.
Eminem, everything Wow yeah I hear that on Saturday so y'all better bring you our best never know who listening.
Interviewer, you know for real man um Black Thought like I feel like you guys finally gave us what we wanted a collab you know what.
Eminem, I'm saying um how do L did that happen well I had been wanting to do something with him.
Interviewer, and I just never found the album or the song that I felt like would be good to get him on it was worth you know I'm.
Eminem, saying like this might be right up his leg jinan made the beat right so Royce put a verse on it and then q-tip had to.
Interviewer, hook and when I heard the hook I was like my my and I was like me him accounting from.
Eminem, the same era you know saying so this might work right so I just hit him up to Royce asked if he could send him the.
Interviewer, track right and he says help me magic yeah I'm a magic that was a collab that hip-hop has been waiting on for long yo.
Eminem, his Funk Flex freestyle was just like oh my god I'm in here for 10 minutes yeah crazy crazy.
Interviewer, would but again is what we love about this music right is because especially as a competitive rapper right we're apt.
Eminem, to be we're competitive rappers right we're not just like we're in it we do this this is what we do and it's like.
Interviewer, inspiring to hear that but it also like kind of gets you like yeah yeah like gives you anxiety right but.
Eminem, it's like but at the same time you kind of get pumped up about it and be like oh every time something new comes out.
Interviewer,Like that you're always like like my mindset is like you know I gotta try and top that right right right you know Sam.
Eminem,And then you go do it um first of all congratulations man ten number ones on Billboard 200 that's.
Interviewer,Already booked you know i'm saying i gotta put that out there man highlight how does that feel don't like you know.
Eminem,I'm saying did you ever imagine that you have ten number ones ever ever in the history of my life like I could never.
Interviewer,Like imagine like like for me what was what's crazier about it that to me is like being able to meet my childhood.
Eminem,Idols being able to sit down with ll Cool J right my favorite rappers of all time ever when I had when I made the.
Interviewer,Relapse album right he sat in the car in the truck and we drove around and he listened to the whole album and I was.
Eminem,Sitting there thinking to myself like i don't I don't even know what to say cuz I don't want to play myself like I.
Interviewer,Don't want to like bow before we before you got the truck I was like yo man I just want to say like like what.
Eminem,You mean to me man like and i was trying to like not make it come off snappy but I was just like yo man I like I'm I'm a.
Interviewer,Stand of you know saying like this but but just to sit there and be like all right 15 16 year old marshal thinking.
Eminem,That that could actually happen one day when I'm will be sitting in the car ll is gonna be sitting around in the car.
Interviewer,With me and he's listening to my album out of here Wow like that to me like meeting Dre was like holy is that what kind of keeps you grounded.
Eminem, like your love for the culture I mean is that like you know after a huge amount of success you know it would be easy for.
Interviewer, you to be a different type of person you know saying like what keeps you grounded I just think I mean I I'm so I'm so in.
Eminem, love with this artform right and I'm so passionate about it because it's really the only thing that I ever was good at.
Interviewer, you know I'm saying like like aside from basketball I'm amazing at that but that's the one getting buckets yeah okay.
Eminem, but uh nah it just you know I I just love it I love I love to watch like you know.
Interviewer, like the why bein Corday's come up and you're like oh he's gonna be the next you know I'm saying like it's the.
Eminem, same why when I listen to one of your songs I don't really want to cuz it gets like I get anxiety but I have to I.
Interviewer, mean I not that I don't want to but they're man I mean it's nerve it's nerve wracking every time you.
Eminem,And royce you know and i think because that you know we're also in this circle together kind of in its lake but it's.
Interviewer,Like like y'all are the rappers you want him on the rappers that out that I get anxiety being on a song with because I'm.
Eminem,Like man i got a i gotta push the pen rap is like tec-9 right right he's so proficient.
Interviewer,Right no another word to say you know I'm saying like he's so like man he craps out every syllable every one every.
Eminem,Single one every rhyme scheme like it's just like you're hearing twenty different things that rhyme with.
Interviewer,Each other in succession absolutely yeah and I'm sure you hate this too late to be like well yo you don't understand.
Eminem,What we're doing right right right right sometimes some people really don't understand what we're doing they don't.
Interviewer,Understand it i mean and i get it sometimes if I listen to something that you may I'll be like damn either why.
Eminem,Didn't i think of that or you know damn I said something kind of like that but I don't say it like that and then it's.
Interviewer,Like okay i can't say that now because he already just said it you know what upset yeah that's always crazy man ah.
Eminem,It's a new era man like i always wanted to know like what's your perspective on people with longevity such just self.
Interviewer,Adjusting to the new era of hip-hop you know I'm saying yeah that's that's you know that's another one of the things.
Eminem,That make it fun too is like being able to watch like Cole and Kendrick come up and seeing how how great they were right.
Interviewer,Off the bat and it's it's like you start my god I mean aside from them like I pay attention to everything that's going on.
Eminem,You know i'm saying like right now all the new I try to stay up on you know who's doing what flow patterns that.
Interviewer,Kind of because it's always interest it interesting to me like the baby like I never know where his rhymes.
Eminem,Are gonna land right you know i'm saying and that is so interesting to me cuz he does it so well it's the same.
Interviewer,Thing with you and royce it's like i don't know I don't really know where this is gonna go and and when I get on a.
Eminem,Song with with you or him i know what I'm gonna get in the sense of the bar it's gonna be but I don't know what I'm.
Interviewer,Gonna get what what style what you don't I'm saying I don't know I can't predict right.
Eminem,A flow pattern i can't never do anything it's the same thing if I get on us getting on the track with Kendrick I can.
Interviewer,Never tell what the he's gonna do right cuz he is such a chameleon of styles and he can do any pretty.
Eminem,Much anything right any any so proficient at it he's so good at it and you don't know what you're gonna get.
Interviewer,That to me is like a top-tier lyricist because it's like you don't you can get your ass kicked any day you know I'm.
Eminem,Saying like certain rappers get on a certain song and it's like it just depends on ya just like you I mean you.
Interviewer,Probably inspire countless you know stupid bars when people know okay I got to get on a song with em you know I'm.
Eminem,Sayin i mean they just know you know i'm very surprised if you ever have done a song with every time I listen to a song.
Interviewer,That you've done with another artist it's always one of their best verses you see what I'm saying it's like you.
Eminem,Inspired them to push their pin like that you know I mean and that's got to be something to walk in the room and.
Interviewer,Just change the energy absolutely absolutely I mean but it's you know it's it's a.
Eminem,Craft that you know we've i don't know if I've mastered it yet but it's but I'm still trying to figure out like as.
