name,line
Interviewer,Why don't you smile?
Eminem,ain't shit funny.
Interviewer,Where is the toy warehouse?
Eminem,google that shit.
Interviewer,Do you put Nutella on your waffles in the morning ?
Eminem,í've been doing the berzerk face for two months straight.
Interviewer,"Hi! Which person from history, do you most admire.. and why??"
Eminem,"ali, wasn't afraid of any challenge."
Interviewer,Did you overcome your fear of giraffes?
Eminem,"no, just sick of sticking my neck out for people."
Interviewer,"If you could go back and change one thing about MMLP2, what would that be and why?"
Eminem,I would have added don't front on to the deluxe bonus disc but we didn't clear the sample in time.
Interviewer,What made you change your hair color again?
Eminem,slim shady's back bitch.
Interviewer,How are you doing?
Eminem,good.
Interviewer,What tips can you give to people who's just starting to write songs.
Eminem,keep writing.
Interviewer,i dont know what i ask :/.
Eminem,i don't know what you say.
Interviewer,Ladies send me a friend request. married or single:) friends are always good:).
Eminem,sned this guy a friend request.
Interviewer,do you even lift?
Eminem,fuck yeah bro.
Interviewer,What is your all time favorite thing to do while you wind down from a busy day?
Eminem,"nintendo bitch, run punch jump."
Interviewer,do you have a dog?
Eminem,nope.
Interviewer,What do you think of Macklemore and Ryan Lewis and their style? What other artists do you like?
Eminem,I think they made a great album.
Interviewer,how long did it take to write Rap God ?
Eminem,six minutes and one second.
Interviewer,What do you think J.Cole?
Eminem,He is dope.
Interviewer,What tips can you give to people who's just starting to write songs.
Eminem,keep writing.
Interviewer,Who's your favorite comic-book hero?
Eminem,spiderman.
Interviewer,"That Ken Kaniff in Wicked Ways skit, damn man, laughed so much."
Eminem,"thanks, me too."
Interviewer,Are you the first rapper to smack a bitch or say faggot?
Eminem,apparently yes.
Interviewer,Who's your favorite basketball team?
Eminem,detroit pistons.
Interviewer,what time is it there ???
Eminem,you have no idea how funny that is.
Interviewer,what is your favorite TV series/show?
Eminem,the wire.
Interviewer,Favorite spot to masterbate outside of home?
Eminem,mcdonald's bathroom.
Interviewer,What's your favorite Mexican food mother fucker.
Eminem,taco's bitch!
Interviewer,Awesome!
Eminem,indeed.
Interviewer,what is byour favorte NFL team.
Eminem,the lions.
Interviewer,Why do you hate the broncos so bad?
Eminem,"i don't, matthew does."
Interviewer,Did you ever stroke Rick Rubin's beard in the studio to get ideas?
Eminem,"no, we only sampled the stroke."
Interviewer,I wish you could see my questions.
Eminem,i kinda just did.
Interviewer,Can u mix your own track alone? I mean Eq Compression etc.
Eminem,pretty damn close.
Interviewer,what inspired you to start rapping?
Eminem,ll cool j.
Interviewer,Ever eat Jets pizza? Best thing about warren MI when I visited :).
Eminem,"fuck yeah, its delicious."
Interviewer,How do you keep a straight face when you incorporate so many awesome puns in your lyrics?
Eminem,"i laugh enough when I am recording them, thats why I never smile."
Interviewer,Do you do cleaning at home? :D.
Eminem,i wipe my own ass.
Interviewer,How are you doing?
Eminem,good.
Interviewer,What is one thing that you get annoyed at the most ?
Eminem,when people keep asking me if I am retiring.
Interviewer,Have you had a nose job.
Eminem,if I did I should sue the doctor.
Interviewer,Why don't you follow anyone on Twitter?
Eminem,"always be a leader, not a follower."
Interviewer,I would cry if you saw this ;(.
Eminem,start crying.
Interviewer,Im sure that you are not going to see this comment..
Eminem,"boy were you wrong, gotta wrap this up. thanks everyone for the questions, I got to get back to work."
