name,line
Interviewer,"I was only able to listen the new album once before talking to you, and I gotta say, hearing tracks like ""Untouchable"" and ""Like Home,"" where you're rapping about systemic racism and politics-."
Eminem,I know where you're going.
Interviewer,Where am I going?
Eminem,You want to know how I can rap about that stuff and also rap about fucking ridiculous shit.
Interviewer,"Yeah, though maybe I'd use a different word than ridiculous. There's some dissonance hearing you, in the space of a couple tracks, go from trying to be good-faith woke about race and politics to being rough about women. Do those poles just coexist more peacefully for you than they do for me?"
Eminem,"They do, and how you think those things go together depends on what kind of fan of my music you are. Sometimes I'm trying to appease people who think, Man, I miss when Eminem was raw. But I'm not killing KimKim Scott, Eminem's ex-wife (the couple were twice-married and twice-divorced) and the mother of his daughter, Hailie, makes frequent cameos in his lyrics as a kind of negative muse. After the release of Eminem's ""Kim"" in 2000, she sued him for defamation. on songs anymore, we're good now, and she's the mother of my daughter. The truth is that going from one subject to a completely different one is a balancing act and I'm trying to give something to everyone. And as far as the attitude I have about those different subjects, I feel like I did when first I started out."
Interviewer,Meaning what?
Eminem,"Meaning I'm the same person. That's not to say I haven't matured, I've grown and sometimes I want to reflect that, but when I'm writing, a line will pop in my head that's so fucking ridiculous that it's funny, and depending on the punch lines I need and the rhyme schemes in the song maybe I'll use it. Those are the things I'm thinking about with some lyrics, almost before the actual meaning. There's a song on the new album, ""Nowhere Fast,"" and I say, ""I must have got you / In somewhat of a debacle / Because some stuff that's awful / Really don't mean nothing. There's a lot of shit I say in jest / That is tough to swallow."" You know, there's a book called Truly Tasteless Jokes; it's all fucked up shit; it makes me laugh, and that kind of stuff is where my brain goes. I'm not saying I've never gone too far, but people shouldn't be looking to me for political correctness."
Interviewer,"Except when you want them to, right? They involve politics more than political correctness but there are tracks on Revival where it sure seems like you're asking people to take you seriously."
Eminem,"Okay, it does depend on the song. People who know my music can tell when I'm joking around and when I'm being honest about a subject."
Interviewer,A subject like Trump?
Eminem,"He makes my blood boil. I can't even watch the news anymore because it makes me too stressed out. All jokes aside, all punch lines aside, I'm trying to get a message out there about him. I want our country to be great too, I want it to be the best it can be, but it's not going to be that with him in charge. I remember when he was first sniffing around politics, I thought, We've tried everything else, why not him? Then, and I was watching it live, he had that speech where he said Mexico is sending us rapists and criminals. I got this feeling of what the fuck? From that point on, I knew it was going to be bad with him. What he's doing putting people against each other is scary fucking shit. His election was such a disappointment to me about the state of the country."
