name,line
Interviewer,Some guy named kmart and it's his place this one's kmarts yeah.
Eminem,That's a very grammatically correct way of explaining it man i've known you for 20 maybe years.
Interviewer,Now you know that's crazy yeah that's that is crazy.
Eminem,Time flies but d.o.c told me once he would write him to a beat he's like he watched you and.
Interviewer,He watched you write it and he said you went in the studio and you start spitting the verse.
Eminem,And then i think you left whatever it was you wrote and he was like man i couldn't believe this dude wrote that.
Interviewer,Spit it killed it and then i went to go see what it was he left a piece of paper what he.
Eminem,Wrote and he said you wrote your rhymes it was all though.
Interviewer,In a circle or something yeah what was that is it because because what there's two.
Eminem,Reasons okay a is because if anybody ever finds it.
Interviewer,They're not gonna be able to decipher the puzzle okay but also really where where that that.
Eminem,Helps with that but really where it comes from is when i'm getting ideas i have to write.
Interviewer,A couple words down right away wherever they're at it doesn't matter i just have to get.
Eminem,Them out before i forget them these are the thoughts you know these words are connecting with these words.
Interviewer,Beautifully right here and this is a up thought and i probably shouldn't say this but it's s up that you know people.
Eminem,Are gonna know i'm joking i hope maybe not i don't know .
Interviewer,I've come here many times over the years what i would say doesn't look like it's looking right now.
Eminem,At that time it just seemed like detroit was just kind of struggling you know we claimed.
Interviewer,Bankruptcy in 2013. i feel like there is a new energy right now and we're definitely on the upswing.
Eminem,A little bit detroiters feel like they're kind of the underdog yeah like people look at us.
Interviewer,Like we're kind of the underdog it's it's almost that it's fighting spirit or.
Eminem,Something you know it's that that whole concept detroit versus.
Interviewer,Everybody that's kind of yeah that's kind of where that's that's the attitude of.
Eminem,You know it just i don't know it's always felt like that i remember coming up.
Interviewer,You know in the in the in the battle scene it was very it was very.
Eminem,It was doggy dog and i tell you why when you get on that mic you've got like two to four bars.
Interviewer,And you better impress you know what i'm saying or you get booed like you need to prove yourself or we're.
Eminem,Gonna cal downtown was like a source of opportunity but a lot of detroiters they.
Interviewer,Didn't live downtown seemed like they lived outside of downtown.
Eminem,Detroit is a big city so you can still be in the city but on the outskirts of it or you could be.
Interviewer,Downtown but it spreads out who was the artist back then that that would like the local heroes dilla.
Eminem,Dilla dilla slim village damn man man i remember those days too man proof proof had really started making a name.
Interviewer,For himself it was a weird time in my life i remember something fell through when i.
Eminem,Was super down and i had wrote a rhyme in probably three months.
Interviewer,Living upstairs in the attic that we turned into a bedroom at kim's mother's house right and.
Eminem,I get a call from proof and he's like yo what are you doing i'm like nothing man i'm just about to.
Interviewer,Go to work and he's like yo you need to come down to the shop tomorrow i hadn't even wrote anything.
Eminem,Like you know i'm saying like i didn't have anything and then i'm like all right i'm gonna have to write something.
Interviewer,So i remember going to work and thinking of the rhymes and then trying to learn it and he was like he.
Eminem,Basically explained to me he was i said yo i don't know if i'm ready for that man and he was like.
Interviewer,Look you come down i'm telling you i'm running this place now he was like you come down i'll shut it.
Eminem,Down just have a few people in here rap in front of him if you don't like it bounce you know leave don't you don't.
Interviewer,Have to come back and i'll say all right cool i was writing in the mind frame of every.
Eminem,Bar needs to have something that's going to get a reaction every bar because if i'm in front of the.
Interviewer,Crowd i'm going to get booed if i don't come with it i'm saying so so that's.
Eminem,Kind of how in that in that same kind of spirit or that same kind of mentality is.
Interviewer,Kind of how i still write today multi-syllable rhyming is kind of the thing i got addicted to.
Eminem,And when you start thinking of like whole sentences that rhyme with each other.
Interviewer,But in order to make that rhyme and do that sometimes you might be pushing the.
Eminem,Envelope a little bit yeah you know but that's why i've always been just like you know freedom of speech man.
Interviewer,There's a parental advisory you know listen if you if you don't want to listen.
Eminem,Turn it off don't buy it don't listen you know what i'm saying like i mean but it's hip-hop.
Interviewer,That's hip-hop man you talk about writing that perfect search for that perfect verse.
Eminem,Yeah yeah that have you found it uh i need any verses you wrote you feel like it'd be i.
Interviewer,I'm gonna be a hundred percent honest yeah i'll keep it 100 right now i feel like.
Eminem,I've felt this way for a long time i've always been chasing the marshall mathers lp.
Interviewer,Because i know that that captured a moment you know what i'm saying like it's kind.
Eminem,Of like a time capsule when i look back at it the the times that it was back then and.
Interviewer,The turmoil that my life felt like was happenin was happening so fast i was spiraling out of control and i had.
Eminem,A lot of rage when people say they missed the olympian and i feel like it's probably.
Interviewer,That you miss the rage and you miss me you know what i'm saying like i i don't have the rage anymore that i.
Eminem,Used to have but i still have the exact same passion sometimes it doesn't always come.
Interviewer,Out the right way you know what i'm saying sometimes it's just like what the is that and then take a pause man you.
Eminem,Know what i'm saying like who are you like i don't know who i'm competing with but i just want to be.
Interviewer,There's a lot of great rappers there's a lot of great artists there's a lot of great rappers coming up in this.
Eminem,Generation now that it's like i'm watching it and i'm loving it and just the competitive spirit in me.
Interviewer,Wants to keep up with the best of the best you know what time it is watch that like shanola you'll get clock black.
Eminem,Okay now it's the first round i'ma apply pressure i'ma let you pick one for the two two.
Interviewer,Blaze that's clyde drexler i got him back to back champ i'm better that's two rockets ringing for even.
Eminem,Dreaming i collide with you you could either ride stretcher or get tied between two cars and let the ride.
Interviewer,Stretch up play your cards right you know win lose a draw oh no i deck you you a joker.
Eminem,You comical you ain't sick you a common cold i'm calm and cold it's just different a.
Interviewer,Floyd punch to a drake song that look different when that forest hidden yes forest with it.
Eminem,Cause i wonder on the se and it looked different welcome to the end of this you can watch me go april my gorill.
Interviewer,That's animal penmanship that team chiller fits it's magic the bars averaging assists come get a dim.
Eminem,If i get better with time why do you whin i'm trying to press my buttons but i declin i blin boy i got more shine.
Interviewer,Than most of these sig go ahead and step brother a5a i can tell you about the game i got to play by play.
Eminem,Baker's man yeah you hear about the cakes oscillator my shoot is dirty and hair make my day.
Interviewer,Yeah planet dope is the antidote for tha that your man promotes i can make you a vegetable while busting.
Eminem,Your cantaloupe no elephants don't run with the antelopes you see it's just the law of the land i.
Interviewer,Do all that i can to not brawl with your man i got it all in my hands if i draw it from scram put your.
Eminem,Jaw on your fam godzilla and i keep getting calls from japan they get the voicemail yeah it's a.
Interviewer,Bother my l swing backs for me it's the dodgers i don't play with people's kids.
Eminem,Go get your father i made a living off being nice i'm mr rogers.
