name,line
Interviewer,"On the album cover, you seem a little disappointed in the country. Is that an accurate portrayal?"
Eminem,"I would say that's probably an accurate portrayal, but I do feel like we live in the greatest country in the world, but I know that we've got a lot of shit to work on."
Interviewer,"What are some things that, in general, bother you about America right now?"
Eminem,Obviously Trump. I'm not sure how to answer. This is what happens when I start talking about Trump
Interviewer,The songs that you created about Trump and about race relations in this country; are you concerned with how they're received by the public?
Eminem,"In a sense I am. I definitely want to reach people and hopefully be able to make people think. I feel like between the song by Joyner Lucas and the ""Untouchable"" song, maybe we could get some ears and get people's attention and make them think, the ones who are not woke yet, I guess, to what the fuck is going on."
Interviewer,There are two sides in this country that are very polarized and they ....
Eminem,"We can talk about the division that  got our country in. Part of me feels like it's almost single-handedly what he's done and to the extent that he knows he's doing it. He obviously sees the division that he's got our country in. You're on one side or you're on the other side. His side is growing smaller and smaller, I feel like by the day, because I do believe people are waking up to what the fuck is going on, which is basically that he's done nothing... Damn, I forgot what the hell I was saying. What the fuck was I just saying?"
Interviewer,That people are waking up to what Trump's done....
Eminem,"Yeah, his core is shrinking and it's interesting. I'll probably  10 times if we're talking about Trump, because there's too much I want to say, but it's almost like... It's so bizarre watching him play to his base that thinks that he cares about them and it's actually the people that he cares about the fucking least. If you're talking about his core being a majority white middle class people, what I don't understand is how in the fuck do you feel like you relate to a billionaire who has never known struggle his entire fucking life? Who dodged the draft because he had bone spurs in his fucking foot? You feel like this is the guy that's gonna fight for you? He's already proven with the tax break that he's not. That's not benefiting the middle class. I will say this, he talks a good one."
Eminem,"There's part of me that understands he's somehow still got them, because he's brainwashing them into thinking that something great is gonna happen. Nothing is happening. If you are listening to him and you're not willing to read or fact check, you might just tend to just believe what he says, because he's living in an alternate reality and he bends it to whatever suits him the best."
Interviewer,"Let's talk about ""Walk on Water."" One of the things that stood out to me when I heard the song was the way your voice sounded when you recorded it. It sounded very intimate and very clear. Could you speak about how you recorded it?"
Eminem,"Well, I think one of the things that makes the vocals come out so clear is it's a pretty bare track. It's just piano, really, and Skylar  and then we had discussed it. We were both like, ""Nah, we should just leave it like this so you can understand, hear everything and maybe hopefully get it the first time you hear it.""."
Interviewer,"Also on that record, you're talking about grappling with the criticism that gets levied your way both from fans and peers. Where do you get most of the criticism? How do you receive it? On Twitter? On YouTube?"
Eminem,"I see things. I don't have time to sit on Twitter all day, or read everything, but I do see things and I see enough. I'm probably a lot more in tune than people actually might want to think I am, but I see enough. I don't know, that song was more about just self-doubt, insecurities, that kind of shit. I've never really seen myself as, how can I say... The way I've seen some fans act towards me. Even to this day, I've been in this game a long time and it's still weird to me, because I just rap and I certainly haven't had a perfect career. I've put out some not-so-great albums and I realize that. Part of me feels like, I've felt this way since I did it, but part of me feels like I'm forever chasing The Marshall Mathers LP, because I do feel like probably the majority of people who listen to my music probably feel like that's my best album."
Eminem,"I recognize it and when I say my best album, I don't know if I had even made my best songs yet, because ""Lose Yourself"" came later and some other things. As a body of work, I feel like  how am I supposed to be?"
Eminem,"When I hear people say they miss the old Eminem and then I do the old Eminem, people go, Oh, man, he's too old to do that. He needs to mature his content. He's growing up as a man. He's in his 40s and he's supposed to be this way or that way. You know what I'm saying? He needs to mature. Then when I do that, then people go back to, I miss old Eminem. I'm in this constant struggle, this constant tug of war in my head. There's really no way to please everybody, there's just not, so I just kind of go with my gut, I guess, and what I feel."
Interviewer,Is it strange to get criticism from rappers publicly; like Vince Staples for example....
