name,line
Interviewer,You already be history all right there we go we're out of here all right go that's it sway so before we get started.
Eminem,Will you please sign this damn baby bro craziness our teenage years I didn't know I had bars once once upon a time.
Interviewer,Huh let me say marshall you want me to say yes please okay that's em pay rs80 mmm-hmm and I signed a vinyl for him.
Eminem,Yeah look at that man look at incredible yo yeah man your signatures so much better than mine thanks man yeah no.
Interviewer,Problem man oh man you threw me off with that up your whole not really this.
Eminem,Impressed that you dug that deep in the creeks man I didn't know you I'm always digging the crates uh that's good to.
Interviewer,Know man that's good to know do you want to use any lyrics from any of those songs on that vinyl but I doubt what I.
Eminem,Was gonna ask you where where cameras are off there's a couple bars and I wish I could have yeah that's cool man go.
Interviewer,Ahead man what's mine is yours man if it make your tighter you know to speak on Barstow and we are kamikaze came out you.
Eminem, know you shocked the world the way you did it what made you do it I mean a revival came out December 2017 I wasn't.
Interviewer, there long ago it's less than a year what made you just drop it on the world the way you did because I feel like I.
Eminem, feel like the way the climate is right now if you give people if you give people enough time to I got an I'm.
Interviewer, coming out in two months you give people time to say man you better have a song like this all right with it if.
Eminem, you don't have a song like this I ain't with it yeah he better not be rapping like this he better not be.
Interviewer,Rapping about this or i'm not gonna with it and when you go into an album you're going to anything with the.
Eminem,Mindset of this is gonna suck and then even if even if you kind of don't feel that way you're already kind of formed.
Interviewer,Your opinion in front of all your friends and you know I'm saying late so I feel like I feel like giving them.
Eminem,No warning was the best thing to do just because it doesn't give people enough time to you know when the revival.
Interviewer,Tractors came down the pipe yeah i remember that it was like overwhelmingly this is gonna be trash yeah.
Eminem,And that was me nobody really wanted to be wrong about it yeah they had already formed I'm not saying everybody but a.
Interviewer,Lot of people had already you know form their opinions so yeah that was interesting like revival really got ran.
Eminem,Through the wringer so to speak before it even got off the ground but you know it this is that day and age you know oh.
Interviewer,Yeah you know how but you just it to that like before which is what I find interesting about you before you spent.
Eminem,Your whole career being critiqued and criticized by organizations like LGBTQ community or college campuses or police.
Interviewer,Departments you know but hip-hop always stood by you so that was you know that's what you found your refuge but now it.
Eminem,Came from inside of hip-hop you know how did that affect you me sitting back and seeing things that I saw it was kind of.
Interviewer,Like i felt like i felt a bunch of different ways I felt like okay maybe because it doesn't sound like everything.
Eminem,Else in there in and what what most people are doing mm-hmm maybe that was what tainted their here because I.
Interviewer,Remember a time in hip-hop where you had to be so different from the next person or you were trash there's a shift.
Eminem,Somewhere that happened that if it doesn't sound like everything else then it's trash automatically yeah and I just.
Interviewer,Said back like okay all right i can take that it's not like I can't take constructive criticism but I feel like.
Eminem,It kind of went beyond constructive criticism so I had to go back to it and look.
Interviewer,I have made albums that definitely probably would not be my the top of my list.
Eminem,Mm-hmm what encore okay relapse which i believe encores are better album and relapse relapse is something that I.
Interviewer,Looked at a couple of years went back to and cringed at oh Jesus Christ I even realized I was doing that many accidents.
Eminem,I don't i just studied for whatever reason I just got into it and was just like started on this weird serial killer.
Interviewer,Vibe kind of thing and started wanting to talk crazy and start bending words more than only way you could bend them.
Eminem,Bend them is with this accent trying to use this one like and a couple years later I you know in making recovery and.
Interviewer,Slipping out of that getting out of the accents and Beyond it made recovery yeah and I always say that if it wasn't for.
Eminem,Relapse i wouldn't have been able to make recovery and if it wasn't with if it wasn't for revival.
Interviewer,I wouldn't been able to make this out so I'm good with it it just you know some people more than others went a little.
Eminem,Weird little far with it a little far what I want to get into that too and I almost you know when I listen to.
Interviewer,Kamikaze and i hear some people say man that's the vintage em we want it you know we want it shady back right and.
Eminem,When i listen to it man i have to admit man I hear something in you on this album that kind of made me rejoice.
Interviewer,Anyway i've done in the past i like the fact that you're not running from the criticism I like the fact that in this.
Eminem,Digital age you're not you know cowering and in reforming to what people think you should sound like how people think.
Interviewer,You should act and you're calling it out and I actually like some of these review shows that you see on YouTube and they.
Eminem,Take people's music and they have fun with it I look at these kids and I and I see us when we were young myself when I.
Interviewer,Was younger i've seen you too but we'll go to a G Rap Album and oh this was dope that was dope farside album this was.
Eminem,Dope yeah they just kind of doing that right and you dress them so you're that in tuned like.
Interviewer,In the beginning a ring ring when you talk about if you could teach fatigue me you know you can make millions if I.
Eminem,Could teach you there's nothing i would be yeah it gets into the territory where it's like it's like you got okay so.
Interviewer,Since the internet has become what the Internet's be coming here since YouTube and all that you've got so many how can.
Eminem,I say this it's it's almost like not enough Indians too many chiefs so it's like somebody everybody on the internet.
Interviewer,And in hip-hop especially is it seemed like either a rapper DJ a writer producer does something has something to.
Eminem,Do with it and it's in and i love the fact I love the fact that so many people now have been able to get on easier than.
