name,line
Interviewer,Dean guy slinger walks up to me said Gillman you got one of those CDs yeah and I kind of just tossed it to him.
Eminem,Right didn't think nothing of it i didn't know that Dean worked with Jimmy Iovine so he gave it to Jimmy.
Interviewer,Jimmy gave it to dre and not getting the call my buddy welcome to and on the  road hotboxing I'm Evan Britain and I'm Mike.
Eminem,Tyson and we got  eminem in the house shady in the house yeah you you got you got Marshall right now.
Interviewer,Jd's like this on yeah uh-huh yeah okay I'm so excited man if I start getting weird just stop me it's all good.
Eminem,We did good of the show okay yeah we get a little weird okay okay yeah no I I know we met at Kimmel and I didn't get a.
Interviewer,Chance to like really we can get a chance to talk you know I'm such a  huge fan I can't even like thank.
Eminem,You I can't even like I feel like a kid right now man like this is crazy I'm.
Interviewer,Emma i listen to your first album and i heard you talk about cus oh yeah yeah yeah man I've seen like pretty much.
Eminem,Every documentary every  every fight I've seen like everything that's available you know I'm saying like I'm.
Interviewer,Humbled right now i feel like i feel like a kid again why do you why did you become who you were why did I become who.
Eminem,I was um well i wanna do this you know um I just loved hip-hop growing up as a kid I just you know it was like like it.
Interviewer,Just it spoke to me more than any other music I had ever heard before you know from early like ice-t to.
Eminem,Fat boys and then ll cool j run dmc Beastie Boys and it just like I don't know it was like I did I didn't I didn't.
Interviewer,First first i was a fan of the music you know I'm saying before I even thought about rapping.
Eminem,Hello cool j was the one who made me like first start writing rhymes and I was like 12 13 maybe and it sucked you.
Interviewer,Know i wasn't good but like i had to keep practicing and practicing pressed I gave it up for a little while then I.
Eminem,Started again back when i was like 15 and started being able to kind of put songs together and then I just was like.
Interviewer,I'm starting to i was never really good at much else you know so I just I don't know once I found out I was decent it's.
Eminem,Something i just kind of focused and just you know went for it I was in the juvenile detention center and we heard.
Interviewer,The i'm not a rapper still i was it what the  was that yeah we heard on the streets in our.
Eminem,Neighborhood but we never thought it'd be on the radio yeah and it was on the radio we like what the hell with that we.
Interviewer,Just all blown away yeah music was being played on the radio yeah you know how about the fact that rapper's delight'.
Eminem,Was like a 7 7 some odd minute song yeah who had a radio pleaded they played it from top to bottom like it was so.
Interviewer,Popular off the hook mm-hmm and the nucleus jam on it yeah don't don't yeah I was like yeah I never really I.
Eminem,Never really like got into rock and roll or R&B or blues or anything like that I just like I you know I've listened to.
Interviewer,Songs on the radio or whatever my mom was listening to in the car but once hip-hop came along I just felt like man.
Eminem,This is like i don't know i just was all in yeah hip-hop was can't even imagine me he.
Interviewer,Gave you cried yeah but being like but the prototype of hip-hop at the beginning of it it gave us cried another.
Eminem,Our music people talk to it we talk with being on television being in the radio yeah yeah private yeah and it's a it's.
Interviewer,Also like it's just such a if you think about like how hip-hop from the start of it well I was there yeah and then it.
Eminem,Just like oh you thought in the front of every hip-hop club you got the  the hope of New York police station out.
Interviewer,In front of the club yeah it was just it was just and if you went to a hip-hop Club and you're marked it was hell yes.
Eminem,Even your neighbor you hardcore bebop hip-hop and that's what the  like that's.
Interviewer,What they said you  for but those those are.
Eminem,People all the criminals are thieves we all listen to hip-hop the money makers and everything the crew know the killer.
Interviewer,The robbers know all the  street urchins we all listen to that that's all we listen to and soon as we listen to we.
Eminem,Enjoy it but we're spot where we are surveying everything we're looking at the people with the jury to coach the.
Interviewer,Clothes and look and then we're getting ready to get them after the club is over that's just what hip I was about all the.
Eminem,While all the thieves were coming there they enjoy the music but afterwards oh but we gonna rob yeah that's the hip I.
Interviewer,Was about yeah once break-in came out the movie breaking and then Krush groove and beat Street man it was like yeah I.
Eminem,Just put it put the hole it put the whole culture of hip-hop on the map in an in an it in a place where you could.
Interviewer,See with the music and i'm saying you had the visual and you had UG you know graffiti like that's you must say this.
Eminem,Is my way out when you saw that i didn't get good you must say this is my way out when I started yeah when I started being.
Interviewer,Able to put songs together and i started like you know figuring out like well I might be almost as good as that rapper.
Eminem,You know i'm saying so i'm gonna keep going and then I start you know just I learned so much like I asked.
Interviewer,How old were you when that started hip-hop the first time I heard anything my uncle Ronnie brought over a tape of.
Eminem,Breaking the breaking soundtrack in a hat reckless on it from ice-t once upon a time a DJ's task was just a play what.
Interviewer,More could you ask and i was no couth cousin yeah yeah yeah colors was hard yeah my uncle Ronnie.
Eminem,Started liking rap before i did and then he kind of introduced me to it and right around that time I think yeah the movie.
Interviewer,Had just come out and i saw the movie and I was like yo this is I love it mmm and they just I don't know they just.
Eminem,Spoke to me and the way that no other music had spoke to me before understand hold Ryu and he first started putting it.
Interviewer,Out there like started rapping or doing rap battles well I had a weird trajectory like I I was afraid like I.
Eminem,Was afraid early on like 15 16 years old I was afraid that to go into any clubs or anything like that to say my raps.
Interviewer,Because i felt like i wasn't good enough yet so I had to get to a certain spot and then I was trying to like I was just.
Eminem,Making songs and uh one day i got a call from my boy proof and he was like yo you need to come up to the hip-hop shop and.
Interviewer,I was like what what is the hip-hop shop and he's like yo just come to the hip-hop shop write something come up.
Eminem,Here and proof like i'm a proofing ani here he ranch it in Detroit wewe like me and him came up together and we came up.
Interviewer,Together but he would kind of go do his own thing and then I I'd be working like a factories and stuff like that and.
Eminem,Proof was out there like on the grind and he started making connections and then he met J Dilla slum yeah slum.
Interviewer,Village and a lot of the early detroit hip-hop that was like exploding onto the scene like proof was.
Eminem,Such a part of that and i got a chance to when I went to the hip-hop shop I was like what the  he was like you know.
