name,line
Interviewer, sway in the morning shave four five man uh we had to get these two guys.
Eminem,On man the two co-founders of shave four five.
Interviewer,We got the one and only eminem on the line with us right now and paul rosenberg his partner in crime.
Eminem,I am uh offline off mike paul and i was talking about.
Interviewer,Quarantining and i'm quarantining with my daughter man how's quarantine going for.
Eminem,You this  is terrible like i i you know i've been writing.
Interviewer, and working out  you know just doing doing what i don't know like the fact that there's.
Eminem, no no sports on right now is really bothersome so it's like you know we don't.
Interviewer, there's there's not even anything that i mean aside from the jordan documentary that's.
Eminem, that's even like gives you a little a little sense of normalcy like watching.
Interviewer, you know just watching  like that like you try to just like i try to keep the.
Eminem, try not to watch too much news because this  is like panic mode all the time yeah and it's.
Interviewer, stressful to watch you know it's like i want to see what's going on but at the same time it's like.
Eminem, you know i don't know man we're living in some unprecedented times right now yeah man.
Interviewer, uh what you think of that jordan doc it's incredible this  is crazy bro.
Eminem, it's incredible and it's it's it's it's you know it's only two episodes in but.
Interviewer, man that  is like i don't know it's like nostalgic city yeah.
Eminem, yeah i i love hearing um like i always wanted to know the inner workings of dude's mind like his work.
Interviewer, ethic you know what i mean we used to get on the basketball court and call out his name.
Eminem, like i'm jordan you know but we really didn't know his work ethic like that part is kind of insane you know in.
Interviewer, a good way though like when you could kind of unravel how the greats.
Eminem, became great yeah you know then you find out they might not be the most likable person but you can't always get your.
Interviewer, cake and eat it too you want him to be great he might not be the most likable person.
Eminem, but he's striving to be great that's that part right there i love seeing yeah i think that anybody who is uh.
Interviewer, you know at the top of their game at whatever they do whether it's athletics or anything.
Eminem, has to put the time and have the work ethic you you don't get to be that without it.
Interviewer, yeah yeah man it's the same thing for rap it's like it's you know it takes a certain amount of.
Eminem, talent but it also takes it's probably three four times the work ethic.
Interviewer, versus the talent or or it's probably you know i mean in some cases it might be equal but it's but you.
Eminem, you don't get one without the other yeah yeah that's true you got to work hard paul.
Interviewer, what you work hard at paul will you paul rosenberger yeah i i am here um trying to perfect how to.
Eminem, live life at home having two kids and make sure that they are um learning and in school um.
Interviewer, while maintaining some sense of you know running business and uh being a a person.
Eminem, the human being that's what that's what i'm working hard at well that was beautiful dog yes.
