name,line
Interviewer,Congratulations on your success with Recovery. Has it surprised you at all?
Eminem,"I'm a little surprised. I was certainly more confident in this album than the last one. It feels good to have your work respected again. Winning awards is cool, but at this point, I'm in it for the sport."
Interviewer,What's been the highlight so far?
Eminem,"The shows with Jay-Z. Just being onstage in front of that many people, being able to command the crowd but not having to fall back on old crutches like drugs and drinking. You do get nervous anybody who says they don't is lying. But hitting that stage now, I want to feel those nerves. To look out and actually see girls crying and shit, it's overwhelming. But not like it used to be, where I felt like I needed to ."
Interviewer,Does fame feel different this time?
Eminem,"It feels like I have a better grasp on it. A lot of the problems I had with fame I was bringing on myself. A lot of self-loathing, a lot of woe-is-me. Now I'm learning to see the positive side of things, instead of, like, ""I can't go to Kmart. I can't take my kids to the haunted house.""."
Interviewer,Your past few albums were produced mainly by you and Dr. Dre. On this one you worked with several new producers.
Eminem,"It was just time for fresh blood. There's so many talented producers I always wanted to work with, but I was never sure if it would gel. I think it was a fear of failure. Like, ""What if I bring these guys out, and I don't come up with anything?"" So I just stayed in my element, where I was comfortable. But I was talking to my boy Denaun  one day, and he said, ""Yo, man you gotta get off your island."" I don't mean to keep going back to it, but when I got clean, I started doing things I wouldn't otherwise have done."
Interviewer,Your music also seems more serious now.
Eminem,"Around the tail end of , there was a turning point lyrically. I was sitting in the car listening to these older songs of mine, trying to figure out, ""Why doesn't the new stuff hit me like it used to?"" That's when I started to get away from the funny shit and do songs that had some emotion and aggression to them again."
Interviewer,What are you working on now?
Eminem,"Right now me and Dre are busy with Detox. It's really close I want to say we're halfway done. I'm lending an ear, helping him write, laying hooks whatever I can do. As for my stuff, I'm just doing guest verses for other people's records. I try to stay recording, because if I don't, I get rusty. I'm very paranoid about writer's block I had it for four years, and it drove me fucking crazy. No matter how hard I tried, I just couldn't think of shit. The pills had a lot to do with it. Just wiping out brain cells. I don't know if it sounds like I'm making excuses, but the absolute truth is a lot of my memory is gone. I don't know if you've ever taken Ambien, but it's kind of a memory-eraser. That shit wiped out five years of my life. People will tell me stories, and it's like, ""I did that?"" I saw myself doing this thing on BET recently, and I was like, ""When was that?""."
Interviewer,Did you save much of your writing from that time?
Eminem,Yeah. It fucking creeps me out. Letters all down the page it was like my hand weighed 400 pounds. I have all that shit in a box in my closet. As a reminder that I don't ever want to go back.
Interviewer,When did you first get into drugs?
Eminem,"It didn't really start until my career took off. I was probably in my early 20s before I even kicked back my first beer. But the bigger the shows got, the bigger the after-parties; drugs were always around. In the beginning it was recreational. I could come off tour and be able to shut it off. I'd spend time with the kids, and I'd be OK."
Interviewer,"It probably started to become a problem around the 8 Mile movie. We were doing 16 hours on the set, and you had a certain window where you had to sleep. One day somebody gave me an Ambien, and it knocked me the fuck out. I was like, ""I need this all the time."" So I got a prescription. After four or five months, your tolerance starts building. You start breaking off another piece of the pill that's supposed to be for tomorrow. Then, when I got off probation for my felonies , I was fucked up every night."
Eminem,How bad did it get?
Interviewer,"I was taking so many pills that I wasn't even taking them to get high anymore. I was taking them to feel normal. Not that I didn't get high. I just had to take a ridiculous amount. I want to say in a day I could consume anywhere from 40 to 60 Valium. And Vicodin... maybe 20, 30? I don't know. I was taking a lot of shit."
Eminem,"My everyday regimen would be, wake up in the morning and take an extra-strength Vicodin. I could never take more than one and a half, because it tore up my stomach lining. So I'd take the one and a half, and it'd kind of be Vicodin throughout the day. Then, as the evening crept up, around 5:00 or 6:00, I'd start with a Valium or two, or three, or four. And every hour on the hour, I'd pop four or five more. The Ambien would put me over the top to go to sleep."
Interviewer,"Toward the end, I don't think the shit ever put me to sleep for more than two hours. It's very similar to what I've read about Michael . I don't know exactly what he was doing, but I read that he kept getting up in the middle of the night, asking for more. That's what I was doing two, three times a night, I would get up and take more."
Eminem,Where were you getting it? Did you have a dealer?
Interviewer,"When you're an addict, you find ways. In the beginning, there were doctors who gave me prescriptions even after I got out of rehab."
Eminem,Any idea how much money you spent?
Interviewer,Nope. And I don't want to know. A lot.
Eminem,"Then, in 2006, Proof was killed. Can you talk a bit about what he meant to you?"
Interviewer, It hit me pretty hard.
Eminem,How much do you think his death had to do with your spiral?
Interviewer,"It had a lot to do with it. I remember days I spent just taking fucking pills and crying. One day, I couldn't get out of bed. I didn't even want to get up to use the bathroom. I wasn't the only person grieving he left a wife and kids. But I was very much in my own grief. I was so high at his funeral. It disgusts me to say it, but I felt like it was about me. I hate myself for even thinking that. It was selfish."
Eminem,What was happening to you physically?
Interviewer,"I got up to between 220 and 230, about 80 pounds heavier than I am now. I was going to McDonald's and Taco Bell every day. The kids behind the counter knew me it wouldn't even faze them. Or I'd sit up at Denny's or Big Boy and just eat by myself. It was sad. I got so heavy that people started to not recognize me. I remember being somewhere and overhearing these kids talking. One of them said, ""That's Eminem,"" and the other said, ""No it's not, man Eminem ain't fat."" I was like, ""Motherfucker."" That's when I knew I was getting heavy."
Eminem,"It creeps me out sometimes to think of the person I was. I was a terrible person. I was mean to people. I treated people around me shitty. Obviously I was hiding something. I was fucked up inside, and people with those kinds of problems tend to put up this false bravado let me attack everyone else, so the focus is off me. But of course everybody knew. There were whispers, murmurs."
Interviewer,"Did anyone ever say to you, ""Em, you need help""?"
Eminem,"They'd say it behind my back. They didn't say it to my face, because I would fucking flip out. If I even sniffed the scent of somebody thinking they knew what I was doing, they were out of here. You'd never see them again."
Interviewer,"And it peaked in December of 2007, when you were rushed to the hospital after overdosing on methadone. Can you walk me through that night?"
Eminem,"I can try. There are certain parts I have to leave out because they have to do with my kids. But I remember I got the methadone from somebody I'd gone to looking for Vicodin. This person said, ""These are just like Vicodin, and they're easier on your liver."" I thought, ""It looks like Vicodin, it's shaped like Vicodin fuck it."" I remember taking one in the car on the way home, and thinking, ""Oh, this is great."" Just that rush. I went through them in a couple of days, then went back and got more. But I got a lot more."
Interviewer,"My whole month of December leading up to , I don't remember shit. All I remember is I was not able to get out of bed. At some point I don't know if it was the middle of the day, I don't know if it was nighttime I got up to use the bathroom. I was standing there, trying to take a piss, and I fell. I hit the floor hard. I got back up, tried again and boom, I fell again. And that time I couldn't get up."
