name,line
Interviewer,"What's up, y'all, It's your man, KXNG Crooked. I'm live in Dr. Dre's lab right now. And I could spend the whole episode giving props to the man across the room from me. You know, his achievements are just incredible. What are you doing, Marshall?"
Eminem,You were talking about me?
Interviewer,"Yeah, I'm talking about you. I got the homie in the house, one of the greatest of all times, Marshall Mathers. Thank you."
Eminem,Thank you.
Interviewer,"Thank you for being here, bro. I really appreciate that."
Eminem,"Absolutely, absolutely."
Interviewer,"Appreciate your time, man. Let's jump into to it, man. Let's talk about ""Music to be Murdered By."" It's inspired by the 1958 release from Alfred Hitchcock with the same title. What made you do that?"
Eminem,"Well, it was actually, Dre had this sample, years ago, right, and he made a beat to it, and one day it just popped in my head. I can't remember why, so I hit him and I was like, ""Yo, whatever happened to that beat?"" And he was like, ""Oh, it's still around."" But the beat was different. I just updated it a little bit with some drums and shit, right. But, it was based off that. Then I started thinking like, ""Yo, that whole concept is crazy, ""Music to be Murdered By."" I wonder if I can play off this whole Alfred Hitchcock thing"". And then Dre started hitting me with ideas. He was like, ""Yo, you need to listen to this album that he has"". So, he sent me the link to that, and I started listening and I was like, ""Yo, I could base this whole album off that."" There was actually some stuff that didn't make it on there that I was trying to get on there, but we couldn't really work it out with the sample claim. But I had it even more intertwined than it was, and we had to, you know, pick and choose the best pieces to put on there, just for sampling issues and shit, but...."
Interviewer,Fucking samples.
Eminem,"Yeah, right?"
Interviewer,"Man, I was stuck in traffic for like three hours listening to it over and over and over, and I caught something new every single time, and it's like, ""This is gonna take, you know, 'til about 2021 or some shit, before everybody really gets all of it."" And I'm talking about avid fans. You know what I'm saying? When you write on that level, you know, like you said, you say you just put it in anyway, knowing that it could slip by people's radar."
Eminem,"Yeah, I feel like there's a certain kind of fan that will get that, and there's a certain kind of fan that might just be the average listener who doesn't... You know, they like hip-hop and it sounds good, something sounds good to them, right? But they might not understand exactly what we're doing."
Interviewer,How dope it is.
Eminem,"But that's what's dope about those reaction videos, and also the people who break down the lyrics, and they show you like, ""Okay, he was hitting these syllable schemes right here, every single syllable, there's five syllables there or seven, and he was hitting these right here. Then he started a new syllable scheme, rhymed with that syllable scheme, and then came back at the end and rhymed with the first."" You know what I'm saying? And I think that that helps people really...."
Interviewer,To understand the genius.
Eminem,"Yeah, to understand...."
Interviewer,"The outer rhymes are two syllables. The inner rhymes are five syllables. That's, in my opinion, what makes you one of the greatest of all time."
