name,line
Interviewer,"So, how did Grimes come about?"
Grimes,"It was pretty overnight and pretty random I honestly made a tape for fun and then it kinda blew up on the Internet and was totally surprising. And we weren't prepared for it, I started out with 30 tapes and then we just gave it out for free online."
Interviewer,"Visions, your new record, is your fourth album released in less than two years."
Grimes,"Visions is actually really old, I finished it in August. It's mostly about emotional stuff, this record. This is also the first record for which I tried writing lyrics although they are unclear because of my lisp. My other records were pretty emotionally aimless. Since this is my job now I wanted this record to mean a lot to me. So there's definitely stuff in the lyrics but I think its vague enough that most people wouldn't know what the fuck its about."
Interviewer,"You've got a unique sound, how would you yourself describe it?"
Grimes,"There will always be the Grimes sound, because I am who I am. I definitely always want huge beats. My voice, though, it is what it is and it's not going to change. I feel like I go through phases all the time; Visions is my New Jack swing drum and bass phase. What's interesting about Grimes is that it's attempting to be pop but its kind of failing and ending up somewhere else."
Interviewer,"The album is being released on 4AD, a new label for you. Was it difficult to find a label or other creative people to work with since you have such a unique sound?"
Grimes,"The thing I care about the most is artistic integrity. I would never change something to please somebody. I don't even read interviews or reviews or anything because I just don't wanna know. I feel like its so easy to get caught up in being worried about what people think and I really think the best shit comes out of not thinking about any of that at all. My team is just my crew, which is totally sick because they would never tell me to change anything. And once we reached a certain amount of success then people figured the formula was pretty decent."
Interviewer,"Sometimes I bounce shit off people and they're like 'You know Claire that's just a bit too much you should tone it down' and I'm like oh yeah you're probably right. Artistic freedom is my biggest concern, which is why 4AD was a good pick because most of the other labels we talked to were kinda like, Well, we think you should re-record the vocals."
Grimes,We can respect that. What kind of artists did you grow up listening to?
Interviewer,What other than music do you find inspiring?
Grimes,"Science fiction movies. I always think about playing stuff at parties, as stupid as that is, you always think about how great it would be to dance to something with really loud speakers. I care so much about beats the physical feeling the emotion of it. Is this actually something I can have a physical connection with? That's pretty big for me."
Interviewer,You're also a pretty snappy dresser. How would you describe your style?
Grimes,"Tank Girl or sci-fi punk. I'm always wearing skirts that I'd cut shorter and just don't hem. I always wear combat boots at all times, that's the basis of everything, the combat boots. I have this really sick trench coat from the Korean war that I always wear, but when I do photo shoots that not my clothes really its what they bring."
Interviewer,"2012 is shaping up to be a pretty big year for you, are there any other big changes going on?"
Grimes,"I quit smoking weed, which has actually been great. My life has been so much better since I quit smoking weed. I'm so much more motivated now. Its great for recording but it's really bad when you have to do interviews and photo shoots and stuff. When I smoke weed and then I think about what I'm doing with my life I'm like, Oh, My God! I have to sing in front of people in front of people and I'm just so baked and I start getting anxiety about it. And I refuse to read any reviews or articles about me ever. I feel like it's bad for your brain."
Interviewer,Good! Who is on with us?
Grimes,E is here.
Interviewer,"Hey, Lana. It's Elon. I'm about to leave."
Grimes,He's about to leave. He will not observe. Are you back from tour?
Interviewer," Yeah, I was touring and then I was in Oklahoma for a hot minute."
Grimes,Why Oklahoma?
Interviewer,"My boyfriend is there, actually."
Grimes,"I don't know if I've ever been to Oklahoma. For some reason, I'm terrified of tornadoes there."
Interviewer,"It's a thing. And it's funny you say that, because nobody told me that on Wednesdays at noon, which is when I got there, they do a trial siren test."
Grimes,Oh my god.
Interviewer,"So I actually thought that there was a tornado when I got in, because it was loud and it went on for two minutes. I was like, ""What is going on?""."
Grimes,It's like World War II in the bunker.
Interviewer,"Yeah. Everyone was laughing mercilessly at me, but I was like, ""Well, we have earthquakes here.""."
Grimes,I actually think there was an earthquake yesterday. But earthquakes are fun. All natural disasters are fun in the abstract.
Interviewer,"Yes, in the abstract. I was thinking about your new album. I don't know if I'm saying it right,is it Miss_Anthropocene?"
Grimes,Yeah.
Interviewer,"Do you feel like the songs are more personal, or do they have the overculture weighing on them?"
Grimes,"A bit of both. I'm really obsessed with polytheism. I love how the ancient Greeks or the ancient Egyptians lived in this weird anime world where there were just tons of gods that could be anything. It's like every form of suffering had a representation. I wonder if it almost has a positive psychological effect. If your kid dies in a war, you can literally go speak to War and be like, ""Why did you do this?"" Or, ""I hope you did this for a reason."" There's a weird philosophical justification for all pain, and there's an anthropomorphization of every form of pain. In our current society, we don't even know how to talk about things. So my album's about a modern demonology or a modern pantheon where every song is about a different way to suffer or a different way to die. If you think about it, god-making or god-designing just seems so fun. The idea of making the Goddess of Plastic seems so fun to me."
Interviewer,It's a very creative infrastructure to work within.
Grimes,"Yeah. Religion is like the best science fiction. I know a lot of people who are atheist or agnostic, and they just hate religion and can't see anything good in it. Even if you don't believe in god or anything, this is incredible art. It's incredible storytelling, incredible character design, incredible visual art. I know we both love reverb. Imagine going into a church in medieval Europe, and you had only ever heard music as someone playing a lute. You enter a cathedral for the first time, and you hear someone singing through a super long reverb. What a mystical experience that would be."
Interviewer,"What is mysticism to you, and is it important in your art?"
Grimes,"Mysticism is an evolutionary byproduct. I think we're inherently religious, even if we're not explicitly religious. We get emotional about things that feel religious. Even the way people feel about you, it's a form of idol worship. I don't know what else you would call it. If there's an artist I love, I see them live and I cry, and I'm like, ""Man, I'm acting like some 14th-century farmer right now."" I feel like some pilgrim seeing a holy relic or something."
Interviewer,I've felt that way at a Dylan concert. How would you describe the place you're at in your life right now?
Grimes,"I've recently fallen into a place of extreme flux, where I feel like I don't know myself at all, but it's also the most self-assured I've ever been. I don't know if you've ever felt like that."
Interviewer,"I think that feeling comes when you're on the right path. You think you should feel super different, but you're actually just right where you're supposed to be."
Grimes,"I feel ready to totally blow all of my shit up and make something new. I'm in a place of extreme displacement. You know when you just feel like you have a lot to lose? With my last album, I kept getting in trouble for saying stupid shit in the press or tweeting dumb shit. I just run my mouth like a fucking asshole and there's nothing I can do about it. I don't think before I speak. I try to, but I don't think in words. I just think in weird pictures."
Interviewer,"I get that. For better or worse, when you're not used to being a super-extroverted person, you end up saying what you said for some reason that's going to end up being important to you in hindsight. It's not the easiest, it might be a little messy, but you have to get used to the tumult of the public nature of things."
Grimes,"I was reading yesterday about outrage culture, and for just about every emotionally loaded word that's in a tweet, the tweet gets 15 percent more interaction. We live in this weird time where we didn't evolve to engage with this many people, and we didn't evolve to be observed as much as we're being observed, or to observe other people as much as we're observing them. No one is considering the psychological impact of all this crazy technology. Especially since Trump was elected, this is the first time that the general public is fully on the internet. Grandma is on the internet."
Interviewer,"I think about that all the time. It's important to say it out loud. It's a little bit like the Wild West again in the way that we are learning how to deal with each other on a mass level and an instant, interconnected level. I've been trying to create my own blueprint. It's like, how do you fit into the culture and still live your own life the way you authentically would?"
Grimes,I do think everybody's going to have to get a lot better at forgiving.
Interviewer,I agree.
Grimes,"I can have a pretty extensive moral, ethical disagreement with somebody, and it still makes more sense to get along than to not get along. If you ever go read old census documents before the printing press from France or Russia, nobody had the same name. Just crazy-ass names all over the place. And then after the printing press, everyone started having the same 20 or 30 names. We entered this monoculture zone where everything got more centered into single sources of power. Everyone was in agreement on who the biggest stars in the world were. Everybody knew Michael Jackson and Madonna. But now, with the internet and all of these different forms of media, we're entering a new period of customization again where people are able to customize their existence more. I feel like the kids of the millennials are just going to have wild names."
Interviewer,I don't know which way my kid will go.
Grimes,Do you have any names in mind?
Interviewer,"I think it could go anywhere from a simple Maria Estela to, like, Ivory Cricket. Oh, god. That's a soundbite."
Grimes,"Knowing our fate, the headline will be that your unborn child is named Ivory Cricket."
Interviewer,Is it important to you to be right in the middle of the culture?
Grimes,"Man, I don't know. You hit a phase where you lose your life. I open the internet sometimes, and it's like, ""Grimes is testifying in court,"" and I'm like, ""What the fuck is this? I'm definitely not testifying in court."" I call my lawyer:""Am I testifying in court?"" And they're like, ""No, you're definitely not testifying in court.""."
Interviewer,It has a level of surreality to it.
Grimes,"I've hit this point where there's so much stuff that people think about me that has no basis in reality that I feel like I have to remove myself from my public self. I had to kill my ego, because there was no way to remain invested in myself as having anything to do with the culture while surviving mentally."
Interviewer,"There are cycles to it. You can have years of ambivalence, and then it's like that natural female hot and cold cycle. You can come back into caring extremely and being invested in yourself and your work, and then not caring at all. I think the good thing about what's going on with you is that for all the hardship and the confusion, you can continue to make music and people will be intrigued because there have been so many little twists and turns."
Grimes,"I think my motto in life is just, ""Don't be bored."" Even if I'm having the worst time, I'm like, ""Wow, this rules."" In some of my worst moments I remember thinking, ""Damn, this is such sick fodder for my eventual book."" Speaking of which, would you ever write a book?"
Interviewer,"It's funny, people have been asking me that lately. Ever since I started caring a bit less, and, like you said, disregarding ego,which is easy for me, thankfully,I've been writing more short stanza poetry. And now that I've done that, I was thinking, ""Would I ever write something long-form?"" I think I would want to, but honestly, I'm so hyperactive in my life. I don't know if I could complete it, so I think it might be something like chicken scratch, all placed together in some long-form novel."
Grimes,"I was reading a study of the average age of artists. People are always saying shit like, ""Oh, you're so much less creative as you get older,"" like your brain becomes less plastic and more static, which I actually disagree with."
Interviewer,"Yeah, me too."
Grimes,"What's interesting is that most novelists peak in their sixties. When I think about many of my favorite books, it's mostly old-ass people who wrote them. My thought was, ""Oh, I'll just wait until I'm old and out of musical ideas, and then I'll sit down and write a novel."" I'll be so much more physically lazy when I'm old, too, so I'll probably be way happier to sit down for 12 hours a day."
Interviewer,Do you have more of a kinship to any particular artist community?
Grimes,"I don't know if I really relate to any creative community. I get jealous sometimes of the country music scene or rappers. I love scenes. Like, I love how Trent Reznor and Marilyn Manson worked together."
Interviewer,"I was singing with Weyes Blood  at a couple of shows, and I was like, ""You know what? This feels so good."" You have to work for it when there's not a natural scene exploding. You definitely have to get all your girls together."
Grimes,"I feel like female artists do it less. I might be wrong, but I feel like female artists especially need to stick together more."
Interviewer,"It's really amazing to get everybody together, especially in a more alternative scene where you're writing your own stuff."
Grimes,"It's interesting to hear you say the word ""alternative,"" because one thing that I've been loving lately is that it's had a resurgence since Trump. I'd say the peak of alternative music over the last ten years was when people like Kanye or Beyoncé would do this god-level A&R-ing, with all the smartest, most creative people combined onto one record. As we're talking about the death of the monoculture, I think more alternative music is starting to exist. I guess by ""alternative,"" I just mean, as you were saying, people writing their own stuff."
Interviewer,"And with the element of obvious authenticity or thoughtfulness to it. When you hear a Grimes song, you know that it's a Grimes song."
Grimes,"It's almost like gaydar. I can hear when someone is singing their own words. You hear someone like Rez or Peggy Gou, and for some reason, I just know they make their music."
Interviewer,"It's not that it's better, it's just super special."
Grimes,"I agree. Some people want to say one or the other is better. The battle should stop. Being someone who always looks good on camera, who can dance and sing,even if you don't write your own music, being a top-tier performer has got to be one of the hardest jobs in the world."
Interviewer,"Like Whitney Houston. How much of your identity do you feel is being a singer, and how much is being an artist?"
Grimes,"I feel like my whole identity is about being an artist. I was really sick earlier this year, and I had to spend two weeks in bed. I couldn't think and I couldn't make anything. It was crazy how my self-esteem just plummeted. I was a shell of a human."
Interviewer,"There definitely has to be an edge. I like to drive around and find a really strange spot to gather my thoughts. But in terms of what I'm writing, in my personal life I have to be really, really happy."
Grimes,"Oh, wow. That's crazy."
Interviewer,"I know, and I feel like people wouldn't expect that from me. I have to write when all the dust has settled, because I really need things to be calm for me to try and put my finger on what I'm seeing or picturing. It's hard to write if I'm not feeling stable in my own life, but then I like to mix up where I'm physically at and write somewhere crazy."
Grimes,Like where?
Interviewer,"If I could write in the middle of a crime scene, I probably would. Do you feel like you write when you're in love?"
Grimes,"I so need to be in love to make good art. The best is being heartbroken, or in a volatile relationship. My worst creative periods have been when I've just been in a stable relationship. In my current relationship, we're both super alpha, crazy people. It's just level ten all the time, which is great, even though it's very crazy."
Interviewer,"I don't know if that's what I would have thought, honestly."
Grimes,"On my last record, I was in this gender-neutral mindset. I was an asexual person. Fuck my sexuality. Fuck femininity. Fuck being a girl. I was having this weird reaction to society where I just hated my femaleness. It was like, to be a producer, I felt like I had to be a man."
Interviewer,"I think it also comes down to a general lack of passion, too. Sometimes having a bit of that neutrality can swing us into something that's opposite, where suddenly there is a real power struggle. I can see how you can feel alive in volatility, and I've done it before. There are a thousand places to write from."
