name,line
Interviewer,I read that you actually studied neuroscience in college? Or just the sciences generally?
Grimes,"Actually, I was in a program at McGill called Electroacoustics, where we studied a lot of how the brain interacts with music. So by the time I actually started making music, I kind of had an understanding of frequencies and kind of how the brain responds to things, which I think really helped me as a producer:Even though I had no experience playing instruments and stuff, I kind of had a basic understanding of engineering. My learning curve was maybe a tiny bit shorter than maybe someone who hadn't studied that stuff."
Interviewer,"So how does that inform the music? One of the things I like about electronic music is the sensory overload, the drops, the highs and lows of it, are directly triggering things in my brain. Is there a song on this album where you feel like your knowledge about how we hear things affects how many tracks there are, how many layers, how many sounds?"
Grimes,"I don't know if it's actually that practically useful, honestly. Because you can study music to death; you can study the brain's response to music to death. But it's not the same thing as making music, which is very gut-level."
Grimes,"Like, there was a study that we read about when I was in class:They polled tons and tons of people and found out the most loved type of music and the most hated type of music. And actually, the most loved type of music is deep women's vocals, so, Beyoncé and Adele and stuff, that makes sense. But the most hated was, like, children's choirs, and I love children's choirs. High female vocals, people hate that, and I have a high female voice, obviously. So, I think it just depends."
Interviewer,"Can you remember when you first thought of yourself as a producer? I mean, was there an early song, before people knew you, even, where you realized you like the tinkering, the putting it together?"
Grimes,"Probably from the first time I tried to make music. Singing has always been a struggle for me, so when I first started making music, I only made instrumentals."
Interviewer,"When you finally did start to sing, was it a surprise to you?"
Grimes,"Kind of! I mean, I wasn't good, but I was not the worst, which was extremely encouraging to me. The fact that I wasn't literally the worst singer on planet Earth made me think that I was, like, a god. Immediately I was like, Oh, I don't suck? OK, I'm gonna be a musician. Like, right away."
Interviewer,"So when you first sat down, what were the circumstances? What drew you to it?"
Grimes,"Basically, I'd been at a friend's house; he said he wanted a girl vocal. I was like, I'm really a bad singer, but I did it anyway, and then I was like, oh, music isn't that hard. So I got my friend to show me how to use GarageBand, and then I just kind of started making terrible, terrible songs using the built-in synths and stuff, just screwing around with that."
Interviewer,"It's interesting, I think electronic music changes the bar of entry for people who want to get into music, right?"
Grimes,"Oh, yeah. I think, I mean, in a sad way I think it's one of the reasons experimental electronic music isn't more popular, is that it's so hard to turn it into a live thing; it's more of a laptop thing. But definitely, in the scene I came from, you don't need to be a good musician to make electronic music, you just need to have a good ear. You don't need to be able to technically perform anything."
Interviewer,"So now that there's so much of this music out there, how do you determine what's good? Who are the artists that inspire you, who are doing similar work?"
Grimes,"Oh my gosh. I love 40, who produces for Drake, I think he's one of the best producers. I love Burial. I mean, most of my favorite producers produce for vocalists; I don't listen to a lot of straight electronic music that doesn't have vocals. This is a totally crazy thing, and I'm significantly worse and significantly less popular, but in a way Calvin Harris is probably the most similar to me in terms of functionality. He's a great producer, he's a songwriter, but he doesn't necessarily sing all his songs. He does sing, he's decent at it, but it's not like his main thing."
Interviewer,"What has it been like over the years asserting yourself in the studio? Because the model that we all hear about in the music press is young women performing songs that they may have written, but the production is usually a man, especially if you look at the Top 40. Have you found that people in that setting want to provide the beats for you?"
Grimes,"I've never actually worked in a studio on one of my songs, I've only worked in a studio in writing camps for other people, which were odd experiences. I wasn't allowed to touch a computer, for example, even though guys in the studio were allowed to. I obviously know how to use a computer and I know how to produce, but I had to tell the engineer what to do if I wanted to do anything, which I thought was pretty crazy in the 21st century."
Interviewer,"This might have been a union thing, too, right? Because you're the writer."
Grimes,"No, no, there were producers coming in, and I don't think I was brought in only to do vocals and top line. Even if I was, that's kind of weird because I'm way more of a producer than a vocalist. So, I mean, it was pretty gendered. Luckily, I mostly work in my own house and I don't work with other people, kind of for this reason."
Interviewer,"For people who don't know, writer's camps are basically like a retreat, where you get put into groups and you're supposed to write, collaboratively, for another artist. What was that experience like for you, an artist who's pretty self-contained?"
Grimes,"In a way, it was a blessing in disguise:I got to watch so many great producers work, because I wasn't allowed to produce anything. I actually did learn quite a bit about production. But on the other hand, it was very daunting, even just as a writer writing top line, because I felt like it was extremely judgmental. It was kind of assumed that I was stupid and that I didn't know what was going on, and especially because I don't feel confident as a vocalist, it was very stressful to have that be the thing that I was evaluated on."
Interviewer,And you described it as gendered.
Grimes,"Yeah, well, just that all the guys made beats and all the girls did top line."
Interviewer,Top line meaning the melody.
Grimes,"Yeah, basically the melody that the vocal is doing. Like, there were no girls doing beats and there were no guys doing top line. But, I don't know, I don't want to criticize it too much."
Interviewer,"No, I mean, they're big business, right? Lots of people are making money and songs in this way. But it's sort of hard to picture, given how many women we see in the Top 40. A lot of the biggest names in music are women right now."
Grimes,"I think it's just ... you know, I came in with experience as a producer and I wasn't allowed to produce, so how could any woman who didn't have experience as a producer ever learn how to produce? It was just a little odd in that regard. If there are stereotypes of, Women do certain jobs in music and men do certain jobs, the way the studio works, it's not easy to escape that."
Interviewer,"As your career has gotten bigger and more and more people are hearing your music, do you hear from young women who want to be doing what you're doing?"
Grimes,"I guess I do! If you meet fans outside of a concert or something like that, someone will be like, You inspired me to start producing, and I make records now. Which is pretty cool, I mean, not even from a music perspective, but being visible as a woman in technology is sort of interesting, and hopefully inspires women not just to touch computers in music but for other purposes as well."
Interviewer,"I want to talk about one song that I was, I feel like, almost surprised to hear on this album, which is Easily. It sounds like you very much enjoying your own voice."
Grimes,"Oh, really? It's actually my least favorite song on the album!"
Interviewer,What don't you like about it? I think it's quite sweet.
Grimes,"I just think it's really basic. I only put it on because when I showed my friends all the songs they were all like, You have to keep that song. Don't ditch that one. But I personally think it's not very interesting from a production standpoint."
Interviewer,"That makes sense given a lot of the other music we've heard from you, which is just layers and layers of sounds. This is just you."
Grimes,"It kind of makes me uncomfortable! But usually, the songs other people like are the songs that make me the most uncomfortable, so I usually try to allow some of those to make it onto the record."
Interviewer,"Do you ever want your voice, or your music, to sound ugly? Like, do those songs, in a way, kind of go against the way you have presented your voice, which is not about being bubbly?"
