name,line
Grimes,"Hey, Lana. How's it going?"
Interviewer,Good! Who is on with us?
Interviewer,I'm here.
Grimes,E is here.
Interviewer,"Hey, Lana. It's Elon. I'm about to leave."
Grimes,He's about to leave. He will not observe. Are you back from tour?
Interviewer," Yeah, I was touring and then I was in Oklahoma for a hot minute."
Grimes,Why Oklahoma?
Interviewer,"My boyfriend is there, actually."
Grimes,"I don't know if I've ever been to Oklahoma. For some reason, I'm terrified of tornadoes there."
Interviewer,"It's a thing. And it's funny you say that, because nobody told me that on Wednesdays at noon, which is when I got there, they do a trial siren test."
Grimes,Oh my god.
Interviewer,"So I actually thought that there was a tornado when I got in, because it was loud and it went on for two minutes. I was like, ""What is going on?""."
Grimes,It's like World War II in the bunker.
Interviewer,"Yeah. Everyone was laughing mercilessly at me, but I was like, ""Well, we have earthquakes here.""."
Grimes,I actually think there was an earthquake yesterday. But earthquakes are fun. All natural disasters are fun in the abstract.
Interviewer,"Yes, in the abstract. I was thinking about your new album. I don't know if I'm saying it right,is it Miss_Anthropocene?"
Grimes,Yeah.
Interviewer,"Do you feel like the songs are more personal, or do they have the overculture weighing on them?"
Grimes,"A bit of both. I'm really obsessed with polytheism. I love how the ancient Greeks or the ancient Egyptians lived in this weird anime world where there were just tons of gods that could be anything. It's like every form of suffering had a representation. I wonder if it almost has a positive psychological effect. If your kid dies in a war, you can literally go speak to War and be like, ""Why did you do this?"" Or, ""I hope you did this for a reason."" There's a weird philosophical justification for all pain, and there's an anthropomorphization of every form of pain. In our current society, we don't even know how to talk about things. So my album's about a modern demonology or a modern pantheon where every song is about a different way to suffer or a different way to die. If you think about it, god-making or god-designing just seems so fun. The idea of making the Goddess of Plastic seems so fun to me."
Interviewer,It's a very creative infrastructure to work within.
Grimes,"Yeah. Religion is like the best science fiction. I know a lot of people who are atheist or agnostic, and they just hate religion and can't see anything good in it. Even if you don't believe in god or anything, this is incredible art. It's incredible storytelling, incredible character design, incredible visual art. I know we both love reverb. Imagine going into a church in medieval Europe, and you had only ever heard music as someone playing a lute. You enter a cathedral for the first time, and you hear someone singing through a super long reverb. What a mystical experience that would be."
Interviewer,"What is mysticism to you, and is it important in your art?"
Grimes,"Mysticism is an evolutionary byproduct. I think we're inherently religious, even if we're not explicitly religious. We get emotional about things that feel religious. Even the way people feel about you, it's a form of idol worship. I don't know what else you would call it. If there's an artist I love, I see them live and I cry, and I'm like, ""Man, I'm acting like some 14th-century farmer right now."" I feel like some pilgrim seeing a holy relic or something."
Interviewer,I've felt that way at a Dylan concert. How would you describe the place you're at in your life right now?
Grimes,"I've recently fallen into a place of extreme flux, where I feel like I don't know myself at all, but it's also the most self-assured I've ever been. I don't know if you've ever felt like that."
Interviewer,"I think that feeling comes when you're on the right path. You think you should feel super different, but you're actually just right where you're supposed to be."
Grimes,"I feel ready to totally blow all of my shit up and make something new. I'm in a place of extreme displacement. You know when you just feel like you have a lot to lose? With my last album, I kept getting in trouble for saying stupid shit in the press or tweeting dumb shit. I just run my mouth like a fucking asshole and there's nothing I can do about it. I don't think before I speak. I try to, but I don't think in words. I just think in weird pictures."
Interviewer,"I get that. For better or worse, when you're not used to being a super-extroverted person, you end up saying what you said for some reason that's going to end up being important to you in hindsight. It's not the easiest, it might be a little messy, but you have to get used to the tumult of the public nature of things."
Grimes,"I was reading yesterday about outrage culture, and for just about every emotionally loaded word that's in a tweet, the tweet gets 15 percent more interaction. We live in this weird time where we didn't evolve to engage with this many people, and we didn't evolve to be observed as much as we're being observed, or to observe other people as much as we're observing them. No one is considering the psychological impact of all this crazy technology. Especially since Trump was elected, this is the first time that the general public is fully on the internet. Grandma is on the internet."
Interviewer,"I think about that all the time. It's important to say it out loud. It's a little bit like the Wild West again in the way that we are learning how to deal with each other on a mass level and an instant, interconnected level. I've been trying to create my own blueprint. It's like, how do you fit into the culture and still live your own life the way you authentically would?"
Grimes,I do think everybody's going to have to get a lot better at forgiving.
Interviewer,I agree.
Grimes,"I can have a pretty extensive moral, ethical disagreement with somebody, and it still makes more sense to get along than to not get along. If you ever go read old census documents before the printing press from France or Russia, nobody had the same name. Just crazy-ass names all over the place. And then after the printing press, everyone started having the same 20 or 30 names. We entered this monoculture zone where everything got more centered into single sources of power. Everyone was in agreement on who the biggest stars in the world were. Everybody knew Michael Jackson and Madonna. But now, with the internet and all of these different forms of media, we're entering a new period of customization again where people are able to customize their existence more. I feel like the kids of the millennials are just going to have wild names."
Interviewer,I don't know which way my kid will go.
Grimes,Do you have any names in mind?
Interviewer,"I think it could go anywhere from a simple Maria Estela to, like, Ivory Cricket. Oh, god. That's a soundbite."
Grimes,"Knowing our fate, the headline will be that your unborn child is named Ivory Cricket."
Interviewer,Is it important to you to be right in the middle of the culture?
Grimes,"Man, I don't know. You hit a phase where you lose your life. I open the internet sometimes, and it's like, ""Grimes is testifying in court,"" and I'm like, ""What the fuck is this? I'm definitely not testifying in court."" I call my lawyer:""Am I testifying in court?"" And they're like, ""No, you're definitely not testifying in court.""."
Interviewer,It has a level of surreality to it.
Grimes,"I've hit this point where there's so much stuff that people think about me that has no basis in reality that I feel like I have to remove myself from my public self. I had to kill my ego, because there was no way to remain invested in myself as having anything to do with the culture while surviving mentally."
Interviewer,"There are cycles to it. You can have years of ambivalence, and then it's like that natural female hot and cold cycle. You can come back into caring extremely and being invested in yourself and your work, and then not caring at all. I think the good thing about what's going on with you is that for all the hardship and the confusion, you can continue to make music and people will be intrigued because there have been so many little twists and turns."
