name,line
Interviewer,Yeah Kanye!
Kanye,"I figured if we were all quiet, I wouldn't need a mic in here is that true?"
Interviewer,Yeah.
Kanye,"What is the number one thing that you guys want to change, because I want you all to ?"
Interviewer, Education.
Kanye,"All right, get up here. . I want you to explain what the problem with education is."
Interviewer,The problem with education is they don't stick up for minorities or people who aren't in ....
Kanye,"Hold on one second. What I want you guys to do no one to clap, no one to scream until she says I am done with my point."
Interviewer,Yes sir.
Kanye, then explain the issue.
Interviewer,"My name is Summer . People who are marginalized in any community, not just necessarily people of color...."
Kanye,"I know that we are trained to emotionally react to the points that are said to say mm-hmm (affirmative) I agree or mm-hmm (affirmative) I feel that. But today, I want you guys to try, not to try, because trying is failing. What I want you guys to do is show how we can have complete silence until she expresses her point completely. And when she is done and says, We have fully expressed ourselves because I don't love the word, I. Which I get the ."
Interviewer,"Okay, so the problem with education that I was saying is, people are marginalized, they're not teaching all of history. They're only teaching it from one perspective, which is a bigger perspective. That's not always the right perspective and I feel like if we're able to include other people into the perspective and into the conversation, it'll teach the generation coming up how to be more inclusive, how to respond to situations. It'll teach people how to love each other."
Kanye,", history."
Interviewer,Is that okay with you guys?
Kanye,Wait a second. It doesn't have to be okay with you guys because I stated that she was going to do that....
Interviewer,Yes.
Kanye,"So, me as the leader of the free world,."
Interviewer,Yes.
Kanye,Inside of the very first rally.  I've made a decision that Summer is going to express her feelings and information on police brutality. Silence please.
Interviewer,"Okay, so my feelings on police brutality is not everyone should be allowed onto the police force, first of all. So many people are on the police force that shouldn't be in the police force. They just want to have authority in action and power. Not only that, what he was saying about brainwashing, obviously he's right. He's Kanye West."
Kanye,"Pause, pause. If you guys want to whisper, go outside and talk. We need absolute silence, we need absolute order. That is the only way for this country to be back in order. And for us to have absolute order, respect, dignity, and honor for those that we showed up in here and that are speaking. Summer is talking right now, if you see someone next to you that nudges you or tries to whisper. Hold your hand and say, this person is distracting me from what Summer is saying right now, and we will have them escorted out."
Interviewer,"So on the topic of brainwashing, just everything brainwashes us now. Social media, if they want something, they can program it into our minds. TV, social media, literally everything and the state of the nation is just it's in complete dismay."
Kanye,Raise your hand silently if you have another issue that you would like to bring up. I saw your hand first.
Interviewer,My name is Lauren McLeod.
Kanye,This is Lauren McLeod.
Interviewer,No.
Kanye,"Did you put the bricks in the street? I'm not talking about the riots, I'm talking about the bricks in the 80s."
Interviewer,Oh.
Kanye,We're ready.
Interviewer,Education is an important topic. Education....
Kanye,We have no microphone.. You got it.
