name,line
Interviewer,ON HIS NATURAL POLITICAL PARTY.
Kanye,I would run as a Republican if Trump wasn't there. I will run as an independent if Trump is there.
Interviewer,ON HIS PREVIOUS SUPPORT FOR TRUMP.
Kanye,Trump is the closest president we've had in years to allowing God to still be part of the conversation.
Interviewer,ON HIS MAGA HAT MOMENT.
Kanye,"One of the main reasons I wore the red hat as a protest to the segregation of votes in the Black community. Also, other than the fact that I like Trump hotels and the saxophones in the lobby."
Interviewer,ON DISCUSSIONS ON RACE WITH THE WHITE HOUSE.
Kanye,"One time I talked to Jared Kushner, who was saying, 'We don't have Black leaders, we just have hustlers.' Why? Because they killed all the Black leaders. (Requests for comment from the White House and the Kushner Cos. last night were not immediately returned.)."
Interviewer,ON DEMOCRATS.
Kanye,"That is a form of racism and white supremacy and white control to say that all Black people need to be Democrat and to assume that me running is me splitting the vote. All of that information is being charged up on social media platforms by Democrats. And Democrats used to tell me, the same Democrats have threatened me. . . . The reason why this is the first day I registered to vote is because I was scared. I was told that if I voted on Trump my music career would be over. I was threatened into being in one party. I was threatened as a celebrity into being in one party. I was threatened as a Black man into the Democratic party. And that's what the Democrats are doing, emotionally, to my people. Threatening them to the point where this white man can tell a Black man if you don't vote for me, you're not Black."
Interviewer,ON HOW THE RACE WILL BE DECIDED.
Kanye,"Let's see if the appointing is at 2020 or if it's 2024, because God appoints the president. If I win in 2020 then it was God's appointment. If I win in 2024 then that was God's appointment."
Interviewer,ON THE CORONAVIRUS CURE.
Kanye,We pray. We pray for the freedom. It's all about God. We need to stop doing things that make God mad.
Interviewer,ON VACCINES.
Kanye,"It's so many of our children that are being vaccinated and paralyzed. . . . So when they say the way we're going to fix Covid is with a vaccine, I'm extremely cautious. That's the mark of the beast. They want to put chips inside of us, they want to do all kinds of things, to make it where we can't cross the gates of heaven. I'm sorry when I say they, the humans that have the Devil inside them. And the sad thing is that, the saddest thing is that we all won't make it to heaven, that there'll be some of us that do not make it. Next question."
Interviewer,ON DECIDING TO RUN FOR PRESIDENT.
Kanye,"It's when I was being offered the Michael Jackson Video Vanguard Awards at MTV. I remember being at my mom's house, my mother-in-law, because my house was being worked on, she calls me 'son' and I call her 'mom,' I was in the shower, thinking, I write raps in the shower. It hit me to say, 'You're going to run for president,' and I started laughing hysterically, I was, like, this is the best, I'm going to go out there and they're going to think I'm going to do these songs and do this for entertainment, how rigged awards shows are, and then say I'm going to run for president. And I just laughed in the shower, I don't know for how long, but that's the moment it hit me."
Interviewer,ON HIS FOREIGN POLICY.
Kanye,"I haven't developed it yet. I'm focused on protecting America, first, with our great military. Let's focus on ourselves first."
Interviewer,ON ABORTION.
Kanye,I am pro-life because I'm following the word of the Bible.
Interviewer,ON BEING A POLITICAL NOVICE.
