name,line
Kanye,"Oh, OK, dope, You still got the Nashville number."
Interviewer,"I still have the Nashville um, area code but I had to change it."
Kanye,"For all my Southside as that know me best, I feel like me and Taylor might still have sex."
Interviewer,"I'm like, this close to overexposure."
Kanye,"Oh, well, this one is .. I think this is a really cool thing to have."
Interviewer,"I know, I mean it's like a compliment, kind of."
Kanye,"What I give a f-k is about is just you as a person, and as a friend."
Interviewer,That's sweet.
Kanye,I want things that make you feel good. I don't wanna do rap that makes people feel bad.
Interviewer,"Um, yeah, I mean go with whatever line you think is better. It's obviously very tongue-in-cheek either way. .. And I really appreciate you telling me about it, that's really nice."
Kanye,"Yeah, I just have a responsibility to you as a friend. .. Thanks for being so cool about it."
Interviewer,"Well, thanks, yeah. I really appreciate it. The head's up is so nice. .. Even asking or seeing if I'd be OK with it. I just really appreciate it. I never would have expected you to, like, tell me about one of the lines in your song."
Interviewer,"And the flowers that you sent me,  I Instagrammed a picture of them, and it's the most Instagram likes I've ever gotten. It was like 2.7."
Kanye,"Relationships are more important than punch lines, you know?"
