name,line
Interviewer,"It's hard to make beauty. People often try, and more often than not, everything starts to feel sort of cheap or kitsch. But you express yourself in a way that's beautiful. You can sing from the heart and have it connect and translate, which is a huge thing for an artist to be able to do. So my first question is"
Interviewer,I just close my eyes and act like I'm a 3-year-old. hahaha I try to get as close to a childlike level as possible because we were all artists back then. So you just close your eyes and think back to when you were as young as you can remember and had the least barriers to your creativity.
Interviewer,Let's go deep very quickly then
Kanye,"I think I started to approach time in a different way after the accident. Before I was more willing to give my time to people and things that I wasn't as interested in because somehow I allowed myself to be brainwashed into being forced to work with other people or on other projects that I had no interest in. So simply, the accident gave me the opportunity to do what I really wanted to do. I was a music producer, and everyone was telling me that I had no business becoming a rapper, so it gave me the opportunity to tell everyone, ""Hey, I need some time to recover."" But during that recovery period, I just spent all my time honing my craft and making The College Dropout. Without that period, there would have been so many phone calls and so many people putting pressure on me from every direction, so many people I somehow owed something to, and I would have never had the time to do what I wanted to."
Interviewer,"So basically, it allowed you to focus, and you realized at a certain point that it was now or never, and that you had to do it now."
Kanye,"Yes. It gave me perspective on life, that it was really now or 100 percent never. I think that people don't make the most of their lives. So, you know, for me, right now it seems like it's the beginning of me rattling the cage, of making some people nervous. And people are strategically trying to do things to mute my voice in some way or make me look like I'm a lunatic or pinpoint the inaccuracies in my grammar to somehow take away from the overall message of what I'm saying .."
Interviewer,"Well, unfortunately, that is indicative of what a lot of black performers and leaders have had to go through. People will often try to undermine them in a way to take away their power. You know, when I saw you perform, I was like, ""This guy is gonna die on stage."" When I saw you play, it felt like that, like it could be the last performance that you give. There's an incredible intensity to your performances."
Kanye,"As my grandfather would say, ""Life is a performance."" I'm giving all that I have in this life. I'm opening up my notebook and I'm saying everything in there out loud. A lot of people are very sacred with their ideas, and there is something to protecting yourself in that way, but there's also something to idea sharing, or being the person who makes the mistake in public so people can study that."
Kanye,"I started to approach time in a different way after the accident . . . It gave me perspective on life, that it was really now or 100 percent never. KANYE WEST."
Interviewer,It can be hard to take those kinds of risks as an artist if you're thinking about tomorrow.
Kanye,"Well, all we have is today. You know, the past is gone, and tomorrow is not promised."
Interviewer,"Talk to me a little bit about Yeezus. The album before that one, My Beautiful Dark Twisted Fantasy, was a phenomenal success. Did that wear on your mind when you went in to make Yeezus?"
Kanye,"Yeah! So I just had to throw it all in the trash. I had to not follow any of the rules because there was no way to match up to the previous album. Dark Fantasy was the first time you heard that collection of sonic paintings in that way. So I had to completely destroy the landscape and start with a new story. Dark Fantasy was the fifth installment of a collection that included the four albums before it. It's kind of the ""Luke, I am your father"" moment. Yeezus, though, was the beginning of me as a new kind of artist. Stepping forward with what I know about architecture, about classicism, about society, about texture, about synesthesia, the ability to see sound, and the way everything is everything and all these things combine, and then starting from scratch with Yeezus .. That's one of the reasons why I didn't want to use the same formula of starting the album with a track like ""Blood on the Leaves,"" and having that Nina Simone sample up front that would bring everyone in, using postmodern creativity where you kind of lean on something that people are familiar with and comfortable with to get their attention. I actually think the most uncomfortable sound on Yeezus is the sound that the album starts with, which is the new version of what would have been called radio static. It's the sonic version of what internet static would be, that's how I would describe that opening. It's Daft Punk sound. It was just like that moment of being in a restaurant and ripping the tablecloth out from under all the glasses. That's what ""On Sight"" does sonically."
Interviewer,"So Yeezus was about throwing away what people want you to do, the so-called ""success"", so you could move on to something else."
Kanye,"It's the only way that I can survive. The risk for me would be in not taking one, that's the only thing that's really risky for me. I live inside, and I've learned how to swim through backlash, or maintain through the current of a negative public opinion and create from that and come through it and spring forth to completely surprise everyone, to satisfy all believers and annihilate all doubters. And at this point, it's just fun."
Interviewer,"But there must have been moments of doubt or depression or sadness. I mean, with what happened after the Taylor Swift incident  and all the negativity that came your way as the result of that. How did you deal with it all mentally, physically, and spiritually?"
Kanye,"It's funny that you would say ""mentally, physically, spiritually"" because my answer before you even said that was going to be ""god, sex, and alcohol.""."
Interviewer,People can get lost in all of those things. So how did you arrive where you are now after coming through that period?
Kanye,"Well, I don't have an addictive personality, so that means that I can lean on what might be someone else's vice just enough to make it through to the next day. You know, just enough religion, a half-cup of alcohol with some ice in it and a nice chaser, and then .."
Interviewer,A lot of sex.
Kanye,"Yeah, a lot of sex. And then I'd make it to the next week."
Interviewer,So was there a moment when Yeezus all kind of came together as a work?
Kanye,"I've heard people say stuff about how a work is just taken out of your hands, and there were times .. I remember that we were shooting the ""New Slaves"" video before I'd even finished the second verse. We were on our third shoot day, and I was in the studio still finishing it because my lyrics aren't written beforehand. It's very important to me that they're completely in sync with what's happening in society at that time, that they're very timeless, but very up to date .."
Interviewer,"How important is that for you, to be current?"
Kanye,"I don't use a lot of current-affairs names, I've used them seldomly, but I feel like it's just a current itself, a wave that I'm surfing. There is no sport without the wave, so I have to wait for it. If the waves are high, then we're gonna have a fun day. If the waves are low, then you just stay on the beach."
Kanye,"A lot of people are very sacred with their ideas .. but there's also something to idea sharing, or being the person who makes the mistake in public. Kanye West."
Interviewer,How do you approach the visuals?
Kanye,"Well, I'm a trained fine artist. I went to art school from the time I was 5 years old. I was, like, a prodigy out of Chicago. I'd been in national competitions from the age of 14. I got three scholarships to art schools, to St. Xavier, to the American Academy of Art, and to the Art Institute of Chicago, and I went to the American Academy of Art. So the joke that I've actually played on everyone is that the entire time, I've actually just been a fine artist. I just make sonic paintings, and these sonic paintings have led me to become whatever people think of when you say ""Kanye West."" Madonna, I think, is the greatest visual musical artist that we've ever had. If you look at her photo log, the photographers that she was able to work with throughout her career framed her in the proper way. It was the proper context. It was that visual that made sure that everything was gonna cut through in a certain way. I mean, you know as much as anyone how important the visuals are. So I like to collaborate with different masters, whether it's George Condo or Nick Knight or Takashi Murakami, on the visuals that are connected to the pieces, and just have a simple high school conversation with whoever I'm working with and bring our thoughts together, but ultimately what we do is through the lens of that collaborator, and it ends up being their final hand. You know, you can go to a bunch of people who say, ""Hey, I want to make a video based off of these white-trash T-shirts."" But ""Bound 2"" is Nick Knight's take on those white-trash T-shirts, and if I went to five other artists, they would all do it in other ways. So I think that's part of the beauty of life. It's more about the art of conversation, the companionship, the friendships, and the quality of life that you get out of working, it's about the creative process even more than the final product. I think there's something kind of depressing about a product being final, because the only time a product is really final is when you're in a casket."
Interviewer,"I wanted to talk to you about the video for ""Bound 2."" As you know, my daughter is a huge fan of both yours and Kim's, and I saw that video and thought, ""This is great. Okay, interesting, fantastic."" And then I heard about all of this controversy that came to surround it, which I had to sort of scratch my head about. I mean, call me silly, but when I saw that video for ""Bound 2,"" I just thought to myself, ""It's just a video. It's obviously a sort of romantic video of him and his partner, and it's a bit tongue-in-cheek.""."
Kanye,Yeah. I think all that stuff around it is just that
Interviewer,"To me, ""Bound 2"" looked like a Prince video. Aesthetically, it had that kind of feel. It wouldn't have looked out of place if it were part of Purple Rain ."
Kanye,"Well, I'd be biased to think that the community of Geminis is the most consistently in tune with what their spirit is telling them to do or why they have breath in their lungs. But I do think that creative Geminis, Tupac, Biggie, Prince, Miles Davis, all being Geminis, have, throughout history, been really in tune with those things. You know, some different friends of mine have been showing me these interviews that Tupac did and how they're very simple and to the point. I watched them, and one of the things that Tupac kept saying is that he wanted thugs to be recognized. Now Jay-Z is a multi-hundred-millionaire who came from the streets, so Tupac's mission, in a way, has been realized. But my mission is very different from Tupac's, and I'm not Tupac. But I think that when I compare myself to Steve Jobs, Walt Disney, Howard Hughes, or whoever, it's because I'm trying to give people a little bit of context to the possibilities that are in front of me, as opposed to putting me in the rap category that the Grammys has put me in. In no way do I want to be the next any one of them. But I am the first me. So I only mention those other names to try to give people a little bit of context."
Kanye,what I'm doing now is the beginning of me throwing out what it means to be a rapper.Kanye West.
Interviewer,All of those names evoke a sense of power and money to some extent. Is that what it means to you to be recognized
Kanye,"I want the power to create what is in my mind. That's my dream. I want to be able to have a thought or an idea and bring it into reality. I want to be able to walk into a gym and say, ""I think this gym could be better if Axel Vervoordt  worked on it."" I want to be able to say, ""I think school could be better if a director did all of the programming, and there were screens the size of the walls, and instead of kids being asked to get off their iPhones, they were encouraged to use them so they can move forward faster as human beings instead of being held back from the future with dated curriculums."" If I want to design a product, or if I think of a new way for us to view films, then I want to be able to do it. And what happened was that when we made Watch the Throne, it was such an accomplishment, and I had a bit of money in my account, so I just started chasing other dreams. I did two fashion shows in one year, at one of them, I had go-karts that people could ride. I also shot a film in ""surround vision,"" where I had seven screens, three in front of the audience, one above, one below, one to the left, one to the right. This is after designing Watch the Throne, and I was putting my money towards it. I put the amount of free income that I could put into it, which went into the millions. I went around and showed people what I'd done and said, ""Hey, I made Watch the Throne, I made this amount of music for the past 10 years, I have this level of visuals, this level of communication, I can sell this many albums, and I also have these new inventions. Will anybody help me out?"" I met with 30 billionaires, 30 companies, and basically everyone said, ""Fuck you."" I said, ""How could this happen? How could not one person want to invest in these different ideas?"" I mean, if I grouped up with three guys in a basement and started a new tech company that was very similar to another tech company down the street, but it just so happened that I had a few more followers than the other guy, then I could get all the investment in the world and value my company at a certain amount. But then I have another idea and the entire world will say fuck you? Now, that is about money and power .."
Interviewer,"How do you think your parents influenced you and your thinking? Your mom was a college professor, and your dad was involved in the black power movement, right?"
Kanye,"Yeah. Both of my parents were educated, and both of them were always telling me about the manipulation of the media. My mom had books she would read to me. My bedtime stories dealt with things like the nose being knocked off the Sphinx, this is the type of bedtime story I would hear when I was in fifth grade. Of course, my father is also educated, Christian, once a Black Panther, a militant black, he understood what it meant to be discriminated against because he was black. He also understood what it meant to be discriminated against by black people because he talked white. He was very keen and sensitive to this at all times. So if we take it back to the days of what the media calls ""meltdowns"", which I don't call meltdowns at all, I call them ""turn-ups"", at things like the MTV Video Music Awards .. I don't even think Justin  had an album out at that time, and I had Graduation out. It had just come out, with the songs ""Stronger"" and ""Good Life."" And somehow they talked me into performing in a suite at the Palms, and they promised me that no one else in direct competition was performing on the main stage. Then the next thing I know, they closed the show with Justin."
Interviewer,"Of course, your mother passed away all too soon. How did her passing affect you?"
Kanye,"It's funny, because I think about .. You know, the sketchbook, the train of my ideas, is named after her. It's called Donda. And it's amazing because my grandfather, who just passed away this year, was named Portwood, and he had the sensibility, as a Southern black man out of Oklahoma, to name his daughter Donda. And then Donda had the sensibility to name her son Kanye. How futuristic and worldly are both of those names? And then the teachings and the confidence that was instilled by my grandfather into my mother, and from my mother into me, which will now, of course, be instilled by me into North, will create the best winter coat against doubters and dream-killers ever made."
Interviewer,What does love mean to you right now at this moment in time?
Kanye,"Love .. Well, if someone has got all the money in the world, they'd still want love."
Interviewer,"But now you've got a situation in your life where you've got a daughter, which is a different kind of love, an unconditional love that maybe you only get to have in another way with your parents. What has that experience been like so far?"
Kanye,"I think I have to experience it for another few years to be able to give you an opinion. It's all brand new, how it feels to be a father. There are some things that I understand, certain things that I don't understand, certain things that I like to get off my chest in interviews, certain things that I want to talk about. But when we talk about love, I don't have an answer. All I can say is that I'm happy I have it."
Interviewer,"I hate to put a stereotype on any profession, but there seems to be a certain loneliness associated with being a musician. Do you ever feel lonely?"
Kanye,"Well, I've got my astronaut family. You know, becoming famous is like being catapulted into space, sometimes without a space suit. We've seen so many people combust, suffocate, get lost in all these different things. But to have an anchor of other astronauts and to make a little space family .. I mean, it's not like I'm the guy in The Hunger Games  begging for people to like me. I'm almost the guy with the least amount of ""likes."" I wanted a family. So god gives you opportunities, and you make sacrifices for something that's greater."
Interviewer,"You know, when you talk about these people and these companies not wanting to partner with you to do what you want to do, it sounds very similar to what was happening when you were starting off as an artist, where people didn't think that you could do it. But you eventually did."
