name,line
Interviewer,Hello there and welcome to this SportsCenter special one-on-one with Conor McGregor I'm Ariel Helwani as you.
McGregor,Probably know conor mcgregor is one of the most famous athletes in the world today he is without a doubt the most.
Interviewer,Famous mixed martial artists in the history of the sport he has not done an interview with a media outlet since.
McGregor,October of last year of course that was the last time we saw him inside the cage when he fought khabib nurmagomedov at.
Interviewer,Ufc 229 this past year has been an interesting one for Conor McGregor making headlines for things outside of.
McGregor,The cage and tonight he will break his silence for the first time in approximately 10 months on everything.
Interviewer,That has been going on in his life and his fighting future and so without further ado let us say hello now to the.
McGregor,Notorious conor mcgregor who was kind enough to join us from Dublin Ireland Conor thank you so much for doing this.
Interviewer,How are you i'm good i'll tell you thank you so much for there for having me on it's an honor it's been a long time so.
McGregor,It's good to chat to you again absolutely and we really appreciate the time we know a lot is going on your life.
Interviewer,These days so let's get right into it let's get to the the news first if you will just last week.
McGregor,Tmz posted a video of an incident that occurred back in April of this past year where you appear to get into an.
Interviewer,Altercation with another man at a bar in Ireland could you tell us your side of that story what happened there and I.
McGregor,Mean in reality it doesn't matter what happened there I was in the wrong that man that man deserve to enjoy his time.
Interviewer,In the pool without having having it to end the way it did and although five months ago it was and I tried to make.
McGregor,Amends and i made amends back then it's still the fans don't even that does not even matter I was in the wrong and I.
Interviewer,Must come here before you and take accountability and take responsibility and I owe it to the people that have.
McGregor,Been supporting me i don't i owe it to my mother my father my family and I owe it.
Interviewer,I owe it to the people who trained me in martial arts that's not that's not who I am that's not the reason that's not the.
McGregor,Reason why i got into martial arts or study in combat sport the reason I got into it was to defend against that type.
Interviewer,Of scenario so to see that and although although months ago when I have been making steps and continually.
McGregor,Making steps to do better and be better to see it and it's like a dagger into into my heart that as a young martial.
Interviewer,Artists oh i'm just i'm just here to unload up to that and move on and and carry on it and and and face what's.
McGregor,Coming with it the video is a little grainy did you in fact punch that man yeah look in respect to the whole entire.
Interviewer,Situation i'm just let it play out with what happens in in in what happens with it so okay what happened was a little.
McGregor,Hazy for me also on and there was many months ago like I said and I have been making amends to him to make it not.
Interviewer,Happen again and to be better to be a better father to be a better human to be a better role model to these kids I know.
McGregor,A lot of kids are looking up to me and sometimes it'll be sometimes are gonna take me back but I have to realize that.
Interviewer,I that that's not that's not that's not the attitude or the behavior of a leader of a martial artist of a champion so I.
McGregor,Must get my head screwed on and just get back in the game and fight for redemption retribution respect the.
Interviewer,Things that made me the man i am and that's what I will do could I ask what sparked that incident I mean we see the.
McGregor,Video we don't hear anything could you tell us your side of the story from what you recall again what could I.
Interviewer,Say well what it does not matter what it I there's no answer to what what what what was done I was completely in the.
McGregor,Wrong so there's no there's no need to even discuss what what began it what was going on outside inside any of that oh.
Interviewer,It was completely in the wrong it was unacceptable behavior and I accept that and and like I said I've made a man's.
McGregor,And i'm continuing to make amends and i will continue to do so and so right now with that situation as you mentioned.
Interviewer,This happened back in april but the video gets released last week where do things stand with it right now I mean.
McGregor,I'm just look he got released a day after my daughter's christening so we had such a great time with the phantom.
Interviewer,Of my family and then you know it's just I just have to wait and see what happens and whatever comes my way I will face it.
McGregor,Whatever comes on my way I deserve it you know so I would face this head-on I will not hide from it I.
Interviewer,Was in the wrong it was completely unacceptable behavior for a man in my position what happens I will face Conor.
McGregor,Since this video came out as you probably know you have been criticized heavily from the fans to UFC president.
Interviewer,Dana white fellow fighters what is it like for you to read this to hear this stuff because it does seem like some of.
McGregor,These people who are so loyal to you for so many years are starting to turn on you a little bit that they're starting.
Interviewer,To lose patience after seeing all these incidents what is that like for you to read that stuff in here that stuff well.
McGregor,As far as like my fellow colleagues i deserve to be called out on it I deserve to be called out on that behavior it's.
Interviewer,Just unacceptable there's no there's no excuse to it I deserve everything that comes my way with it so and as far as.
McGregor,Like the fines and seeing the fans disappointed in me that hurts me so much because I am a fine everything I've done.
Interviewer,Is for the fines on a fine favorite fight or my whole entire career has been based for the fans like never planned.
McGregor,I'll never never never turn them down weights sport rules anything I always done at all to light the game up for the.
