name,line
Interviewer,"Yeah. In all discussion, I know you've heard it, low kicks, calf kicks, low kicks, calf kicks. When you hear that, do you say, ""Yeah, I executed perfectly"", or do you say, ""Why are people not giving me credit for everything else I did in that fight?""."
McGregor,You're going to walk like a dog in that octagon on Saturday night.
Interviewer,"I guess, lastly, for me, Dustin, this is obviously different. It was similar last time. It's getting kind of ugly again. Is this getting personal for you at this point?"
McGregor,"You're only a little b***h. Your wife is your husband. You're only a little b***h of a thing; a silly little hillbilly. Joe Lee's wife, Joe Lee's wife, Joe Lee's wife, you little b***h of a thing."
Interviewer,"Thanks, Dustin. Conor, I want to ask you the same. Conor, throughout your career, when something has gone wrong, you've always evaluated spot on and made the corrections right afterwards. You really did point to those low kicks and said how dangerous those were. In the time since, have you seen other issues or other challenges that he presents to you, or is that really all that you need to address here?"
McGregor,"This is my bread and butter. This is what wakes me up in the morning with fire in my belly. Errors to correct, tactics to prepare for. I've had a great camp, a great focus on the opponent's details."
McGregor,What?
McGregor,"Yeah. Shut your mouth, you little filly or I'm going to dance on your head."
Interviewer,"Conor, it's clear that the gentlemanly Conor that was in Abu Dhabi is not here this time around. Dustin's admitted, at fight number one, you got in his head. As you're sitting there right now, do you feel that you've been able to get into his head or under his skin again?"
McGregor,"I'm going to go through his head, put holes in them, and take it off his shoulders. That's the goal here. He's done here. This is it for him. This is the end of the road. Even after that last fight, ""Oh, I don't love this anymore. I don't love doing this."" He knew what was coming. He knew the smacks he took. It's on, now. Saturday night, he's getting walked around that octagon like a dog and put to sleep."
Interviewer,"Hey, Conor, just one last one for you. We think about all the things that you've accomplished in your career. Certainly, there's not a title on the line in this one, but what would a win in this trilogy series mean for you? What would this mean, as part of your legacy?"
McGregor,"It's beautiful. Another addition, another feather to the cap. It's what I love to do. I love to come in here, defy the odds, do the unthinkable, and put on a show."
Interviewer,"Thank you, Conor. Dane, just one quick one for you. I know that you were teasing some big numbers and big trends and were excited about it. As we sit right here, what can you tell us about the status of this pay-per-view and where you expect it to end up?"
Interviewer,"Question for Conor. You walked out, you posed for the crowd. It seems like you pulled some of Dustin's hot sauce out and threw it at him. Why did you feel the need to pour out his hot sauce?"
McGregor,"It's garbage. Don't have that garbage up on my bleeding stage. Where's the proper 12, the real sauce, the real Irish hot sauce."
Interviewer,"Dustin, it seems like you have something to say."
McGregor,Good one.
Interviewer,"Another one for Conor. This is really the first time you've been in the same room with Dustin since Fight Island. Has seeing him in person now, after all the back and forth, on social media-."
McGregor,"I think he looks rough, to be honest. It looks like the wait is getting to him. I can see it in his eyes. There's stress in his eyes, a lack of sleep. You can see it. It's coming for him on Saturday night and he knows it and I know it. I'm going to love doing it."
Interviewer,"Dustin, same question. Is finally seeing Conor in person, after all the back and forth on social media, has it elicited any more emotions or is it still just business, as usual?"
McGregor,I see a corpse. I see a dead body.
McGregor,Question 3:.
McGregor,"This is a question for Conor. This is a question for Conor. This ocho cinco with B/R Betting. A quick question, myself and the entire B/R Betting family, we're walking with you Saturday night. I want to hear from your mouth, are you a lock?"
McGregor,I'm a lock. I'm going to kill this man.
