name,line
Interviewer,Tonight good to see you well welcome to my home thanks for having me here my farewell interview at.
Michelle,The first lady of the united states Michelle Obama inside the White House when did you feel the most tested her.
Interviewer,Reflections after eight years on the world's stage but let me just tell America this is hard for future plans we.
Michelle,Should go clamping and for thoughts on the election would you ever run for office a basket and our new.
Interviewer,President-elect this past election was challenging for me as a citizen plus that's innate you.
Michelle,Hear fancy me hey hope and whether or not you achieve that eight years ago I was standing with hundreds of thousands.
Interviewer,Of people in chicago in awe of this electrifying moment we all were witnessing millions of people around the.
Michelle,Globe cheered united in hope for barack Obama the first African American elected president of the United States his wife.
Interviewer,Michelle our nation's first african American first lady stood by his side of course like so many Americans was hard.
Michelle,To believe this was happening in our lifetime as the famed historian Doris Kearns.
Interviewer,Goodwin reminded us people will be writing about this moment for hundreds of years.
Michelle,And now as she prepares to leave the White House its Michelle Obama who's on the precipice of her own exciting next.
Interviewer,Chapter at first reticent to step into the role of candidate's wife the rise of the.
Michelle,First lady as a political force because this right now is the greatest country on Earth has pundits wondering about her.
Interviewer,Next move this is obama is not only a woman to watch in American politics but also considered the coolest first lady.
Michelle,In us history I remember being here eight years ago mm-hmm I was doing an interview for a.
Interviewer,Magazine we're actually sitting in this very room we took our shoes off we we did and you.
Michelle,Were talking about the girls schedules and trying to figure all that out and I left you know thinking and feeling the.
Interviewer,Weight of it all like the weight of the legacy that you all were carrying the responsibility so I want to know has.
Michelle,That weight lifted or has it just shifted you know it's it's lifted I mean you know let's let's be honest I mean.
Interviewer,You know there is there's no way to describe what it feels like to open up the paper every day and know that almost.
Michelle,Every headline is your husband's responsibility at some level mm-hmm anywhere in the world any major problem.
Interviewer,Any major issue falls on the laps of the commander in chief and that is a weight that is is indescribable and now that.
Michelle,It's time for us to move on yeah that weight has lifted a bit not completely because the work isn't done until the.
Interviewer,President-elect takes the oath of office but knowing that we've made it this far and we've survived and in many ways I.
Michelle,Believe we've thrived mm-hmm there is a weight that's lifted mm-hmm was there a time where you thought this.
Interviewer,Period would make or break you when did you feel the most tested you know I I think I tend to push the challenges this.
Michelle,Is a defense mechanism that i've had throughout my life you know the bad stuff I just don't hold on to you know I.
Interviewer,Mean so if we were to sit here and you were to read through some of that stuff I'd be like oh yeah that's all oh I.
Michelle,Forgot all about that it's like oh yeah I think I was kind of mad but I think the way I handle things and I you know I.
Interviewer,Can't i think we as women do it we as black women better be able to do it because there's so much that comes at us.
Michelle,All the time and every day in subtle that could tear your soul apart if you let it but my mother always taught me.
Interviewer,Girl you better keep it moving you know you got to brush it off and I think I've grown up doing that so the challenge is.
Michelle,Yeah there are times that you know frustrated me you know this this past election was challenging for me as a as.
Interviewer,A citizen to watch an experience it was painful had you originally planned to go out or was there a moment where you.
Michelle,Decided i'm gonna no well they didn't campaign they always asked me yeah party my husband people you know there isn't.
Interviewer,An important election that has gone by where they didn't ask you a they didn't ask you know the question for me is just.
Michelle,Always what and how how is the structure I've said this before if I'm out there if I leave this house and leave my girls.
Interviewer,How do i know that this will have impact I don't want to just be out there just to be out there um but I'm always asked.
Michelle,So i you know that was something that people were kind of dancing around the subject okay we're going to ask the.
Interviewer,First lady if she'll go out and you know you could see people dancing around the subject but it was pretty clear that you.
Michelle,Know you want eated yeah yeah after the primaries were or that you know they wanted us all to do as much as we could.
Interviewer,So there seemed to be something that happened to you during this particular campaign I think was in New Hampshire.
Michelle,There was a level of urgency and dynamism that we had not seen before that seemed to be coming from a.
Interviewer,Different space that wasn't just political well this was the context of that speech was unique mm-hmm.
Michelle,We saw this candidate actually bragging about sexually assaulting women and I can't believe that I'm saying that a.
Interviewer,Candidate for president of the united States has bragged about sexually assaulting women and I have to tell you.
Michelle,That i can't stop thinking about this it has shaken me to my core in a way that I.
Interviewer,Couldn't have predicted you know to have a candidate for the presidency speaking in such terms about women as I said was.
Michelle,Not it was not a normal thing so my response you know in light of what I was seeing from my female staff what I.
Interviewer,Was hearing from my daughters their reaction to it for me required a different kind of response you know you.
Michelle,Can't just stand before people and just give a regular political speech I mean I was scheduled to go out on stump right.
Interviewer,After this was happening and the question was well do I just go out there and talk like that act like that didn't.
Michelle,Happen well god that's not true that's not honest and that's something that Barak and I have always tried to be in.
Interviewer,This office is honest you know so that people feel like when we say something we do mean it mm-hmm you know um so in.
Michelle,That time there was no way that i could be out on the campaign trail and not address how that was making not just me.
Interviewer,Feel we could feel that you had been shaken too yeah well not because a lot of people had been shaken to their core.
Michelle,And still are they are still feeling the reverberations of that kind of caustic language so I heard that on election.
Interviewer,Night you can't believe everything you read yeah please don't wait wait I read I.
Michelle,Read that on election night you went to bed yes and did not know the results until.
Interviewer,The next morning you know we absolutely I look I don't I do not like the back-and-forth the process of politics I.
Michelle,Don't like to hear pundits chit-chattin a man and I don't like it so you had awakened enough November 9th and you.
Interviewer,Were told yeah i got up and i looked at my my iPhone mm-hmm and I saw it and what was your first.
Michelle,Thought well pretty much you know you kind of saw the tea leaves I kind of felt helping by the time you went to bed.
Interviewer,He's in bed good sense he i was getting myself ready for either outcome you know so mentally I'd already kind of digested.
Michelle,It before I actually read it you know so this is what why it's important to.
Interviewer,Understand for all the people out there they have to understand that as I've said time and time again words matter.
Michelle,And they matter most to our kids our young people and the words that we say moving forward all of us it matters.
Interviewer,Which is one of the reasons why barack and I are so supportive of this transition because no matter how we felt.
Michelle,Going into it it is important for the health of this nation that we support the commander-in-chief wasn't done when.
Interviewer,My husband took office but we're going high and this is what's best for the country so we are going to be there.
Michelle,For the next president and do whatever we have to do to make sure that he is successful because if he succeeds we all.
Interviewer,Succeed when you say it wasn't done for your husband for his presidency what do you mean by that that there were people.
Michelle,Who did not support his presidency there were people in Congress there were leaders in Congress who did not support.
Interviewer,His presidency which was not something that was good for the country was good for politics but it wasn't good for the.
Michelle,Country um and that wasn't the right that way to approach it when someone is cruel or.
Interviewer,Acts like a bully you don't stoop to their level know our motto is when they go low we go high.
Michelle,So in this when they go low we go high that is that went viral now everybody repeats it it's now one of the most.
Interviewer,Famous quote i just want people to act on it okay so I want to know what that meat is like what does that look like in.
Michelle,The reality of this time it looks like so many things but you know it goes back to words matter what we say how we.
Interviewer,Behave we are modeling to the next generation so if we want maturity we have to be mature if we want a nation.
Michelle,That feels hopeful then we have to speak in hopeful terms we have to show love and empathy if we want smart leaders.
Interviewer,Then we have to be smart voters you know we cannot vote from a place of fear we have to vote from a place of openness so.
Michelle,We have to we have to model what we want and that's what you're saying you're doing mm-hm.
Interviewer,So what was it like when the trump's came to visit it was very pleasant it was very pleasant I mean it was a.
Michelle,Wonderful visit because this is a really great job you know we did you have any advice for it.
Interviewer,This is you know i didn't we didn't we talked about the kids but you know my offer to Milania was you know you really.
Michelle,Don't know what you don't know until you're here so the door is open as I've told her and as Laura Bush told me um.
Interviewer,You know and as other first lady's told me so I'm not new in this going high thing I mean I'm modeling I'm modeling.
Michelle,What was done for me by the bushes and Laura Bush was nothing but gracious and helpful and her team was right there for.
Interviewer,My team all throughout this entire eight year process and your team is doing the same we will do whatever they need to to.
Michelle,Help them succeed so that's one of the things I said to Melania when you get to a place when you can digest all this and.
Interviewer,You have questions because you know you don't have questions you know the day after the election it's just sort of.
Michelle,Like yeah you're looking on the house it's like well what do you want to know it's like I don't know what.
Interviewer,I should know and i knew that so my door is open and that that was really the nature of the the meeting coming up.
Michelle,Let's stop there yeah what did you say plus let let's not forget I just didn't wake up first lady.
Interviewer,And later that was one of those things that you just sort of think day you don't even know me.
Michelle, so how are you feeling right now you're packing up you're not physically packing.
Interviewer,Yourself well yeah i do a lot of pointing I'm not like boxing boxing things but.
Michelle,I'm doing a lot of but even when you're pointing you even when you're pointing cuz this happened to me when I was.
Interviewer,Leaving chicago you come across things and it's like oh I remember that I remember that well a lot of the books.
Michelle,You know books because we're going going through like my sign book from Nelson Mandela yes that's not being packed up.
Interviewer,Anywhere i'm gonna carry that with me i don't don't touch that book you know we have a lot of photo books and I think.
Michelle,You actually saw one i saw one of the photo books just now coming oh just imagine we do those all the time we do.
Interviewer,Them as you do look every year for your staff we do it every year Brock does one for his team for his entire senior team.
Michelle,We do one for family members sort of laying out the year that the girls had you know that's kind of a good Christmas.
Interviewer,Gift for grandma and godmothers and all that sort of stuff and when you look through those especially when the girls.
Michelle,Were so little they were just looking through this year I was looking at your staff what I sent just looking through.
Interviewer,The book of this year mm-hmm so many events from college signing day going to have tea and lunch from the Queen so.
Michelle,Many meaningful school trips there so there's meaning and yet as I was going through the pages so much laughter oh.
Interviewer,Gosh yeah we're the happy side of the White House meaning and laughter yeah no no that was one of the things that I.
Michelle,Told my team when we first came in it's like we we because of the weight that the president has because of especially.
Interviewer,When he first came into office and we were dealing with a financial collapse that was unprecedented most people don't.
Michelle,Remember that um the country was little remember and a lot choose to forget exactly exactly.
Interviewer,That we're on the brink of financial we were on the brink and we entered an unprecedented recession and you're.
Michelle,Dealing with people losing their homes and we're in about their jobs and on and on and on and we sort of felt.
Interviewer,Like we need to be substantive but we also need to have a little levity you know Americans need a little joy and we.
Michelle,Were the joy masters and you did that in this house because sitting here in this house which represents many things first.
Interviewer,And foremost a seat of power but it was very clear that the image of you and your family rocked the world and then.
Michelle,You literally flung the doors open to everybody from every walk of life every ethnicity every kind of celebration we.
Interviewer,Wanted to change things up here in the White House hope it from the moment she moved in First Lady Michelle Obama made.
Michelle,It her mission to redefine the white House as a more inclusive House of the people he wanted to open the doors.
Interviewer,Really wide so a bunch of different folks who usually don't get access to this place she created an atmosphere of.
Michelle,Warmth by celebrating all cultures hello everyone knows let's animal Barack first lady's openness and acceptance led to a.
Interviewer,Flood of firsts on the white house staff the first man to ever serve as social secretary to the White House the first.
Michelle,Openly transgender staff member was hired and for the first time in history mrs. Obama opened a White House family.
Interviewer,Dining room to the public there she placed an expressionist painting by Alma Thomas the first work of art by an.
Michelle,African-american woman inside the white House it seemed that you all did that purposefully absolutely yeah absolutely.
Interviewer,And what why was that a priority because images experiences can be life-changing particularly for our kids and so many.
Michelle,Kids from so many backgrounds never get to do this kind of thing I mean you think of all the kids who live miles.
Interviewer,Away in anacostia who never get to set foot on that South Lawn who never get invited into these doors.
Michelle,And you know experience the magic that is the white house I thought of that the night all the Girl Scouts were out on.
Interviewer,Them yeah yeah you know and it's not just kids locally but kids all over the the country all over the world and quite.
Michelle,Frankly i love the look on their faces you know I mean some of it is selfish yes because well you know the joy is.
Interviewer,Gonna say the joy when somebody else feels something again right and for many young people you know getting to sit in.
Michelle,The state dining room and talk in the musicians and you know eating from our China and sitting in the East Room and.
Interviewer,Listening the alexander hamilton private performance I mean to see the joy the tears the you know we've changed their.
Michelle,Lives forever and so yeah that was purposeful that was necessary author Peter Slevin wrote this for the BBC.
Interviewer,About the unprecedented challenges that you faced he said first ladies arrive in the White House without a playbook they.
Michelle,Have no official duties no salary no official jobs let's stop there yeah what did you say first ladies arrive in.
Interviewer,The wake up okay yet the critics are ready to pounce from every point on the compass more so with the first.
Michelle,African-american first lady in a country that is anything but post-racial so you arrived here with great expectations and.
Interviewer,There were comments being made then and since that you said knock you back a bit what allowed you to stand in your own.
Michelle,Truth and find your way being a grown-up you know you know being you know I always said it to myself.
Interviewer,I this would be really hard if i were 20 or 30 and that's why I look at these young celebrities and I just feel for.
Michelle,Them because you have to be grown-up enough to know your self in this and that just takes time that's you know of.
Interviewer,Course i had great parents and i have a husband who loves me I have people all around me who affirm me look that helps.
