name,line
Interviewer,Well starting now on book tv a look at Michelle Obama's book tour for her new memoir becoming becoming has sold nearly.
Michelle,3 million copies since it debuted in November making it the best-selling book of 2018 she's been selling out arenas.
Interviewer,Throughout the country and we're going to show you some of those appearances now on book TV we're gonna start off.
Michelle,This segment though in june at the American Library Association's annual meeting in New Orleans.
Interviewer,She previewed her book and talked about her life there with the librarian of Congress dr. Carla Hayden and now the.
Michelle,Person you all came to see  Michelle LaVon.
Interviewer,Robinson obama she is a lawyer she is an author and she is the wife of the 44th President of the.
Michelle,United states barack obama  throughout her initiatives as first lady.
Interviewer,She has become a role model for women and for girls and an advocate for healthy families service members and.
Michelle,Their families higher education and international adolescent girls education her much-anticipated memoir becoming.
Interviewer,Will be published in the us and canada on November 13th 2018 by Crown a division of penguin Random House and it.
Michelle,Will be released simultaneously in 24 languages considered one of the most popular first ladies.
Interviewer,Mrs. obama invites readers into her world chronicling the experiences that have shaped her from her childhood on.
Michelle,The southside of chicago to her years as an executive balancing the demands of motherhood and work to her time spent at.
Interviewer,The world's most famous address warm wise and revelatory becoming is the deeply personal reckoning of a woman of.
Michelle,Soul and substance who has steadily defied expectations and whose story inspires us to do the same we are also.
Interviewer,Fortunate to have librarian of congress Carla Hayden hosting the conversation with mrs. Obama today as we know Hayden.
Michelle,Was nominated to this position of librarian of Congress by President Barack Obama in February 2016 and her.
Interviewer,Nomination was confirmed by the us Senate in July 2016 she was sworn in as the fourteenth librarian of Congress in.
Michelle,September 2016 librarian of congress Carla Hayden and first lady mrs. Obama come together now for an in-depth.
Interviewer,Conversation around her forthcoming memoir becoming and the experiences that have impacted her life her family and.
Michelle,Her country michelle obama  thank you so much.
Interviewer,La librarians here guys looking good hi Carla hi how are you Oh telling you there have.
Michelle,Been many thrills but to be the library and that's sitting here with you is one of the most I'm getting a little.
Interviewer,Compliment but i'm interviewing so i have to do it you just have to remember our days back in in City Hall I mean.
Michelle,I've known carla since i was a baby a baby professional so you shouldn't be nervous and what a professional you were.
Interviewer,Though because with chicago public Library I came back from Pittsburgh and the library was part of your portfolio.
