name,line
Interviewer,In 1989 our first guest went on a fateful date with a charming Muslim immigrant from Kenya and had no idea.
Michelle,That it would lead to her one day being first lady of the United States you can read all about her history-making life.
Interviewer,In this new memoir called becoming police say hello to Michelle Obama that gives you.
Michelle,You see you see you see well miss you I mean where did.
Interviewer,You go yeah we did you back in the old house how is unemployment going are you embracing it yeah it's okay and I was.
Michelle,Just trying to think of what we've been doing but truthfully we're boring you know I we have a teenager at home and.
Interviewer,She makes us feel inadequate everyday low can I tell you how we feel we feel like you remember the first Superman.
Michelle,Movie christopher reeve yeah when he gave up his powers to save Lois Lane's life and then he was powerless and then.
Interviewer,They got beat up in a diner and then he had to get his powers back to come save us from Lex Luthor that's what we need.
Michelle,From you and your husband called the constant we dispense with that already happily what is he doing.
Interviewer,Right now like right now what is my husband yes oh he's probably in his hole in our new house in his office writing.
Michelle,He's working on his book can i tell you when I was reading about you mentioning in your book that his office is messy.
Interviewer,And disorganized yeah yeah me licensed to have a messy and disorganized office because my wife is that before oh it's a.
Michelle,Disaster but now i feel like well yeah yeah the president does that yeah putting up it's nice to me and it's.
Interviewer,Annoying are you sending a message for your husband through me I wish I could I really do it appears based on social.
Michelle,Media that you are really following Beyonce around the country going to her condo is that activity besides your.
Interviewer,Husband indoors with which celebrity do you text most often oh I'm not gonna tell you really and you know it's like.
Michelle,You don't text and tell that's not a thing I thought you just made that up what's going on lately because Oprah.
Interviewer,Kicked off the tour and she was an early reader I've been doing a lot of texting Gayle is a worrier.
Michelle,So a lot of times she'll call like what the oh really yeah yeah Oh Gayle that's pretty solid.
Interviewer,That's - you said barack is working on his book right now did you guys ever have a situation where you fight over an.
Michelle,Anecdote like it's like i wanted that for my book you know I'd since my book was first he's he lost.
Interviewer,And when it caused a rift in your relationship if Oprah doesn't put his book in her book club because she do it.
Michelle,With yours it might hurt his feelings but don't get over it the book is number one on Amazon that's was it fun to write.
Interviewer,The book it was more fun than i thought because here's the thing rarely does anybody get time and they get paid to.
Michelle,Reflect right that's true and reflecting I find is very important because the truth is is that for the last decade.
Interviewer,There was no time to even really think about what just happened to us you know I did I write about the fact that you.
Michelle,Know the week would start something amazing would happen and then by the end of the week I would have forgotten all.
Interviewer,About that other amazing thing i mean our days were full we were we were just inundated so coming out of the White.
Michelle,House it you needed that time to take stock and say what just happened what was that yeah and this book allowed.
Interviewer,Me to do that and to really understand what those eight years meant to me personally and how it fit into the.
Michelle,Context of the rest of my life yeah that was something I needed it was therapeutic for me and such a big part.
Interviewer,Of your your family your daughters being so young when how old were your daughters want on the day you yeah you.
Michelle,Started living in the white house they were seven and ten and I hope I get that right because that's yeah but they they.
Interviewer,Lived in the white house longer than they lived in any house that we lived in your mom moved in lived there the whole.
Michelle,Eight years with you reluctantly but he locked at least eight what year did she try to get out how far in oh you know.
Interviewer,She felt like by the time she wasn't taking the girls to school everyday they were both in middle school she.
