name,line
Interviewer,Mrs obama as a little girl would you have imagined yourself as first lady of the united states or.
Michelle,The star of your own kids tv show absolutely not i mean when i was very young i wanted to.
Interviewer,Be a mommy like my mommy and then when i got a little older i thought i wanted to be a pediatrician.
Michelle,And then i got a little older and i realized there was math involved and i wasn't good at that.
Interviewer,And then i decided on law because i talked a lot so you know i could only imagine for my life what was before me.
Michelle,And this wasn't it so no is the short answer well now you are.
Interviewer,The star of your own kids show waffles and mochi what has that been like has it been a.
Michelle,Lot of fun oh it it's my favorite project i mean you know you have followed us and supported a lot.
Interviewer,Of the work that we've done and i love it all but this project you know it just sort of it brings it.
Michelle,All full circle um because it brings me back to kids and nutrition.
Interviewer,It's fun um the creative the co-creators erica thornlin and jeremy connor or are funny they bring the education but they.
Michelle,Bring the funny um and it's something that all families can enjoy this isn't just a kids show.
Interviewer,It's a family show and that's what drew me to it because i i was like i i'd watch this without my.
Michelle,Kids because i don't have little kids anymore so i am so excited about this it is a.
Interviewer,Quality uh program for sure and i'm glad to be a part of it and you guys are uh partnering up with.
Michelle,Partnership for a healthier america in a year where we've all witnessed these heartbreaking images.
Interviewer,Of people lined up for miles at food banks why is it so important particularly this.
Michelle,Year well this has been a hard year for millions i mean.
Interviewer,So many of us have complained about being cooped up and isolated and it's just hard it's.
Michelle,It's a strain but the truth is there are a lot of people who have lost work they're people who are struggling.
Interviewer,To keep food on their table there are families in this country today that are going hungry.
Michelle,And so uh we're partnering with a partnership for a healthier america to create the pass the love campaign um.
Interviewer,Where our goal is to feed a million families in need right here in this country and.
Michelle,Folks can go on to the website wafflesmochie.org and they can uh find out how to be a part of that effort.
Interviewer,As well as uh use the website to interact with the show.
Michelle,Um the kids can get on in their recipes that they can practice and um they can win their own.
Interviewer,Badges because waffles and mochi always earn a badge from mrs oh when they complete an assignment.
Michelle,Um so it's a it's it's the site is for a little bit of everything but you can learn more about the pass the love.
Interviewer,Campaign there too well as you said this show is for moms too.
Michelle,We know that you know we're all watching the shows our kids watch and this has been a really trying year.
Interviewer,For mothers mothers who are working from home and teaching our kids two million women.
Michelle,Have left the work force this year what do you say to all of of those that are struggling.
Interviewer,You know mothers were all always already hard on ourselves and this is a time where we have to give ourselves a.
Michelle,Break um this is not the year to try to do it all.
Interviewer,And to beat yourself up when you can't this has been stressful so we have to give ourselves a break as mothers.
Michelle,Do the best that we can and remember in the end that what's most important for our kids is that they know.
Interviewer,We love them and that we try to be as consistent as we can but we can't get everything right.
Michelle,The other thing i would encourage mothers to do is to find some time just to get a moment by.
Interviewer,Yourself even if it means going into the bathroom lock a door and if you don't have a lock.
Michelle,Barricade yourself in and just get a moment to take a deep breath.
Interviewer,Because we can't be there for our families if we're not there for ourselves first.
Michelle,I've hidden in the pantry i have to admit maybe while eating my kids string cheese.
Interviewer,I can only imagine i mean my girls are young adults they're running from us now.
Michelle,I remember those years they are barricading themselves in their rooms because they're tired of talking us.
Interviewer,But you but you've said that one of the most beautiful parts of this year was the unexpected.
Michelle,Uninterrupted time with your girls i mean you thought they were off and go gone to college and now all of a.
Interviewer,Sudden they're back what's it been like it's been great for us i i feel for them because.
Michelle,You know malia is a senior this year this was her last year in college and sasha has essentially missed her.
Interviewer,Second year in college so i feel for them but for barack and i we have cherished this time i mean you.
Michelle,Don't get that time back again where you see your children in their adult life.
Interviewer,You know uh having a different set of conversations cherishing a different kind of.
Michelle,Relationship i'm no longer just parenting i i'm guiding i'm counseling.
Interviewer,And it's just fun seeing how their minds work what they're afraid of it's even fun.
Michelle,Just peeking in and hearing them in their online classrooms it's like oh you.
Interviewer,Actually did your reading you have an opinion i like that like probably astounded by.
Michelle,Them and and i i read that um your husband was shocked by how much one of their.
Interviewer,Boyfriends ate oh yeah we're speaking of food yes we had uh.
Michelle,The the pleasure of having malia's boyfriend with us for part of the time last year because he was graduating and.
Interviewer,Was afraid to go home and miss an internship so we housed him we didn't grow up we did we didn't raise.
Michelle,Boys and so they eat a lot and sometimes we forget that he'd need.
Interviewer,To eat he'd need to eat often so we had to really adjust our shopping and our eating schedule the poor boy.
