name,line
Michelle,"Well, welcome to my podcast."
Interviewer,Thank you so much for having me on your podcast.
Michelle,Just in case you don't recognize that voice...
Michelle,That is my husband Barack Obama...
Interviewer,It's me!
Michelle,It is you. It is you...
Michelle,Like most Americans we've been spending a lot of time together.
Michelle,in quarantine.
Interviewer,"You don't seem to happy about that the way she said it, right?"
Michelle,It's just a fact.
Michelle,There wasn't a judgment. We've been together...
Interviewer,I've been loving it.
Michelle,"Yeah, I've been having a great time. But we've had some."
Michelle,interesting conversations... Cause these are some crazy times.
Interviewer,Right.
Michelle,"We've spent a lot of time talking about, sort of, how do our views."
Michelle,"about community... How do those shape who we are and shape our choices, and shape our reactions?"
Michelle,"So, I thought we'd start with looking at how we've been shaped by our communities growing up. Our."
Michelle,backgrounds are pretty different just in terms of the structure of our upbringing.
Interviewer,Absolutely.
Michelle,That I grew up with as you call it the...
Interviewer,Leave it to Beaver!
Michelle,The Black Leave it to Beaver....
Interviewer,The Black Leave it to Beavers...
Michelle," With a family of four, you know. A father at home..."
Interviewer,Only thing missing was the dog.
Michelle,"A dog, I know..."
Interviewer,Cause Marian wouldn't let you get a dog.
Michelle,I know...
Interviewer,She feels bad about it now....
Michelle,"And now, I got revenge. I've got two of them..."
Interviewer,You do.
Michelle,And I'd have more if it weren't for you.
Michelle,But I grew up with that family of four...
Interviewer,Classic nuclear family unit.
Michelle,Exactly. And you grew up a little bit differently.
Interviewer,"Ah, things were a little crazier on my side."
Michelle, Well I don't know if it was crazy but it was different.
Interviewer,"Yeah...yeah. Look I was raised mostly by a single mom and my grandparents until we then moved to Indonesia and I had a stepfather and then Maya, my sister, was born. And then I moved back to Hawaii and lived with my grandparents for high school."
Interviewer,It wasn't the classic nuclear family. It was a tight knit family. The thing that maybe we did share was my mom and grandparents were similar to your parents in really prioritizing kids.
Michelle,Mm hmm.
Interviewer,"And, thinking that you had to make sacrifices for kids."
Michelle,Yeah.
Interviewer,"And so, we felt loved and supported. And that's obviously where a."
Interviewer,community starts.
Michelle,Mm hmm.
Interviewer,"One of the things we talked about a lot it that, one way or another."
Interviewer,they didn't have to do it completely alone. That there was a neighborhood or a community or....
Michelle,Extended family...
Interviewer,Extended families. Structures around that helped families raise their.
Interviewer,kids in a loving environment. And they didn't feel as isolated.
Michelle,A lot of the way families ran before recently was an economic necessity. You know my parents were poor...
Interviewer,You're livin on the second floor of you aunt house.
Michelle,"Livin on the second floor of my great-aunt's house because that was a way to save money so that my parents... My mother could stay home. And you know, my mom was able to work on the PTA at our public school because she and a couple of other mothers who could afford to stay home, stayed home and they kept their eye on everybody in the school."
Interviewer,Right.
Michelle,"So there was an opportunity because we saved money and we lived small, as my father said, there were parents who could be in the schools and who could be going on field trips, knowing that there were plenty of single mothers or mothers who couldn't stay home. So, moms like mine were looking out for all the kids at Bryn Mawr Elementary School."
Michelle,My dad's city job paid for everything we did.
Interviewer,Yes.
Michelle,And that's not true today.
Interviewer,Couldn't happen.
Michelle,Couldn't happen.
Interviewer,Because of the higher cost of health care...
Michelle,Wage stagnation.
Interviewer,The higher cost of if you want to send your kid to college.
Michelle,Mm hmm.
Interviewer,"So, you get financial pressures on the family. You then have all these institutions that used to be support systems - shrinking. So more and more, people start thinking in terms of..."
Michelle,Me.
Interviewer,Me. And I do things on my own.
Michelle,And not us.
Interviewer,"I pursue a career. I make money. And then, if I'm successful enough."
Interviewer,"I can be self-sufficient and my family can be self-sufficient. Of course, the challenge is that that kind of set up creates a huge separation between people, between economic levels. Ah, you always had separation, unfortunately, around race..."
Michelle,Right. But now you've got separation within race.
Interviewer,Right. Talk about that cause you... one of the things that happens in your neighborhood is... It's not just white folks who move out over time.
Michelle,Right.
Interviewer,"It's also Black folks who have means. They start saying, ""well we want the same thing.""."
Michelle,We want to go out the suburbs.
Interviewer,Right.
Michelle,"You know we saw that too. I mean, I write in my book about."
Michelle,'white flight.'.
Interviewer,Right.
Michelle,"But the truth is, later on down the line in the 80s or so as Black folks earned more money and got professions, the dream was to move to the suburbs."
Interviewer,Right.
Michelle,That was the dream of middle-class Black folks too. But I also...
Interviewer,Why did your parents not think about that.
Michelle," You know, my parents were uniquely stubborn about the suburbs. You know, they really..."
Michelle,"Number one, my father never wanted to be house poor. Right?"
Interviewer,Right.
Michelle,"So, there were times that they talked about buying a home. And I remember going to look at some homes and being excited that - Oh, I am going to have my own room. I was obsessed with having stairs in your house.."
Michelle,Along with a station wagon. Because maybe we're gonna have an upstairs and I can have some stairs. I distinctly remember that. But I also...
Interviewer,"So, you wanted some stairs..."
Michelle,I wanted some stairs! And a station wagon.
Interviewer,Cause now that's some success.
Michelle,That's some success right there.
Michelle,That's some Cleaver success.
Interviewer, Did the Cleaver's have stairs?
Michelle,Everybody had stairs!
Interviewer,They must have had some stairs.
Michelle,Everybody! The Brady Bunch had stairs.
Interviewer,All those people. Damn.
Michelle,The Partridge Family. The only people who didn't have stairs.
Michelle,were...
Interviewer,Was y'all.
Michelle,The Jefferson's and the Evan's Family.
Michelle,And the Robinson's.
Interviewer,And the Robinson's.
Michelle,"So I thought, you know, I want some stairs."
Michelle,"But my parents looked and my dad crunched the numbers and he said, ""You know, if I'm putting all my money into a mortgage then we're not going to be able to go on vacation. I am not going to be able to save for your college..."
Interviewer,Right.
Michelle,"And who cares about stairs? And you know, we grew up in the city. And this is just fine. And you need to learn how to live in the city."" And my father was suspicious of the suburbs because they still weren't completely welcoming."
Interviewer,Right.
Michelle,"We had had incidents of going into the suburbs of Park Forest, that were all white. And I write about the incident where somebody scratched my father's car because we were Black folks in a neighborhood."
Michelle,"So, I think they probably felt a level of safety and security staying in a neighborhood that was surrounded by our extended family. As I said earlier..."
Interviewer,Well one of the things when I move to Chicago - and I started as a community organizer - And I was basically working in the neighborhoods that you grew up in.
Michelle,You were there.
Interviewer,"And I remember when I went to start my job - the guy who was training me - he said, ""The first month all I want you to do is just talk to people.""."
Michelle,Mm hmm.
Interviewer,"So I would go around the neighborhoods and just talk to people about how they ended up in Chicago. Folks coming up from the South in The Great Migration. Their parents and grandparents. And people would reminisce, and they would say, ""You know, when we first moved here everybody raised everybody's kids.""."
Michelle,Mm hmm.
Interviewer,"That was a really common theme. People would say, ""If I was messing up, it wasn't... Ms. Smith down the street, she'd see me messing up. She'd scold me."
Michelle,Yup.
Interviewer,"Then when I got home, I might get whooped because Ms. Smith would have called my mom..."
Michelle,"""How dare you have Ms. Smith calling me and telling me you were on her grass and then you said...And you had the nerve to talk back boy.""."
Interviewer,Exactly.
Michelle,Boy.
Interviewer,"Right, so what you got was this portrait of a village."
Michelle,"Yeah, things were just...it felt easier in those times..."
Interviewer,Right.
Michelle,To have a family unit because it wasn't just you were supposed to branch out. That success was defined by your ability to leave your nuclear unit and make it on your own... That wasn't how either one of us was raised.
Interviewer,Right.
Michelle,"Every elder lived with someone. They shared expenses, they shared households, they shared the duties of raising kids. So, there wasn't this feeling that you were supposed to do this thing called loving and supporting you family on your own. You know that seems to be kind of a new thing."
Michelle,"And so, it felt like the community, the neighborhood I grew up with operated on that notion. And it."
Michelle,wasn't just up to that parent to provide that stability and that love.
