name,line
Interviewer,What is it about Chicago?
Michelle,I've traveled all over the world. And Chicago still by far is one of the most beautiful cities.
Michelle,We're on Jeffery Boulevard. This was the this was where the rich kids lived. And then you'll see. We'll cross the tracks.
Interviewer,Uh oh.
Michelle,And we'll get in my neighborhood.
Michelle,So we're crossing the tracks. This is still South Shore. This was my walk to school. Across the street I usually meet my friend Terry Johnson right in front of that garage. This is my block.
Interviewer,So this is the house.
Michelle,This is my house.
Interviewer,Wow.
Michelle,"And that was that's where we lived, upstairs. The Robbie and Terry lived downstairs. That was my bedroom. So you see the four windows? I walk in there and I think, My God, how four people."
Interviewer,"Well, what."
Michelle,"Lived a full life in that little, bitty space, up there. Yes, yeah. Up until recently this little apartment was sort of our inheritance. So any time anybody hit on hard times, we'd just move back up there. You know?"
Michelle,"MICHELLE TOLD ME, SHE WOULDN'T RUN INTO ANYONE SHE KNEW BUT, SHE DID."
Michelle,"Hey, hi, oh my God, it's good to see you."
Interviewer,"Nice to meet you, Mr. Reed."
Michelle,How's everything going in the neighborhood?
Interviewer,Going well. How's Miss Robinson?
Michelle,"She's good yeah, yeah, I'll tell her that we saw you."
Interviewer,"See this is what you're talking about, it's a small town."
Interviewer,"There was one time you write about that I think you were about ten years old at the time. And you cousin said to you, Why do you talk like a white girl. How do you square who you are, where you come from, with where you wanna go?"
Michelle,"It was one of those kind of moments where it was, like, Pssh, you're not like us. And it was because of my speech. At this point the viewers who are watching this, there're a lot of people nodding because when you grew up in the neighborhood, you know, you could get your butt kicked goin' to school if you looked too uppity or if you were studying too hard. So I had to grow up learning these two languages of how do I fit in with my family and my community and still excel? This wouldn't be the first time that my identity would be challenged. You know, where people couldn't figure out who I was with how I talked and what they who they thought I should be."
Michelle,"My parents from early age encouraged us to put our opinions on the table, to ask questions. To question context of situations. They encouraged us to understand the context."
Interviewer,"they weren't there to prevent you from falling, but to pick you up when you did."
Michelle,"Yeah. You could speak your mind, but you had to be respectful, you know? And if you got outta hand, you got a look. You'd get a spanking. They weren't free wheelin' parents. They were still black parents. But they believed in teaching us to think for ourselves."
Michelle,"My parents were very clear, you know we weren't rich. I remember there was a time my brother wanted to understand 'cause he couldn't get somethin' that he wanted. And my father laid out all the bills, brought home his paycheck in cash. And took every bill and put money on top of it to show what it costs and how much he brought in and what was left. They wanted to make it clear. You know, there was money earned and money that went out."
Michelle,I was nervous about going. I wondered if I was good enough and could I make it in this highly competitive magnet school.
Interviewer,"You write about foolin' around with your boyfriend. Oh, and smokin'."
Michelle,Which which one?
Interviewer,"Oh, well, we'll talk about."
Michelle,"Oh, high school boyfriend."
Interviewer,"Yeah, the high school boyfriend. And you even write about smokin' pot. Now, you didn't go into great detail, but you did you could've left that out. So why'd you talk about that?"
Interviewer,"MICHELLE OBAMA That's what I did. That's part of the becoming story. Everybody had something that they had to work through, something that they were figuring out. Why would I hide that from the next generation?"
Interviewer,"IN THE FALL OF 1981, MICHELLE ENTERED PRINCETON UNIVERSITY'S FRESHMAN CLASS. SHE SAYS PRINCETON WAS ""SCARY."" FELLOW STUDENTS AND MENTORS GAVE HER THE CONFIDENCE TO SUCCEED. AS SHE EXPLAINED IN THIS INSTAGRAM POST SHARING A YOUNG PHOTO OF HERSELF IN FRONT OF PRINCETON'S LIBRARY."
