name,line
Interviewer,Oh so when i started thinking about who has had some of the greatest impact on the global vision of what health and.
Michelle,Wellness and empowerment looks like this person's name came to mind first Brooklyn please welcome our WW 2020.
Interviewer,Visionary conversation before the first lady of the United States it's funny.
Michelle,Whoa this does this feel like you just feel like deja vu all over again for you because you were here wearing those bag.
Interviewer,Balenciaga gold boots yeah Barack is like weirdos boots what'd you do with those boots I was like they.
Michelle,Put away honey just settle it's just thing when you wear a pair of boots like that you you you it's really like they.
Interviewer,Go to the michelle museum that's right you know you don't walk around the street match anything with those boots.
Michelle,Yes barely get on stage and but does this feel familiar so I know 20 was 20 19 your year or what it was crazy.
Interviewer,It was unexpected yes it was a good year that's because Michelle Obama's book be coming I know everybody in there has it.
Michelle,It wasn't just the best-selling memoir book of the year it's the best-selling memoir of all times and what that says.
Interviewer,To me i think it's like now eleven point seven million probably twelve since we've been sitting here billion what it.
Michelle,Says to me is that it's such an extraordinary time to be a strong confident assured and above all else.
Interviewer,Well a woman in the world today absolutely I mean so many people saw themselves in my story it's also a time.
Michelle,For owning our stories and i think that's part of what resonated with PSA a lot of people came up and said well you.
Interviewer,Were so vulnerable you was it hard for you to tell sorry to tell your truth there were.
Michelle,Things you covered that were difficult like trouble in your marriage in trouble having getting pregnant was that hard to.
Interviewer,Do and my response is no that's my story I embrace every aspect of who I am because as I've said I like my story I.
Michelle,Like all the highs and lows and the bumps in between yeah yeah and I think that you know what we learn from that is.
Interviewer,People are they are they gravitate to other people's vulnerabilities mm-hmm they we gravitate to one another when we.
Michelle,See the best and the worst in ourselves because it makes us feel human mm-hmm you know and I think people connected to.
Interviewer,The humaneness of the story what happened that you could never have anticipated on the tour I mean didn't.
Michelle,You all do 30 cities we did 34 cities we did Europe you know tour in Europe but I think that and I won't say that it was.
Interviewer,Surprising because we're feeling it here you know is that people are hungry for connection they're hungry for community.
Michelle,What's happening here is that there are people gathering together they're moving outside of their individual lives and.
Interviewer,The loaning loneliness that can come with social media obsession and Instagram worlds we feel lonely and when.
Michelle,We come together in a space like this you know for whatever the reason whether it's to hear about a book or to talk.
Interviewer,About health or to see oprah it reminds us that we are not so on a like and people are hungry for that and it's that.
Michelle,Hunger and i don't take any credit for it I don't I don't think you know I think we underestimate the the desire.
Interviewer,For people to feel a connection to each other I know all of the riddle in this room paid money to come out to give up a.
Michelle,Saturday we know all that saturday me and as I said ain't nobody twerking on this stage.
Interviewer,You know people are talking and having conversations but the the current climate speaks down to people you know.
Michelle,We think that people don't want to talk about books and talk about deep things and to you know really be.
Interviewer,Self-reflective speaking of a current climate you know one of the things that you have now become famous forever for.
Michelle,Is that when they go low we go high and that ain't always easy you know it's not always easy and what I wanted to ask you.
Interviewer,That in this climate where low has taken new lows yeah how do you maintain a high and not appear to be passive and not.
Michelle,Lose your equilibrium because low is gone lower yeah yes well because going low is easy which is why people go to it.
Interviewer,It's easy to go low it's easy to lead by fear it's easy to be divisive it's easy to make people feel afraid that's the.
Michelle,Easy thing and it's also the short-term thing and for me you know what I learned from my husband what I learned in eight.
Interviewer,Years at the white house is that this this life this world our responsibility and it is so much bigger than us right.
Michelle,So what i have to keep in mind is usually when I want to go low it's all about my own ego you know it's not about.
Interviewer,Solving anything it's not about fixing anything it's about seeking revenge on the thing that happened to you yeah and.
Michelle,When you as oprah you talk about purpose yes what it's all about and my purpose on this planet is not to just take care.
Interviewer,Of my own little ego you know there is a bigger purpose for me out there so when I respond to something I have to think.
Michelle,About that light i'm trying to shine what role model am I trying to be what what are the words that I'm gonna say.
Interviewer,And how will it affect young people who are looking at me but that's the bigger picture that puts you in a position to.
Michelle,Think high because if you're thinking about the long term you don't take the short-term measure of getting even with.
Interviewer,Somebody right here and now today because it makes you feel good in the moment if it's not gonna fix a problem.
Michelle,If it's not I'm gonna move the needle then you're not going high you're just being selfish.
Interviewer,Yeah i was going to ask you that because you know when you are the rock star that you are.
Michelle,And yes when you're filling stadiums all over the world you're a rock star just take it just take it no yes not just.
Interviewer,Rocks are rock star role model world's most admired woman when you are that well you carry all of those titles does.
Michelle,That affect how you then make decisions the is that now a part of what you think about before you make a decision or have.
Interviewer,An intention i don't know that it's any different today but I feel like I have a risk but when you I believe that when.
Michelle,You are a public figure I believe this that when you have any level of a Fame or if you have a.
Interviewer,Platform i believe and i always have believed that I have a responsibility with that platform and I think about.
Michelle,Kids i care a lot about young people and I know that what we say what they hear come out of our mouths all of us but me.
Interviewer,In particular because they're paying attention that it has a lasting effect and I am a mother I'm a mother I care.
Michelle,About kids first so i think deeply about what kids are hearing me say so yes I do I take that very seriously and I take.
Interviewer,The words that i say to children very seriously you know when I'm with a young person I want them to hear me I want.
Michelle,Them to hear me see them it's important for them to know that this person who's so famous and has this platform thinks.
Interviewer,That they are beautiful and smart and kind and good yeah as I said earlier that everybody just wants to know that.
Michelle,You hear me yes and that you see me what's the best advice do you think you've given your daughters oh gosh I.
Interviewer,Give them so much advice they're so sick of me you know now that they're in college I have these tech.
Michelle,Ding did i ever did i tell you to remember little things like you are eating some green things aren't you what.
Interviewer,Is the thing that over the years was a running theme in your house that you said over and over there you know what I.
Michelle,Tell them is what i continue to tell themselves is that they have to walk their own walk you know they they cannot.
Interviewer,Define themselves by looking at each other or looking at me or their dad they have to take the time to get to know.
Michelle,Themselves give themselves a moment to figure out who they want to be in the world not who they think I want them to.
Interviewer,Be not what the rest of the world says about them but to really think about how they want to shape their lives and how.
Michelle,They want to move in this world so i don't want them measuring themselves by external influences and for young girls.
Interviewer,That is hard to do oh no that is a very hard thing to do and everybody should understand that is responsibility its.
Michelle,Industry larger it drives me crazy hard when it was hard with just cable TV when you're watching all the images and in.
Interviewer,Music videos it's i don't know exponentially difficult yeah with with social media when you're comparing.
Michelle,Yourself to everybody on social media so I constantly have to remind them that they have to live in their own skin and.
Interviewer,That takes time too and i try to make sure they understand that that that unfolding of understanding who you are.
Michelle,It it is a journey of becoming you don't know it all in your 20s no you don't you just started to go something right how.
Interviewer,Did you do that in the white house where you have access to everything and everybody in the world I think it's.
Michelle,Difficult for people no matter where you are in your trajectory you want to do have a better life than your parents you.
Interviewer,Want your children and live comfortably everybody does but how do you not spoil children when they have access to.
Michelle,Everything it it was easy for us you know because we don't think they deserve it you know it's about.
Interviewer,It wasn't a difficult thing to do you know no the way me and Barack were raised I mean first of all you got to.
Michelle,Have a mate that shares your value so it starts way back to who you pick you got to have a good picker because if you all.
Interviewer,Don't come to parenting with the same kind of values and understanding that stuff doesn't isn't parenting giving.
Michelle,Kids things is not parenting is that it is a verb it is an active engaging thing and that means you got to know you your.
Interviewer,Kids are and each one of them are different right so you can't just apply the same principles to the first one.
Michelle,That you did to the second one because they come here totally different so we you know we didn't just show up in the.
Interviewer,White house you know we i'm michelle from the south side of Chicago a little bitty house I got nice clothes and.
Michelle,Jewelry now but my mother made my clothes you know I mean we were raised with that's enough you know you'd be.
Interviewer,Grateful for what you have you don't look at the next thing you'd be happy with what do you have and that's how we.
Michelle,Work in the white house that didn't change because we moved to a different house you know the house didn't define.
Interviewer,Us it's the values that defined us amen amen for us so I heard we read this.
Michelle,Although you know we can't believe anything we read but I know Malia's third year Harvard and you all.
Interviewer,All together as a family dropped sasha off we did we dropped Malia off too yes we all did okay and I heard with the.
Michelle,Motorcade with the motorcade tried to hide it but it was there it's hard with 20 cars well they think we had him do.
Interviewer,Less cars okay so it had to drop off it was it's always good for any parent who dropped off kids there's the busy part.
Michelle,Of drop off which is like okay all right and I'm that person while Barack is like trying to put together a lamp I'm like.
Interviewer,Girl you cannot keep all these clothes you brought a hundred shoes and you live in a dorm so you can you can pick ten I.
Michelle,Mean this is what i'm doing it's like pick 10 shoes you cannot bring all those shoes and she was supposed to do that.
Interviewer,Before we got there which was winnow her clothes but see she didn't understand what dorm.
Michelle,Life was and i was like girl you got three inches of a closet and so you gotta figure this out so if there's that.
Interviewer,Busyness of trying to move in and pack unpack and fold clothes and clean up a little get it all together and so when.
Michelle,You're busy with the busy stuff you're not thinking about the emotional stuff so usually we then drop them off get.
Interviewer,Them in the dorm then we take them out to lunch somewhere and that's like our last lunch and when the emotions come is.
Michelle,When we are getting in our cars and getting on a plane and leaving our babies and they're going somewhere where.
Interviewer,They will now live that's when it hits you it's like we all start choking up it was just late and just like this is the.
Michelle,Time when i know you're leaving yeah and so we all you know try to hold it together we tried to hold it together to.
Interviewer,Get her in the car so she wouldn't start crying and then me and Barack we bawled like babies.
Michelle,You know barack has that get that ugly loud cry like you know he did that at but we as a graduation like we're.
Interviewer,Sitting there he had his sunglasses on and and speeches are happening and you know we're all chatting and we hear and.
Michelle,We look down like are you okay he's like he's gonna kill me for telling that story all that you don't tell them don't.
Interviewer,Tell them so this year is the first time you all have been empty nesters and what's that.
Michelle,Light and it's so easy a job is it oh no it is really good cuz doesn't the actual energy of a house change ya know what.
Interviewer,I'm saying is that parenting takes up a lot of emotional space and you know my husband was busy being president so I.
Michelle,Don't think he understood how much time time and energy don't we wish yes.
Interviewer,Just vote y'all that's all i'm saying just vote but anyway we digress but you know I put a lot of time and energy to.
Michelle,Parent think these girls in the white House because I wish we were trying to make their lives normal you know so that.
Interviewer,Meant weekends were always a pain right could you had to worry about what party they were going to whether there was.
Michelle,Alcohol and who was doing what and i had to know who the parents were so you're trying to do that as first lady I mean.
Interviewer,Every weekend for me was hard just following these little girls around and they're gone thank God they are off.
Michelle,Living their lives as my mother used to say sometimes you you just need to get out there and live your life and have.
Interviewer,Your mistakes where i can't see them because I'm tired of watching you walk at all you know she was there you don't.
Michelle,Follow them on social you know no no now we have a lot of people who do you know that was like no I'm serious.
