name,line
Interviewer,What important truth do very few people agree with you on?
Paul,That the axiomatic approach John McCarthy used when defining Lisp is the optimal way to design general-purpose programming languages.
Interviewer,"You seem to have a pretty strong and clear philosophy and vision for the future of our society, but did you have one when you were 20? If so, how has that vision evolved or changed?"
Paul,"All I had when I was 20 was a collection of hunches. That software was going to take over everything, for example. This collection of hunches has now grown so much that it looks like a complete vision, but it really isn't. And indeed, I wouldn't want it to be. Ideology is constraining. I'd rather have a patchwork model of the world based on experience."
Interviewer,What trait do you look for in founders and/or partners that is undervalued by most others?
Paul,"Earnestness. This seems a rather Victorian quality to care about, but the founders who end up doing the best are all earnest. They're not starting a startup because it's the cool thing to do, or to make a quick buck, but because it's how they want to work."
Paul,"Ditto for partners. The best partners are the ones who genuinely want to help founders, not the ones who want to work for YC because it's prestigious or because they can make a lot of money."
Interviewer,"In your essays, you are critical of philosophy, but what do you make of the fact that you, Peter Thiel, and Reid Hoffman all studied philosophy? Do you think this suggests something valuable about the study of philosophy that might be hard to identify, or merely something about the type of person that decides to study philosophy?"
Paul,I studied philosophy because of what it seemed to be. It seemed to promise a direct route to the most general truths. You can imagine how that might lure in an ambitious but naive high school student. Maybe that's what happened to Peter and Reid too.
Paul,"I do think it's possible to do philosophy in a way that's useful, though. I wrote about this in ""How to Do Philosophy.""."
Interviewer,When in your life have you felt the most lost? How did you deal with that?
Paul,"Probably in high school. I went to a random high school in the suburbs of Pittsburgh. It was the sort of school you see in movies about high schools, where the administration cares mostly about discipline and the students mostly about sports and popularity and partying."
Paul,"The kids who cared about sports and popularity and partying probably had a great time. But for the kids who cared about learning, life in those years consisted of a pointless but exacting dance you had to perform in order to get into a good college. It was pretty demoralizing."
Paul,"I dealt with this partly by working on my own projects, partly by working hard for the few teachers I had who were good, partly by being a typical rebellious high school kid (which in retrospect was a waste of time), but mostly just by trying to hang on till I could escape to college."
Paul,"At the time I worried all of life might be a similarly pointless jumping through hoops, but fortunately in college I discovered there was a thin stream of people in the world who were interested in ideas and making new stuff, and I've tried to stay in that stream ever since."
Interviewer,What is your media diet?
Paul,"Twitter and Hacker News are my main sources of news. I see interesting articles when people post links to them. But the best articles tend to be written by individuals, not journalists."
Interviewer,What publications do you read regularly?
Paul,"There's no publication I read regularly in the sense of starting at their site. If I see a newspaper or magazine I'll pick it up and read it (and unless it's The Economist, usually be disappointed), but there's nothing I subscribe to. I assume that if I try to subscribe to something, I'll have to fill out a form with 20 fields, that there will be no option to subscribe in a way that doesn't auto-renew, and that to make it difficult to cancel, I'll be made to call someone on the phone if I want to. So I just skip that whole mess."
Interviewer,How much time do you spend on Twitter? Do you feel like you're being productive when you're using Twitter?
Paul,"Way too much. Twitter is basically the junk food of essay writing, which is particularly dangerous for an essayist. Have an idea you want to express? Why not just tweet it? It's less work, and you get instant results. It's like being hungry and eating a candy bar instead of making bean soup."
Paul,It's slightly productive. You learn things and have new ideas. But not to the degree you would if you were writing essays.
Interviewer,What does your daily routine look like?
Paul,"Wake up, take kids to school, work, with exercise and lunch in there somewhere, pick up kids from school, play with kids or do errands, maybe work a bit more if I'm lucky, make dinner (I do the cooking for adults), maybe watch an old TV episode, put kids to bed (a long and varied process, involving everything from philosophy lessons to violent games), read, go to bed."
Interviewer,How was it different before you had children?
Paul,"It was totally different before I had kids. Much more flexible, and much more time to work. I didn't have to have any kind of schedule. I would just work all day, taking breaks whenever I wanted, often till 3 in the morning."
Interviewer,Why did you study painting?
