name,line
Interviewer,Will you invest in and/or advise our startup?
Paul,"I invest in and advise startups through Y Combinator. If you want investment, the way to get it is to apply for our next round of funding. If we fund you, you can have all the advice you want (if not more)."
Paul,"Sorry, but I can't give advice to every startup that writes to me. It's as much as I can do to keep up with the ones we've funded."
Interviewer,Can I mirror an essay on my site?
Paul,"I'd rather you linked to it instead. I like to keep track of which ones people read, because it gives me ideas of what to write about next. I also like to be able to fix typos."
Interviewer,Can I include an essay in my school newspaper?
Paul,"Sure, go ahead. Please include the url of the original though."
Interviewer,Can I put a translation into another language online?
Paul,"Sure. Please include the url of the original, and send me the url of your translation so I can make a link to it."
Interviewer,How long does it take you to write an essay?
Paul,"Usually about two weeks. What You Can't Say took a month, partly because the topic was so dangerous. How to Start a Startup took a week, because I started it a week before I had to deliver it as a talk. Writing, Briefly was the fastest, at just over an hour."
Interviewer,Why did the school authorities veto the plan to have you give the talk that became What You'll Wish You'd Known?
Paul,"They didn't have anything against me specifically, but because I wouldn't be coming from any organization, they wouldn't have any guarantee I wouldn't say dangerous things. Whereas if I came to speak from IBM or the State Department, and told the students they should all go out and try heroin, I'd be fired."
Paul,"Which shows one reason public schools lose. A private school would probably have taken the risk, but the administration at a public school has to consider all the fuss parents might make in the worst-case scenario."
Interviewer,Are any of your paintings online?
Paul,"I don't really consider myself a painter. I was trained in painting, but I haven't worked seriously at it for years. For the curious there is one image online. The painting on the cover of ANSI Common Lisp is also one of mine."
Interviewer,Are you the photographer Paul Graham?
Paul,"No, that's a different guy."
Interviewer,You say in Taste for Makers that setting text in sans serif fonts was a mistake. So why do you use them on your site?
Paul,I was talking about books. The resolution of computer screens is much lower.
Paul,Why is the text on your site so narrow? It wastes screen space.
Paul,The aim of web design is not to use all available screen space. It is legibility. Text is most legible with no more than 70 characters per line.
Interviewer,What editor do you use?
Paul,vi.
Interviewer,How can I learn to program?
Paul,Find a friend who knows how to program. Get them to set you up with a system where you can edit and run programs. Use whatever language they suggest for a beginner (probably it will be Python or Ruby). Then get the O'Reilly book and start working through it.
Paul,"As you learn the mechanics of writing and running a program, start thinking about specific programs you want to write. That will motivate you to learn more."
Paul,Don't start with a problem that's too big. A good way to begin is to take an existing program and modify it to do something new.
Paul,"Initially your programs will be ugly, but don't worry about that. Everyone's are. Just keep going, and they'll get better."
Paul,"As you learn, you'll find it useful to look at programs other people have written. But you'll learn more from this once you've tried programming yourself."
Paul,"Finally, find friends who like to write programs. They can answer your technical questions; you'll get new ideas from talking to them; and they'll be the audience for your first efforts."
Interviewer,Why do you advise plunging right into a programming project instead of carefully planning it first?
Paul,"If you're trying to solve a simple, predefined problem like doing a depth-first search, thinking everything out beforehand doesn't hurt. But few real problems are like that. In real-world applications, you don't usually know at first precisely what problem you're trying to solve. So if you spend a lot of time planning in advance, what you'll end up with is a minutely detailed plan for solving the wrong problem."
Paul,"With complex, ill-defined problems, you're better off writing a prototype as fast as you can, seeing what turns out to be wrong with it, and then changing your definition of the problem accordingly."
Interviewer,"Often the reason programmers are pushed into planning is not that the problem requires it, but that project managers require it. Maybe programmers should give managers an explicit choice: do you want me to solve the problem in the way that will make you feel good, or the way that will yield the best solution?"
Interviewer,Why do you keep going on about Lisp?
Paul,"There are a number of topics I go on about: that small companies do things better than big ones; that cubicles suck; that you have to understand design to be a good hacker; that planning is overrated. Those don't seem so conspicuous, because many readers either have no prior opinion, or already agree."
