name,line
Interviewer,How did you first become interested in photography?
Paul,"I first learned how a camera worked as a teenager in the Scouts, of all things, but no one explained to me what photography could do, so eventually I lost interest. Then, while at university, I discovered some great photography in the magazine Creative Camera, there was a column every month by Robert Frank, for example, along with various books in the university library. In a section called ""American Studies,"" I found titles by Lee Friedlander, Walker Evans, Robert Frank, Paul Strand, and so on. That's when I thought, ""Wait a minute. You can actually say something with this?""."
Interviewer,So your first serious exposure to photography came through publications and magazines rather than exhibitions?
Paul,"Definitely. I was in a small city in the southwest of England where there was little cultural opportunity to see good photography. Though truthfully, even if you were in London, it was not a lot better in the 1970s. The main chance for me was books, either in libraries or arts bookshops, or, as I said, Creative Camera, the one magazine that would be like Aperture or Blind Spot today."
Interviewer,What was the first major project you completed after graduating?
Paul,"I photographed English cafes and modern English housing developments in some of my earliest work, but the first project that ended up published was A1:The Great North Road (1981-82). I would drive along the A1, which starts in London, runs up the entire length of England, and crosses the border into Scotland to end in Edinburgh. I'd treat these trips like work-travel, similar to what I did with a shimmer of possibility (2004-6) many years later, sleeping in the back of my Mini most of the time."
Interviewer,"Starting with your first significant body of work, you were traveling quite a bit to make photographs?"
Paul,"Yes, I suppose. Troubled Land (1984-86) was made in Northern Ireland. I wasn't based there, so I would drive over to work. With Beyond Caring (1984-85), I went to various unemployment offices across the south of England. I traveled, but I don't think there's anything too unusual about that being part of your process. Traveling isolates you in time and removes you from distraction."
Interviewer,What kinds of challenges did you face making work on the road?
Paul,"The difficult thing about photography is you have no idea where your photographs are. You've carved out time and space to do the work, but you just don't know when or where pictures will arrive. When photographing unemployment offices for Beyond Caring, I could literally pull a page from a phonebook and there would be a list of addresses where my pictures might potentially be. But that was an exception; sadly, good photographs don't come with a list of where you will find them!"
Interviewer,"After completing the three projects in Great Britain, A1, Troubled Land, and Beyond Caring, what came next?"
Paul,"I traveled around Western Europe a lot more, which resulted in two books, New Europe (1993) and End of an Age (1999). I also traveled to Japan on and off for about seven years. Photographs from those trips resulted in the book Empty Heaven (1995)."
Interviewer,Did you take any trips to the U.S. during that period?
Paul,"I was periodically visiting America because I loved coming here, but it wasn't until 1998 or 1999 that I started visiting very regularly and began to seriously consider living and working here."
Interviewer,"You relocated to the States just a few years later, in 2002. I know you currently reside in New York. Have you lived anywhere else in the United States?"
Paul,"I've only lived in New York. I've visited quite a few other places, maybe something like forty out of the fifty states."
Interviewer,What drew you to New York in particular?
Paul,"Besides it being a great city? Well, New York is, of course, one of the principal centers for photography. The Museum of Modern Art has had a department of photography for over eighty years . . . since Edward Steichen. And while this was not a motivation to move, at the time I left London the Tate still didn't have a photography department and had not programmed a single exhibition by a photographer. So part of my thinking was, ""I don't belong here."" More important, though, was the positive embrace of being in the United States and its love of serious photography, about opening the New York Times and finding long articles about Garry Winogrand or Diane Arbus or someone like Boris Mikhailov. I remember finding a half a page on him in the New York Times, that was wonderful."
Interviewer,"Once you arrived in New York, a city filled with galleries and museums, did you spend more time looking at work in person? And if so, did it shape how you were thinking about the medium at that time?"
Paul,"Yes, of course, and I still do, I'm a very regular gallery-goer and look at a good amount of contemporary art. Virtually all artists come through New York at some point, which is one of the wonderful things about the city, you can see a lot. But really, the contemporary photography that influenced me wasn't often in galleries, you'd find it primarily through books. It should be said, though, that there comes a time when you stop regularly looking at other people's work because it can be too distracting. It's nearly impossible to avoid being influenced by others, especially subconsciously. So I've found it best to just shut down when I am into the work and get on chasing my own ideas, rather than look too much at the work of others."
Interviewer,"Your upcoming exhibition at Pier 24 Photography includes three bodies of work made in the United States. The exhibition is titled The Whiteness of the Whale, a reference to Herman Melville's Moby-Dick (1851). What was your experience reading that book?"
Paul,"Well . . . I'm no Lit graduate, but I think the book touches on many major subjects. Especially relevant here are issues of monomaniacal blindness in a human being and how chasing one thing obsessively can drive you to destruction. To be honest, I found it a hard read, inspired and crazy in places, insightful in others, racist and offensive in others again."
Interviewer,Why did you decide to read Moby-Dick the first time?
Paul,"Because of American Night (1998-2002), the white images, the white whale, etc. We ended up using a quote from Moby-Dick on the back cover about seeing and whiteness. It's nice to return to the book now with The Whiteness of the Whale. Melville's chapter of the same name, which we have included in our exhibition book, is on the edge between genius and madness and that intrigues me. The Whiteness of the Whale is on the edge between genius and madness and that intrigues me."
Interviewer,How do you see it as a metaphor for what's happening in the U.S. today?
Paul,"I'd rather not over explain it, it's better to let the work live for itself. But I do think Moby-Dick speaks to the way people go down rabbit holes based on their own particular beliefs and fail to see what is happening to them, their society, or their land. Ahab causes his whole ship to founder in his quest."
Interviewer,So is American Night the first project that resulted from your serious focus on making work in the U.S.?
Paul,"If you're talking about the first body of work, then yes. But you don't start out thinking, ""I'm going to make a body of work about America."" You just start taking pictures and looking for truly interesting photographs. And that can take a month, or a year, or three years, to find some amazing, unusual, different image, which is the gateway through which you will pass into uncharted territory. In this case, I found these overexposed white pictures, which described a sort of invisibility of the dispossessed in this country. That was a fresh visualization worth pursuing, making near-invisible photographs."
Interviewer,Where were you making these pictures?
Paul,"The locations in American Night were basically along the compass points across the United States. North was Detroit; South was Memphis and Atlanta; East was New York; West was Greater Los Angeles. I wanted to make sure that the pictures were geographically spread out so people didn't think, ""oh, isn't inner-city New York terrible, or Detroit . . ."" It wasn't about one location; it was about something pervasive."
Interviewer,You made these near-invisible photographs through deliberate overexposure. How did you decide to make pictures in this way?
Paul,"The idea principally came about during a visit to Memphis. I was there for a group show that included a portrait from End of an Age. One afternoon, I went to the cinema, lazy me, and when the movie finished, I walked out a side exit door that led straight into the bright afternoon sunlight. I stumbled around thinking, ""what is going on here?"" While completely blinded by the brightness, I noticed this slightly unhinged guy shouting to himself as he walked across the car park. And I realized how amazing this whole scene was. With my overwhelmed, burnt-out vision, this poor man appeared to be crossing a wasteland of whiteness, unnoticed by the world."
Paul,"You just start taking pictures and looking for truly interesting photographs. And that can take a month, or a year, or three years, to find some amazing, unusual, different image, which is the gateway through which you will pass into uncharted territory."
Interviewer,"There are also very dark inner-city photographs and bright ""Technicolor"" images of large homes included in American Night. How do these three different kinds of pictures work together?"
Paul,"The earliest pictures for American Night were the dark inner-city ones. Some are dated around 1998 and 1999, like the man and woman with white eye-patches. In those pictures I was working on the streets of New York like a classic street photographer, but didn't have any purpose for them. Two or three years later, I discovered the white pictures. And I realized that was the breakthrough. While I wanted the majority of the images to be these near-invisible white pictures, the dark pictures were important too, and I wanted to include the American Dream, presented as glorious full-color McMansions. I worked with these three types of imagery, white, dark, and ""Technicolor"", looking for ways to integrate them. Ultimately, the white images predominate; they're around 80 percent of the pictures."
Interviewer,"In the book for American Night, you grouped all the dark inner-city pictures together in the center. What inspired that design decision?"
Paul,"The idea of a play within the play. In Hamlet, Shakespeare has the characters create ""The Mousetrap"", a play within a play, that speaks to the plot of Hamlet. Situating the dark pictures in the center of the book is kind of like that, a project within the project."
Interviewer,How did you know when you were finished making pictures for the project?
Paul,"The work was complete with the edit of the book and realizing how to integrate those three categories of photographs, light, dark, and color. I realized these elements were working together, forming a stable base upon which to build the final work, and I didn't need a fourth approach. I showed the pictures to the publisher, Michael Mack. It took him a little time to see what was going on, but to his credit, he totally got it and stood behind it, and we published the book."
Interviewer,"As you moved on to making pictures for a shimmer of possibility, did your working process and concerns feel like a departure from, or a continuation of, long-standing interests?"
Paul,"In all my works, there is a similar engagement with the world through photography and being in the world. shimmer also engages with the social fabric of the United States, so in that sense it's not a departure. It is, however, structurally different with these extended, flowing sequences, the ""visual haikus"", of images. Change is not unusual for me. I've consistently moved things around to keep my work interesting for myself. Troubled Land is visually quite different from Beyond Caring, which is different from New Europe. I've always believed that as soon as artists succeed in something, they should find new ways to scare themselves! You have linked the idea of the ""visual haiku"" to the short stories of Anton Chekhov. What is the connection? As I was reviewing scanned negatives on my computer screen, I started to notice these interesting flickering sequences. Even though I was still shooting analog, there was no traditional ""contact sheet."" Instead."
Paul,"I was working with scans, digital files, of the work. As the pictures come on your screen, and you flick next, next, next, you get this stuttering sequence. The actual process of photographing, of seeing, is right there:the realization of the world as it arrives and departs on your screen. As for Chekhov, well, he describes the most ordinary things in his short stories, a sailor on his day off sitting by the banks of the river, a school teacher on a horse-drawn cart who shares a few words with the local landowner she encounters on her way home. There's an openness to these simple descriptions of ordinary moments. I realized these stories were connected to the sorts of pictures I was making, of people waiting at bus stops, cutting grass, or scratching a lottery card in hope of winning. It wasn't so much an influence as a validation that this was a profound and worthwhile way of working, however humble it may seem."
Interviewer,"As you were making these pictures of ordinary, everyday life, what would inspire you to pick up the camera and take a photograph?"
Paul,"I honestly don't know. It was not as if every time I picked up the camera and took pictures I ended up with one of the sequences that appears in shimmer. I photographed hundreds of things that didn't turn out to bear fruit. But driving and wandering around America, often without even really knowing where I was going or to what end, led to random and wonderful moments. Meeting someone or sharing a modest experience, be it in New England, Las Vegas, or Memphis."
Interviewer,Were people often aware of your presence photographing?
Paul,"Sometimes. You can see from some of the sequences that I'm talking to people and they're looking at the camera as I photograph them; they're clearly cooperating. But sometimes you talk to strangers and sometimes you don't, just as in life. You may equally remember both experiences; there may be a stranger you never spoke a word to, but you will still be able to perfectly describe what you saw and experienced. The actual process of photographing, of seeing, is right there:the realization of the world as it arrives and departs on your screen."
Interviewer,"As you designed the sequences in shimmer, did you always use consecutive images, or were there instances where you eliminated exposures from the final sequence?"
Paul,"Some pictures are left out because there's a pause, they're repetitious without purpose, so I'll skip them. I'm not literally showing every frame from a five-second film. That's not the idea. In a haiku, there's a moment where it breaks away and they touch upon the weather or the time of year, like ""spring blossoms,"" just a single word or two. I try to integrate that breakaway into some of the sequences. For instance, in the pictures with the man cutting the grass, one frame looks at his brown minivan, in all its 1980s glory. In the pictures where."
Paul,"I'm walking behind the couple carrying home their Pepsi, I glanced to the side at some children playing in the garden with plastic bags and took a picture of them. It's a little glance aside from the main thread, to note the sunset or the rain falling or a child playing. And those genuinely belong in the series . . . So that's a haiku-style aside or step back from what is immediately in front of you. Was the working process for The Present (2009-11), a body of work made on the streets of New York, significantly different from when you were on the road making pictures for American Night or shimmer? I lead a weird artist's life, so I don't go to the office in midtown or a regular job where I clock in and clock out. So for me, going to midtown during the morning commute or a busy lunch hour is similar to being on Mars. When I wander around Wall Street and experience the city's financial life, it's like another world. And one of the great things about New York is how you can travel on the subway for just fifteen or twenty minutes and find yourself somewhere else. When you come out through another hole in the ground, you are in Ghana or Israel or Pakistan because each different neighborhood has its own ethnicities and histories."
Interviewer,Was there any anxiety in approaching New York City as a subject when so many others have explored it before you?
Paul,"Of course. It's a cliché. A trope. But it's very rare that people do it exceptionally well. There's plenty of bad street photography. I also feel like a lot of the art world doesn't quite get street photography. They associate it with random observations and don't see the value, or deep art, in a Winogrand or a Frank. That's kind of ridiculous to me."
Interviewer,"You mentioned earlier that there comes a point when you try to avoid looking at the work of other photographers as you undertake a new project. Were you consciously trying to think about different ways of approaching the city, or did you just go out and start making pictures?"
