name,line
Interviewer,"Let's start with this new book, which is actually a series of books, and work backwards. How did the project originate?"
Paul,"Well, my principal source was from reading Chekhov's Short Stories, and the critical essays around those. A lot of people have tried to understand why this writing works so well, since in the stories there's not much happening. They're dealing with the simple, everyday things, in one of them a woman is combing her hair for six pages, remembering that night at the theater; in another a school teacher is coming home in a cart dreaming of meeting the landowner, who does ride past and they exchange a few pleasantries, but nothing more. But there's something magical about how perfectly described they are, the transparency of what's happening, without guff or show, simply described, with nothing proscribed."
Paul,"I've been traveling around the States for a while now, and wanted to do something looser and freer, to take pictures of people at the most ordinary, everyday moments, cutting the grass or waiting for the bus, smoking cigarettes or traveling to and from the supermarket. I wanted to reflect Chekhov's openness, his simple transparency; this was something I tried to move toward. I'm not, of course, literally illustrating Chekhov's stories, but simply isolating a small rivulet of time. So, each of the individual books is a photographic short story, a filmic haiku. They are quite short, but complete in their own modest way."
Interviewer,"But difficult to convey, I would think, no? The layout must have been the crucial step."
Paul,"Yes, in terms of making them, it was a process of letting go of one's own pretensions and not looking for this great summation picture of any given situation. For example, while photographing a man smoking at a bus stop in Vegas, I just had to slow down, take a step back, and realize that the moment before and the moment after are just as valuable as the instant when he takes the perfect drag on the cigarette."
Paul,"The multiple book form is the most logical development of this, ten or twelve volumes each holding one or two stories within their pages; self-contained yet linked to each other. And I'm fortunate enough to have Michael Mack and Gerhard Steidl support this. One book has just a single picture in it; another has 64 pages of images taken at an intersection in New Orleans, watching life roll by."
Interviewer,Where was the picture of the lawn mowing man taken? It's fantastic.
Paul,"Thank you. it's in Pittsburgh. That was one of my early road trips and I really wasn't expecting much. When I set out I thought, I'll never be able to do anything good, so I'll just have fun, and see the country a bit. But then I saw this guy cutting the grass. It's kind of perfect that his shirt is a riff on the American flag too."
Interviewer,"What I like about the work is that you are clearly dissatisfied with the confines of traditional documentary but you haven't made the jump, as so many do, to video. You haven't given into temptations...."
Paul,"... like staging my work. I've never wanted to become a filmmaker. I've always seen the two major tropes in photography as the studio and the street. And I'm a street person. I don't get tired of trying to understand and look at the wonderful amazing nature of what's around us. Yes, I have dissatisfaction with classic documentary language. It was wonderful when it was invented. But it has to be alive, to grow, develop, just like the spoken word. We don't speak the same way we spoke in 1938 or 1956, so why should we make pictures the same way?"
Interviewer,"But the dissatisfaction of others, particularly with the narrative limitations of photography, has led them to add sound or moving image sequences. You seem determined, and happy, to stay within the boundaries."
Paul,"Well, some might see these books as leading toward building a narrative."
Interviewer,Clearly.
Paul,"Part of this is about the new flexibility of digital photography. You are able to shoot and shoot and then look at everything on screen. The technology does liberate people. You can get remarkable quality, close to 4×5, working on the street."
Interviewer,But you are clearly an outsider and we never learn much about these people.
Paul,"I have no problem with that. I don't want to feign being intimate with somebody I meet 5 minutes ago. I accept and embrace that so much in life is ""ships passing in the dark."" The world is comprised of 99.9% strangers."
Interviewer,"Is that what you don't like about photojournalism, the pretense of intimacy that is there?"
Paul,"It's undoubtedly there in some photojournalism. But I have more problems with the motives and uses of photojournalism , the clichéd stories they tell, or the way photography is used to service a written story. There is of course some great and rare exceptions that far exceed this criticism, but we have to be honest"
