name,line
Interviewer,You are the owner of speed-development.co.uk. Could you tell us about your company and your clientelle. It would also be good to hear about your background and what led you to create Speed Development.
Paul,"I've been racing in athletics since the age of 9. I started out racing cross country and 800-5k on the track. When i went to university in 2005 i gained a wider perspective of a wide range of team and individual sports and it was very easy to distinguish the top guys & girls from the ""chasers"". Speed, strength and skill appeared to be the difference so i began researching top coaches, trainers and athletes in sport. To name a few latif Thomas, mike boyle, bret Contreras and pat beith have been very influential and i agree with most of what they preach. After graduating from the University of Bedfordshire in 2009 in Applied sport science, I wrote myself a program designed to improve speed in all sprint events from 100-400m. I improved by 0.89 seconds in the 100 from 12.49 down to 11.60. At this point i realised how much i could help many other athletes improve their game. I believe every sprinter will improve by using my training methods. Including Usain! For now tho, i coach a small number of male & female athletes from ages of 10-44 in the east of England. Ben Snaith & Eugene Mandaza have both made the English schools final and Luke Oswick is now playing international football competitions. www.speed-development.co.uk is primarily a resource for the athletes i coach as i will post workouts & sprint videos for them to use as i provide an online coaching service for those who don't live locally."
Interviewer,Okay lets get into the training questions now. I'd like to start with strength training. Could you talk us through your exercise selection process when designing strength training programmes? How do you decide which exercises are the most approopriate for your athletes?
Paul,"This is a fantatastic question, as so many coaches and fitness experts get this wrong. First of all, let me start by saying the 2 biggest ways to improve most sports are strength and efficiency (skill, technique e.t.c.) I select an athletes' strength program based on the sport they play. There are 4 movements we need to train in the weight room. These are 1) axial loaded exercises (bottom to top) e.g squat, deadlift and lunge variations as well as sled pulls, box jumps, and depth jumps, which recruit the quadriceps. These may help you jump high in basketball, volleyball, football and about 40% of sprinting acceleration. 2) mediolateral loaded (side to side) e.g side raise, standing/lying/seated resistance band abduction which predominantly recruit the upper glutes, and inner thigh muscles. These help agility and cutting speed. 3) torsional loaded (rotational) e.g external band rotation and bicycles which help with rotational sports such as discus, hammer, javelin and field/court sports. 4) anteroposterior loaded (back to front) e.g hip thrusts aka glute bridge, quadruped hip extension, reverse hypers, back extensions, glute ham raise. This list is long because they are the most important to sprinting fowards. These exercises have been scientifically proven to recruit the largest percentage of muscle fibres when performed with appropriate weight. For example, many pilates and yoga classes incorporate anteroposterior exercises but using just bodyweight, so coaches working with ""powerhouse"" athletes like dwain chambers feel the need to put loads of weight on the bar which is great because it trains the CNS very well but doesn't recruit the glutes and hamstrings as well as many exercises used in pilates and yoga classes with middle aged women, respectfully. In fact the ACE study proved that a bodyweight quadruped hip extension recruited more gluteous maximus muscle than a 1RM conventional squat."
Paul,Charlie Francis once stated:.
Paul,"""elite sprinters have a hamstring to quadriceps strength ratio of 60:40. In other words their hamstrings are stronger than their quads. An average male has a 40:60 strength ratio""."
Paul,"So clearly, performing only axial loaded exercises in your programs are not the going to get optimum results for sprinters. You need an appropriate balance between axial and anteroposterior exercises to fulfil ones athletic potential. Also note that coaches who don't get exercise selection right but do get intensity, reps, sets, and rest between sets or workouts can see improvements simply by increasing the neural drive, CNS stimulation and fast twitch muscle fibre percentage if coincided with great track workouts also. I cant remember where i read this, it was more likely to be in ""Advanced techniques in glutei maximi strengthening"" by Bret Contreras which states:."
Paul,"""Elite sprinters contain up to 79% fast twitch muscle, whereas marathon runners possess up to 95% slow twitch fibres. However, some muscles are naturally faster or slower twitch than other. For example; the average glutes are over 70% slow twitch whereas the smaller muscles in the hand and face have much higher fast twitch characteristics""."
Paul,"Bret refers to the glutes as sleeping giants because they don't contract unless they are needed. E.g walking recruits 24% of the gluteous maximus, jogging recruits 48% of the glutes, so imagine how much recruitment they get when sprinting! Note that 100% glute activation is achieved by maximally squeezing your glutes and recording the EMG (electromyography) activity to scientifically measure the force generated by that particular muscle."
Paul,"A bit off topic from your question so i'll conclude by saying that without a doubt, relative strength gains in the upper glutes and hamstrings will produce faster top speed sprint times, less injuries and more world records in many sports."
Interviewer,"In terms of periodisation of the strength training programme coaches often fall into two broad camps. In the first camp the coaches will stick with the same key exercises throughout the programme. These coaches prefer to achieve variation through the adjustment parameters such as loads, sets, repetitions, tempo and recovery periods. In the second camp the coaches prefer to achieve variation by alternating exercises."
Interviewer,Do you fall into either of these camps? If so which one and why?
Paul,"Yes, i use both to some degree. Throughout the year we apply the progressive overload method which works extremely well with beginners and intermediate level athletes. Or put another way, athletes with a training age of less than 1 year. I have athletes of very different ages, training ages, strength levels, skill levels and spring levels. There is a strength-spring continuum whereby a ridiculously strong guy may be out sprinted by someone with pretty good strength and spring (plyometric) levels. Depending on where one is on the spring continuum will dictate how much emphasis is placed on strength, plyometrics, conditioning/endurance, hip mobility, agility/coordination, flexibility and speed. Novice athletes will generally improve with any of the above methods being trained but as the years pass and they begin to peak in their performance capacities, we must work on their weaknesses and maintain their strengths. For example, Some may think that Dwain Chambers has ""peaked"" in his speed and acceleration and therefore must place more emphasis on training speed endurance qualities whilst maintaining others. Either way, remember to take something out of a program if you are putting something else into it, otherwise you'll eventually keep adding more speed or strength or other components of fitness and it'll turn into a bad case of over training. This happens way too often in track, field, court and gym sports. They try to take the philosophy of one successful coach and add it to a program they got off the internet and then try to add their own recipe. As mike boyle once wrote, a cook tries to do the job a an experienced, knowledgeable chef and ends up with shit soup! What he should have done was stuck exactly to the original recipe, from the ingredients (exercises) to the time in the oven (reps, sets, distance run e.t.c)."
Paul,"So how do i adjust the parameters? In athletics we have 4 training phases with separate, but integrated goals in each of them."
Paul,"Firstly the general preparation period (GPP). Here we spend about 6 weeks starting from late September and spend time on bodyweight circuits, medicine ball routines, hip mobility work, low rep plyometrics maybe for stabilisation, tempo runs at 70-80% speed, and starting technique. This prepares them for the more specific work later on in the year/training phase. We use standing starts, 3/4pt starts and blocks here. We bridge the gap between the weight room and the track by pulling sleds (10% bodyweight), hills, and plyometrics in possibly all 4 load vectors (axial, anteroposterior, mediolateral and torsional)."
Paul,"We then move to more hypertrophy work for about 4-6 weeks if they are old enough and strong enough, if not they'll stick to more fun conditioning work, and here they'll get bigger and stronger in the glutes, hamstrings, vastus lateralis, adductor magni & core muscles, as well as various upper body muscles."
Paul,"Next is the max strength phase and this usually begins in the specific preparation phase (SPP) which begins around January with reps of about 8-12. Over the weeks the training volume & density gradually decreases as reps become more intense in the 2-5 range. It's important to lift the weight through a full range of motion and try to lift the weight as quick as possible bearing in mind some may deadlift over 200kgs. Sets is more complicated due to deload weeks, but they vary between 1-5 depending on the training phase. More details of this are on my website under the training programs section. One set of 8 different exercises may seem like a ridiculous workout to some, but it's what some advanced athletes may need in order to peak at the end of the season. Every fourth week in hypertrophy, max strength and power training will be a deload week whereby the reps may double in number and sets half in number, hence the intensity drops. We also combine training methods. For example we do bodyweight circuits, core and conditioning workouts in all 4 phases (general prep, specific prep, pre-comp & main comp phases). Max strength workouts may be combined with power or hypertrophy workouts either within a workout or in separate workouts within the week."
