name,line
Interviewer,So add snowden a lot of people in this country are probably curious when was the last time you had substantive.
Snowden,Discussions about coming home to the United States and would this still be your preference do you still refer to it.
Interviewer,As home the united states will always be my home and I'll always be willing to come back on a single condition and I've.
Snowden,Been quite clear about this over the years this is that the government guarantee that I have the right and.
Interviewer,Every whistleblower has the right to tell the jury why they did what they did right we can disagree about whether this.
Snowden,Was right or wrong we can disagree about whether this is good or bad we can disagree about whether this is legal.
Interviewer,Early illegal that's right and proper in a democracy but we have to agree that the jury is supposed to be the proper.
Snowden,Authority to ultimately decide was this right or wrong and I hate to say it but under current laws that is explicitly.
Interviewer,Forbidden under the espionage act which as you know it's increasingly being used against the sources of journalism.
Snowden,Instead of foreign spies the law makes no distinction between someone who tells a secret to a journalist and someone who.
Interviewer,Tells a secret to a foreign government and and so yeah there have nots there has not been any movement unfortunately.
Snowden,On that conversation since the obama administration when I told that the government that all they need to do is.
Interviewer,Give me the right of what we call a public interest offense this is a fair trial an open trial where the jury hears.
Snowden,What is happening and they decide was this justified or not and unfortunately a then Attorney General Eric Holder.
Interviewer,Responded and said we can't promise that we won't promise that we will promise not to torture you unfortunately I'd say.
Snowden,That's not quite enough something you've said repeatedly is that you would expect and you would accept a certain.
Interviewer,Punishment for your actions what if that package of punishment in working for the home team what if.
Snowden,Someone said help us harden our elections from attack using your skills I would volunteer for that instantly you.
Interviewer,Know they they wouldn't even have to pay me for that remember I volunteered to work for the CIA.
Snowden,For the nsa when i came forward to reveal mass surveillance which we need to be clear the courts have found was in.
Interviewer,Fact unlawful on the part of the government and one court said likely unconstitutional so I have no objection.
Snowden,To helping the government i came forward not to burn the NSA down I came forward to reform it to help it return to the.
Interviewer,Ideals that we're all supposed to share so there will never be a question of when my government is ready when my.
Snowden,Government wants me to help i will be there how has your opinion changed about mr..
Interviewer,Putin since you've been in russia well i don't think it really has changed because the question might presume that.
Snowden,I had a positive opinion at some point i think everyone would agree probably including the Russian President himself.
Interviewer,That he is an authoritarian leader i think the Russian government broadly does not have a good record on human.
Snowden,Rights and that hasn't changed how odd is it to you that while you've been there consensus here has hardened that.
Interviewer,They are the actors who interfered in our last presidential election I don't think that's especially surprising there.
Snowden,Was a story published in the new york Times actually reporting on a study in February of 2018 and was also done in.
Interviewer,The washington post a few months prior to that about the record of electoral interference and they looked at the.
Snowden,History of russia and the soviet union and an electoral Intel interference by intelligence agencies and they found I.
Interviewer,Think 36 different cases of electoral interference over roughly the past 50 years.
Snowden,But then they also looked at the united States intelligence services and found that we hit enter feared in foreign.
Interviewer,Elections eighty-one different times now this is not to say one is better than the other it's not about that it's about.
Snowden,Budget about capability but we do what we do see from this is that what happened in 2016 actually was not.
Interviewer,Unusual from the perspective of intelligence agencies this is what they believe are they are hired to do what we.
Snowden,Have to do is find out how to secure our systems against the attacks that we know are inevitable something you've been.
Interviewer,Asked before something you have answered before but since this is a fresh occasion we'll will ask it again why not.
Snowden,Stay in this country and face the music if you believed in the strength of your conviction this is a great question.
Interviewer,Brian and i'm glad you asked it when we say face the music the question is well what song are they playing I was.
Snowden,Intentionally charged as every major whistleblower in the last decades has been with the very particular crime this.
Interviewer,Is a violation of the espionage act of 1917 and and this is a law that is explicitly designed to prohibit a.
Snowden,Meaningful defense in court this is applied or this law is used against people who's the only thing that they've.
Interviewer,Done and this is by the government's own terms the only thing the government accuses people defending themselves.
Snowden,Against this charge i have done is that they have told something to a journalist that the government considers classified.
Interviewer,That is the whole of the crime they don't consider whether it was good or bad they don't consider whether or not.
Snowden,It caused harm simply did you tell something classified to a journalist if you did the jury is not allowed to.
Interviewer,Consider and in fact they're explicitly forbidden from considering why you told journalists they're explicitly forbidden.
Snowden,From considering did it result in a public benefit right did it further the public interest instead they simply say.
Interviewer,Did you tell a journalist let the glass buy so I am NOT if I had stayed in the United States and my good friend Daniel.
Snowden,Ellsberg by the way that has told me that I was right not to stand and wait for an inevitable arrest because the.
