name,line
Interviewer,Can you tell us about your interactions with journalists and the press?
Snowden,"One of the most challenging things about the changing nature of the public's relationship to media and the government's relationship to media is that media has never been stronger than it is now. At the same time, the press is less willing to use that sort of power and influence because of its increasing commercialization. There was this tradition that the media culture we had inherited from early broadcasts was intended to be a public service. Increasingly we've lost that, not simply in fact, but in ideal, particularly due to the 24-hour news cycle."
Snowden,"We see this routinely even at organizations like The New York Times. The Intercept recently published The Drone Papers, which was an extraordinary act of public service on the part of a whistleblower within the government to get the public information that's absolutely vital about things that we should have known more than a decade ago. These are things that we really need to know to be able to analyze and assess policies. But this was denied to us, so we get one journalistic institution that breaks the story, they manage to get the information out there. But the majors-specifically The New York Times-don't actually run the story, they ignore it completely. This was so extraordinary that the public editor, Margaret Sullivan, had to get involved to investigate why they suppressed such a newsworthy story. It's a credit to the Times that they have a public editor, but it's frightening that there's such a clear need for one."
Interviewer,"Let's think about it in terms of your role in changing the world, which is presenting these new facts. There was a section of the technology press and the intelligence press who, at the time of the leaks, said we already know this, except it's hidden in plain sight. Yet, a year after you made the disclosures, there was a broad shift of public perception about surveillance technologies. That may recede, and probably post-Paris, it is receding a little bit. Are you frustrated that there isn't more long-term impact? Do you feel the world has not changed quickly enough?"
Snowden,"I actually don't feel that. I'm really optimistic about how things have gone, and I'm staggered by how much more impact there's been as a result of these revelations than I initially presumed. I'm famous for telling Alan Rusbridger that it would be a three-day story. You're sort of alluding to this idea that people don't really care, or that nothing has really changed. We've heard this in a number of different ways, but I think it actually has changed in a substantial way."
Snowden,"Now when we talk about the technical press, or the national security press, and you say, this is nothing new, we knew about this, a lot of this comes down to prestige, to the same kind of signaling where they have to indicate we have expertise, we knew this was going on. In many cases they actually did not. The difference is, they knew the capabilities existed."
Interviewer,"Former Times Executive Editor Jill Abramson has said her paper definitely made mistakes, ""I wish we had not withheld stories."" What you're saying certainly resonates with what I know and understand of the recent history of the US press, which is that national security concerns post-9/11 really did alter the relationship of reporting, particularly with administration and authority in this country. What we know about drone programs comes from reporting, some of it comes from the story which The Intercept got hold of, and Jeremy Scahill's reporting on it, which has been incredibly important. But a great deal of it has also come from the ground level. The fact that we were aware at all that drones were blowing up villages, killing civilians, crossing borders where they were not supposed to be really comes from people who would report from the ground."
Interviewer,"Something interesting has definitely happened in the last three years, which makes me think about what you are telling us about how the NSA operates. We're seeing a much closer relationship now between journalism and technology and mass communication technology than we've ever seen before. People are now completely reliant on Facebook. Some of that is a commercial movement in the US, but you also have activists and journalists being regularly tortured or killed in, say, Bangladesh, where it's really impossible to operate a free press, but they are using these tools. It is almost like the American public media now is Facebook. I wonder how you think about this? It's such a recent development."
Snowden,"One of the biggest issues is that we have many more publishers competing for a finite, shrinking amount of attention span that's available. This is why we have the rise of these sort of hybrid publications, like a BuzzFeed, that create just an enormous amount of trash and cruft. They're doing AB testing and using scientific principles. Their content is specifically engineered to be more attention getting, even though they have no public value at all. They have no news value at all. Like here's 10 pictures of kittens that are so adorable. But then they develop a news line within the institution, and the idea is that they can drive traffic with this one line of stories, theoretically, and then get people to go over onto the other side."
Snowden,"Someone's going to exploit this; if it's not going to be BuzzFeed, it's going to be somebody else. This isn't a criticism of any particular model, but the idea here is that the first click, that first link is actually consuming attention. The more we read about a certain thing, that's actually reshaping our brains. Everything that we interact with, it has an impact on us, it has an influence, it leaves memories, ideas, sort of memetic expressions that we then carry around with us that shape what we look for in the future, and that are directing our development."
