name,line
Interviewer,"Now you said in the book you wish you had a strategy in terms of a what's next plan once you released those documents. You sit here six years later, in exile in Moscow where you say you don't want to be , was it worth it?"
Snowden,"It was. I mean when we look at all of these complexities and all of the consequences that we have as a result of any of the decisions that we go through in our lives. I think we realize that, look we see chances, opportunities in life when we get the chance to do something. And right now, in 2019, it's hard to look at the world and think nothing needs to change. But nothing changes just if we believe in something, we have to actually be willing to risk something. We have to actually be willing to stand for something."
Interviewer,"But you took an oath to the Constitution, Edward. You took an oath not to betray the country. You know the CIA has what you call an orientation, and indoctrination program, where they have a parade of horribles. And now you are on the list of parade of horribles, your picture is there."
Snowden,"Probably, yes, but that is actually an important point. I was required to swear into oath when I entered into duty in the CIA. It is a very solemn thing. You are in a darkened room in front of a flag, everyone else is there. But it is important to notice that we did not say an oath of secrecy. One of the common misconceptions in one of the earlier attacks, that we heard in 2015, that we don't hear of so much anymore is that I violated this oath of secrecy. That does not exist. There is a secrecy agreement, but there is also an oath of service. An oath of service is to support and defend, not an agency, not even the president, it is to support and defend the Constitution of the United States of America against all enemies , direct quote , foreign and domestic. And this begs the question, what happens when our obligations come into conflict, right? What happens when you have a secrecy agreement, but you have also witnessed your own government, your own agency, your workplace, violating the rights of Americans, and people around the world on a massive scale."
Interviewer,"Edward, this is a very personal book, Mr. Snowden. And as you've pointed out, growing up in the intelligence community, and your parents were in government. It wasn't easy for you to become personal here. But, I am curious, since you grew up in a community where almost everyone was somehow connected to government service, many of them FBI, did you approach your family at all about this? How did they react to it when you went through this process and how do they feel about it now?"
Snowden,"This was actually one of the hardest parts of coming forward, was that I couldn't talk to anyone about it. Because this is the bizarre sort of circumstance is the way that our laws are currently structured. In 2013, I was a contractor working for the NSA through a private company. I worked in the NSA facility, I had an NSA boss, I was working at NSA systems, doing NSA tasks. But, formally, just on paper, I worked for a private company. Now these contractors weren't covered by whistleblower protection laws. If I had tried to talk to a judge, a priest, a congressman, it would've been the same felony. If I talked to my family, it would've been the same felony. And of course, if I talked to a journalist, they considered telling the truth about talking about the government breaking the law is in itself a crime. And so, I couldn't tell anyone. I couldn't tell the love of my life, who is a central figure in this story, Lindsay Mills, my long time partner. Because if I had, the FBI could have charged her, as a part of the conspiracy. They could have charged her as sort of an accessory to the crime, so long as she didn't immediately after hearing from me, you know I'm thinking about talking about journalists, picked up the phone and said help, help, someone is going to talk to the press. And so that made it a very isolating experience."
Interviewer,"Edward, your formal employer at the NSA said they couldn't comment on your book because ongoing investigation. But, they did give us the following statement:Edward Snowden violated his life time obligation to protect classified information and betrayed the trust of his coworkers and the American people. Edward, do you acknowledge that you broke the law and that there are many people in this country that see your actions as traitorous?"
Snowden,"Well, I won't take a position on whether or not I broke the law because that's one for the lawyers. But what I will say is this. You know, it's not hard to make the argument that I broke the law, and I think that's actually the less interesting question. It's funny that whenever the government comes after me they say, you know, these disclosures cause harm. But they never justify the harm, they never show evidence for it. Even though, we are now more than six years on, it would be the easiest thing to show."
Interviewer,"To be fair, sorry to break in there. But on the question of harm. I don't know that you're, forgive me, but how are in a position to judge the harm in your disclosures. Isn't that something that the intelligence community would be uniquely situated to gauge."
Snowden,"Well, I would argue, that I worked for the US intelligence agency for a long time. I am the only one who knows the actually documents that the journalists have, and the ones that they published. We all know, and so it's available to all of us to assess the harms. And again, if they had some classified information. If they had some classified evidence that a hair on a single person's head was harmed, you know as well as I do, it would be on the front page of The New York Times by the end of the day. Because, leaking is not something that only happens to the people that are working to inform the press that are doing. It is also what the government does to sort of backstop their positions. They are authorized leaks, that happen all the time. That are not public interest whistleblowing, right. But back to that question of did I break the law. Again, what's the question that's more important here? Was the law broken or was that the right thing to do? If you look back at the history of the United States, it doesn't take very long for the average person to think about a moment in which it was absolutely illegal to do something. But at the same time, it was absolutely the same thing to do."
Interviewer,"You're living in Russia and have for some time now. As you've pointed out it's not where you want to be, it's where you're forced to be. Have the Russians ever asked for any information from you?"
Snowden,"This is actually a big scene in the book as soon as I landed. And for the audience that might be less familiar with the story, it was never my intention to be in Russia. I was actually transiting en route to Latin America. The United States government, for some reason , we don't know if it was intentionally to create kind of an evergreen political attack against me, guilt by association to be able to point to the Russian government , or they simply panicked when they saw that I might be, what they considered, escaping. They canceled my passport. When I landed, I could no longer travel. So I get pulled out of passport control and brought into a room. And yes! Directly. The Russian intelligence service was like, do you want to cooperate? Do you have any information? Life is going to be very hard if you don't have anyone on your side. And I said look, that's not how this is going to be. That is not how this is going to work. I do not have any information. You can search my bag if you want, because I destroyed my information before I got on the plane. I think that was probably what they expected, because remember, there's about 4,000 journalists downstairs looking for me in this airport at this moment. I'm on every tv channel, I'm on every newspaper. And I was just trying to continue on my journey into asylum. The reason that you know this actually happened, because you might be skeptical, you might think, Oh, well the Russians are just going to let this guy go. Russia has, uh, shall we say, a problematic human rights record, at a minimum. That's if we're being generous. When we look at the opportunities they have to do the right thing on the international stage, it seems pretty few and far between. But here's a circumstance when they don't have to do anything to do the right thing. All they have to do is not hand me over. Even despite the fact that Russia was, probably, the hardest place in the world for the CIA to operate. I didn't go, alright, this is great, let me out of the airport. I was stuck in that airport for 40 days."
Interviewer,"Do you have concerns, Edward, that."
Snowden,27 countries in the world.
Interviewer,"Russia is monitoring your actions today? Do you have concerns that they're gathering intelligence on you? Because the optics, as we sit here in America, looking at you in Russia, you know, the optics are not good."
Snowden,"No, you're absolutely right. You and I are on the same side on this issue."
Interviewer,"Then why don't you come home, Mr. Snowden?"
Snowden,"One of the big topics in Europe right now is should Germany and France invite me in to get asylum, that's how they're handling the response to this new book. But when you look at that kind of thing, of course it's problematic. Of course I would like to return to the United States. That is the ultimate goal. But if I'm going to spend the rest of my life in prison, then one bottom line demand that we all have to agree to is at least I get a fair trial. That is the one thing the government has refused to guarantee because they won't provide me access to what's called a public interest defense."
Interviewer,"But Mr. Snowden, in all due respect."
Snowden,Go ahead.
Interviewer,"Mr. Snowden, in all due respect, criminals and alleged criminals barely get to decide the terms of their trial. They broke the law and they face the consequences. What makes you different?"
