name,line
Interviewer,"Mr. Snowden, did you sleep well the last couple of nights? Because, I was reading that you asked for a kind of police protection. Are there any threats?"
Snowden,"There are significant threats but I sleep very well. There was an article that came out in an online outlet called BuzzFeed where they interviewed officials from the Pentagon, from the National Security Agency and they gave them anonymity to be able to say what they wanted, and what they told the reporter was that they wanted to murder me. These individuals, and these are acting government officials, they said they would be happy, they would love to put a bullet in my head, to poison me as I was returning from the grocery store, and have me die in the shower."
Interviewer,"But, fortunately, you are still alive with us."
Snowden,"Right, but I'm still alive, and I don't lose sleep because I've done what I feel I needed to do. It was the right thing to do. And, I'm not going to be afraid."
Interviewer,"""The greatest fear I have,"" and I quote you, ""regarding these disclosures is nothing will change."" That was one of your greatest concerns at the time, but in the meantime there is a vivid discussion about the situation with the NSA. Not only in America but also in Germany and in Brazil, and President Obama was forced to go public and to justify what the NSA was doing on legal grounds."
Snowden,"What we saw initially in response to the revelations was sort of a circling of the wagons of government around the National Security Agency. Instead of circling around the public and protecting their rights, the political class circled around the security state and protected their rights. What's interesting is, though that was the initially response, since then we've seen a softening. We've seen the President acknowledge that when he first said ""we've drawn the right balance, there are no abuses,"" we've seen him and his officials admit that there have been abuses. There have been thousands of violations of the National Security Agency and other agencies, authorities, every single year."
Interviewer,Is the speech of Obama recently the beginning of a serious regulation?
Snowden,"It was clear from the President's speech that he wanted to make minor changes to preserve authorities that we don't need. The President created a review board from officials that were personal friends, from national security insiders, former Deputy of the CIA, people who had every incentive to be soft on these programs and to see them in the best possible light. But what they found was that these programs have no value, they've never stopped a terrorist attack in the United States, and they have marginal utility at best for other things. The only thing that the Section 215 phone meta-data program, actually it's a broader meta-data program of bulk collection, bulk collection means mass surveillance, program was in stopping or detecting a $8,500 wire transfer from a cab driver in California. And, it's this kind of review, where insiders go ""we don't need these programs, these programs don't make us safe. They take a tremendous amount of resources to run, and they offer us no value."" They go ""we can modify these."" The National Security agency operates under the President's executive authority alone. He can end, or modify, or direct a change in their policies at any time."
Interviewer,For the first time President Obama did concede that the NSA collects and stores trillions of data.
Snowden,"Every time you pick up the phone, dial a number, write an email, make a purchase, travel on the bus carrying a cell phone, swipe a card somewhere, you leave a trace. And, the government has decided that it's a good idea to collect it all. Everything. Even if you've never been suspected of any crime. Traditionally the government would identify a suspect, they would go to a judge, they would say we suspect he's committed this crime, they would get a warrant and then they would be able to use the totality of their powers in pursuit of the investigation. Nowadays what we see is they want to apply the totality of their powers in advance, prior to an investigaion."
Interviewer,"You started this debate. Edward Snowden is, in the meantime, a household name for the whistleblower in the age of the internet. You were working until last summer for the NSA, and during this time you collected, secretly, thousands of confidential documents. What was the decisive moment, or was there a long period of time, or something happening? Why did you do this?"
