name,line
Interviewer,"Okay, that'll just be."
Snowden,You're very professional.
Interviewer,"Well, you know, people are like, ""How do you live?"" and things like that. They might be taking money from the Russians. Of course, the answer's no, but I do this for a living. I speak. I don't have a YouTube channel where I'm Joe Rogan, but I give speeches at universities and things like that. I do a lot of interviews, so I've got my own setup."
Snowden,"We're recording now, right? Is it possible that you could do a YouTube channel? Would that work?"
Interviewer,"Yeah. I mean, if you introduced me so like I get followers, yeah, we could do that."
Snowden,Dude! I'm all in! That could absolutely happen. Do you want to do that? Is that something you want to do?
Interviewer,"No, I mean this is a big question. I came on because I had just written a book called Permanent Record, which is the story of my life because that's what publishers make you do when you're writing your first book, but it's more than that because I didn't just want to talk about me. It's actually about the changing of technology and the changing of government in this sort of post 9/11 era, which our generation just sort of happened to be growing up during."
Snowden,"was at the CIA and the NSA all this stuff, but the day that the book came out, the government hit me with a lawsuit, and they hit the publisher of the books with a lawsuit because they don't want to see books like this get written. They especially don't want to see books like this get read, so the big thing was, we didn't know where this was going. We didn't know what was going to happen and my publisher, of course, wanted me very badly to let people know this book existed in case the government leaned harder and harder and harder. We didn't know where that's going."
Interviewer,"e government is still pursuing that case quite strongly. They're more focused on the financial censorship side of it, basically taking any money that I made from it, kind of as a warning to the others and getting a legal judgment against the publisher, saying you can't pay this guy, that kind of thing, more so than taking the book off the shelves, but that's not because they're okay with the book being on the shelves. It's because, thankfully, we've got the First Amendment, so they can't. That's a very rare and good thing."
Snowden,"yway, in the context of that, they were like, ""Well, what about Joe Rogan?"" I'd heard about you at this point, but the only thing that I had really seen that I really understood, had familiarity with, was you talking to Bernie Sanders which, by the way, I very much appreciated hearing then because a lot of people don't give the guy time to talk."
Interviewer,"ah. To hear him in those soundbites, you don't really get an understanding of who he actually is."
Snowden,"ght, and this is the other thing. They're like, well, you can go on all these major network shows, and I did a couple of them. I did a morning show, I did Brian Williams but, broadly, the media, the sort of more corporatized media, as we might say, is exactly what you just described, right? They want you to be able to answer in like eight, 15 seconds, or less. When we're talking about big, massive shifts in society, when we're talking about power, when we're talking about technology and how it controls and influences us in the future, you can't have a meaningful conversation within those constraints."
Interviewer,"Instead, these guys all want to say, repeat these long discredited sort of criticisms. I'm sure you'll ask the same thing, and that's okay. They're fair questions, but it's like we can't have the conversation if we can't have the space to think and breathe and have this sort of discussion. Anyway, they mentioned you, and I was like, ""Joe Rogan, Joe Rogan, Joe Rogan. Where do I know this name from before Bernie Sanders?"" I looked back through my Twitter mentions, and the funny thing is, your fans have been harassing me to death for like the last year. Wonderful people. Wonderful people. ""Go on Joe Rogan! Go on Joe Rogan!""."
Snowden,"I remember after I had just made a Twitter account. Neil deGrasse Tyson actually helped me get on Twitter, gave me that little initial boost. They said Joe Rogan, so they linked you, and I mouse over your name because I use a desktop and not mobile for this because of security reasons, and it pops up and I get your avatar, man. I have to say, your logo is the worst thing in the world for people who are trying to be politically serious, and they're worried about the National Security Advisor condemning them because this bald guy with this maniacal grin and like the third eye on his forehead, and I'm like, ""Oh, man, that show!"" That doesn't look good, but it's actually when you watch what you do, it's great stuff, man."
Interviewer,"It's great, but that first impression, this almost didn't happen, but everybody who has talked to you, everybody who watches your show, I think they get a very different impression than how you're painted. For me, it's a wonderful thing because nobody understands that better than I do. The government ran a smear campaign against me endlessly for six months when I came forward in June of 2013. I know we got way off topic here. I'll get back to it."
Snowden,Fun! There's no such thing as off topic. We could talk about whatever.
Interviewer,"Great. Okay, so for those people, first off, who have no idea who the hell I am, I'm the guy who was behind the revelations of global mass surveillance in 2013. I worked for the CIA. I worked for the NSA as a contractor at the NSA, staff officer at the CIA. I was under cover working at embassies. I talk about the difference between this and a book and contractor and government official and how it's all sort of lost its meaning, but I saw something wrong, and I saw basically the government was violating the law and what I believe to be the Constitution of the United States and, more broadly, human rights for everyone in the United States and around the world."
Snowden,"There were domestic surveillance programs. There were mass surveillance programs that worked internationally. Basically, everything that they could monitor, they were monitoring, and this is actually like, people go, ""Well, isn't that obvious? Isn't that what they're supposed to do?"" This is weird, but the answer actually is no. Under the framework of our constitution, the government is only supposed to be monitoring people that it has an individualized, particularized suspicion of wrongdoing. We think about this in the investigative means, right?"
Interviewer,"All those TV shows where they go and get a warrant, the reason they have to do that, like we fought a revolution over this a couple of hundred years back, is the idea that, when we had kings, when we had governments with absolute power, they could simply go in your home and go, ""Is this guy a pot smoker?"", get his diary, whatever it is and, if you find evidence of a crime, you march him off to prison and it's all good. You found evidence they're a criminal or you didn't find evidence. Well, no harm, no foul. You're just doing what government does."
Snowden,"We were trying to build a better system where, ""Yes, the government has extraordinary capabilities, but it only uses them where they're necessary, where they're proportionate to the threat that is presented by this person. We shouldn't be afraid of the person who's got a baggie of weed in their dresser or something like that. That is not a threat to national security. That is not a threat to public safety."
Interviewer,"What happened in the wake of 9/11 was a whole bunch of government officials got together behind closed doors, and this was actually led, interestingly enough, by the Vice President of the United States, Cheney. Everybody remembers that name or, hopefully, can look that name up, Dick Cheney, and his personal attorney, sort of the Giuliani of Dick Cheney, a guy named David Addington."
Snowden,"This lawyer, David Addington, wrote a secret legal interpretation that no one else was allowed to see. It was kept in the Vice President's safe at the White House. They weren't giving this... Even when they told people, and it was just a couple of people in Congress... Nancy Pelosi was one of them and a couple of these other folks. When they talked to the heads of the agency at the NSA and the CIA and the FBI and all this stuff, they told them, the White House and the Office of Legal Counsel and the president's attorneys. All of these guys had decided this would be legal to do, but we can't tell you why, we can't show you the legal authorization for it. You just got to take our word for it, so they did this."
Interviewer,"This became a mass surveillance program called Stellar Wind, which they said was supposed to monitor the phone calls and internet communications, emails and things like that of everybody in the United States and around the world who they could get access to for links to Al-Qaeda because, if you remember in the wake of the September 11th attacks, they were saying, ""We thought there could be sleeper cells of Al-Qaeda."" They were just peppered all throughout the country, and they were going to spring up at any moment. Of course, like weapons of mass destruction, it just didn't exist. It was all a power grab."
Snowden,"On that basis, they started doing this in secret, and it was completely unconstitutional. It was completely illegal, even under the very loose requirements of the Patriot Act, but they did it for so long that they got comfortable with it, and they thought, ""You know, this is a really powerful capability. What if we started using this for stuff that was other than terrorism?"" because it wasn't finding any terrorists because there weren't any terrorists in this context that they were looking for them."
Interviewer,"The ones where there were terrorists, the program wasn't effective because these were guys in Pakistan that weren't using email and phone calls. They were getting on a moped with their cousin who was a courier who was bringing a letter to his guy who runs the food stand or whatever. Bit by bit, over time, this grew and grew and grew, and there were scandals. If you want to drill down on these later, I'll go into them, but what happened was, step by step by step, our constitutional rights were changed, and we weren't allowed to know it. We were never granted a vote on it, and even the many members of Congress, 535 in the United States, they were prohibited from knowing this. Instead, they told only a few select people."
