name,line
Interviewer,What are some operational security practices you think everyone should adopt? Just useful stuff for average people.
Snowden,"Opsec is important even if you're not worried about the NSA. Because when you think about who the victims of surveillance are, on a day-to-day basis, you're thinking about people who are in abusive spousal relationships, you're thinking about people who are concerned about stalkers, you're thinking about children who are concerned about their parents overhearing things. It's to reclaim a level of privacy."
Interviewer,"What do you think about Tor? Do you think that everyone should be familiar with it, or do you think that it's only a use-it-if-you-need-it thing?"
Snowden,I think Tor is the most important privacy-enhancing technology project being used today. I use Tor personally all the time. We know it works from at least one anecdotal case that's fairly familiar to most people at this point. That's not to say that Tor is bulletproof. What Tor does is it provides a measure of security and allows you to disassociate your physical location. ....
Snowden,"But the basic idea, the concept of Tor that is so valuable, is that it's run by volunteers. Anyone can create a new node on the network, whether it's an entry node, a middle router, or an exit point, on the basis of their willingness to accept some risk. The voluntary nature of this network means that it is survivable, it's resistant, it's flexible."
Interviewer,"So that is all stuff that everybody should be doing. What about people who have exceptional threat models, like future intelligence-community whistleblowers, and other people who have nation-state adversaries? Maybe journalists, in some cases, or activists, or people like that?"
Snowden,So the first answer is that you can't learn this from a single article. The needs of every individual in a high-risk environment are different. And the capabilities of the adversary are constantly improving. The tooling changes as well.
Snowden,"What really matters is to be conscious of the principles of compromise. How can the adversary, in general, gain access to information that is sensitive to you? What kinds of things do you need to protect? Because of course you don't need to hide everything from the adversary. You don't need to live a paranoid life, off the grid, in hiding, in the woods in Montana."
Interviewer,"What about for people who are, like, in a repressive regime and are trying to ...."
Snowden,Use Tor.
Interviewer,Use Tor?
Snowden,"If you're not using Tor you're doing it wrong. Now, there is a counterpoint here where the use of privacy-enhancing technologies in certain areas can actually single you out for additional surveillance through the exercise of repressive measures. This is why it's so critical for developers who are working on security-enhancing tools to not make their protocols stand out."
Interviewer,"So you mentioned that what you want to spread are the principles of operational security. And you mentioned some of them, like need-to-know, compartmentalization. Can you talk more about what are the principles of operating securely?"
Snowden,"Almost every principle of operating security is to think about vulnerability. Think about what the risks of compromise are and how to mitigate them. In every step, in every action, in every point involved, in every point of decision, you have to stop and reflect and think, ""What would be the impact if my adversary were aware of my activities?"" If that impact is something that's not survivable, either you have to change or refrain from that activity, you have to mitigate that through some kind of tools or system to protect the information and reduce the risk of compromise, or ultimately, you have to accept the risk of discovery and have a plan to mitigate the response. Because sometimes you can't always keep something secret, but you can plan your response."
Interviewer,Are there principles of operational security that you think would be applicable to everyday life?
Snowden,"Yes, that's selective sharing. Everybody doesn't need to know everything about us. Your friend doesn't need to know what pharmacy you go to. Facebook doesn't need to know your password security questions. You don't need to have your mother's maiden name on your Facebook page, if that's what you use for recovering your password on Gmail. The idea here is that sharing is OK, but it should always be voluntary. It should be thoughtful, it should be things that are mutually beneficial to people that you're sharing with, and these aren't things that are simply taken from you."
Snowden,"If you interact with the internet ... the typical methods of communication today betray you silently, quietly, invisibly, at every click. At every page that you land on, information is being stolen. It's being collected, intercepted, analyzed, and stored by governments, foreign and domestic, and by companies. You can reduce this by taking a few key steps. Basic things. If information is being collected about you, make sure it's being done in a voluntary way."
