name,line
Interviewer,They say it's a balance of privacy and safety. I think spying makes us less safe. do you agree?
Snowden,"Intelligence agencies do have a role to play, and the people at the working level at the NSA, CIA, or any other member of the IC are not out to get you. They're good people trying to do the right thing, and I can tell you from personal experience that they were worried about the same things I was."
Snowden,"The people you need to watch out for are the unaccountable senior officials authorizing these unconstitutional programs, and unreliable mechanisms like the secret FISA court, a rubber-stamp authority that approves 99.97% of government requests (which denied only 11 requests out of 33,900 in 33 years http://www.motherjones.com/mojo/2013/06/fisa-court-nsa-spying-opinion-reject-request. They're the ones that get us into trouble with the Constitution by letting us go too far. And even the President now agrees our surveillance programs are going too far, gathering massive amounts of private records on ordinary Americans who have never been suspected of any crime. This violates our constitutional protection against unlawful searches and seizure. Collecting phone and email records for every American is a waste of money, time and human resources that could be better spent pursuing those the government has reason to suspect are a serious threat. I'm going to stop here. My deepest thanks to everyone who sent questions, and whether or not we agree on where the lines should be drawn, I encourage you to contact your members of congress and tell them how you feel about mass surveillance. This is a global problem, and the first step to tackling it is by working together to fix it at home. If you'd like to more ideas on how to push back against unconstitutional surveillance, consider taking a look at the organizations working together to organize https://thedaywefightback.org/."
Interviewer,Recently several threats have been made on your life by the intelligence community. Are you afraid for your life? Thoughts?
Snowden,"It's concerning, to me, but primarily for reasons you might not expect. That current, serving officials of our government are so comfortable in their authorities that they're willing to tell reporters on the record that they think the due process protections of the 5th Amendment of our Constitution are outdated concepts. These are the same officials telling us to trust that they'll honor the 4th and 1st Amendments. This should bother all of us. The fact that it's also a direct threat to my life is something I am aware of, but I'm not going to be intimidated. Doing the right thing means having no regrets."
Interviewer,what's the worst and most realistic harm from bulk collection of data? Why do you think it outweighs national security?
Snowden,"The worst and happening-right-now harm of bulk collection, which again, is a euphemism for mass surveillance, is two-fold. The first is the chilling effect, which is well-understood. Study after study has show that human behavior changes when we know we're being watched. Under observation, we act less free, which means we effectively *are* less free. The second, less understood but far more sinister effect of these classified programs, is that they effectively create ""permanent records"" of our daily activities, even in the absence of any wrongdoing on our part. This enables a capability called ""retroactive investigation,"" where once you come to the government's attention, they've got a very complete record of your daily activity going back, under current law, often as far as five years. You might not remember where you went to dinner on June 12th 2009, but the government does. The power these records represent can't be overstated. In fact, researchers have referred to this sort of data gathering as resulting in ""databases of ruin,"" where harmful and embarrassing details exist about even the most innocent individuals. The fact that these records are gathered without the government having any reasonable suspicion or probable cause justifying the seizure of data is so divorced from the domain of reason as to be incapable of ever being made lawful at all, and this view was endorsed as recently as today by the federal government's Privacy and Civil Liberties Oversight board. Fundamentally, a society in which the pervasive monitoring of the sum of civil activity becomes routine is turning from the traditions of liberty toward what is an inherently illiberal infrastructure of preemptive investigation, a sort of quantified state where the least of actions are measured for propriety. I don't seek to pass judgment in favor or against such a state in the short time I have here, only to declare that it is not the one we inherited, and should we as a society embrace it, it should be the result of public decision rather than closed conference."
Interviewer,How should the community of states react to the new information concerning surveillance? What actions have to be made?
Snowden,"We need to work together to agree on a reasonable international norm for the limitations on spying. Nobody should be hacking critical-to-life infrastructure like hospitals and power stations, and it's fair to say that can be recognized in international law. Additionally, we need to recognize that national laws are not going to solve the problem of indiscriminate surveillance. A prohibition in Burundi isn't going to stop the spies in Greenland. We need a global forum, and global funding, committed to the development of security standards that enforce our right to privacy not through law, but through science and technology. The easiest way to ensure a country's communications are secure is to secure them world-wide, and that means better standards, better crypto, and better research."
Interviewer,"The Ecuadorean Consul in London, Fidel Narvaez, lost his job after his helping you to safety was spun. Message for his family?"
