name,line
Interviewer,"Dr. deGrasse Tyson, it's great to be with you here at the 68th Annual American Humanist Association Conference in Phoenix, Arizona. Is this your first humanist conference?"
Tyson,"My very first. I didn't even know they existed. I guess I'm a little out of it, being a scientist all my life."
Interviewer,"Well, we're really glad you're here and that you've discovered us, in a sense. What are your impressions so far?"
Tyson,"Everybody is friendly, the topics are all very interesting, and it's clear that there is quite a lot of work to be done to make sure we have the country that we all thought we were given 230 years ago when it was founded."
Interviewer,Do you consider yourself a humanist?
Tyson,"I've never identified with any movement. I just am what I am and occasionally a movement claims me because there is resonance between my writings and speeches and what they do, and that's fine; I don't mind that. But no, I have never been politically or organizationally active in that way. Astrophysics, that's what I identify with."
Interviewer,"And as an astrophysicist, do you find it a challenge that people may be less interested in the actual science that you're doing and want to hear more about your position on science in our culture?"
Tyson,"The relationship of science to our culture is of fundamental importance in the twenty-first century, where whether or not we embrace science as a nation will play directly into our ability to compete economically with other nations that already value what it is to invest in science and technology. Whatever people feel the need to explore with me, I'm happy to go there with them. I spend enough of my life as an expositor of the frontier of science; I don't need to do that every time I'm in front of an audience. Clearly this  audience has an important mission ahead of it and I would be very happy to share my life experiences with regard to that mission, compare notes, and look for best and worst practices."
Interviewer,"People argue that Dawkins and Hitchens and others are raising the profile of nontheism in general. But human beings are complex and even conflicted at times, so it's reasonable to think about re-tailoring your approach once you have the spotlight. Certainly in science you want to ask questions and then go in search of the answers. I do think scientists working as scientists and touching on these issues are really the best spokespeople that we could hope for. So thank you so much for doing what you do."
Tyson,"You just put an even greater burden on my shoulders saying that scientists have to first figure out how the universe works, then we've got to get it out there to the public!"
Interviewer,"Speaking of the public understanding of science, you've talked about getting letters from kids and so forth. Do you do much in science education with children?"
Tyson,"Hardly any of my professional activities directly target children. At the American Museum of Natural History there is an entire education department made up of people who are trained in K-12 cognitive processes and curriculum. Occasionally I come in and make a presentation for the kids. That being said, the books I've written are very readable by kids, and the TV show that I host, NOVA scienceNOW, has a playful spirit that kids can enjoy and that resonates with them."
Interviewer,"Your ability to communicate science and your ideas is so sharp. As a writer, as well as a presenter, do you find that you have a very specific technique for communicating?"
Tyson,"Technique implies that one invokes a method. And you repeat that method because it has shown to be successful. What I've found, however, is that one should not have any method at all because everyone is different, and so you come prepared for any audience at any time, any age, any demographic, any political leaning, tolerance for humor, religious sentiment, and so forth. All these factors influence the ability of a person to receive the message you are giving them."
Interviewer,Have you shared this imperative with teacher groups?
Tyson,"I gave a talk to the National Science Teachers Association. That is an important group of people, K-12 educators in science. I asked by show of hands how many people, because I knew it would get an interesting reply, didn't own a television. Half of the hands went up. Of those who owned a television, I asked how many only occasionally used it to watch a movie, and half of the hands went up. So fully three quarters of that audience whose job it is to teach the next generation science don't watch television, yet the average American watches thirty or forty hours of television a week. That disconnect is pedagogically fatal."
Interviewer,I imagine that was a little controversial.
Tyson,"Yes, and when I say pop culture I don't mean only the TV shows that are kind of cool and interesting. I also mean the hit shows. I'm talking about Dancing with the Stars. I'm talking about the reality shows most educators thumb their noses at as being of no educational or intellectual value. Yet clearly millions of people watch them every week so there is a disconnect. Once there is a disconnect, you're not communicating."
Interviewer,The message I'm getting from you is of an unending need to understand human beings as both complex and able to be stimulated with the right approach. Thank you so much for communicating it to us so effectively!
Tyson,"Any moment would have been good, but it's a matter of how many forces align to actually make it happen ... It's not that it's now versus three years ago. It had to happen no matter what. Anywhere between 30 and 35 years is a typical length of what people think of as a generation. There's got to be at least one Cosmos a generation; otherwise, we're not doing justice to sharing with the public the role of science and bringing the universe down to Earth."
Interviewer,Can you give a few examples of the ways the science on Cosmos has been updated? Will the new series incorporate any discoveries of the past 34 years?
Tyson,"If you only think of Cosmos as a science documentary, then the natural obvious question would be, Well, it's been 35 years. What has changed? However, Cosmos wasn't only that, and it wasn't even mostly that. Cosmos is mostly Why does science matter to you? Why should you care about science? Why should society care about what scientists say? How can you empower your own destiny by becoming scientifically literate?"
Interviewer,"What is our effect on the environment? Will we be good shepherds of this Earth as we go forward? Do we know enough to be good shepherds of this Earth? Do we understand the risk of asteroids that could render us extinct? These are broad questions, and Cosmos takes some element of science and shows you why it is way more relevant to your life than you ever previously imagined."
Tyson,"Well, there's always creative tension, and that's never a bad thing if people who are participants in the creative tension are intelligent and rational. Intelligent, rational people can disagree and figure out why they disagree, and maybe you go with one person's view or another person's view. Or, the disagreement leads to a third view that one or the other didn't have, and the third is better than both. So, all three of those scenarios would happen."
Interviewer,What was the most difficult part of making the reboot?
Tyson,I have an unromantic answer for you there
Interviewer,"You make such a great tribute to Carl Sagan at the end of the first episode, when you talk about your first meeting with him during high school. How has this project been important for you personally?"
Tyson,I have a personal philosophy in life
Interviewer,Did you meet Sagan any other time?
Tyson,"I'd say we only met like four times. The first time was very significant to me, as is obvious from that retelling. The last time is also significant. It was his 60th birthday bash. He would die two years later. It was a celebration, it was a dinner and there were all these testimonials. And you would sit there and listen to all these testimonials, and you would say, My gosh, nobody could be that amazing. You know, old people, young people, middle-age people, colleagues, janitors were coming up, singing the praises of Carl Sagan. And then, after that, he gave a public talk, and it was the best public talk on any subject I had ever heard in my entire life. Not the best, the greatest. And I said, Yep, he deserves every one of those accolades. Every one of them."
Interviewer,Where were you in your career then?
Tyson,"I was well established. I knew when I first met him that I wanted to study the universe. I was not one of the people who was turned on to the universe by him. His influence on me was recognizing that there is an appetite for a scientist who would sit down on the couch next to you and talk about the universe. That's what he did when you saw him on television. He's sitting right next to you. Not as a professor, he was a guy just trying to get you comfortable with the cosmos. The fact that that was possible, the fact that a scientist had talent to do that, the fact that people responded so warmly to it, told me that if I'm ever in the position to bring the universe down to Earth, that's a good place to start."
Interviewer,"I wanted to bring up Bill Nye, I hear you guys are friends."
Tyson,"Yeah; in fact, I count him as my best friend. In modern times, he's my best friend. We text and email three or four times a week about one topic or another. We are sort of compatriots in this business, so we're always comparing notes and seeing how we could improve; we offer critiques, that sort of thing. There's professional value to the friendship that manifests."
Interviewer,"What are your thoughts on the debate on evolution Nye recently had with creationist Ken Ham? Nye said he was doing it to raise awareness about science education in this country, and it seems like Cosmos might have similar aims."
Tyson,"There are different ways to do that. One of them is to legislate laws that will improve science teaching and the like. But think about all the ways your citizenry can be influenced. We all go to movies. We all watch television. And some movies are better than others, and some TV shows are better than others. What makes them better? Some are better filmed. Some are better written. Some are more compelling. Different people learn differently and react differently."
Interviewer,"Speaking of science and religion, I thought it was interesting that Giordano Bruno's story was incorporated into the very first episode.  Can you tell me about that decision?"
Tyson,"There are many science martyrs, if you will, whose stories are undertold. And there's the normal cast of characters, Einstein, Galileo, Newton, and we just figured, we've heard those stories before; let's go deeper. And Ann Druyan and Steve Soter are both avid historians, not in an academic sense, but they're very well read in terms of who did what in the past. It's through their collaboration that they came up with this list of people whose stories we'd tell. And Bruno is just one of half a dozen profiles that are featured throughout the series that tell you about the scientific result arrived at by a researcher and what comes when those results encountered the social, political, cultural and religious mores of the day.."
Interviewer,What was it like working with Seth MacFarlane?
