name,line
Interviewer,How does NASA affect your work as head of the planetarium?
Tyson,"In two fundamental ways. One relates to the public's appetite for the cosmos, stimulated by discoveries and missions conducted by NASA. Since there are hardly any NASA facilities in the Northeast, hardly anyone knows about GISS , it has no direct presence in the hearts and minds of New Yorkers. For many people, the Rose Center for Earth and Space and the Hayden Planetarium are the closest they'll ever get to NASA in this region of the country. So we closely monitor missions and frequently design programs around NASA science."
Interviewer,For example?
Tyson,"We recently had our annual Isaac Asimov panel debate on ""Mining the Sky"", what to do about the natural resources of space scientifically, culturally, morally, and ethically. I had an engineer from NASA Marshall, Curtis Manning, who specializes in in situ resource utilization. I got Cassie Conley, the head of the planetary protection group at NASA, to talk about what it means to go into space in search of resources, either in support of space-based activities or to bring back here. We also had a mining geologist to ground everyone, figuratively and literally."
Interviewer,What's the other way NASA connects to your work?
Tyson,"We apply for support money from NASA for programs we run. Our most visible NASA-supported programs are space shows. In the old days, the planetarium director would stand up with a microphone and recite what constellations were visible that season. That doesn't play anymore, nor should it. We know too much about the universe and the universe is too dynamic, too broad and deep, for anyone to believe that pointing out objects in the night sky constitutes astronomy any more. So we identify various cosmic objects and take the viewer there visually. We've enjoyed NASA support for each of the shows that we've produced over the past eight years."
Tyson,"If NASA is so visible that people think it's 10 percent of the federal budget when it's six-tenths of one percent, somebody's doing something right."
Interviewer,How would you characterize public response to NASA?
Tyson,People are generally completely supportive. Those who grumble about science and space don't tend to visit us.
Tyson,"Our visitors are self-selected, of course, but the numbers have gone up. We get families, kids, international visitors. We show them the universe as it is and how we've come to learn our place in the universe. We give it context. We are fundamentally linked to the geological sciences, to the anthropological sciences, to the archaeological sciences. Context matters when someone says, ""Let's go to space!"" and someone else says, ""Well, why?""."
Interviewer,Context matters because ... ?
Tyson,"Often the ""why"" isn't, ""Here's the answer."" The why is, ""Here's the landscape in which this activity is unfolding."" Once you understand the landscape, it's self-evident why we are undertaking these activities. So I see almost complete support for our space activities."
Interviewer,What kind of effect has NASA had on you personally?
Tyson,"I was born the same week NASA was founded, so we're the same age and feel some of the same pains, joys, and frustrations. But the Apollo program had no effect on me."
Interviewer,Why no effect?
Tyson,"Because the astronauts were military pilots. They had crew cuts. Their skin was many shades lighter than mine. That was not an adventure that at all considered me as one of its participants, so I couldn't consider myself as one of them. It's not that I didn't appreciate what NASA was doing. I was as excited as the next person that we landed on the moon. It was a great engineering feat, a great technological feat. It just didn't influence my ambition to become a scientist. My interest came about entirely separate from that."
Interviewer,Where did it come from?
Tyson,"From my first visit to Hayden Planetarium, where I saw the night sky as never before, as undreamt of actually, because I grew up in the Bronx and I was sure the night sky was maybe eight stars, ten on a good night, not the thousands they were showing me. I thought it was a hoax. A couple of years later, I looked up with binoculars and the universe looked really different than it did with the naked eye. I realized that maybe what I was seeing from the Bronx was not the real thing. So NASA was going into low- Earth orbit and then to the moon and back, and my interest was being forged on the large-scale universe."
Interviewer,"In 1968, a year or so before the moon landing, I heard a talk by astronomer Fred Hoyle where he said space exploration was all well and good, but it would never replace looking through a telescope."
Tyson,"Unless you figure out how to get to the place the telescope sees. I think he's right for the large-scale universe, but I bet he would not have imagined what we would glean just from our own planetary system from space probes that have been as far out as Saturn. Now we know that the moons are in many ways more interesting than the planets themselves. I don't think he could have imagined that at the time. So space travel is replacing telescopes. No one is saying, ""Give me a good telescopic view of Saturn."" No, we just call Cassini and say, ""What have you got for me today?"" So Hoyle was half right."
Interviewer,What do you think our relative investment in robotic and human space exploration should be?
Tyson,"I wear two hats. As a pure scientist, I would say, ""Just send robots."" For every astronaut you send up, you could send ten or more robots to ten different places. Very few scientists, given that specific choice and given the relative cost of the two, would say, ""Send people instead of robots."" But I also spend a good part of my professional life interacting with the public. I'm a public educator and a public scientist. In that capacity, I'd say there is no question that human exploration of space has no substitute. Nobody names high schools after robots. People have said, ""Look at the interest shown in the Mars rovers."" That's undeniable, but let's go back forty years. There were robotic missions to the moon. Does anyone remember them who wasn't directly involved in them? Of course not, because people were going to the moon."
Tyson,"There's no substitute for the thrill of having one of your own explore, without specific reference to a scientific goal. We've been doing it from the very beginning, and I see no reasons why we wouldn't want to continue. For many people, it is the motivation for the exploration of space, because we can explore vicariously through the eyes of an explorer who can experience, who can feel, who can emote. People criticize the golf ball that was hit on the moon, but I celebrate that, because it's something a human would do. A robot follows your commands; humans can be a little naughty now and then. When you send one of your own, you can track that person, you can ask, ""What school did they go to? What's their hometown?"" There will be headlines on them, and every chapter in their past lives will be captured and celebrated by the press. You'll create role models. Robots just don't make role models."
Tyson,"If you want a nation to have space exploration ambitions, you've got to send humans. So if you catch me on a science day, I'm going to tell you, ""Leave the people home."" Then there's the reality check and I say, ""We need to have people reaching the frontier of space exploration. That makes the headlines."" History has shown that and the future will bear it out. You don't contrast rovers and shuttle missions; that's not the right comparison. When you spend all your time ""driving around the block,"" where one mission is no more ambitious than the previous one, headlines do not follow, unless of course there's a disaster, like Challenger and Columbia. You've got to compare Mars rovers to human exploration of some place where humans have never been. Then find out who's getting the headlines."
Interviewer,"In one of your essays in Death by Black Hole, you say robots are only good at finding what you know you're looking for."
Tyson,"I think a robot can find something unexpected but, yes, it's true you program a robot for what you expect to see. You program it to climb over a particular kind of rock, to look in a certain spectral band, to dig in a certain way. Something completely unexpected could go unnoticed."
Interviewer,What do you think was the most significant accomplishment of NASA's first fifty years?
Tyson,"People like to say it was landing on the moon. I'd phrase it in a different way. The most significant accomplishment was saying we would put someone on the moon and then doing it. I think we would eventually have put someone on the moon but to say it and then do it speaks to a high level of ambition. In some ways, the landing was the easy part. What you had to do to get to that point was the hard part. The Mercury missions and Gemini missions were steps toward landing on the moon"
Interviewer,What would you like to see NASA commit itself to next?
Tyson,"I'm not naïve enough to think that just because we went to the moon we're automatically going to land on Mars. What drove the moon landing was a flow of money commensurate only with times of war, because we were at war with the Soviet Union."
