name,line
Interviewer,"If people don't like science, or say they don't like science, why try to reach them?"
Tyson,"Because we're all members of the same society and culture and civilization. And as we get deeper in the 21st century, literacy in science will become more fundamental to decisions you have to make that involve your future, especially your future health, your future wealth, and your future security. So if you don't want to know anything about science, you become disenfranchised from participating in all that it will take to improve your future."
Interviewer,"I was really intrigued by Chapter 12, which explores the cosmic perspective. If I'm summarizing accurately, it's about having the wisdom to know our small place in the universe and allowing that to expand what it means to be human."
Tyson,"If you had to put it in a sentence, that works. It's about how having a cosmic perspective can completely change your outlook on your place relative to others in the world and just who and what you are. It can reestablish, or differently establish, your priorities in life."
Interviewer,What role does the cosmic perspective play in your life?
Tyson,"This sounds like a weird boast, but it just is"
Tyson,"I never got into a fight. I was the anomaly. And I've known that I've been interested in the universe since I was nine. Could it be that my cosmic perspective, embedded in me from very early, prevented me from ever possibly valuing what it was to fight someone?"
Tyson,"If you look from high above, which is what the cosmic perspective provides for you, it is so petty. So it helps me make certain decisions about what is important and what is not in this world."
Interviewer,Here's a question from Goodreads member Spicy T AKA Mr Tea
Tyson,"Growing up, wanting to be an astrophysicist from childhood, this was definitely the path of most resistance. No one shared the views that I had of myself. Teachers would say, Oh, you should be an athlete. I'd say astrophysicist and they wouldn't know what it was, or they would ignore it, or they'd guide me to some other athletic endeavor."
Tyson,"So I ignored them and just kept pushing. It takes energy, though, to always resist forces pushing against you. My love for the universe is so deep that I could always draw from these huge fuel tanks to resist such forces of life and of culture."
Tyson,"If anyone was bigoted or racist, it would only matter if they were between me and my goal. But if, say, a taxi didn't stop for me, which still happens to this day but not as often as decades ago, then they were not between me and my goal. It was just a little bit of extra tax I had to pay each day."
Tyson,Life is too short to let that get under your skin. It's also too short to try to change all of them one by one. I would rather spend that intellectual energy learning how the universe works.
Interviewer,"I'm impressed by a lot of what you just shared, and one quality is kind of a buzzword now"
Tyson,"I don't think of it as grit. I think of it as enthusiasm. Enthusiasm overrides everything. If you really love something, nothing else matters. You will do it, even at the expense of personal hygiene. You'll miss a meal. That's not grit, that's love. So my love ran deep."
Interviewer,What can a parent do to cultivate this in their kids?
Tyson,"Not that I'm Father Time or anything, but I have two kids. One aged 20 and one aged 16. What my wife and I did with them is what my parents did with me, which is, exposed us to as many different things as possible, allowed our own natural curiosity to manifest, and have that curiosity select what it wants to do in life."
Tyson,"Rather than say, I want my kid to be what I never was. Whatever that might have been. Or, I'm a medical doctor; I want my kid to be a medical doctor."
Tyson,"In a free country, in a free society, with free speech, that should be the last thing you do. Do you own them? But I understand it happens. I don't know if the kid will be as happy as they possibly could have been because you don't have evidence of it being homegrown within them."
Interviewer,"I have a hypothetical scenario for you. Suppose you were trapped at the bottom of a potential energy well, with no hope of reaching escape velocity. However, you were orbiting a source of light, rotating such that you were able to read books for roughly half the time. Suppose further that within the potential energy well, you were situated on a small, remote, arid location surrounded by dihydrogen oxide in its liquid phase, thus rendering you trapped. If you could have only three books with you, what would they be?"
Tyson,"If I'm surrounded by water, I'm not trapped if I can swim and I'm inventive. I can make a boat! This is not Gilligan's Island if you have creativity. Ha! I don't always accept all constraints that other people place on me! Let me just start with that."
Tyson,"Secondly, in terms of books, hmmm... I'm not one of these people who reads a book a hundred times. I read a book, I get it, and I move on. I think I would bring Gulliver's Travels and Principia by Isaac Newton. And then... I'd bring my Kindle. How do you like that? Now I have a thousand books! You can't fool me! You can't imprison me!"
Tyson,"What I really want is a pen and a lot of paper, and maybe it's time to write a book about being stranded on a desert island surrounded by dihydrogen oxide."
Interviewer,I would read that book.
