name,line
Interviewer,"So, how are you feeling about the discovery?"
Tyson,"Well, part of me, a secret part of me, wanted it to not be there at all."
Interviewer,"Oh, why?"
Tyson,Because then you'd have to completely rethink all the ideas that led to its discovery. It would have opened up all new pathways of thought.
Tyson,"In the history of science, there are three kinds of discoveries you can make. One of them is what you expected to be there, confirming your understanding of nature. Another one is, you don't find what you expect to be there, so you have to go back and rethink everything. And sometimes when you're forced to go back and rethink things you end up making discoveries you had not previously anticipated. The third kind of discovery is discovering something you didn't expect at all. Like, who ordered that?  is something we all kind of expected to be there. It's there, it's confirmed, and certainly worth a bottle of champagne. But it doesn't really bring a new understanding of physics; it confirms our prevailing understanding of physics. And that's a good thing, but sometimes when things go as you don't expect them, major advances occur."
Tyson,"For example, there is a very famous experiment called the Michelson-Morley experiment, where they went to measure the speed of light in different directions as Earth went around the sun. They expected the speed to be different depending on which way Earth was moving, and it wasn't! It was exactly the same number in every direction they moved. That became the foundation of relativity, because relativity has as one of its tenets that the speed of light is constant no matter how you're moving. The fact that they didn't get what they expected led to an entirely different new discovery."
Tyson,"So the Higgs discovery is an amazing discovery, but what would have been more amazing is if it wasn't there at all."
Interviewer,"Can you explain to me what the Higgs boson is, in the simplest terms?"
Tyson,"It's a kind of particle that creates a field. Other particles move through that field, and as they do, the field gives them their mass. Without the Higgs, nothing would have mass in the universe; and everything would be traveling at the speed of light, since all massless particles, like light, travel at the speed of light. So it's a very powerful particle, and that's why everyone was so excited about it."
Tyson,"By analogy, and I don't take credit for this, think of a party in Los Angeles. You walk in and nobody knows who you are. So you can walk in and out of that party without any resistance at all, because nobody's going to be hanging around you. But the more famous the person, the more people will recognize them as they walk into the party. Then other people will crowd around them and interfere with how fast they can move. So the most famous people that walk in can barely move at all. The Higgs field is just like what goes on at an L.A. party"
Interviewer,How exactly did they discover the Higgs boson?
Tyson,"Any time you build an accelerator that can create pockets of energy higher than anyone has created before, you're going to discover something. It's not conceptually different from the days of the great explorers of the 15th century. They go where the maps haven't been drawn yet, so they're going to discover something. The accelerator in Switzerland, CERN, probed matter at higher energies than ever before."
Interviewer,"I heard that the Higgs can help explain what ""dark matter"" is. What is dark matter?"
