name,line
Interviewer,Hello friends and welcome to the show this episode the podcast is brought to you by 4 Sigma attic now if you ever seen me drinking brown liquid in the studio it's usually this 46 mattock lion's mane mushroom Elixir mix a drink it all the time I keep it on my desk right here at the studio for Sig mattock is an awesome company they make cool shit and one of the things they make is mushroom coffee they mix mushrooms with coffee cacao latte and protein powder and the mushrooms I'm talking about is lion's mane mushroom which is my favorite functional mushroom it's great for your brain and it also has chaga chaga which they call the king of mushroom chaga supports your immune system and their mushroom coffee has zero sugar sugar why can't I say that zero sugar zero carbs and zero calories mushroom coffee has half the caffeine of regular coffee but it's actually good for you it's nutritious I like mushroom coffee it tastes good it's easier on your body.
Tyson,doesn't make me jittery or mess with my gut and it's good for you it's actually nutritious and it comes in these easy-to-use packets that you can take anywhere you can stash them in your gym bag your suitcase and they have given us the opportunity to give you an exclusive offer with for somatic on their best-selling lion's mane coffee and this is just for listeners this podcast you can receive up to 45% off I know it's a lot of money up to 45% off so to claim this deal you got to go to for Sig Matic.com / Rogan and this offer is only for JRE listeners and it's not available on the regular website go to fo you are SI G m atic for Sig manic.com / Rogan and get yourself some awesome and delicious lion's mane coffee full discount applied at check out we're also brought to you by.
Interviewer,I movement watches not just movement watches but they got a ton of great shit including their new ever scroll blue light filtering glasses if you are a person that is in front of a screen all the time whether you're watching new shows or playing video games or scrolling through your your computer or your phone before bed.
Tyson,movements ever scroll blue light glasses are built to protect your eyes from Blue Light that's known to cause eye strain discomfort and poor sleeping patterns now there's a lot of known benefits to wearing blue light glasses and it promotes sound asleep at elevates your mood it'll actually actually lower your stress hormones and proves focus and mental Clarity and sharpens your vision and they don't look like other computer glasses they look stylish they take movements best-selling glass frames and they add blue light filtering lenses to them so you don't have to sacrifice style for functionality whoo-hoo they look just like regular glasses no yellow tint lenses that you find on other blue light blockers and you can pick from round faint round frames clear frames coloured frames movement has a bunch of awesome things that you can select from and they just make cool shit and the company was founded on this idea.
Interviewer,that they can make and sell you cool shit without the middleman whether it's their cool stylish watches or sunglasses accessories or now they're blue light filtering glasses ever squirrel blue light filtering glasses start just $65 and whether you're at the office scrolling through your phone or unwinding from a long day ever scroll glasses will keep you covered you can get 15% off with free shipping and free returns by going to MVM t.com Rogan shop movement ever scroll blue light filtering glasses protect your eyes and look great while doing it go to movement MVM t.com Rogan and join the movement oh and last but not least we are brought to you by a new podcast sounds weird promoting a podcast on a podcast but I'm sure you've got the time and this is a podcast that's about stand-up from a great.
Tyson,and up Chris De Stefano every week Chris and his producer will be listening to And discussing some of the greatest stand-up of all time from Classic Bits out of comedy Central's library to jokes from today's hottest up-and-coming comedians they'll unpack their favorite bits discuss the comedy scene call up other Comedians and generally get into everything comedy and since they record at comedy Central's headquarters in New York City you never know who might drop in so you can listen to expertly curated playlists with jokes from John Mulaney to Hannibal Buress to Maria Bamford Mitch Hedberg and in between jokes you get to hear behind-the-scenes discussions about the bit or what else Chris has on its mind it's basically two podcasts for the price of one but it's completely free.
Interviewer,there's no podcasts out there that's anything like it and you subscribe and listen to new episodes of stand up with Krista Stefano every Thursday wherever you listen to your podcasts my guest today is a good friend a brilliant man and one of the I guess probably the most famous astrophysicist in the known universe his name is Neil deGrasse Tyson The Joe Rogan Experience trained by day Joe Rogan podcast by night all day.
Tyson,hello yo what's going on man yeah good to see you thanks thanks I feel a little overdressed sorry about you look good you know look at that a bit of Starry Night there yeah you're really into that huh oh yeah I got I guess is that yes what's on your phone so you remembered yes yeah yeah it's on the phone sorry night what you don't like about Starry Night it's not what Van Gogh saw that night it's what he felt how do you know what he felt because this is not an representation of reality and anything that deviates from reality is reality that has filtered through your senses and I think art at its highest is exactly that if this was an exact depiction of reality it would be a photograph and I don't need the artist hmm okay so even photographs that take you to a slightly other kind of Dimension as you gaze upon them it's more than what was actually going on at the time and that's that's art taken to the.
Interviewer,craft of Photography that's why you like it that's why it's one of the reasons why plus I think it was the very first.
Tyson,painting where it's title is the background.
Interviewer,think about that this could have been called you know in the full painting obviously this is a typical yeah so there's a town there there's a cypress tree there's a church steeple it could have been called cypress tree could have been called Sleepy Village it could have been called Rolling Hills but no it's called starry night and everything in front of it everything in front of it is just in the way and how often do you paint something where the title is the background that that's my point and in this particular case the background is the universe and soap so for me this was a pivot point in art and it's 1889 which is recent given the history of paintings and you know the go all the way back so yeah there it is that your favorite painting ever I have to say you have to be you have a vest and a phone call it's not what are you doing and I have four or five ties that have this painting on them.
Tyson,different ways yeah so what would you put them all in I'm all-in what's interesting is that the town is what would have you seen Starry Night in bacon somebody did look at dig it up on the screen it takes somebody did it in bacon it's just crazy how weird yes yeah how weird go back to the original one please what's interesting about the original one is that the town is realistically depicted the trees are recognizable as trees if you ever saw a sky that looked like that the end would be here yeah exactly placenta whirling is not wind and it's not clouds because it was if it was clouds you wouldn't see the stars right let's go it's how he felt that's all I can tell you by the way that's is a real evening so that's sorry it's not even the it's early morning the crescent moon when it's that orientation means this is Before Sunrise and that white object lower on the horizon that sort of glowy that's very likely Venus and that.
Interviewer,us to trace what's over what set of weeks this painting was actually painted so it's kind of like forensic astronomy has anyone done an analysis of like where he must have been yeah it's well-known yeah he was he was in a real place and so that really pull this out of his ass right I mean it was he painted what he saw folded into what he felt yeah heavy that's how art should be I think yeah otherwise what do you need artists for.
Tyson,make cool shit the cool stuff is something that they felt and it came out of them yeah they feel stuff they artists feel feel the the natural world in ways different from the rest of us.
Interviewer,and that's why they're artists do they or do they just express it with all sorry yes they not only yes we all can feel it but to be able to express it that that's a whole other Talent right just to Camp you know what I think about often why do you why do we all know who Paul Revere is all right we all we is a household name yet is there any other War ever fought in the history of the world where a household name is the name of the person who told other people the enemy was coming.
