name,line
Interviewer,"For the record, we're HUGE fans of Neil deGrasse Tyson. (You don't put someone on the cover of your magazine if you don't love him!) In our excitement, we dreamed up lots of cover executions, but ultimately, we decided the most fitting treatment would be to have him beaming from the center of the solar system. Here's hoping you like the interview as much as we do!"
Tyson,"When he was 17, Neil deGrasse Tyson got a letter from Carl Sagan, the Cornell astronomer and popular science luminary. Tyson was a Bronx High School of Science student applying to colleges, and Sagan invited him for a tour of the lab at Cornell. It was ""an act of generosity that has affected me my entire life,"" Tyson says. A few years later, in 1980, Sagan launched Cosmos"
Interviewer,"Not long ago, you tweeted that if we imagined our planet's history as a football field, human existence would fit on a blade of grass."
Tyson,"Yes. If the 14-billion-year history of Earth went from end zone to end zone, then the width across one blade of grass is about the time that has elapsed since the paintings of cavemen to this conversation. That's a cosmic perspective."
Interviewer,How has the cosmic perspective shifted since the original Cosmos aired? What advances in science or new issues have you had to incorporate?
Tyson,"If you go back 40 years,  the environment was ""don't pollute the lake because then you'll kill the fish, and it will mess up our little water hole."" No one was thinking that what they did locally would affect everybody else globally. The local-global connection has emerged in the last couple of decades."
Tyson,Some of that came about because of our understanding of how the dinosaurs went extinct. How could an asteroid hit one part of Earth and make something extinct on the opposite side?
Tyson,The only way that can happen is if you catastrophically affect the climate. So climate change as a local force driving a global phenomenon has become a topic of discussion since the original Cosmos.
Tyson,"At the time of the original Cosmos, we knew of no planets beyond our solar system. We could hypothesize they'd be there, but now the list  is rising. One thousand exoplanets! But Cosmos is not simply about ""let's teach you the latest science discoveries."" Then it would be just any other documentary. Its real contribution is that it shows how and why science matters."
Interviewer,"I was reading a collection of Sagan's Gifford Lectures, The Varieties of Scientific Experience, and he really did have a way with words. He was talking about our sun going supernova, and he said, ""Some five or six or seven billion years from now, the sun will become a red giant star and will engulf the orbits of Mercury and Venus and probably Earth. Earth, then, would be inside the sun, and some of the problems that face us on this particular day will appear, by comparison, modest."" He has this implicit humor."
Tyson,"There are plenty of smart people out there who don't know science, and plenty of socialized people who might not be smart. He had all of that in the same package."
Interviewer,What was your relationship with Sagan like?
Tyson,"We met only four times. So he was never a mentor. People think that, but that was not the case. But those four times were significant, so I think of him often, and they serve as a source of inspiration. The fact that he took the time for me  has shaped how I take time for students who reach out to me."
Interviewer,How did the new Cosmos come about?
