name,line
Tyson,On this episode of NOVA scienceNOW
Interviewer,This is probably the most profound extinction of animal life.
Tyson,"For years, the killer was a mystery, but now researchers think it could be something we're all familiar with, today."
Interviewer,Smell that.
Tyson,"Ooh, yeah, smells like rotten eggs."
Interviewer,"Rotten eggs, yeah. This is..."
Tyson,And the trigger could be all around us.
Interviewer,...this terrible gas chamber atmosphere. It's not so much stuff from space that gets you; it's your own planet.
Tyson,"Talk about extinction. This scientist has brought back to life one of the most lethal viruses in history, the 1918 flu."
Interviewer,"This killed, probably, at least 50 million people worldwide."
Tyson,What was he thinking?
Interviewer,We felt like it was important to actually reconstruct this virus.
Tyson,"What he's learned might unlock the secrets of how the avian flu, the one we're worried about now, could spread, infect and possibly kill millions."
Interviewer,Maybe we can figure out how to stop it.
Tyson,And you'll meet this guy...
Interviewer,"Hello, Leo. Can you hear me?"
Tyson,He was designed by an engineer who's building sociable robots.
Interviewer,You're such a cute little robot.
Tyson,"Robots that one day may even become our friends, with feelings and emotions. Wait a minute, an emotional robot?"
Interviewer,"I do think, in time, people will have, sort of, relationships where they might feel that it is a friendship, but it's going to be of a robot-human kind."
Interviewer,Can you find Elmo?
Tyson,All that and more on this episode of NOVA scienceNOW.
Interviewer,Google.
Interviewer,"Major funding for NOVA scienceNOW is provided by the National Science Foundation, where discoveries begin."
Interviewer,HHMI.
Interviewer,"Additional funding is provided by the Alfred P. Sloan Foundation, to portray the lives of men and women engaged in scientific and technological pursuit."
Interviewer,And the George D. Smith Fund.
Interviewer,"Major funding for NOVA is also provided by the Corporation for Public Broadcasting, and by PBS viewers like you. Thank you."
Interviewer,MASS EXTINCTION.
Tyson,"Hello, I'm Neil deGrasse Tyson, your host for NOVA scienceNOW."
Tyson,"We all know that Earth is brimming with life, all kinds of life, as it has been for most of the last 600 million years. But every now and then, something happens. Earth becomes a very unfriendly place, and most life can't survive. It's called mass extinction. We know it's happened over and over again, in the deep past, but we don't always know why."
Tyson,"In a remote Nevada desert, a team of investigators is trying to solve an old murder mystery."
Interviewer,"So yeah, this looks good."
Tyson,"And I mean old; the victims were knocked off about 250 million years ago, in an ancient mass extinction."
Interviewer,"Based on the fossil record, this is probably the most profound extinction of animal life."
Interviewer,"There's no other time, in the last 600 million years, that you wipe out 95 percent of all the species in the ocean."
Tyson,Geologist Sam Bowring and paleontologist Doug Erwin think this hillside might be a scene of the crime. They're looking for clues to find out what caused the mysterious end of the geological time period known as the Permian.
Interviewer,"The Permian world, and the extinction that ended the Permian world, really reset the nature of life on this planet."
Tyson,Paleontologist Peter Ward has spent years collecting fossils from the strange time of the Permian.
Interviewer,"Permian would have looked very different to us. Let's say we go back there, we look around"
Tyson,"True mammals hadn't evolved yet, but their ancestors were there, animals like this Lemurosaurus."
Interviewer,"This is a mammal-like reptile, probably small-dog size. This animal is a carnivore. It really has a dog-like appearance. We can see this great big piercing tooth."
Tyson,Clearly making him a predator.
Interviewer,"Yeah, but this entire group dies out in the extinction itself."
Tyson,"There were creatures right out of a science fiction movie, like plant-eating Lystrosaurs, and, ruining their day, monstrous Gorgons."
Tyson,"The extinction ravaged the oceans, once filled with exotic animals. But then, about 250 million years ago, almost everything on sea and land died. So, who's the culprit? What could kill off so much life? Could it be climate change? Global warming? Or would you need something from out of this world?"
Tyson,"There've been at least five major extinctions in the last 600 million years. Most of us have heard of one, at the close of the Cretaceous, ending of the reign of the dinosaurs. That happened about 65 million years ago, when an asteroid the size of Mount Everest slammed into our planet, leaving a giant crater near what is now Mexico."
Tyson,"So we know the dinosaurs were knocked off by a giant rock that fell from the sky; and we also know that these rocks hit Earth from time to time; so when we try to figure out what caused all the mass extinctions of the past, shouldn't it just make sense that they'd also be caused by comets and asteroids?"
Interviewer,"I went into this controversy fully expecting to find all the evidence for impact. And at the end of the Cretaceous, we see this. We see lots of comet material or asteroid material."
Tyson,"Not to mention the crater, of course."
Interviewer,"Not to mention the crater, least of all the crater."
Tyson,"So you've got the smoking gun, the gun, and the bullets, and, of course, the dead bodies, I guess."
Interviewer,"Well, the only thing we have at the end of the Permian is...are the dead bodies."
Tyson,"So, if asteroids and extinction don't necessarily go hand in hand, what does Earth do with all those asteroids that come our way?"
Interviewer,"The Earth is hit by asteroids all the time, big ones, doesn't cause mass extinction. Why not look for something a little bit different?"
Tyson,But where can we find that something?
Interviewer,"Here's the boundary, right here."
Tyson,"This Nevada hillside might be one of a few existing Permian crime scenes in North America, but the team must date the rocks, to see if they're the same age as the extinction."
Interviewer,Timing is everything. You have to have rocks that can be dated precisely.
Tyson,"Back at the lab, the team breaks down the rock. Rare elements reveal when the rock formed. The results? About 250 million years old."
Tyson,"So this is a crime scene. But where's the killer? What kind of a disaster, other than an asteroid, could destroy so much life?"
Tyson,"One of the prime suspects is an ancient group of volcanoes, now dormant, whose remains lie in eastern Russia. Known as the Siberian Traps, these were no ordinary volcanoes."
Interviewer,"Most people, when they think of volcanoes, think of Mount St. Helens or Mount Pinatubo. That's nothing like these volcanic episodes."
Tyson,"The Siberian Traps oozed lava for up to a million years, smothering an area about the size of the continental United States, in some places, over a mile deep."
Interviewer,That is a lot of lava.
Tyson,"Sure is. But still, the lava was in Siberia, not in the rest of the world, not in the whole ocean. So why would almost everything on Earth die?"
Tyson,"Marine geochemist Lee Kump thinks he's found the answer. The key is in how big volcanoes could change the environment, including the chemistry of the Permian ocean."
Tyson,"To test his idea, he designed a computer model to simulate the Permian world."
Interviewer,So the model starts out like a weather forecasting model or a climate model
Tyson,"All plants and animals and bacteria are, in fact, chemical factories, taking in nutrients and spewing out waste products. With life's chemistry factored in, Lee's model reveals a disturbing chain of events."
Tyson,"It all starts with the Siberian Traps, but the trigger is not the incessant flow of lava, which would burn and bury any life nearby. No, the real culprits are the gases that the volcanoes spew into the atmosphere, including one we've all heard of lately, carbon dioxide."
Interviewer,Carbon dioxide that's spewing out of these volcanoes is a greenhouse gas.
Tyson,"Greenhouse gases trap the Sun's heat in our atmosphere, forcing the whole Earth to warm up. Of course, that's global warming. But it doesn't end there. Global warming would have heated the Permian ocean, and when it did, ocean chemistry would have changed dramatically."
Interviewer,"There's a difference between warm and cold water. Cold water can hold more gas than can warm water. And so this is, fundamentally, why we drink champagne and beer and soda cold, rather than warm."
Tyson,"What's true for champagne, beer or soda is also true for the ocean and one of its most important gases, oxygen."
Interviewer,Cold water can hold a lot of oxygen. Warm water can't hold much oxygen.
Tyson,"And if water loses its oxygen, things can go from bad to worse."
Tyson,"Lee and his research team have seen this firsthand, at Green Lakes in central New York State. This lake is narrow and deep, and there's little wind. As a result, the deeper waters have lost their oxygen."
Interviewer,"It's safe to swim in this lake, as long as you stay above 70 feet."
Tyson,"Below that, the oxygen-free water has attracted a deadly form of bacteria."
Interviewer,"There are bacteria that can thrive under those conditions, and those bacteria produce hydrogen sulfide. Hydrogen sulfide is a very toxic substance, and so, the deep part of this lake is highly poisonous."
Tyson,It's also bright pink.
Interviewer,Here you go.
Interviewer,"When we bring these samples to the surface, of course, they're rich in hydrogen sulfide. They stink like rotten eggs, and they're poisonous."
Interviewer,"Oh, that stinks! Yuck."
Tyson,"The bright pink color comes from another microbe, purple sulfur bacteria, that thrive in hydrogen sulfide. Bacteria like these can leave chemical traces in ancient rocks. In fact, such traces have been found in some rocks dating to the Permian extinction."
Tyson,"For Lee, it's a sign that the Permian ocean might have resembled this poisonous lake."
Interviewer,This lake is a microcosm of what we think the ocean was like in the late Permian.
Tyson,"According to Lee's computer model, over time, the oceans would have become so full of hydrogen sulfide that in some spots, the deadly gas would have bubbled right out into the atmosphere, killing millions of creatures, not only in the sea, but also on the land."
Tyson,"The deadly microbes under suspicion aren't rare. They thrive wherever there's water and no oxygen, as Peter Ward showed me, on an ordinary beach, at low tide."
Interviewer,"Even here, we're on a beach in Seattle, we only have to go down about two inches to see, sort of, the next step, in what we think is this extinction mechanism. There. Smell that."
Tyson,"Ooh, yeah, smells like rotten eggs."
Interviewer,"Rotten eggs. So, this is hydrogen sulfide from bacteria in the sediment. So, let's just take those bacteria, put them in the ocean and have untold tons of them."
Tyson,Having...have it run amok.
Interviewer,"Everywhere. The oceans are bacteria filled. And they're producing that same nasty rotten-egg smell, but in sufficient quantity, not just to kill stuff in the water, but enough goes in the atmosphere to kill land life."
Tyson,So it burps up this noxious gas.
Interviewer,"Big bubbles come out of the oceans, and it will kill off animals and plants."
Tyson,"And so, an extinction that began in the ocean works its way to the land."
Interviewer,Exactly. It's horrible.
Tyson,So it starts with volcanoes spewing carbon dioxide; next step
Tyson,"Peter Ward is convinced this was the scenario, not just for the Permian, but for most of the other big extinction events, too."
Interviewer,"What really looks like a universal way that this has happened is this global warming, leading to this terrible gas chamber atmosphere killing off life in the ocean and land. It's not so much stuff from space that gets you; it's your own planet."
Tyson,"The Nevada rocks offer some support for the idea, at least for the Permian. This whole area was once at the bottom of an ocean, and tests on the rocks have revealed that, in the years leading up to the extinction, the deep ocean water here had lost its oxygen."
Tyson,The next step will be to probe these rocks for telltale signs of that nasty bacteria and hydrogen sulfide.
Tyson,"Until there's more evidence, the detectives won't all agree that the case is closed. But these experts are convinced that Earth's own environment could be the perpetrator of a mass extinction, whether it's 250 million years ago or right now."
Interviewer,"We know, for a fact, that there have been huge changes in the environment, in climate change. That could happen again today, no asteroids required. The Earth is an incredibly dynamic place, lots happening. We have to understand those changes if we want to survive."
Interviewer,1918 FLU.
