name,line
Interviewer,Congratulations on the National Academy of Sciences award.
Tyson,Oh! I didn't realize how loudly it got announced.
Interviewer,"If I found out about it, it must have been loud."
Tyson,Part of me just wants to stay home and keep working rather than collecting an award.
Interviewer,"Not a bad thing to be given an award for spreading knowledge, considering the strain of anti-intellectualism in American culture."
Tyson,I don't think of what I do as spreading knowledge. The phrase You're lecturing me is never a compliment. So I realized that's not what I should be doing if I have any interest in compelling people to become scientifically literate.
Interviewer,What's your secret?
Tyson,"I've found that no one complains about pop culture being a source of someone lecturing to them. If someone's telling you about Kim Kardashian, you're not going to accuse them of lecturing to you. If I can explore an intersection between pop culture and science literacy, then it generally will not come across as a lecture. You're surfing a wave already created by a pop-culture force. During the Super Bowl, one of my tweets was A 50-yard field goal, in the University of Phoenix Stadium, deflects about one-third inch to the right due to the earth's rotation. Now, we've all seen field goals that just hit the post and bounce out, so the rotation of the earth prevented a goal! Everyone is interested in the Super Bowl and long field goals, and I judged that there would be deep curiosity in the fact that the rotation of the earth could affect the outcome of a game."
Interviewer,"A third of an inch? That seems like a dramatic effect, actually."
Tyson,There are other stadiums where it would be half an inch. It depends on the angle of the stadium relative to the longitude.
Interviewer,Did you put any money on the game?
Tyson,"I don't bet on things I can't control. . . . Actually, I enjoy roulette."
Interviewer,Why roulette?
Tyson,"It's the purest of random. If I'm ever walking through a casino, the roulette will call to me and I'll bet on prime numbers just for fun."
Interviewer,I love a good prime number.
Tyson,Who doesn't love a good prime number?
Interviewer,"This morning, I finished watching an interview that Stephen Colbert conducted with you. You conversed about religion. I really want to believe in a soul. Is there some essence?"
Tyson,"Well, we live in a free country, which allows you to believe what you want. Because you think that something is true does not require that it is objectively true. The value of science concerning itself with objective truths is that we can make decisions and statements that affect everyone, which is why legislation really should be based on objective truths, not what is going on in your head.In my memoir, I've written that when I die I want to be buried so that the energy content of my body will not go to the air or to space, which is of no use to any other life form at all. I would like my energy to be returned to the flora and fauna upon which I have dined my entire life. And so if you want to call that energy your soul, okay, but it's in a very different form at that point. It's being shared with other animals and plants. Generally when people think of a soul, they think of their identity existing without the corporeal body and then still retaining some sense of yourself. There is no evidence that that happens. But for belief, evidence doesn't matter."
Interviewer,That's what faith is.
Tyson,"Here's something that intrigues me: If you have faith, you believe regardless of the evidence, yet if there's ever evidence to support faith, everyone goes to it and points to it."
Interviewer,A tortilla that resembles Jesus!
Tyson,Everyone goes to it.
Interviewer,People will always want evidence. A random universe is a frightening universe for most people. It's terror.
Tyson,Doesn't have to be.
Interviewer,Did you grow up religious? Was there a point in time when you consciously moved away from a tradition or were you always a freethinking guy?
Tyson,"I was raised Catholic. But if someone says I was raised in some religion, that's insufficient information to actually know what was going on. The real question is Was the religion in the household? The answer is no. Important decisions in the household were executed rationally and secularly. So as a result, the foundations of my reasoning derive not from religion but from the rational analysis of circumstances.Today, waiting for the train, I stepped into the sunlight to warm up, and because I'm coming to eat lunch with you, I'm thinking: What an amazing thing that there is this star and I can literally feel it warming me.There are two ways you can receive energy from your environment: One is molecules bumping against you. That's the air. The other is radiative energy. That's what you're feeling from the sun. When they say Get out of the sun, out of the heat, the air is the same temperature; it's just you're exposed to sunlight."
Interviewer,Nature is wonderful and terrifying at the same time.
Tyson,"Nature is not here to keep you alive. It has just as many ways to kill you as it does to sustain you. And if you cherry-pick this fact, you are left thinking that earth is some haven for life, but 96, 97 percent of all species that ever lived on earth are now extinct from the actions of the earth itself and an occasional asteroid to stir the pot."
Interviewer,"When I was a kid, Pluto was a planet. I feel bad for Pluto."
Tyson,"The problem is not whether Pluto is a planet. The problem is the enumeration of the planets. There are nine planets. What is the name of the fifth planet? There's the false feeling that the memorized sequence from the sun is actually science, but it's not. If instead we had taught the solar system as Well, you have these rocky objects that orbit the sun. Some are what we call asteroids, some are called Mercury, Venus, Earth, and Mars. And there are these icy things that orbit the sun. We have comets. We have Pluto. We have some moons. If you later learn that Pluto was reassigned to ice bodies, you'd say, Well, that's great! That's how it should be. It's better to understand something than to memorize something."
Interviewer,It's hard to see an overall arc of human existence bending toward anything except doom.
Tyson,"I see people saying, My gosh, what's happening to the world? Consider that between 1939 and 1945 an average of 1,000 human beings were killed per hour. Humans killing humans. Is there anything you're going to say today that rivals that? There was a day when the Ferguson trial would've only been local news. This kind of perspective allows me to be a little more hopeful about the world than other people."
Interviewer,I'm 62 now. Maybe it's my own existential dread.
Tyson,Your mortality is descending on you. I take to heart a line from Desiderata.
Interviewer,"I remember the song. You are the universe,."
Tyson,"You are a child of the universe, no less than the trees or the stars; you have a right to be here. And whether or not it's clear to you, no doubt the universe is unfolding as it should. One of the other lines I take to heart is Take kindly the counsel of the years, gracefully surrendering the things of youth. So, I used to dance. And when I was dancing, I wasn't writing books, giving lectures, raising a family. While I enjoy watching dance, there is no part of me that says, Gee, I wish I were still dancing."
Interviewer,What about wrestling?
Tyson,I thoroughly enjoy watching wrestling.
Interviewer,You left those things behind is what you're saying.
