name,line
Interviewer,The following is a conversation with vitalik buterin his second time on the podcast vitalik.
Vitalik,Is the co-founder of ethereum and one of the most influential people in cryptocurrency.
Interviewer,And technology broadly defined quick mention of our sponsors athletic greens magic spoon indeed for.
Vitalik,Sigmatic and better help check them out in the description to support this podcast.
Interviewer,As a side note let me say that ethereum bitcoin and many other cryptocurrencies have.
Vitalik,Been taking a wild ride of prices going up and down in the past few months to me.
Interviewer,The prices were never as important as the ideas both technical and philosophical.
Vitalik,Cryptocurrency has the potential to empower billions of people to participate in the global economy in.
Interviewer,A way that resists the manipulation by centralized power also.
Vitalik,With smart contracts layer 2 technologies data pools nfts and of course integration of artificial.
Interviewer,Intelligence into the whole thing we have the opportunity to build tools and worlds.
Vitalik,That transform physical and digital life as we know it hopefully minimizing the suffering in.
Interviewer,The world and maximizing the fun this is the lex friedman podcast and here is.
Vitalik,My conversation with vitalik buterin let's first talk about.
Interviewer,Shiba ino if we can also known as sheba token code shib for contact shiba unu was.
Vitalik,Created in august 2020 modeled off of doshcoin by the anonymous founder.
Interviewer,Known as ryoshi on may 10th this year it had a market capitalization of over 13 billion.
Vitalik,And uh maybe you can explain this but in a crazy move you were given half of shibs uh.
Interviewer,Total supply you uh burned aka destroyed 90 of it that's worth 6.7.
Vitalik,Billion dollars and you donated 10 that's worth 1.2 billion at the time to an uh india covet 19.
Interviewer,Relief fund saying you don't want to be the locus of this much power.
Vitalik,This is uh fascinating why and how were you able to walk away from this much money.
Interviewer,And this much power so i i should probably start by yeah giving some of the backstory around.
Vitalik,You know these coins and this concept of giving me coins uh so you know first of all you know.
Interviewer,Shiba inu as you said is this kind of knockoff of dogecoin right and deutsche coin was this.
Vitalik,Initial kind of fun coin that was created back i think around 2014 or so and it was just created by jackson.
Interviewer,Palmer and like put it out as a joke for a couple of hours and a community formed around it.
Vitalik,And at the beginning people didn't take it very seriously i actually remember putting about 25 000.
Interviewer,Into doge sometime around 2016 and i just remember uh just thinking to myself like okay how.
Vitalik,Am i going to explain my to my mom that i just invested 25 000 into dog coins.
Interviewer,And like what even are dog coins like the only interesting thing about this coin is that there's.
Vitalik,You know a logo of a dog somewhere um but you know of course that ended up being one of the best investments i've.
Interviewer,Ever made and it did really well and then at the end of 2020.
Vitalik,Elon musk of course you know started talking about dogecoin and the market cap just like shot up to.
Interviewer,About 50 billion dollars actually and it shot up multiple times right like the first time.
Vitalik,It went up from about 0.8 cents to about like seven cents and this just happened all in one day.
Interviewer,And i remember um this was when i was still in singapore in the middle of uh.
Vitalik,Kovid and you know i saw that the price just went up by a thousand percent and i was like oh my god my doge is.
Interviewer,Worth like a lot and so i immediately called up some of my friends and told them to like.
Vitalik,Drop everything in scramble and i just sold half the dosh and i got 4.3 million dollars donated the.
Interviewer,Proceeds to give directly and a few hours after i did this the price dropped back down from about seven.
