name,line
Interviewer,Nice to see you Vitalik!
Interviewer,I am still amazed by your quality technical articles on Bitcoin Magazine.
Vitalik,well thank you!
Vitalik,always glad to get feedback so I know what to write more of.
Interviewer,and to absorb all the materials on primecoin within one day and wrote such nice long article.
Interviewer,yup avid reader here and love your articles as well :slight_smile:.
Interviewer,that's an amazing feat.
Vitalik,not many people toe that middle ground line between writing and advanced comp-sci I suppose.
Vitalik,Bitcoin (and coins in general) are like that though; brings lots of things together.
Vitalik,"anyway, I'm a big fan of what you guys are doing here too."
Vitalik,I think you're probably the single most original altcoin developer out there.
Vitalik,"well, there's Ripple too, but in bitcoin terms they're a large corporation."
Interviewer,yup sunny has my vote by a mile.
Interviewer,Thanks really appreciate it.
Vitalik,"so, question 1."
Vitalik,"Who are you? What's your background? Are you Sunny King in real life, or is that just an internet identity?"
Interviewer,"Yeah it's a pen identity, similar to Satoshi's tradition I guess."
Vitalik,any hints as to what you do outside of altcoins?
Interviewer,Ripple is not really a coin.
Vitalik,"I throw it in there because I think it's idea of ""consensus"" is a serious competitor to PoW/PoS, and brilliant if it can be made to work. It has problems though, no doubt about that."
Interviewer,Although I didn't really take that extreme measures so at least some of my friends know I am doing this.
Interviewer,The main reason is that I hope if political climate turns worse in the next couple years that I could still buy some time to make a bit more contributions.
Vitalik,do you think it will?
Interviewer,I did some c programming before and currently work mostly on cryptocurrency.
Interviewer,possibly since the events this year already confirmed my concerns (and satoshi's).
Interviewer,but I think primecoin could also help to bring another positive argument for cryptocurrency.
Vitalik,"yep, I agree."
Vitalik,"I'm staying in Spain right now, and it's interesting how the culture here is much more egalitarian/social oriented than, say, the US would tolerate. Among those who don't like Bitcoin, the two major arguments are (1) early adopter unfairness and (2) mining is wasteful."
Vitalik,you've done quite well in solving (2).
Vitalik,do you have any opinion on the early adopter issue?
Interviewer,if so I think the market is now trying to wrestle with (1) with all these altcoins.
Vitalik,how so?
Interviewer,from my point of view I don't think early adopter is an 'issue' per se with bitcoin.
Interviewer,just like the gold miners and 'hoarders' are not an issue with gold.
Interviewer,although it does appear to me that the market force behind cryptocurrency is different from precious metals.
Interviewer,in the old commodity money gold eventually does dominate.
Interviewer,but it seems much harder for bitcoin to sustain such dominance in cryptocurrency.
Vitalik,why do you say that?
Interviewer,"one observation is that lots of miners and investors are looking at new altcoins hoping to strike it right, even if it is a pure clone without anything new."
